UID,Name,Position,Pas %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
2000176735,Fakhriddin Umarov,D (C),71%,12,12,4,8,14,12,10,8,9,10,7,4,9,6,6,5,1,1,2,3,1,5,1,1,1,1,4,1,8,1,1,12,4,1,6,3,1,1,1,2,1,1,3,1,1,3,3,- -  -,
59024495,Mirjalol Qurbonov,D (C),73%,6,9,7,10,14,7,10,5,12,10,8,5,6,7,13,5,10,4,14,7,4,8,3,1,1,5,7,1,11,3,4,14,7,6,14,6,4,3,2,3,2,2,2,3,3,3,2,- -  -,Ctr
2000039804,Anton Fedyunin,D (C),63%,10,13,6,10,12,11,4,7,5,9,7,3,5,7,5,5,10,1,12,5,3,5,2,1,1,1,5,1,11,2,1,12,4,4,9,3,4,3,3,2,1,1,1,1,3,2,1,- -  -,
2000035251,Azat Rahmanow,D (C),62%,14,14,7,6,11,14,10,10,10,9,7,5,8,7,3,5,9,6,10,6,3,7,3,3,5,3,7,5,12,6,3,9,5,4,8,5,1,1,2,2,3,3,2,3,2,3,2,- -  -,
2000224259,Aziz Koshibxonov,D (C),68%,5,9,5,13,12,6,6,8,5,9,7,4,7,7,13,5,12,2,13,4,1,5,2,1,3,1,5,1,5,3,1,8,5,1,11,4,1,3,3,1,2,4,2,3,2,3,3,- -  -,Ctr
33028811,Faith Friday Obilor,D (C),72%,11,11,15,18,14,12,14,16,14,10,12,12,11,8,11,5,9,6,14,10,7,13,4,11,10,6,8,6,15,5,10,12,8,5,14,11,1,2,1,2,1,3,3,3,2,3,1,- -  -,
2000043020,Izzatullo Ruziev,D (C),59%,14,12,8,13,17,12,13,5,9,10,5,8,8,8,5,5,6,3,13,7,4,8,5,5,2,4,6,1,14,4,3,14,3,4,8,2,3,2,3,1,1,1,2,2,3,2,3,- -  -,Inj
2000043015,Daler Imomnazarov,D (C),63%,14,14,8,5,11,14,13,6,11,11,6,7,12,8,12,5,12,6,14,7,6,8,3,2,4,4,4,1,14,6,2,9,7,2,10,4,1,2,2,3,3,1,2,2,3,2,4,- -  -,
59059508,Danila Sokirchenko,D (C),66%,13,13,7,10,8,13,11,12,6,9,8,8,11,8,3,5,4,6,7,6,6,7,2,1,1,1,4,1,13,2,4,13,4,5,12,6,1,1,1,3,1,2,2,1,2,3,1,- -  -,Ctr
59071447,Ata Geldiýew,D (C),75%,9,9,7,11,12,7,7,12,15,12,9,7,10,9,17,6,6,3,11,7,6,8,5,3,4,4,8,6,14,4,2,12,8,5,14,4,1,3,2,1,1,3,3,1,1,1,2,- -  -,Ctr
