UID,Name,Position,Pas %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
82001289,Gickes Jabari,M/AM (LC),63%,7,8,3,4,14,8,10,2,10,7,1,2,1,10,9,11,9,6,3,4,4,9,3,6,7,7,10,2,2,2,2,2,4,1,1,11,3,2,3,2,3,3,2,2,3,4,3,- -  -,
2000088588,Clive Clarke,M (LC),65%,11,10,3,10,6,7,2,4,6,5,1,9,3,7,10,5,13,3,3,3,6,7,2,3,4,2,7,1,2,3,1,3,6,4,1,6,1,2,3,3,2,2,2,3,1,1,3,- -  -,Ama
2000085721,Emanie Amedee,M (C),66%,5,6,5,5,5,5,12,4,11,4,3,13,4,12,13,5,9,3,5,4,2,8,3,1,1,2,4,1,1,5,1,5,5,2,2,5,3,2,3,3,1,1,2,1,2,2,1,- -  -,Ama
82064542,Elsid Miggins,M/AM (C),71%,13,12,6,9,10,12,9,5,9,6,4,5,6,10,12,11,13,10,6,6,13,4,1,1,6,7,9,4,3,5,2,6,11,1,2,5,1,2,2,3,3,2,1,3,2,1,1,- -  -,
2000173282,Daniel Suriel,"M (C), AM (R)",70%,12,9,3,4,15,10,12,3,14,3,5,2,3,5,7,9,3,7,2,4,1,9,1,4,6,7,10,2,1,4,2,2,3,2,2,7,1,3,1,1,2,3,2,4,2,1,3,- -  -,
82072264,John Mareus,M (C),68%,12,11,3,5,6,11,10,3,12,4,5,11,4,7,13,5,12,5,4,5,9,10,2,2,2,3,11,3,1,4,1,5,12,1,2,6,2,3,2,1,2,1,2,2,3,3,1,- -  -,
82070932,Donroy Liburd,M/AM (C),67%,12,12,4,1,16,12,10,1,10,6,5,6,4,9,7,9,13,5,4,5,13,10,3,1,5,7,8,3,1,5,1,4,6,1,2,5,3,1,3,4,1,2,1,3,1,1,1,- -  -,
82080055,Delbert Hazel,M/AM (C),67%,4,5,2,11,13,4,5,4,13,8,2,6,6,13,2,12,13,8,5,6,8,9,5,5,3,11,8,5,3,14,1,7,9,2,3,13,2,3,1,3,3,2,3,1,1,2,3,- -  -,Inj
73100206,Wilberne Augusmat,M (C),73%,11,11,3,6,10,11,11,2,11,8,4,5,2,11,10,5,6,6,4,5,5,9,2,2,1,2,10,2,2,4,1,6,12,1,3,7,1,2,1,4,3,1,3,2,3,2,2,- -  -,
2000205393,Jarvis Jones,"M (C), AM (RC)",77%,13,13,5,6,15,12,11,3,10,7,4,9,1,9,15,8,5,3,5,4,11,9,3,5,4,9,9,3,3,5,1,2,7,2,3,8,1,2,1,1,1,2,2,1,2,2,2,- -  -,Yth
14174101,Alan Rodríguez,"M (C), AM (RC)",72%,9,9,6,7,8,9,8,7,5,10,6,12,7,15,13,7,11,13,11,10,14,13,11,8,10,8,9,13,6,13,4,3,10,12,3,10,1,1,1,1,3,3,2,1,2,4,2,- -  -,
82072863,Miguel Abraham,M/AM (C),83%,5,6,5,8,9,6,6,2,15,8,3,5,6,8,13,9,12,7,7,7,8,11,4,1,5,10,13,5,5,6,1,6,6,1,3,11,3,2,2,1,3,1,1,2,2,1,1,- -  -,Ama
2000011367,Luis Miguel Pereyra,M (C),66%,10,12,4,9,9,11,7,6,11,6,2,5,3,12,6,5,12,3,7,5,13,10,2,1,1,4,8,4,3,6,1,4,11,1,3,8,3,2,3,2,1,1,2,1,3,1,2,- -  -,
50070314,Yaron Atlan,M (C),65%,13,13,6,3,16,13,7,6,11,8,7,6,6,11,14,5,7,7,6,7,11,12,5,6,5,4,13,5,5,11,1,8,13,2,3,13,1,1,1,3,3,3,2,3,2,3,4,- -  -,
82085010,Liomar Croes,M (C),83%,12,12,5,3,12,12,13,4,12,8,2,8,4,9,3,5,6,8,8,6,8,10,5,3,4,1,11,5,5,5,5,6,11,1,3,9,2,3,3,3,2,3,1,1,3,4,3,- -  -,
2000076065,Andruw Stokkel,M (C),70%,12,13,6,4,11,13,10,4,14,7,4,7,6,13,15,5,5,7,5,6,10,11,2,1,3,6,9,5,5,8,1,9,13,1,3,11,1,1,1,4,1,2,3,1,1,3,1,- -  -,
90051220,Jorronie McLean,M (C),69%,13,13,5,7,15,13,13,7,15,4,4,6,5,10,15,8,12,6,5,6,5,11,4,4,2,5,9,4,4,6,3,9,9,1,3,9,3,2,1,3,3,2,1,2,1,3,1,- -  -,Ama
2000132181,Isaac Tresident,M (C),65%,12,11,3,3,14,12,12,3,6,6,5,10,1,10,10,7,12,2,4,4,10,9,2,1,1,2,4,2,1,2,1,4,12,3,3,10,3,3,2,1,1,2,1,3,3,2,2,- -  -,
2000046349,Shakeem Lewis,"M (C), AM (LC)",82%,6,11,5,1,13,7,7,1,6,11,6,5,6,12,4,15,10,5,7,6,10,4,5,5,10,5,12,5,2,6,2,5,8,1,3,7,2,1,3,3,3,1,3,1,1,1,1,- -  -,Ama
90051315,Shurwendel Roosje,M (C),69%,13,13,6,8,13,13,13,5,5,5,7,8,6,9,4,5,14,10,6,7,10,11,4,1,1,4,11,5,4,5,4,9,11,4,4,7,2,2,3,3,3,2,2,1,2,3,3,- -  -,
82072670,Markenly Amilcar,M (C),66%,12,12,4,2,11,12,5,3,5,8,1,5,4,7,4,8,14,6,4,5,4,10,3,6,1,1,10,3,1,4,1,5,7,1,4,8,2,3,3,1,2,1,1,1,1,3,1,- -  -,Ctr
29129365,Chad Bertrand,M/AM (C),70%,7,8,7,10,11,6,9,4,13,6,7,5,7,13,14,12,9,9,6,8,15,12,6,3,1,7,12,6,5,7,4,7,11,13,4,8,1,4,2,2,1,3,2,4,3,3,3,- -  -,
82003312,Theon James,M (C),69%,13,12,5,11,12,12,8,8,14,6,3,10,5,7,14,5,12,8,4,7,13,11,2,5,1,2,13,4,5,5,1,9,13,3,4,8,2,2,2,3,3,3,2,3,1,1,3,- -  -,
82070836,Jowan Sawyers,M/AM (RLC),72%,12,12,6,12,14,12,5,4,15,6,5,7,5,9,6,15,2,9,3,6,11,8,4,8,11,4,12,5,4,6,1,4,8,1,4,11,1,2,2,2,1,2,1,3,2,2,2,- -  -,
30001516,Teran John,M (C),66%,5,8,3,7,11,7,7,4,6,8,4,5,6,14,7,5,4,6,8,7,12,11,5,4,1,5,10,5,5,7,1,10,12,2,4,7,1,1,2,3,1,3,3,2,2,1,1,- -  -,Ama
