UID,Name,Position,Pas %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
2000086756,Stéphane Couyava,M/AM (C),81%,10,10,1,5,11,10,8,1,12,4,4,6,1,8,10,10,11,3,2,3,8,8,1,1,1,6,7,1,1,7,1,1,8,2,1,7,3,3,2,1,3,2,3,1,1,2,4,- -  -,
2000086758,Stéphane Mapé,M (C),83%,9,12,4,6,14,12,8,4,5,2,4,3,4,11,7,6,1,2,4,5,7,10,2,1,3,4,13,3,1,10,1,2,12,2,1,12,2,1,2,4,1,1,2,4,2,1,1,- -  -,
2000087538,Jeshansing Jeetoo,M (RC),77%,12,12,3,3,13,12,9,1,6,4,1,3,3,9,6,5,10,2,4,5,3,9,2,3,1,3,6,2,2,4,1,4,6,1,2,8,2,3,1,3,2,1,2,1,1,3,3,- -  -,Ama
2000087540,Emmanuel Cataperman,M (C),85%,12,12,3,6,7,12,4,4,15,4,1,3,2,10,3,5,11,1,1,4,6,8,1,1,1,3,9,1,2,4,1,8,12,2,2,5,2,3,2,2,3,2,2,3,2,1,1,- -  -,Ama
13205263,Logic Chingandu,M/AM (C),83%,12,13,10,5,7,13,10,6,9,11,5,7,6,13,12,9,10,13,9,8,9,13,11,12,12,10,12,14,5,11,3,6,14,5,2,12,2,1,3,1,3,3,3,3,1,1,1,- -  -,
13200198,Khadre Guèye,M (C),87%,13,13,13,6,8,13,13,5,12,10,1,9,10,13,3,5,11,9,7,12,12,10,5,5,7,6,11,3,6,10,3,8,13,5,3,9,2,2,2,1,3,3,3,3,1,2,2,- -  -,
95079709,Moutuioun Ali,M (C),79%,12,12,3,3,14,12,5,2,13,6,5,4,4,12,15,6,1,7,7,5,6,10,1,2,1,2,11,3,1,7,1,5,7,1,3,6,3,3,3,2,1,2,3,1,3,3,3,- -  -,Ama
2000085937,Chris Franchette,M (C),84%,12,12,4,1,8,12,4,1,11,6,5,4,4,12,15,7,6,5,3,5,12,9,3,3,1,4,8,3,2,8,1,2,10,1,3,8,2,1,2,2,2,1,3,2,3,1,2,- -  -,Ama
2000086634,Abhijit Ghunowa,M/AM (C),82%,12,12,4,4,12,12,12,6,7,5,4,5,2,8,6,10,9,8,3,5,4,10,3,1,5,9,9,3,3,4,1,4,10,2,3,9,3,4,3,4,2,2,1,3,1,1,2,- -  -,
2000086641,Hanshen Manaroo,M (C),84%,12,9,2,5,13,9,9,3,9,7,1,4,5,11,10,6,8,4,5,6,13,11,3,1,1,5,11,4,1,7,2,3,13,1,3,8,2,2,1,1,1,2,3,1,3,3,2,- -  -,
