UID,Name,Position,Pas %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
2000097234,Denvin Jones,ST (C),54%,13,6,1,10,8,10,8,4,6,5,1,6,3,2,12,8,1,6,2,3,2,4,3,2,3,8,6,3,9,2,1,3,4,1,1,4,3,2,3,1,1,2,2,2,2,3,3,- -  -,Ama
82003383,Ricardo Peltier,ST (C),62%,12,11,3,8,11,11,7,4,13,5,4,7,1,3,16,8,10,8,2,1,3,2,1,2,9,12,5,1,11,2,1,1,2,6,1,6,2,2,2,1,1,3,2,2,1,2,2,- -  -,
2000086676,Anyelo Santana,ST (C),54%,13,6,1,6,13,7,6,4,5,8,1,8,3,3,11,6,1,12,4,3,1,4,2,1,8,13,6,3,6,4,1,1,4,3,1,6,3,3,1,3,1,3,1,2,3,1,2,- -  -,Ama
82089994,Jean-Jacques Craane,ST (C),56%,13,13,5,2,18,13,3,1,7,10,6,9,5,4,8,10,1,13,5,4,4,5,3,3,9,9,11,1,13,1,1,2,5,4,3,11,2,2,1,1,2,1,1,1,3,1,1,- -  -,Ama
2000171693,T'Khoi Richardson,ST (C),57%,11,11,3,7,10,11,1,2,5,7,2,7,3,4,15,10,1,9,2,2,1,3,1,1,4,11,9,1,10,3,1,2,3,6,1,4,3,1,1,2,2,3,2,3,3,2,1,- -  -,Ama
2000046399,Sylvanus James,ST (C),79%,11,12,4,2,8,12,9,4,5,7,3,7,2,4,15,8,4,7,4,3,4,4,3,1,7,12,9,1,9,4,1,2,1,2,1,5,2,1,1,2,3,1,3,1,3,1,3,- -  -,Ama
2000046361,Shermaine Charles,ST (C),54%,11,8,3,9,13,11,4,6,5,8,4,10,3,4,10,8,8,8,3,2,3,3,1,3,7,9,11,1,9,3,1,1,1,2,1,7,2,1,2,1,1,1,1,2,3,2,2,- -  -,Ama
2000041190,Cadeem Rogers,ST (C),79%,11,9,4,5,13,11,2,3,11,8,4,10,3,4,4,7,8,10,3,3,2,3,3,2,6,13,6,3,12,5,1,1,1,5,1,4,3,2,1,2,2,3,1,2,3,2,3,- -  -,Ama
82079635,Yannick Dinane,ST (C),59%,13,13,5,5,15,13,4,4,10,10,2,6,5,4,5,8,12,7,5,4,5,6,4,3,12,8,11,4,8,5,1,4,5,1,1,7,3,2,2,1,2,2,1,3,3,1,1,- -  -,Ama
82084919,Quamie Jones,ST (C),51%,11,11,2,7,10,11,4,3,10,10,1,5,1,4,7,7,11,11,2,1,2,2,1,1,6,11,9,1,4,2,1,1,1,4,1,5,1,3,3,3,1,2,3,3,3,1,2,- -  -,
2000149427,Milton Creque,ST (C),55%,12,11,4,7,12,11,1,1,11,8,1,9,1,5,11,8,10,5,3,2,2,3,2,1,4,10,5,1,12,3,1,1,1,6,1,2,1,2,3,2,2,1,2,4,3,1,3,- -  -,Ama
82071311,Kevin Fisher,ST (C),55%,11,7,5,3,7,8,7,7,10,7,4,8,4,5,6,13,12,10,5,4,4,5,4,2,12,13,5,4,6,5,4,2,1,7,1,6,1,3,4,1,1,2,3,1,3,3,1,- -  -,Ama
82050043,Rúslan Batista,ST (C),58%,12,12,3,7,6,12,11,4,5,5,2,9,4,5,5,10,10,8,3,3,3,6,3,2,6,12,10,3,7,3,2,2,4,5,1,6,1,2,2,3,3,1,1,3,1,3,3,- -  -,
82001348,Khomeini Talbot,ST (C),52%,10,10,3,11,11,10,4,5,12,7,1,8,1,5,3,10,4,11,2,1,1,2,1,1,7,11,11,1,10,1,1,1,1,7,1,8,1,3,1,3,3,1,3,2,2,2,1,- -  -,Ama
82072328,Ian Winder,ST (C),57%,12,9,4,8,10,12,5,6,12,6,6,12,4,5,17,8,13,10,4,3,4,4,3,2,9,8,9,1,6,4,1,3,4,2,1,7,3,2,3,1,2,3,2,3,3,1,3,- -  -,
82075618,Suehendley Barzey,ST (C),63%,10,6,5,10,14,9,10,5,8,7,1,8,5,5,10,12,6,12,5,5,3,7,4,3,10,13,13,1,6,3,4,3,5,9,4,8,3,1,2,3,3,1,3,2,3,3,2,- -  -,Inj
82070869,Whitney Williams,ST (C),62%,12,11,3,9,14,12,4,12,8,9,4,9,4,5,16,11,10,8,4,4,4,5,1,1,5,12,10,1,12,5,1,2,4,7,1,7,2,3,2,1,3,1,1,1,2,2,2,- -  -,Ama
