UID,Name,Position,Pas %,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
2000097252,Dánjal Frederiksberg,ST (C),77%,10,8,5,3,13,8,4,7,6,10,5,5,5,5,7,10,11,5,5,4,3,5,4,4,11,14,9,3,8,3,4,2,3,4,2,8,2,4,2,1,2,2,3,2,1,3,3,- -  -,Ama
2000066361,Robert Samuelsen,ST (C),79%,12,7,1,1,7,11,5,2,6,8,3,5,3,6,5,6,6,10,1,2,1,3,2,1,10,12,10,1,11,3,1,2,3,4,1,5,1,1,1,3,3,2,3,2,1,1,1,- -  -,
2000231302,Teemu Hytönen,ST (C),93%,13,11,7,6,9,13,12,9,11,4,1,6,4,6,12,8,10,12,6,5,5,7,5,5,10,11,12,5,12,4,1,3,5,1,1,7,2,2,2,1,3,1,2,1,2,3,3,- -  -,
32024955,Hans Marius Davidsen,ST (C),71%,7,4,9,16,13,8,8,14,6,11,13,9,8,7,8,7,10,9,5,11,8,8,6,11,4,9,5,7,11,6,8,3,10,4,7,7,3,3,1,2,3,1,3,3,2,3,3,- -  -,
2000169857,Alexander Simmelhack,ST (C),83%,13,12,9,15,15,12,10,10,15,11,8,11,8,7,17,8,9,14,7,7,8,8,4,3,14,12,9,7,14,8,5,6,8,1,5,11,1,2,1,3,1,2,3,2,1,3,2,- -  -,
32000521,Andreas Olsen,ST (C),85%,14,4,5,14,13,13,6,11,6,15,12,13,8,8,13,15,6,11,8,9,8,6,9,5,9,12,8,9,13,6,6,8,7,6,5,7,2,3,3,2,3,3,1,2,3,2,2,- -  -,
33077599,Sterling Yatéké,ST (C),61%,16,11,11,13,12,14,13,15,11,9,11,9,8,9,13,9,5,12,7,11,8,12,7,6,8,8,10,5,10,9,6,4,8,13,6,10,3,3,1,3,4,3,2,2,1,2,1,- -  -,
43116921,Vahid Hambo,ST (C),67%,11,10,13,15,7,12,9,13,8,11,13,11,10,9,10,11,5,13,5,8,8,9,5,6,10,13,11,5,12,7,6,4,8,10,4,10,2,2,2,2,1,3,2,1,1,3,3,- -  -,
771985,Marcus Pedersen,ST (C),57%,9,9,13,12,11,10,9,12,17,14,16,12,11,10,9,9,6,14,8,10,9,16,7,10,7,14,10,8,14,11,4,4,10,13,9,11,3,3,3,2,3,1,1,3,2,3,1,- -  -,
47082826,Chinedu Geoffrey,ST (C),77%,8,10,13,13,11,10,15,15,10,11,8,13,9,10,12,13,9,12,9,10,12,10,9,9,11,13,12,10,14,12,9,7,10,10,8,8,2,2,3,1,1,1,2,2,1,3,3,- -  -,
27150710,Jibril Abubakar,ST (C),58%,13,10,12,15,13,13,12,13,11,7,8,9,8,10,15,11,7,8,7,9,8,8,6,6,9,10,9,7,12,9,5,5,9,9,5,13,1,1,1,1,3,3,1,3,1,1,3,- -  -,
766886,Alexander Søderlund,ST (C),67%,7,6,14,15,15,10,12,14,15,13,13,10,11,10,12,9,13,13,11,15,12,15,8,10,7,14,10,12,15,13,7,9,10,14,7,11,1,4,2,2,1,2,3,1,1,4,1,- -  -,Inj
83297612,Lucas Gomes,ST (C),60%,12,11,10,12,11,12,11,11,6,10,10,11,7,10,13,12,6,13,4,12,11,13,7,7,11,11,11,7,8,10,4,3,10,11,6,12,1,2,2,2,3,3,3,3,2,3,4,- -  -,
93081617,Edvin Crona,ST (C),78%,13,10,12,15,11,13,12,13,9,10,11,10,10,10,13,11,9,12,6,11,8,11,6,7,10,9,11,8,12,11,6,5,7,12,6,11,2,3,2,2,3,2,2,1,2,2,3,- -  -,
27155059,Alexander Lind,ST (C),83%,13,10,9,13,14,13,11,12,16,12,15,9,10,10,9,6,6,10,8,12,11,13,6,7,9,11,10,9,10,9,6,5,11,11,5,9,3,3,4,2,1,1,1,2,2,2,1,- -  -,
33077237,Matias Tamminen,ST (C),77%,12,12,12,13,12,14,8,10,13,6,6,8,6,10,16,13,1,13,5,8,6,10,6,6,12,12,14,6,14,8,6,4,8,1,3,9,2,1,3,1,2,2,3,3,2,2,3,- -  -,
93142312,Filip Bohman,ST (C),59%,12,7,13,14,10,12,12,13,12,10,12,7,11,10,11,5,7,12,6,13,8,12,7,7,7,11,10,7,11,8,7,6,8,8,6,9,2,3,3,3,2,3,3,2,2,1,1,- -  -,
93143771,Ashley Coffey,ST (C),52%,11,8,14,16,12,12,11,14,14,10,14,11,11,10,11,7,7,10,7,10,8,11,6,6,8,11,8,5,13,7,6,6,6,8,8,9,1,3,1,3,3,2,3,3,2,2,1,- -  -,Opt
47019816,Valērijs Šabala,ST (C),82%,12,13,12,9,17,11,12,13,14,9,15,7,10,10,14,14,13,12,11,12,9,15,10,8,8,11,10,7,10,12,1,8,11,10,3,10,2,2,3,1,2,2,3,3,1,4,1,- -  -,
13195100,Stephen Odey,ST (C),80%,15,14,11,11,14,15,12,12,11,12,12,11,9,11,10,14,6,12,6,10,10,12,7,11,13,13,11,7,12,9,5,5,11,10,5,13,1,2,2,3,2,3,3,3,1,2,3,- -  -,
2000184335,Leonardo Velasco,ST (C),61%,13,11,3,10,15,12,13,5,12,14,6,9,6,11,6,9,3,13,4,7,8,8,7,3,15,11,11,7,14,8,1,4,8,6,4,10,1,3,2,3,1,3,2,2,1,3,3,- -  -,
2000205712,Wally Njie,ST (C),54%,14,14,8,8,9,14,10,6,6,10,5,9,6,11,4,10,9,8,7,7,8,8,7,4,14,14,12,7,11,5,4,5,4,6,4,11,1,1,2,3,2,3,4,3,3,2,1,- -  -,
