UID,Name,Position,Pr passes/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57122678,Ianis Hagi,"M (C), AM (RLC)",3.43,10,12,13,9,14,10,12,11,9,14,12,14,13,12,13,14,13,12,10,13,15,14,16,15,13,13,16,17,6,15,5,8,16,14,5,16,2,2,3,1,1,1,3,2,3,2,1,- -  -,
92097822,Christopher Scott,"M (C), AM (LC)",7.28,14,14,12,7,14,14,13,13,13,13,12,14,10,13,15,14,8,13,9,12,15,13,6,10,15,10,15,5,9,12,3,7,14,6,9,15,3,2,3,3,1,2,2,1,2,2,3,- -  -,
92088303,Florent Muslija,M/AM (RLC),1.99,13,14,9,7,12,12,12,9,13,11,8,11,8,10,13,13,5,12,5,12,12,12,15,13,14,10,12,15,5,13,4,5,13,13,6,14,3,3,2,2,4,3,2,3,1,3,2,- -  -,Opt
29083920,Drey Wright,"WB (R), M (RL), AM (RLC)",2.28,14,11,11,7,14,13,11,10,5,11,8,8,10,9,13,12,4,11,6,10,11,12,10,9,9,9,10,3,5,9,2,8,11,9,6,9,1,1,3,1,2,2,1,1,2,3,2,- -  -,
72049175,Djordje Mihailović,M/AM (C),3.01,13,14,13,10,15,12,11,10,7,12,10,15,13,13,10,13,11,13,13,12,15,13,12,13,14,12,15,10,9,12,5,9,15,10,8,16,4,3,2,2,2,3,2,1,2,3,1,- -  -,
2000042500,Imani Lanquedoc,M/AM (C),1.96,10,8,12,13,13,7,13,8,15,9,3,11,6,12,13,9,12,10,6,12,7,13,4,4,12,11,12,5,5,8,3,3,12,6,8,10,2,2,1,1,3,1,1,2,1,2,1,- -  -,Opt
2000054217,Renaldo Torraj,"WB (R), AM (LC)",0.00,10,12,11,13,13,9,7,8,8,10,4,12,7,11,8,16,12,12,9,8,13,9,7,8,12,9,14,8,8,9,7,5,12,5,7,11,1,2,2,3,3,1,3,4,1,2,3,- -  -,
53071591,Ylldren Ibrahimaj,"M (RC), AM (RLC)",1.53,14,15,11,7,12,13,11,6,13,13,12,12,12,11,13,16,6,10,11,12,11,10,12,10,9,10,12,13,9,8,7,8,12,11,9,13,3,2,2,1,2,2,2,3,4,1,3,- -  -,
25059064,Pavel Šulc,M/AM (C),1.77,15,13,8,6,14,14,9,9,7,11,9,8,9,13,15,14,7,12,12,11,13,11,11,8,12,10,15,9,8,12,6,7,14,4,10,16,1,3,2,1,2,3,1,3,1,1,3,- -  -,Inj
