UID,Name,Position,Pr passes/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
75044474,Víctor Méndez,"DM, M (C)",1.48,11,11,12,9,14,11,14,14,12,15,14,13,15,14,12,12,14,11,16,14,13,14,8,7,11,6,13,8,9,12,5,14,14,6,13,13,2,1,2,1,2,3,3,2,3,1,3,- -  -,
19260884,Allan,"DM, M (C)",5.20,14,14,14,6,13,13,13,11,17,14,16,15,12,13,15,13,11,15,13,13,16,14,12,11,12,8,14,11,6,11,6,12,16,9,11,16,2,1,3,1,1,2,1,2,2,2,2,- -  -,
67196203,Madger Gomes,"DM, M (C), AM (R)",0.27,14,12,11,8,12,14,12,8,9,13,8,12,9,12,12,16,8,13,12,12,12,10,6,10,10,10,10,8,5,11,6,6,9,9,11,11,2,1,2,2,4,3,3,3,2,3,1,- -  -,
58140558,Nail Umyarov,"DM, M (C)",2.60,14,15,14,14,7,13,14,11,13,15,12,18,12,15,16,14,15,12,12,13,16,12,13,11,13,8,16,10,8,11,3,10,15,13,13,15,4,3,3,1,7,2,1,3,1,2,1,- -  -,
28122687,Julien Carré,"DM, M (C)",2.82,10,11,11,6,11,10,13,12,10,10,9,6,11,11,14,9,9,6,11,10,10,12,7,7,9,6,9,8,9,12,6,10,9,6,8,9,3,2,3,3,3,2,2,1,3,2,3,- -  -,
2000112609,Kian Taylor,"DM, M (C)",3.00,6,10,8,8,13,7,11,10,6,7,7,6,6,14,11,7,4,5,11,7,13,12,4,5,6,5,8,6,5,5,2,11,9,4,13,8,1,2,3,3,2,2,4,3,2,2,3,- -  -,
36515162,Remi Walter,"DM, M (C)",3.25,12,13,14,8,13,12,13,12,9,13,13,13,14,12,11,13,7,12,12,15,13,15,9,10,11,9,14,7,6,10,5,11,15,10,12,13,3,2,1,1,3,2,1,2,2,2,3,- -  -,
43043936,Raffaele Maiello,"DM, M (C)",0.80,9,8,9,9,15,7,9,8,14,14,11,12,13,12,13,13,14,12,14,13,13,12,7,8,8,10,12,9,9,11,5,10,13,10,12,12,3,3,3,3,2,1,2,1,1,1,2,- -  -,
83111519,Daniel Bragança,"DM, M (C)",6.05,12,13,17,5,13,12,12,8,11,15,9,17,14,15,14,13,13,12,14,12,16,12,13,12,12,11,15,11,6,11,6,9,16,11,12,16,2,2,3,3,2,2,1,2,1,2,2,- -  -,Inj
55079798,Stephen Eustáquio,"DM, M (C)",5.80,13,15,16,8,16,13,15,10,11,17,12,17,14,14,13,13,12,13,14,14,17,15,11,10,12,10,15,7,11,10,11,9,16,10,12,15,1,2,1,2,1,3,1,4,1,3,2,- -  -,
49038952,Khephren Thuram,"DM, M (C)",5.00,15,13,15,16,17,14,16,13,12,14,10,14,12,14,17,15,15,16,14,15,14,14,6,8,14,12,15,7,12,14,6,13,16,10,12,16,3,2,2,2,2,2,3,3,3,1,2,- -  -,Wnt
76043820,Jorman Campuzano,"DM, M (C)",3.48,12,14,13,7,14,12,15,13,13,15,13,10,12,12,12,12,10,13,14,14,15,14,7,9,9,7,12,5,10,10,4,13,13,8,13,14,3,2,3,2,1,3,2,2,2,3,3,- -  -,
43317730,Salvatore Esposito,"DM, M (C)",5.20,15,15,13,8,18,14,14,15,13,16,12,13,15,14,18,12,10,12,15,12,15,15,12,12,13,8,12,14,11,13,9,15,15,11,14,14,2,3,2,2,3,2,2,2,1,3,1,- -  -,Wnt
2002082702,Engin Açıkgöz,"DM, M (C)",3.08,9,11,16,14,17,11,14,11,12,15,8,14,9,15,13,8,14,10,14,10,15,14,7,5,7,6,16,11,8,8,3,9,16,6,5,15,2,3,1,2,2,1,1,3,2,2,2,- -  -,
43154747,Giacomo Calò,"DM, M (C)",0.80,12,11,12,7,10,12,14,12,12,12,11,12,13,12,16,12,7,10,10,12,15,12,17,11,10,9,12,16,8,12,10,10,14,6,12,12,2,1,2,4,3,3,1,4,3,3,1,- -  -,
81042449,Leonard Rankine,"DM, M (C)",3.57,10,9,10,13,14,11,9,11,9,11,9,11,11,11,14,15,11,11,10,11,13,10,11,9,9,9,11,11,8,9,1,9,12,11,9,11,1,2,3,3,2,3,2,3,3,1,4,- -  -,
45109174,Hidemasa Morita,"DM, M (C)",5.35,12,14,16,7,15,13,14,12,16,15,14,16,15,14,16,9,13,12,13,15,15,14,10,10,11,11,16,8,8,11,8,12,14,12,14,15,2,3,1,1,3,3,2,2,1,3,3,- -  -,Opt
53124680,Ousmane Fané,"DM, M (C)",1.74,10,9,13,13,17,10,17,14,16,12,17,6,12,10,8,4,7,11,12,14,11,18,1,4,7,3,9,5,8,4,2,12,9,1,15,7,2,3,3,2,3,1,1,3,1,2,3,- -  -,
83111338,Gedson Fernandes,"DM, M (C)",5.78,13,15,14,12,18,14,17,14,14,14,15,13,15,13,14,14,11,12,13,14,13,16,11,7,12,7,14,10,6,12,4,12,13,10,13,14,1,1,3,2,2,1,3,2,1,3,2,- -  -,
78074594,Federico Valverde,"DM, M (RC), AM (R)",5.71,17,17,16,13,18,17,17,15,12,15,15,13,16,14,15,14,14,15,13,17,15,17,13,13,12,11,14,11,12,15,10,13,16,10,14,13,3,1,3,1,3,1,3,1,1,3,4,- -  -,
