UID,Name,Position,ShT/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29174695,Danny Amos,D/WB (L),0.05,12,10,11,7,15,14,13,8,10,9,11,8,10,9,11,9,9,10,11,12,10,13,9,10,11,8,10,8,9,7,11,9,9,7,11,9,1,2,2,3,1,2,2,1,3,3,3,11,8,5,3,12,10,12,12,7,11,- -  -,Wnt
78095389,Facundo Pellistri,"M/AM (R), ST (C)",0.71,17,14,10,7,11,14,11,6,14,10,11,10,10,9,14,14,5,14,7,13,10,15,8,11,14,11,14,8,4,7,3,5,11,10,7,15,1,1,2,3,3,2,1,2,3,4,2,14,12,2,6,12,11,10,11,12,11,- -  -,Loa
72056133,Daryl Dike,ST (C),2.13,14,11,12,13,13,14,13,17,14,11,12,12,9,11,15,11,8,13,7,12,9,12,5,7,10,14,11,8,13,12,7,7,11,12,7,11,1,1,1,3,3,3,1,2,4,4,3,15,10,3,10,12,9,16,14,7,15,- -  -,
29087687,Dwight Gayle,"AM (C), ST (C)",1.59,12,13,11,9,10,11,12,10,12,16,9,13,12,13,13,11,8,14,5,11,11,12,10,12,10,14,12,14,12,13,11,3,11,13,4,13,3,2,3,1,1,1,2,1,2,2,1,13,13,3,13,13,11,10,8,6,13,- -  -,Unh
29218320,Tyler Williams,D (RC),0.17,9,8,8,11,14,11,13,7,11,11,9,8,11,14,8,5,12,7,12,6,2,8,3,7,3,3,8,1,13,4,6,8,6,1,10,7,1,2,2,1,3,3,2,4,4,3,1,12,11,5,12,12,9,10,11,11,12,- -  -,
29000734,Joe Jacobson,D (LC),0.07,8,9,9,10,14,9,8,8,10,10,12,10,11,11,12,6,17,13,13,15,13,14,19,16,8,8,11,16,12,11,9,10,12,19,11,15,2,3,1,1,2,3,2,1,1,3,1,7,10,7,11,10,4,7,9,8,10,- -  -,
28108038,Tariq Uwakwe,"D/WB (L), M/AM (RLC)",0.11,12,8,11,10,13,13,12,8,6,10,7,10,8,9,14,13,9,9,9,9,10,9,10,10,12,9,9,13,6,12,5,6,12,8,6,12,3,2,4,1,1,1,3,1,2,3,1,14,9,8,7,10,14,11,11,18,20,- -  -,
95037869,Isaac Hutchinson,M/AM (LC),0.37,12,11,10,10,10,12,11,9,6,10,6,8,10,10,13,12,8,13,9,12,11,13,9,10,12,10,12,13,5,10,4,7,11,9,7,12,3,3,1,3,2,1,1,1,3,3,1,9,7,11,6,7,8,13,12,7,14,- -  -,
29221678,Sam Sanders,D (C),0.15,12,11,11,12,12,11,11,12,9,10,11,10,10,9,10,6,12,7,8,9,7,12,5,8,11,7,9,4,9,4,4,9,9,4,10,10,3,3,1,3,1,2,2,1,1,3,3,10,10,5,4,10,4,10,11,15,15,- -  -,
