UID,Name,Position,Tcon/90,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Rec,Inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55041623,João Cancelo,"D/WB (RL), M (RC), AM (R)",0.82,15,15,14,11,16,14,13,11,12,15,12,13,12,15,13,17,7,14,13,13,15,14,12,17,14,11,15,14,10,11,12,10,16,11,13,17,2,3,1,1,3,3,2,2,3,3,3,- -  -,
2002083315,Steven Ngwepe,D/AM (R),0.29,14,13,17,11,14,15,13,12,12,12,19,10,10,9,11,13,13,12,5,18,9,14,7,11,13,7,11,6,13,10,8,7,12,10,13,14,2,2,1,2,1,1,3,2,1,3,2,- -  -,
49046391,Niels Nkounkou,D/WB/AM (L),0.82,15,12,13,10,14,15,14,14,12,9,10,12,12,11,12,13,8,12,11,10,12,12,7,11,13,7,12,7,11,7,12,10,10,6,10,13,1,2,3,2,1,2,3,2,2,3,3,- -  -,
67257950,Víctor Gómez,D/WB (R),0.91,15,14,14,6,13,15,13,12,11,13,12,13,10,14,13,11,10,14,12,13,13,14,12,13,13,5,11,7,9,10,14,10,13,6,10,13,1,1,1,1,2,1,4,1,1,4,1,- -  -,
92079338,Ridle Baku,"D/WB (R), M (RC), AM (R)",0.84,15,15,13,8,18,15,14,13,13,13,15,12,11,14,16,13,8,16,14,16,12,17,7,13,13,11,13,7,7,12,9,12,14,6,13,13,2,3,3,2,2,2,1,3,1,3,2,- -  -,
61043456,Andrew Robertson,D/WB/M (L),0.78,16,15,14,9,18,16,18,12,17,15,15,15,15,16,16,11,15,14,14,16,13,18,14,17,11,5,17,9,10,6,13,15,15,8,15,15,2,1,1,3,1,2,2,2,2,1,1,- -  -,
76058683,Juan David Mosquera,D/WB (R),1.19,14,13,12,12,13,14,13,12,9,12,11,11,12,11,11,6,12,10,12,12,12,13,9,10,10,8,11,4,11,11,13,11,11,7,12,12,3,3,2,2,2,3,2,3,3,2,2,- -  -,
28085794,Connor Randall,"D (RL), WB (R)",0.59,12,11,12,9,12,13,14,12,14,11,14,12,11,12,12,9,12,11,11,14,8,15,6,11,11,6,12,5,11,6,8,11,13,7,12,10,2,2,3,1,2,2,3,1,1,2,2,- -  -,
91175517,David Raum,D/WB/M/AM (L),0.88,15,15,12,10,17,15,15,12,15,14,13,12,14,15,16,13,11,15,12,15,13,16,14,16,11,11,13,12,7,11,14,12,15,9,12,12,1,2,1,2,1,2,3,2,2,2,2,- -  -,Wnt
29217526,Blaine Rowe,D (R),1.40,11,10,10,8,13,12,8,7,14,13,10,10,12,9,13,5,6,8,12,10,8,10,6,11,8,5,11,5,10,2,5,11,9,5,14,6,2,3,1,3,2,2,1,3,1,1,3,- -  -,
78044524,Guillermo Varela,D/WB (R),0.54,10,12,10,7,13,11,12,8,13,15,15,14,14,12,12,11,7,10,15,16,9,16,11,9,9,3,13,8,7,6,12,12,12,8,13,14,3,3,1,3,2,2,2,3,3,1,2,- -  -,
43124221,Pasquale Mazzocchi,"D/WB (RL), M (R)",1.51,15,16,11,7,13,14,14,11,13,13,15,14,13,13,17,12,9,14,12,14,11,16,11,14,14,7,14,8,7,9,8,10,13,6,12,13,1,3,3,1,2,3,2,2,2,1,1,- -  -,Inj
2002090732,Cathal Deans,"D/WB (L), AM (C)",1.10,11,11,11,11,16,10,13,9,9,12,14,13,4,10,11,12,11,8,3,13,10,10,4,5,7,4,10,2,3,2,4,2,11,4,4,13,2,1,3,2,2,2,2,2,1,1,2,- -  -,
67178177,José Gayà,D/WB/M/AM (L),1.48,16,17,14,6,15,15,15,11,12,15,13,13,14,16,16,14,15,16,14,15,14,15,13,14,12,7,15,13,4,10,7,12,15,12,13,16,1,1,2,1,1,2,4,1,2,1,2,- -  -,
67228634,Achraf Hakimi,"D (R), WB (RL), M (R)",0.45,17,16,14,9,17,19,13,11,14,13,12,13,12,13,15,14,9,17,11,12,14,13,7,15,13,13,15,12,8,13,13,11,14,9,13,13,3,2,2,3,1,3,1,1,4,2,3,- -  -,
2002082673,Ismaël Pierre,D/WB/AM (R),0.94,16,18,13,9,15,15,14,9,10,10,14,10,8,12,15,11,9,8,8,11,9,15,6,11,10,3,13,3,9,6,6,9,11,5,7,14,2,2,3,2,2,1,1,1,2,1,2,- -  -,
67268221,Pedro Porro,D/WB/M/AM (R),0.81,15,17,14,7,17,15,15,13,15,14,17,12,13,13,16,17,9,17,11,11,16,13,12,18,16,11,16,14,8,13,12,12,16,12,14,15,3,1,2,3,3,2,1,3,3,1,1,- -  -,
91195878,Luca Netz,D/WB/M (L),0.70,15,14,14,11,15,15,15,14,8,13,13,12,14,13,15,13,9,14,13,13,14,13,14,14,13,9,13,11,7,11,8,13,13,7,12,12,3,2,3,3,3,2,3,4,3,2,3,- -  -,
61066315,Chris Cadden,"D/WB (R), M/AM (RC)",1.24,11,10,11,12,13,13,15,14,12,14,17,13,13,11,11,8,12,12,13,13,13,14,8,14,12,9,8,7,6,7,4,9,13,7,10,13,3,3,2,1,3,3,3,2,3,3,1,- -  -,
2000042591,Keelan Williams,D (R),0.72,14,12,10,5,9,15,12,10,12,9,7,8,13,8,6,9,8,5,11,8,9,8,5,10,2,2,13,2,7,6,9,12,8,4,13,10,2,3,1,4,1,1,2,3,2,2,2,- -  -,
83174775,João Mário,"D/WB/M (R), AM (RL)",0.82,15,17,13,8,14,14,14,9,11,13,12,13,9,11,14,16,7,14,9,9,12,12,10,16,16,10,13,8,8,8,10,8,12,10,9,14,1,3,1,2,2,4,1,2,3,2,2,- -  -,
85045209,Jonathan Clauss,D/WB/M (R),0.61,15,13,11,9,15,15,13,10,14,12,14,12,13,13,15,10,8,13,13,13,13,14,12,16,13,10,14,13,6,12,13,13,15,8,13,14,1,1,1,2,3,1,3,3,1,2,2,- -  -,
24026922,Karlo Bartolec,D/WB/M (R),0.61,12,14,9,8,15,14,14,12,14,13,13,10,12,12,13,11,4,10,11,9,9,14,12,12,10,6,14,11,8,11,17,11,13,6,12,13,2,3,1,1,2,3,2,2,2,3,1,- -  -,Trn
70121604,Rıdvan Yılmaz,D/WB/M (L),0.83,15,15,13,9,15,15,13,8,12,12,14,13,16,12,13,15,9,15,13,13,13,14,6,14,14,9,14,7,10,9,10,11,14,9,12,15,2,3,1,3,1,3,2,4,2,1,1,- -  -,Wnt
