,UID,Name,Position,Av Rat,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp
0,29103700,George Williams,"AM (RLC), ST (C)",6.73,12,12,10,7,15,11,9,8,8,7,6,8,8,8,14,14,8,11,8,9,11,11,11,11,11,10,9,11,7,7,4,5,9,11,5,10,3,1,3,3,3,2,1,2,2,2,1,14,9,8,6,8,14,12,13,12,14
1,28084866,Jake Hesketh,M/AM (RLC),7.01,10,11,7,7,12,10,11,4,16,10,13,11,9,11,11,13,8,10,5,10,12,12,8,11,13,8,12,8,8,9,7,9,13,9,10,13,2,1,3,1,4,2,2,4,3,3,1,13,10,8,7,11,15,12,9,13,7
2,28106392,Tyreke Johnson,"WB/M (L), AM (RL)",6.95,13,11,12,5,12,13,10,6,8,9,10,7,9,7,12,12,8,9,9,11,10,11,10,9,10,5,11,7,8,7,7,10,10,7,8,10,3,1,1,1,3,3,1,2,1,1,1,9,12,5,6,10,6,11,10,12,13
3,29235382,Finlay Lockett,AM (RL),,11,11,10,13,10,11,11,11,7,11,7,10,10,9,10,10,8,10,8,8,8,10,8,9,10,10,11,8,8,8,5,5,11,7,5,11,3,2,1,3,3,1,3,2,3,2,2,12,9,3,5,8,5,12,8,11,15
4,28059820,Bruno Andrade,"M (RL), AM (RLC), ST (C)",6.68,11,12,7,7,11,12,10,6,6,8,1,10,6,6,5,14,1,11,6,3,10,6,11,9,10,8,9,12,7,9,2,8,9,12,7,10,4,3,3,2,1,3,3,1,4,2,2,5,8,16,1,9,8,5,7,9,8
5,28122179,Max Thompson,"AM (RL), ST (C)",6.97,15,11,6,10,11,14,11,7,8,9,8,7,9,9,10,6,4,7,5,10,8,10,9,10,11,8,10,7,7,11,4,6,7,6,5,9,1,2,3,1,1,1,3,1,2,1,1,11,12,6,7,15,6,11,11,15,12
6,93141673,Edwin Andersson,"WB/M/AM (RL), ST (C)",7.01,15,11,9,8,12,13,9,8,7,9,5,11,6,10,12,14,4,9,4,8,12,12,8,11,13,10,11,6,6,7,1,3,10,10,3,13,3,3,1,3,3,1,2,1,2,3,3,15,11,11,6,18,5,13,11,14,13
7,29087049,Ryan Colclough,"M (RL), AM (RLC)",6.9,12,13,12,10,8,11,9,7,9,9,5,7,8,8,9,14,6,11,8,6,11,8,11,11,13,10,9,8,5,10,4,5,11,8,5,11,1,1,2,2,1,1,1,2,3,1,1,15,10,13,4,9,10,8,11,8,11
8,8610922,Liam Feeney,"M (RC), AM (RLC)",6.71,8,11,12,10,11,11,10,8,12,11,9,10,9,10,9,11,12,12,8,13,12,9,12,10,9,8,10,6,5,9,10,7,11,4,6,10,1,1,2,3,1,2,3,3,2,1,4,13,9,9,2,5,6,14,15,11,14
9,29012384,Daniel Powell,M/AM (RL),7.06,13,9,10,11,12,12,11,10,8,11,11,9,7,7,11,13,6,11,9,12,7,14,6,11,11,10,10,6,7,9,10,6,9,9,7,8,2,2,3,1,3,1,1,4,4,1,3,10,11,5,8,10,6,14,12,14,13
