Name,Position,Av Rat,Av Rat.1,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Will Randall,M/AM (RL),7.28,7.28,12.0,10.0,1.0,12.0,13.0,5.0,7.0,12.0,3.0,3.0,1.0,6.0,8.0,10.0,11.0,2.0,12.0,12.0,5.0,1.0,10.0,6.0,3.0,9.0,9.0,1.0,10.0,13.0,11.0,10.0,3.0,13.0,11.0,8.0,11.0,12.0,8.0,10.0,1.0,1.0,11.0,10.0,11.0,13.0,6.0,1.0,- -  -,Wnt,11.0
Jacob Mendy,WB/M/AM (L),7.25,7.25,12.0,9.0,1.0,12.0,10.0,7.0,11.0,12.0,3.0,2.0,4.0,7.0,10.0,9.0,12.0,3.0,10.0,14.0,5.0,6.0,10.0,6.0,3.0,9.0,4.0,3.0,6.0,8.0,9.0,5.0,2.0,13.0,7.0,8.0,12.0,6.0,8.0,10.0,1.0,3.0,4.0,5.0,8.0,14.0,3.0,2.0,- -  -,Lst,11.0
Conor McAleny,"M (L), AM (LC), ST (C)",7.15,7.15,15.0,10.0,1.0,12.0,10.0,5.0,6.0,12.0,1.0,3.0,1.0,6.0,13.0,11.0,10.0,2.0,11.0,9.0,5.0,3.0,11.0,7.0,1.0,7.0,7.0,1.0,9.0,13.0,12.0,11.0,2.0,12.0,12.0,8.0,8.0,8.0,7.0,10.0,1.0,3.0,7.0,12.0,10.0,11.0,8.0,1.0,- -  -,,12.0
Akwasi Asante,"AM (L), ST (C)",7.12,7.12,13.0,9.0,3.0,9.0,11.0,5.0,14.0,10.0,2.0,2.0,2.0,6.0,9.0,9.0,12.0,3.0,11.0,12.0,6.0,7.0,11.0,6.0,2.0,12.0,10.0,3.0,8.0,9.0,11.0,12.0,3.0,10.0,11.0,11.0,7.0,5.0,8.0,11.0,2.0,3.0,10.0,9.0,9.0,8.0,10.0,1.0,- -  -,Wnt,11.0
Beryly Lubala,"M (RL), AM (RLC)",7.11,7.11,10.0,10.0,3.0,10.0,8.0,5.0,10.0,12.0,2.0,1.0,3.0,9.0,8.0,10.0,13.0,2.0,12.0,13.0,5.0,6.0,12.0,8.0,3.0,8.0,10.0,2.0,12.0,12.0,11.0,11.0,1.0,12.0,5.0,9.0,11.0,9.0,9.0,12.0,1.0,3.0,11.0,10.0,11.0,12.0,8.0,3.0,- -  -,Wnt,13.0
Daniel Powell,M/AM (RL),7.09,7.09,14.0,7.0,1.0,8.0,12.0,7.0,11.0,12.0,3.0,1.0,3.0,9.0,9.0,9.0,12.0,1.0,11.0,12.0,6.0,10.0,9.0,6.0,1.0,11.0,7.0,3.0,6.0,13.0,10.0,10.0,2.0,11.0,11.0,7.0,11.0,6.0,7.0,9.0,3.0,2.0,11.0,10.0,11.0,9.0,8.0,3.0,- -  -,,12.0
Justin Amaluzor,"M/AM (RL), ST (C)",7.08,7.08,9.0,8.0,3.0,9.0,8.0,6.0,12.0,11.0,1.0,3.0,2.0,5.0,7.0,8.0,14.0,2.0,8.0,12.0,7.0,6.0,5.0,5.0,1.0,11.0,7.0,3.0,6.0,9.0,8.0,8.0,2.0,13.0,13.0,5.0,9.0,7.0,8.0,7.0,1.0,2.0,12.0,10.0,8.0,13.0,10.0,3.0,- -  -,,14.0
Alex Reid,"AM (L), ST (C)",7.08,7.08,9.0,8.0,2.0,10.0,8.0,3.0,10.0,12.0,2.0,2.0,3.0,5.0,9.0,9.0,13.0,2.0,11.0,13.0,4.0,4.0,8.0,5.0,2.0,11.0,11.0,1.0,5.0,11.0,9.0,11.0,3.0,9.0,10.0,9.0,7.0,5.0,10.0,10.0,1.0,1.0,9.0,10.0,9.0,11.0,9.0,3.0,- -  -,Wnt,13.0
Mitch Pinnock,"M (RL), AM (RLC)",7.07,7.07,8.0,10.0,3.0,13.0,8.0,7.0,12.0,12.0,1.0,3.0,1.0,8.0,10.0,12.0,12.0,1.0,10.0,10.0,7.0,15.0,15.0,5.0,1.0,12.0,10.0,2.0,15.0,13.0,13.0,15.0,3.0,12.0,10.0,8.0,13.0,15.0,10.0,12.0,3.0,3.0,6.0,10.0,10.0,10.0,8.0,1.0,- -  -,,12.0
James Balagizi,"M (C), AM (LC)",7.06,7.06,11.0,12.0,3.0,14.0,9.0,7.0,11.0,10.0,2.0,1.0,3.0,7.0,9.0,13.0,12.0,3.0,12.0,12.0,7.0,8.0,8.0,7.0,1.0,10.0,11.0,1.0,10.0,12.0,13.0,9.0,3.0,13.0,11.0,9.0,11.0,8.0,8.0,13.0,1.0,2.0,8.0,12.0,11.0,13.0,11.0,2.0,- -  -,,13.0
