Name,Position,Av Rat,Av Rat.1,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Max Dyche,D (RLC),7.23,7.23,10.0,8.0,1.0,1.0,8.0,12.0,13.0,10.0,1.0,3.0,4.0,15.0,4.0,7.0,4.0,1.0,7.0,14.0,12.0,10.0,1.0,15.0,3.0,14.0,15.0,1.0,2.0,6.0,7.0,1.0,2.0,5.0,13.0,12.0,1.0,4.0,12.0,6.0,3.0,1.0,11.0,6.0,6.0,6.0,13.0,3.0,- -  -,,4.0
Luke Reeve,D (C),7.20,7.20,5.0,3.0,1.0,4.0,4.0,13.0,8.0,5.0,1.0,3.0,3.0,11.0,1.0,5.0,7.0,3.0,2.0,9.0,12.0,1.0,4.0,10.0,3.0,12.0,13.0,3.0,3.0,5.0,2.0,1.0,3.0,1.0,6.0,12.0,1.0,2.0,6.0,3.0,2.0,3.0,7.0,5.0,5.0,8.0,9.0,2.0,- -  -,U18,6.0
Bogdan Marian,GK,7.20,7.20,6.0,6.0,6.0,6.0,5.0,2.0,7.0,4.0,11.0,9.0,10.0,11.0,3.0,8.0,12.0,4.0,2.0,13.0,5.0,3.0,1.0,10.0,6.0,7.0,2.0,8.0,6.0,3.0,5.0,2.0,5.0,2.0,11.0,14.0,1.0,3.0,6.0,7.0,6.0,8.0,11.0,8.0,6.0,7.0,12.0,4.0,- -  -,,12.0
Max Cleworth,D (RC),7.17,7.17,14.0,9.0,1.0,9.0,11.0,8.0,9.0,11.0,2.0,3.0,2.0,12.0,6.0,9.0,11.0,3.0,8.0,11.0,9.0,9.0,5.0,6.0,3.0,13.0,8.0,2.0,5.0,8.0,9.0,6.0,4.0,12.0,12.0,11.0,8.0,5.0,8.0,12.0,3.0,3.0,8.0,9.0,10.0,12.0,6.0,2.0,- -  -,Loa,11.0
Paul Huntington,D (C),7.08,7.08,13.0,6.0,2.0,10.0,15.0,14.0,13.0,10.0,3.0,3.0,1.0,13.0,6.0,10.0,8.0,2.0,8.0,11.0,13.0,6.0,4.0,14.0,1.0,14.0,15.0,2.0,5.0,6.0,11.0,8.0,1.0,7.0,16.0,11.0,8.0,3.0,12.0,11.0,2.0,1.0,15.0,11.0,12.0,8.0,11.0,3.0,- -  -,Rst,7.0
Ben Hammond,D (C),7.04,7.04,12.0,8.0,3.0,9.0,11.0,10.0,11.0,12.0,1.0,2.0,3.0,12.0,6.0,10.0,12.0,3.0,8.0,11.0,10.0,7.0,5.0,10.0,1.0,12.0,13.0,1.0,7.0,5.0,8.0,4.0,1.0,4.0,10.0,11.0,4.0,5.0,12.0,9.0,2.0,1.0,9.0,12.0,8.0,13.0,7.0,2.0,- -  -,,10.0
Jordan Tunnicliffe,D (C),7.03,7.03,12.0,7.0,1.0,10.0,11.0,13.0,13.0,10.0,2.0,4.0,1.0,12.0,5.0,8.0,8.0,2.0,9.0,12.0,13.0,3.0,4.0,12.0,3.0,13.0,15.0,4.0,3.0,6.0,8.0,6.0,1.0,8.0,11.0,11.0,5.0,4.0,10.0,10.0,1.0,3.0,11.0,10.0,11.0,9.0,13.0,2.0,- -  -,,9.0
Phil Jagielka,D (C),7.02,7.02,8.0,8.0,3.0,9.0,14.0,14.0,13.0,9.0,3.0,2.0,1.0,15.0,8.0,10.0,3.0,1.0,8.0,13.0,13.0,9.0,3.0,14.0,2.0,12.0,15.0,3.0,5.0,5.0,11.0,6.0,1.0,4.0,16.0,16.0,6.0,5.0,11.0,13.0,3.0,3.0,16.0,11.0,14.0,6.0,10.0,3.0,- -  -,,6.0
Theo Vassell,"D (RC), DM",7.01,7.01,15.0,10.0,2.0,9.0,13.0,12.0,13.0,12.0,1.0,1.0,1.0,10.0,6.0,8.0,13.0,1.0,7.0,11.0,9.0,9.0,6.0,9.0,1.0,10.0,10.0,2.0,5.0,6.0,9.0,6.0,3.0,8.0,13.0,11.0,7.0,4.0,9.0,9.0,2.0,2.0,12.0,11.0,9.0,10.0,11.0,1.0,- -  -,,12.0
Daniel Boateng,D (RC),7.01,7.01,11.0,4.0,3.0,8.0,12.0,10.0,13.0,11.0,1.0,1.0,1.0,9.0,7.0,9.0,10.0,3.0,5.0,12.0,11.0,9.0,6.0,7.0,1.0,12.0,10.0,2.0,5.0,5.0,7.0,6.0,3.0,5.0,13.0,8.0,5.0,4.0,10.0,11.0,3.0,1.0,14.0,11.0,9.0,8.0,14.0,1.0,- -  -,,9.0
Luke Wilkinson,D (C),7.00,7.00,13.0,9.0,1.0,9.0,14.0,13.0,12.0,12.0,1.0,13.0,2.0,12.0,9.0,9.0,9.0,3.0,8.0,12.0,12.0,8.0,8.0,12.0,3.0,13.0,12.0,10.0,12.0,5.0,8.0,8.0,3.0,9.0,15.0,10.0,6.0,2.0,11.0,11.0,15.0,3.0,14.0,10.0,11.0,8.0,13.0,14.0,- -  -,,9.0
Rory McArdle,D (C),7.00,7.00,15.0,9.0,3.0,6.0,15.0,15.0,13.0,11.0,2.0,1.0,3.0,13.0,3.0,9.0,4.0,3.0,7.0,17.0,12.0,7.0,2.0,16.0,3.0,14.0,14.0,1.0,3.0,3.0,7.0,4.0,2.0,3.0,15.0,12.0,6.0,4.0,11.0,10.0,3.0,2.0,17.0,12.0,12.0,4.0,14.0,2.0,- -  -,Opt,4.0
Geraldo Bajrami,"D (C), DM",6.99,6.99,11.0,8.0,2.0,10.0,12.0,12.0,11.0,9.0,1.0,3.0,4.0,13.0,5.0,13.0,11.0,2.0,9.0,10.0,12.0,4.0,4.0,13.0,1.0,12.0,12.0,3.0,5.0,6.0,9.0,5.0,1.0,8.0,14.0,11.0,6.0,5.0,11.0,13.0,4.0,2.0,14.0,10.0,11.0,9.0,9.0,1.0,- -  -,Wnt,10.0
Paul Downing,D (C),6.99,6.99,12.0,5.0,2.0,10.0,13.0,12.0,11.0,11.0,3.0,1.0,2.0,12.0,7.0,8.0,10.0,2.0,8.0,12.0,12.0,7.0,4.0,11.0,2.0,13.0,13.0,2.0,4.0,3.0,9.0,6.0,1.0,3.0,10.0,12.0,5.0,4.0,11.0,12.0,3.0,1.0,13.0,11.0,12.0,9.0,8.0,1.0,- -  -,,9.0
Robbie McKenzie,"D (RLC), DM, M (C)",6.98,6.98,15.0,9.0,2.0,10.0,12.0,13.0,9.0,12.0,3.0,3.0,1.0,11.0,12.0,12.0,11.0,3.0,10.0,13.0,13.0,13.0,10.0,9.0,1.0,11.0,13.0,1.0,8.0,6.0,11.0,9.0,3.0,9.0,10.0,8.0,10.0,8.0,11.0,10.0,3.0,2.0,12.0,12.0,11.0,10.0,12.0,2.0,- -  -,,11.0
Sean Morrison,D (C),6.97,6.97,11.0,9.0,1.0,10.0,14.0,15.0,13.0,11.0,2.0,3.0,2.0,12.0,7.0,10.0,9.0,3.0,8.0,10.0,13.0,15.0,6.0,17.0,1.0,14.0,15.0,1.0,6.0,5.0,11.0,7.0,1.0,6.0,16.0,12.0,4.0,6.0,11.0,11.0,2.0,1.0,18.0,11.0,12.0,9.0,13.0,2.0,- -  -,,8.0
Femi Ilesanmi,"D (LC), WB (L)",6.97,6.97,14.0,7.0,3.0,3.0,11.0,13.0,15.0,12.0,3.0,3.0,3.0,10.0,8.0,8.0,11.0,3.0,9.0,11.0,7.0,7.0,8.0,6.0,2.0,10.0,11.0,2.0,4.0,5.0,11.0,4.0,3.0,11.0,14.0,9.0,10.0,3.0,8.0,10.0,3.0,3.0,11.0,12.0,10.0,11.0,15.0,1.0,- -  -,,10.0
