Name,Position,Av Rat,Av Rat.1,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Teddy Jenks,"DM, M/AM (C)",7.07,7.07,16,12,3,12,14,8,11,14,1,2,2,9,10,12,13,3,11,15,9,7,9,12,3,14,9,2,7,9,9,10,2,11,14,9,7,7,13,12,1,2,13,11,10,9,11,2,- -  -,Wnt,14
Geraldo Bajrami,"D (C), DM",6.99,6.99,11,8,2,10,12,12,11,9,1,3,4,13,5,13,11,2,9,10,12,4,4,13,1,12,12,3,5,6,9,5,1,8,14,11,6,5,11,13,4,2,14,10,11,9,9,1,- -  -,Wnt,10
Louis Reed,"DM, M (C)",6.99,6.99,13,13,1,13,11,12,7,12,1,3,2,12,10,12,10,2,10,11,10,3,11,10,1,6,8,1,11,7,13,8,3,12,14,10,10,10,12,13,1,2,8,12,11,12,7,3,- -  -,Wnt,11
Manny Oyeleke,"DM, M (C)",6.98,6.98,13,10,2,10,12,11,13,11,2,2,1,11,8,12,8,2,10,6,9,7,11,9,1,9,8,1,7,10,10,8,1,10,13,11,7,6,9,12,3,2,12,10,9,9,13,3,- -  -,Frt,9
Robbie McKenzie,"D (RLC), DM, M (C)",6.98,6.98,15,9,2,10,12,13,9,12,3,3,1,11,12,12,11,3,10,13,13,13,10,9,1,11,13,1,8,6,11,9,3,9,10,8,10,8,11,10,3,2,12,12,11,10,12,2,- -  -,,11
Owen Moxon,"DM, M (C)",6.97,6.97,16,11,3,10,12,11,11,16,1,4,2,10,7,11,9,1,9,12,9,5,10,10,3,12,10,2,11,8,12,6,2,9,13,10,10,11,8,7,1,2,9,10,9,11,12,2,- -  -,,10
Conor Thomas,"DM, M (C)",6.96,6.96,12,12,3,12,12,11,12,13,2,2,1,12,16,12,10,3,10,12,10,1,7,8,3,11,5,1,6,8,11,8,2,8,11,11,10,7,11,12,3,3,5,11,12,10,8,3,- -  -,Inj,11
Nicky Featherstone,"DM, M (C)",6.96,6.96,14,12,1,13,14,11,10,13,1,2,2,10,13,13,9,2,10,12,10,6,8,12,1,7,8,1,9,10,10,9,3,8,11,10,12,9,10,14,1,3,7,9,11,8,9,1,- -  -,Req,8
Liam Kinsella,"D/WB (R), DM, M (C)",6.93,6.93,19,8,1,9,15,10,10,15,3,1,1,10,9,11,10,3,12,12,10,4,6,11,1,10,8,1,8,10,11,9,1,9,17,9,9,8,11,10,4,3,11,11,9,9,14,2,- -  -,,11
Thomas O'Connor,"DM, M (C)",6.93,6.93,14,9,3,11,13,12,11,14,1,2,1,12,4,11,11,3,10,14,12,8,11,10,3,9,9,1,11,7,11,9,1,8,11,10,14,14,10,11,4,1,9,11,11,11,13,3,- -  -,,12
Dan Pybus,"DM, M (C)",6.92,6.92,19,6,3,11,16,10,9,16,2,1,3,12,7,11,10,4,8,18,10,6,5,10,1,7,7,1,4,5,11,8,4,6,20,10,5,5,11,10,3,3,11,11,10,13,12,2,- -  -,,10
Shaun Williams,"D (C), DM, M (C)",6.92,6.92,13,12,1,14,14,12,9,10,1,2,2,14,14,11,6,3,11,12,12,5,11,13,3,11,10,1,13,7,12,10,2,9,14,11,9,15,13,12,2,2,11,9,12,6,10,2,- -  -,Opt,6
Callum Rowe,"WB (L), DM, M (LC)",6.92,6.92,11,11,3,12,11,11,9,13,1,1,4,10,4,12,12,2,10,13,9,8,5,8,3,10,7,1,3,10,10,8,3,8,14,11,11,7,10,10,1,2,10,10,12,12,9,1,- -  -,Inj,13
Alfie Bendle,"DM, M/AM (C)",6.92,6.92,14,13,1,9,13,10,7,12,1,2,2,8,7,13,11,3,10,11,9,4,8,5,3,8,6,3,6,9,8,7,3,8,13,10,7,5,12,11,3,3,12,13,9,10,6,3,- -  -,,11
Tom Sparrow,"D/WB (R), DM, M (C)",6.92,6.92,9,10,1,8,8,13,5,12,2,4,2,12,2,14,14,1,6,14,9,2,7,7,1,5,5,3,6,6,13,1,3,6,14,13,8,6,7,9,2,1,5,8,9,13,6,2,- -  -,,14
Wesley Fonguck,"DM, M (C)",6.92,6.92,13,12,1,10,12,7,8,9,2,1,2,11,5,11,10,2,8,9,8,5,5,6,3,13,6,3,5,6,9,5,2,9,13,9,5,4,9,10,2,3,12,13,10,12,12,2,- -  -,Ask,11
Craig Clay,"DM, M (C)",6.92,6.92,14,10,3,11,15,12,10,14,1,3,3,9,8,12,10,2,9,14,9,5,5,13,2,9,8,4,7,4,12,4,1,7,14,11,6,6,10,10,2,4,15,12,9,12,12,1,- -  -,,11
Harry Taylor,"D (R), DM, M (C)",6.92,6.92,14,6,2,10,15,14,12,12,2,1,2,12,4,9,10,2,5,13,11,3,3,10,2,13,10,3,4,3,8,3,1,7,11,10,6,2,11,8,2,1,13,12,9,8,11,2,- -  -,Lst,9
Stuart O'Keefe,"DM, M (C)",6.91,6.91,16,9,1,10,16,13,11,15,3,1,2,10,10,10,9,2,9,13,12,8,10,11,1,7,10,2,9,9,10,8,2,7,10,9,8,9,10,9,1,1,15,12,9,9,18,1,- -  -,,9
Jordan Keane,"D (C), DM, M (C)",6.91,6.91,13,8,2,9,13,11,12,11,1,3,2,10,5,10,10,1,9,12,10,7,8,10,3,12,11,3,5,8,10,5,2,7,14,9,8,5,9,10,2,3,12,11,9,10,12,1,- -  -,,9
Jack Roles,"DM, M/AM (C)",6.90,6.90,13,9,2,12,12,8,11,12,3,2,1,10,9,11,11,3,13,15,8,4,12,8,3,6,8,2,9,10,11,13,3,11,11,11,8,9,10,12,1,2,9,9,12,11,8,2,- -  -,Wnt,11
Elliot Watt,"DM, M (C)",6.90,6.90,14,13,2,13,16,11,12,13,3,2,1,10,10,14,8,1,9,14,7,5,10,12,2,8,6,1,11,8,13,6,1,10,13,11,10,11,11,14,3,2,12,12,13,10,14,1,- -  -,Wnt,7
Matt Robinson,"DM, M (C)",6.89,6.89,13,11,3,12,13,9,12,14,3,3,3,10,7,10,10,3,9,13,8,5,9,12,2,11,9,3,8,8,11,10,3,9,10,12,8,7,10,10,2,1,11,11,11,10,9,1,- -  -,Wnt,10
Charlie Colkett,"DM, M/AM (C)",6.89,6.89,11,13,1,12,12,9,8,11,3,3,3,10,8,13,12,1,9,12,8,7,11,9,4,10,7,2,9,14,12,11,1,12,12,13,12,12,12,12,3,3,9,11,12,11,13,3,- -  -,Wnt,11
Matty Palmer,"DM, M (C)",6.89,6.89,10,12,2,12,13,9,8,13,2,1,2,9,7,12,9,1,12,14,8,5,11,8,1,8,7,2,12,12,13,8,1,10,10,11,11,12,9,12,2,2,11,9,10,11,9,3,- -  -,,10
Ben Close,"DM, M (C)",6.89,6.89,14,13,3,11,13,11,12,13,2,3,3,13,8,13,8,3,10,13,10,5,13,11,1,11,9,1,9,7,12,10,1,9,14,12,8,8,11,13,2,3,10,11,13,10,12,3,- -  -,Wnt,9
Jack Jenkins,"DM, M (C)",6.88,6.88,16,12,1,11,11,10,9,14,2,3,2,10,6,12,10,1,8,13,10,2,11,8,1,7,7,1,5,8,12,8,1,9,13,10,7,6,11,12,4,1,8,12,10,12,13,3,- -  -,,11
Scot Bennett,"D (C), DM, M (C)",6.88,6.88,14,12,2,9,11,11,11,11,3,1,3,12,4,10,8,3,9,14,11,9,5,11,1,10,12,2,5,5,9,6,3,8,12,10,5,4,11,12,1,1,14,11,10,10,9,3,- -  -,,9
Cole Skuse,"DM, M (C)",6.88,6.88,13,7,3,12,13,11,9,12,1,3,1,15,10,12,6,2,8,18,12,8,4,15,3,12,11,2,6,4,12,4,1,7,14,13,8,8,12,13,3,2,13,9,14,8,10,2,- -  -,,7
Jake Garrett,"D (C), DM, M (C)",6.87,6.87,15,8,2,11,14,16,12,12,4,2,3,11,5,11,11,2,9,11,11,5,5,11,1,10,6,2,5,7,10,6,1,10,12,12,6,5,10,9,2,3,16,11,11,11,15,1,- -  -,,12
Aaron Henry,"DM, M (C)",6.86,6.86,9,12,3,11,14,8,5,9,1,3,3,9,10,11,10,3,9,15,8,5,12,11,1,5,6,3,14,5,14,7,1,3,13,14,9,8,10,12,1,3,9,14,8,11,13,2,- -  -,,10
Robbie Gotts,"DM, M (C), AM (RC)",6.86,6.86,18,10,3,11,13,8,6,15,3,3,2,7,5,10,11,2,11,14,6,6,6,9,1,5,5,2,5,11,12,7,2,10,17,10,9,7,9,11,3,2,12,10,11,12,13,3,- -  -,,11
Joe Partington,"D (RC), DM, M (C)",6.86,6.86,13,9,1,8,13,10,10,10,3,3,1,12,4,11,8,3,8,12,10,6,6,14,3,14,10,2,6,7,11,5,2,8,15,9,11,4,9,12,3,2,12,11,11,9,11,1,- -  -,,8
Harry Pell,"DM, M/AM (C)",6.86,6.86,16,11,1,9,14,12,11,14,2,1,3,10,12,9,8,3,12,13,9,10,11,14,2,16,11,2,11,6,10,11,2,8,13,10,8,8,12,10,2,1,15,11,11,8,16,2,- -  -,,10
Barry Baggley,"DM, M (C)",6.85,6.85,14,9,1,12,11,7,13,12,2,1,1,9,5,11,13,2,10,13,5,6,8,7,2,6,6,1,10,9,9,7,3,8,13,8,7,7,11,9,1,3,11,11,9,11,6,2,- -  -,,11
Charlie Finney,"DM, M (C)",6.84,6.84,10,11,3,15,10,8,7,13,3,3,1,9,6,10,12,3,12,15,7,6,8,9,1,7,6,1,9,6,12,6,3,9,6,9,10,6,9,12,3,2,4,16,10,10,11,1,- -  -,,11
Mauro Bandeira,"DM, M/AM (C)",6.84,6.84,15,12,1,11,16,10,10,11,3,1,3,9,4,11,12,1,10,16,6,2,13,12,1,15,10,2,9,12,14,12,2,11,18,8,10,9,9,10,3,4,9,9,13,9,14,3,- -  -,,12
Tim Akinola,"DM, M (C)",6.83,6.83,15,9,2,10,14,13,13,14,2,3,3,9,8,12,13,1,11,13,8,4,8,10,1,8,6,2,10,11,11,10,2,11,13,10,8,10,9,10,1,2,15,11,9,13,14,1,- -  -,,13
Josh Tobin,"D (C), DM, M (C)",6.83,6.83,14,12,2,10,12,13,10,12,1,1,3,12,4,8,12,3,8,15,10,7,5,18,2,10,9,2,9,7,8,6,3,6,17,8,9,6,8,9,2,1,17,11,12,10,15,3,- -  -,,14
