Name,Position,Av Rat,Av Rat.1,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Max Cleworth,D (RC),7.17,7.17,14.0,9.0,1.0,9.0,11.0,8.0,9.0,11.0,2.0,3.0,2.0,12.0,6.0,9.0,11.0,3.0,8.0,11.0,9.0,9.0,5.0,6.0,3.0,13.0,8.0,2.0,5.0,8.0,9.0,6.0,4.0,12.0,12.0,11.0,8.0,5.0,8.0,12.0,3.0,3.0,8.0,9.0,10.0,12.0,6.0,2.0,- -  -,Loa,11.0
Gaëtan Bong,D (LC),7.15,7.15,13.0,7.0,3.0,9.0,15.0,14.0,13.0,13.0,3.0,1.0,3.0,15.0,6.0,9.0,11.0,2.0,8.0,12.0,13.0,14.0,7.0,8.0,2.0,12.0,12.0,2.0,6.0,5.0,10.0,6.0,3.0,7.0,14.0,11.0,7.0,7.0,13.0,10.0,1.0,3.0,13.0,12.0,13.0,12.0,11.0,2.0,- -  -,,11.0
Andrew Fox,"D (LC), WB (L)",7.12,7.12,12.0,8.0,1.0,11.0,12.0,12.0,13.0,13.0,3.0,2.0,3.0,10.0,4.0,10.0,11.0,2.0,10.0,12.0,11.0,6.0,6.0,7.0,3.0,11.0,11.0,2.0,10.0,6.0,10.0,5.0,1.0,9.0,9.0,8.0,10.0,8.0,12.0,10.0,4.0,3.0,8.0,9.0,10.0,10.0,10.0,1.0,- -  -,,11.0
Kelvin Abrefa,"D (RC), WB (R)",7.11,7.11,14.0,7.0,2.0,10.0,10.0,10.0,12.0,14.0,3.0,1.0,2.0,8.0,9.0,9.0,12.0,1.0,9.0,16.0,10.0,12.0,9.0,7.0,1.0,15.0,10.0,3.0,6.0,9.0,11.0,9.0,2.0,9.0,18.0,8.0,8.0,9.0,9.0,10.0,3.0,3.0,13.0,11.0,9.0,9.0,10.0,4.0,- -  -,,14.0
James Morris,D (L),7.10,7.10,12.0,9.0,1.0,9.0,10.0,11.0,7.0,12.0,2.0,3.0,3.0,7.0,2.0,8.0,14.0,3.0,7.0,9.0,7.0,6.0,2.0,12.0,4.0,12.0,10.0,3.0,6.0,5.0,7.0,4.0,3.0,7.0,8.0,8.0,12.0,8.0,10.0,8.0,4.0,1.0,10.0,9.0,10.0,10.0,13.0,1.0,- -  -,,15.0
Myles Kenlock,D/WB (L),7.10,7.10,13.0,9.0,1.0,10.0,11.0,12.0,11.0,12.0,1.0,2.0,2.0,11.0,6.0,10.0,12.0,2.0,9.0,12.0,11.0,11.0,8.0,7.0,1.0,12.0,10.0,3.0,9.0,12.0,9.0,6.0,3.0,8.0,12.0,9.0,9.0,8.0,11.0,10.0,3.0,1.0,11.0,11.0,10.0,11.0,8.0,2.0,- -  -,,12.0
Sam Paul,"D (RL), WB (R)",7.04,7.04,13.0,7.0,3.0,10.0,10.0,9.0,7.0,10.0,1.0,3.0,2.0,12.0,6.0,15.0,11.0,3.0,9.0,15.0,7.0,8.0,2.0,7.0,2.0,7.0,10.0,3.0,2.0,8.0,11.0,7.0,1.0,9.0,13.0,14.0,9.0,5.0,11.0,12.0,3.0,3.0,10.0,11.0,11.0,11.0,11.0,1.0,- -  -,Inj,13.0
Kane Smith,D/WB (R),7.03,7.03,13.0,11.0,1.0,10.0,10.0,12.0,11.0,8.0,3.0,3.0,3.0,10.0,5.0,7.0,14.0,3.0,15.0,16.0,9.0,5.0,10.0,7.0,1.0,7.0,11.0,2.0,10.0,11.0,9.0,6.0,3.0,12.0,16.0,8.0,14.0,5.0,12.0,8.0,1.0,3.0,10.0,8.0,11.0,10.0,6.0,1.0,- -  -,Inj,13.0
Kelvin Mellor,D/WB (R),7.02,7.02,14.0,8.0,2.0,10.0,14.0,12.0,10.0,10.0,2.0,1.0,2.0,11.0,5.0,12.0,11.0,2.0,9.0,11.0,8.0,13.0,8.0,6.0,3.0,11.0,11.0,3.0,4.0,11.0,10.0,8.0,2.0,11.0,9.0,9.0,10.0,4.0,11.0,11.0,3.0,1.0,8.0,9.0,11.0,11.0,9.0,2.0,- -  -,Opt,10.0
Daniel Boateng,D (RC),7.01,7.01,11.0,4.0,3.0,8.0,12.0,10.0,13.0,11.0,1.0,1.0,1.0,9.0,7.0,9.0,10.0,3.0,5.0,12.0,11.0,9.0,6.0,7.0,1.0,12.0,10.0,2.0,5.0,5.0,7.0,6.0,3.0,5.0,13.0,8.0,5.0,4.0,10.0,11.0,3.0,1.0,14.0,11.0,9.0,8.0,14.0,1.0,- -  -,,9.0
