Name,Position,Av Rat,Av Rat.1,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Leandro Bacuna,"WB (R), DM, M (RC)",6.87,6.87,9.0,12.0,1.0,11.0,12.0,11.0,13.0,13.0,2.0,2.0,3.0,11.0,13.0,11.0,12.0,3.0,11.0,14.0,8.0,12.0,11.0,10.0,2.0,11.0,9.0,2.0,10.0,6.0,11.0,7.0,1.0,10.0,14.0,11.0,12.0,12.0,9.0,9.0,2.0,2.0,12.0,10.0,12.0,13.0,14.0,1.0,- -  -,,13.0
Freddie Bell,"DM, M (C)",-,-,9.0,9.0,2.0,11.0,10.0,9.0,6.0,12.0,4.0,1.0,3.0,8.0,6.0,14.0,5.0,3.0,9.0,16.0,7.0,2.0,9.0,3.0,2.0,9.0,7.0,2.0,3.0,6.0,10.0,9.0,3.0,8.0,13.0,15.0,5.0,4.0,10.0,14.0,1.0,2.0,9.0,11.0,10.0,6.0,6.0,3.0,- -  -,,5.0
Jonny Williams,"M (LC), AM (RLC)",6.90,6.90,11.0,12.0,3.0,13.0,12.0,6.0,6.0,10.0,1.0,1.0,2.0,7.0,10.0,13.0,11.0,2.0,11.0,12.0,6.0,4.0,9.0,11.0,1.0,6.0,7.0,1.0,10.0,13.0,13.0,9.0,3.0,13.0,11.0,13.0,10.0,11.0,12.0,12.0,2.0,2.0,12.0,12.0,13.0,12.0,6.0,1.0,- -  -,,10.0
Jack Roles,"DM, M/AM (C)",6.90,6.90,13.0,9.0,2.0,12.0,12.0,8.0,11.0,12.0,3.0,2.0,1.0,10.0,9.0,11.0,11.0,3.0,13.0,15.0,8.0,4.0,12.0,8.0,3.0,6.0,8.0,2.0,9.0,10.0,11.0,13.0,3.0,11.0,11.0,11.0,8.0,9.0,10.0,12.0,1.0,2.0,9.0,9.0,12.0,11.0,8.0,2.0,- -  -,Wnt,11.0
Teddy Jenks,"DM, M/AM (C)",7.07,7.07,16.0,12.0,3.0,12.0,14.0,8.0,11.0,14.0,1.0,2.0,2.0,9.0,10.0,12.0,13.0,3.0,11.0,15.0,9.0,7.0,9.0,12.0,3.0,14.0,9.0,2.0,7.0,9.0,9.0,10.0,2.0,11.0,14.0,9.0,7.0,7.0,13.0,12.0,1.0,2.0,13.0,11.0,10.0,9.0,11.0,2.0,- -  -,Wnt,14.0
James Sweet,"D/WB (R), DM, M (RC)",6.75,6.75,13.0,14.0,2.0,13.0,13.0,9.0,8.0,11.0,2.0,2.0,4.0,10.0,6.0,12.0,11.0,2.0,8.0,8.0,9.0,10.0,7.0,7.0,1.0,11.0,7.0,2.0,10.0,12.0,11.0,7.0,3.0,9.0,13.0,8.0,10.0,10.0,9.0,10.0,1.0,2.0,11.0,10.0,10.0,13.0,8.0,1.0,- -  -,,12.0
John Bostock,"DM, M (C)",6.63,6.63,9.0,13.0,4.0,12.0,8.0,6.0,12.0,10.0,1.0,3.0,3.0,11.0,13.0,13.0,10.0,1.0,10.0,11.0,4.0,5.0,12.0,12.0,2.0,8.0,7.0,2.0,10.0,10.0,12.0,7.0,2.0,11.0,9.0,10.0,10.0,9.0,10.0,12.0,4.0,3.0,9.0,13.0,11.0,10.0,8.0,3.0,- -  -,,9.0
Micah Hamilton,"M (C), AM (RLC)",7.02,7.02,12.0,13.0,1.0,12.0,8.0,7.0,12.0,9.0,3.0,2.0,1.0,11.0,2.0,12.0,13.0,2.0,11.0,13.0,6.0,4.0,7.0,3.0,1.0,5.0,7.0,2.0,3.0,14.0,12.0,11.0,2.0,11.0,12.0,14.0,10.0,6.0,5.0,12.0,1.0,1.0,5.0,13.0,9.0,12.0,12.0,2.0,- -  -,,14.0
Jack Jenkins,"DM, M (C)",6.88,6.88,16.0,12.0,1.0,11.0,11.0,10.0,9.0,14.0,2.0,3.0,2.0,10.0,6.0,12.0,10.0,1.0,8.0,13.0,10.0,2.0,11.0,8.0,1.0,7.0,7.0,1.0,5.0,8.0,12.0,8.0,1.0,9.0,13.0,10.0,7.0,6.0,11.0,12.0,4.0,1.0,8.0,12.0,10.0,12.0,13.0,3.0,- -  -,,11.0
Liam Kelly,"DM, M/AM (C)",6.70,6.70,13.0,12.0,1.0,10.0,11.0,6.0,7.0,13.0,3.0,4.0,3.0,9.0,13.0,11.0,11.0,1.0,14.0,15.0,8.0,6.0,11.0,13.0,2.0,5.0,5.0,1.0,13.0,10.0,10.0,10.0,1.0,9.0,11.0,9.0,10.0,12.0,11.0,12.0,2.0,1.0,12.0,13.0,13.0,12.0,11.0,1.0,- -  -,Trn,12.0
Antoni Sarcevic,"DM, M/AM (C)",7.09,7.09,14.0,12.0,1.0,12.0,12.0,10.0,13.0,13.0,1.0,1.0,3.0,11.0,14.0,12.0,9.0,2.0,12.0,14.0,9.0,6.0,11.0,13.0,1.0,11.0,9.0,3.0,9.0,12.0,12.0,11.0,3.0,11.0,15.0,11.0,9.0,10.0,11.0,12.0,3.0,3.0,13.0,13.0,12.0,10.0,13.0,2.0,- -  -,,10.0
