Name,Position,Av Rat,Av Rat.1,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Max Fisher,ST (C),7.40,7.40,4.0,2.0,3.0,6.0,3.0,3.0,5.0,1.0,1.0,1.0,3.0,1.0,7.0,3.0,7.0,4.0,11.0,12.0,1.0,3.0,4.0,2.0,3.0,9.0,11.0,2.0,3.0,7.0,8.0,12.0,2.0,7.0,9.0,10.0,1.0,1.0,3.0,13.0,2.0,1.0,5.0,4.0,8.0,8.0,5.0,3.0,- -  -,,12.0
Conor McAleny,"M (L), AM (LC), ST (C)",7.15,7.15,15.0,10.0,1.0,12.0,10.0,5.0,6.0,12.0,1.0,3.0,1.0,6.0,13.0,11.0,10.0,2.0,11.0,9.0,5.0,3.0,11.0,7.0,1.0,7.0,7.0,1.0,9.0,13.0,12.0,11.0,2.0,12.0,12.0,8.0,8.0,8.0,7.0,10.0,1.0,3.0,7.0,12.0,10.0,11.0,8.0,1.0,- -  -,,12.0
Akwasi Asante,"AM (L), ST (C)",7.12,7.12,13.0,9.0,3.0,9.0,11.0,5.0,14.0,10.0,2.0,2.0,2.0,6.0,9.0,9.0,12.0,3.0,11.0,12.0,6.0,7.0,11.0,6.0,2.0,12.0,10.0,3.0,8.0,9.0,11.0,12.0,3.0,10.0,11.0,11.0,7.0,5.0,8.0,11.0,2.0,3.0,10.0,9.0,9.0,8.0,10.0,1.0,- -  -,Wnt,11.0
Alex Reid,"AM (L), ST (C)",7.08,7.08,9.0,8.0,2.0,10.0,8.0,3.0,10.0,12.0,2.0,2.0,3.0,5.0,9.0,9.0,13.0,2.0,11.0,13.0,4.0,4.0,8.0,5.0,2.0,11.0,11.0,1.0,5.0,11.0,9.0,11.0,3.0,9.0,10.0,9.0,7.0,5.0,10.0,10.0,1.0,1.0,9.0,10.0,9.0,11.0,9.0,3.0,- -  -,Wnt,13.0
Sam Dalby,"AM (C), ST (C)",7.04,7.04,10.0,10.0,2.0,11.0,13.0,3.0,13.0,14.0,2.0,3.0,3.0,4.0,8.0,10.0,11.0,2.0,9.0,10.0,3.0,2.0,6.0,4.0,4.0,14.0,10.0,3.0,6.0,8.0,11.0,12.0,2.0,8.0,9.0,10.0,4.0,2.0,8.0,13.0,1.0,3.0,11.0,13.0,10.0,9.0,3.0,3.0,- -  -,Ask,11.0
Osayamen Osawe,"M (L), AM (RL), ST (C)",7.04,7.04,11.0,10.0,3.0,10.0,8.0,6.0,12.0,10.0,3.0,2.0,3.0,7.0,11.0,8.0,14.0,2.0,11.0,14.0,5.0,6.0,8.0,6.0,3.0,9.0,10.0,1.0,7.0,11.0,9.0,11.0,4.0,11.0,13.0,7.0,8.0,6.0,8.0,8.0,2.0,3.0,14.0,10.0,9.0,11.0,10.0,1.0,- -  -,Opt,13.0
Aaron Martin,ST (C),7.02,7.02,17.0,9.0,1.0,9.0,15.0,3.0,16.0,12.0,2.0,3.0,1.0,4.0,12.0,10.0,12.0,1.0,12.0,10.0,3.0,4.0,9.0,7.0,1.0,11.0,12.0,3.0,6.0,11.0,8.0,12.0,4.0,8.0,11.0,8.0,7.0,6.0,6.0,11.0,3.0,3.0,15.0,10.0,12.0,11.0,15.0,4.0,- -  -,,11.0
Caolan Lavery,"AM (L), ST (C)",7.01,7.01,14.0,9.0,2.0,12.0,12.0,7.0,8.0,14.0,1.0,3.0,1.0,7.0,6.0,12.0,11.0,1.0,10.0,16.0,5.0,6.0,12.0,7.0,2.0,9.0,12.0,1.0,11.0,8.0,10.0,10.0,3.0,11.0,13.0,8.0,10.0,8.0,11.0,7.0,3.0,3.0,11.0,10.0,12.0,11.0,11.0,3.0,- -  -,,11.0
Ashley Nadesan,"AM (R), ST (C)",7.01,7.01,10.0,8.0,3.0,9.0,10.0,6.0,8.0,13.0,4.0,3.0,2.0,5.0,12.0,8.0,13.0,1.0,12.0,13.0,5.0,3.0,10.0,8.0,3.0,11.0,11.0,1.0,6.0,11.0,8.0,12.0,3.0,8.0,15.0,8.0,8.0,5.0,8.0,9.0,3.0,3.0,8.0,12.0,9.0,12.0,13.0,2.0,- -  -,Lst,15.0
Tyler Blackwood,"M/AM (R), ST (C)",7.01,7.01,10.0,9.0,3.0,10.0,9.0,5.0,10.0,10.0,4.0,2.0,3.0,6.0,10.0,10.0,14.0,1.0,11.0,14.0,6.0,7.0,11.0,8.0,3.0,13.0,11.0,2.0,6.0,11.0,10.0,12.0,2.0,11.0,3.0,9.0,7.0,7.0,10.0,10.0,1.0,1.0,6.0,8.0,10.0,11.0,3.0,2.0,- -  -,,13.0
Lorent Tolaj,ST (C),7.01,7.01,13.0,8.0,3.0,10.0,11.0,6.0,14.0,14.0,3.0,1.0,3.0,8.0,11.0,9.0,13.0,2.0,11.0,13.0,6.0,5.0,9.0,7.0,2.0,12.0,11.0,2.0,6.0,9.0,10.0,14.0,1.0,6.0,15.0,9.0,6.0,5.0,10.0,12.0,1.0,2.0,14.0,12.0,11.0,8.0,12.0,1.0,- -  -,Set,11.0
Ryan Taylor,ST (C),7.00,7.00,14.0,12.0,2.0,12.0,15.0,7.0,15.0,10.0,3.0,3.0,4.0,9.0,16.0,10.0,5.0,1.0,9.0,15.0,7.0,5.0,8.0,13.0,2.0,14.0,15.0,1.0,5.0,10.0,13.0,9.0,3.0,10.0,15.0,12.0,7.0,5.0,12.0,10.0,3.0,2.0,15.0,14.0,12.0,5.0,14.0,3.0,- -  -,,5.0
Reece Grego-Cox,"M/AM (R), ST (C)",6.99,6.99,13.0,9.0,2.0,9.0,11.0,7.0,13.0,11.0,4.0,2.0,2.0,5.0,9.0,8.0,12.0,2.0,11.0,13.0,5.0,12.0,11.0,5.0,1.0,8.0,8.0,1.0,6.0,11.0,8.0,10.0,1.0,11.0,11.0,9.0,10.0,5.0,9.0,8.0,2.0,2.0,10.0,12.0,9.0,12.0,12.0,1.0,- -  -,,11.0
Michael Cheek,ST (C),6.98,6.98,16.0,7.0,3.0,11.0,9.0,4.0,11.0,9.0,3.0,2.0,2.0,7.0,11.0,9.0,11.0,1.0,13.0,9.0,7.0,7.0,11.0,7.0,1.0,13.0,12.0,3.0,4.0,5.0,5.0,13.0,3.0,8.0,16.0,11.0,6.0,3.0,9.0,13.0,2.0,2.0,11.0,13.0,12.0,8.0,6.0,1.0,- -  -,,11.0
Paddy Madden,"AM (L), ST (C)",6.97,6.97,15.0,10.0,2.0,11.0,13.0,8.0,9.0,12.0,3.0,1.0,1.0,8.0,15.0,10.0,11.0,3.0,13.0,14.0,8.0,2.0,9.0,14.0,3.0,11.0,12.0,2.0,9.0,9.0,11.0,14.0,2.0,9.0,15.0,10.0,9.0,6.0,10.0,12.0,3.0,1.0,13.0,11.0,13.0,10.0,14.0,3.0,- -  -,,10.0
Harry Cardwell,ST (C),6.97,6.97,13.0,7.0,3.0,11.0,10.0,9.0,14.0,11.0,2.0,3.0,3.0,7.0,13.0,9.0,9.0,2.0,11.0,9.0,6.0,3.0,7.0,4.0,3.0,14.0,10.0,3.0,9.0,3.0,9.0,11.0,1.0,9.0,11.0,10.0,8.0,7.0,9.0,10.0,1.0,1.0,10.0,12.0,10.0,9.0,9.0,3.0,- -  -,Ask,9.0
Kieron Bowie,"M/AM (RC), ST (C)",6.96,6.96,15.0,13.0,1.0,15.0,11.0,5.0,16.0,12.0,1.0,2.0,2.0,8.0,13.0,10.0,14.0,1.0,12.0,12.0,5.0,4.0,9.0,5.0,1.0,14.0,11.0,2.0,5.0,15.0,9.0,12.0,2.0,12.0,9.0,11.0,9.0,5.0,8.0,6.0,1.0,1.0,15.0,8.0,11.0,7.0,5.0,3.0,- -  -,,11.0
Kyle Wootton,ST (C),6.96,6.96,13.0,9.0,2.0,11.0,12.0,4.0,15.0,11.0,1.0,3.0,2.0,5.0,11.0,10.0,11.0,2.0,13.0,12.0,5.0,3.0,8.0,5.0,1.0,15.0,13.0,1.0,4.0,7.0,11.0,12.0,2.0,8.0,10.0,10.0,6.0,3.0,10.0,13.0,1.0,3.0,12.0,12.0,11.0,9.0,10.0,3.0,- -  -,,11.0
