Name,Position,Av Rat,Av Rat.1,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Jacob Mendy,WB/M/AM (L),7.25,7.25,12,9,1,12,10,7,11,12,3,2,4,7,10,9,12,3,10,14,5,6,10,6,3,9,4,3,6,8,9,5,2,13,7,8,12,6,8,10,1,3,4,5,8,14,3,2,- -  -,Lst,11
Kelvin Abrefa,"D (RC), WB (R)",7.11,7.11,14,7,2,10,10,10,12,14,3,1,2,8,9,9,12,1,9,16,10,12,9,7,1,15,10,3,6,9,11,9,2,9,18,8,8,9,9,10,3,3,13,11,9,9,10,4,- -  -,,14
Kane Smith,D/WB (R),7.03,7.03,13,11,1,10,10,12,11,8,3,3,3,10,5,7,14,3,15,16,9,5,10,7,1,7,11,2,10,11,9,6,3,12,16,8,14,5,12,8,1,3,10,8,11,10,6,1,- -  -,Inj,13
Kelvin Mellor,D/WB (R),7.02,7.02,14,8,2,10,14,12,10,10,2,1,2,11,5,12,11,2,9,11,8,13,8,6,3,11,11,3,4,11,10,8,2,11,9,9,10,4,11,11,3,1,8,9,11,11,9,2,- -  -,Opt,10
Reece Hall-Johnson,"D (RC), WB (R)",7.00,7.00,13,6,2,9,13,12,11,11,1,3,3,11,8,9,13,1,9,15,10,7,7,8,1,8,10,1,7,11,9,7,2,9,13,8,8,5,9,11,1,3,10,10,10,10,12,2,- -  -,Wnt,13
Paul Osew,D/WB/M (L),7.00,7.00,12,7,1,9,8,10,5,10,2,3,2,7,6,8,14,1,12,8,8,6,6,4,3,4,4,2,5,14,9,8,2,10,15,8,7,6,12,11,1,1,8,5,13,16,10,1,- -  -,Unh,14
Jamie Sterry,D/WB (R),6.99,6.99,13,9,1,8,11,12,11,13,3,3,1,11,5,11,14,1,11,7,8,7,4,10,2,10,9,3,8,9,9,5,3,9,3,10,13,7,10,11,3,3,10,11,11,12,11,3,- -  -,Wnt,12
Femi Ilesanmi,"D (LC), WB (L)",6.97,6.97,14,7,3,3,11,13,15,12,3,3,3,10,8,8,11,3,9,11,7,7,8,6,2,10,11,2,4,5,11,4,3,11,14,9,10,3,8,10,3,3,11,12,10,11,15,1,- -  -,,10
Patrick Brough,"D (LC), WB (L)",6.97,6.97,15,8,1,8,14,11,11,14,3,1,3,11,6,8,11,3,11,15,10,7,8,4,3,13,11,2,7,8,8,8,2,9,12,11,11,9,10,10,1,1,12,9,11,9,11,1,- -  -,Wnt,11
Ryan McLaughlin,"D/WB/M (R), AM (RL)",6.95,6.95,12,9,2,12,12,12,11,11,3,3,1,11,5,10,13,3,10,10,11,4,7,6,1,9,10,1,6,9,11,9,2,9,14,9,10,8,8,10,2,3,9,11,11,11,12,1,- -  -,,13
