,UID,Name,Position,Av Rat,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp
0,25062165,Matěj Šimon,ST (C),7.53,13,13,8,8,11,13,6,5,9,4,8,10,6,7,16,10,11,14,7,6,7,8,6,2,11,13,10,5,13,4,3,6,8,4,2,11,2,3,1,3,2,1,2,1,2,3,1,12,20,4,11,7,11,10,12,12,14
1,2000064521,Martin Walter,ST (C),7.21,12,10,13,9,10,13,7,7,5,6,3,10,4,5,10,8,9,13,6,12,6,11,5,4,8,9,13,5,8,5,1,2,7,4,1,10,2,2,3,2,1,1,3,1,2,2,1,13,8,4,9,7,9,11,13,9,12
2,14022278,Emanuel Dening,"AM (RL), ST (C)",7.19,12,11,12,11,12,11,10,7,12,8,11,12,12,12,6,13,13,14,12,12,14,11,9,9,13,14,13,7,12,11,5,4,12,12,6,12,2,3,1,3,2,1,1,2,2,1,3,12,13,8,5,11,6,9,11,14,19
3,49052981,Nadson,"AM (C), ST (C)",7.18,14,14,8,8,16,14,6,7,7,6,6,7,8,14,5,11,8,9,8,5,10,9,6,7,14,14,14,7,12,7,7,7,11,6,3,12,2,3,3,3,3,2,3,2,2,2,2,13,14,5,5,9,11,9,10,10,12
4,63007388,Jakub Vojtuš,"AM (R), ST (C)",7.17,12,11,11,13,12,13,11,12,12,11,9,11,12,11,14,12,9,12,8,11,9,12,7,9,12,11,13,7,12,8,4,4,11,12,11,11,1,3,3,3,3,4,3,3,3,2,1,15,12,5,7,13,7,14,13,10,14
5,2000014587,Radim Prokopec,ST (C),7.14,13,14,6,11,13,14,8,5,7,10,3,8,7,5,8,11,8,14,7,13,5,12,4,5,14,7,8,7,11,5,1,5,7,2,3,11,3,1,2,1,3,2,1,2,4,1,3,11,11,7,8,17,5,10,10,12,14
6,34006874,Teddy Chevalier,"AM (RC), ST (C)",7.14,12,12,13,10,7,12,12,10,8,12,10,13,11,11,14,7,8,13,4,10,11,13,10,11,10,13,12,10,13,12,5,5,11,14,5,12,2,1,2,2,4,1,3,1,1,2,1,11,14,16,7,9,11,7,8,7,6
7,80031826,Ariagner Smith,ST (C),7.13,12,10,9,14,11,12,13,11,13,10,9,9,9,14,5,10,9,10,7,8,9,10,8,8,12,12,13,8,7,6,3,8,10,12,9,10,2,2,3,4,3,1,1,1,4,2,2,11,20,7,12,7,9,14,3,12,11
8,57058531,Bogdan Chipirliu,ST (C),7.12,12,11,11,15,12,13,11,10,10,9,4,8,8,8,9,13,1,11,10,11,11,11,10,12,10,12,13,9,11,11,10,10,11,8,9,10,1,2,3,3,1,1,4,3,1,2,1,5,13,12,9,13,12,9,10,10,9
9,52028088,Aaron Greene,ST (C),7.1,13,11,11,9,13,12,10,10,12,9,8,11,8,8,15,13,5,12,4,11,10,12,5,10,11,12,12,4,9,11,3,5,10,12,4,9,1,3,4,2,2,2,3,1,2,3,3,10,12,8,12,13,6,12,6,11,11
