UID,Name,Position,Av Rat,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25055282,Pavel Sokol,"M (RL), AM (R)",6.90,13,13,7,1,10,13,6,1,15,9,5,7,7,12,4,12,13,11,7,7,10,11,7,12,11,7,13,6,3,6,2,6,6,1,6,12,2,4,3,2,1,1,2,1,3,2,2,10,11,8,5,6,5,12,12,13,19,- -  -,Trn
58143919,Evgeny Pesikov,M/AM (RL),6.85,11,14,11,6,13,11,15,6,14,8,12,8,4,8,14,6,7,11,6,12,8,14,12,12,7,8,7,8,6,5,5,7,10,6,10,8,1,2,3,4,2,1,3,1,1,2,2,11,15,8,11,6,11,15,11,12,6,- -  -,
38043997,Kornél Csernik,"M (RL), AM (RLC)",6.89,12,11,10,10,9,12,12,8,9,9,8,8,9,12,15,12,7,10,8,11,9,13,6,12,12,8,9,9,5,7,2,3,10,6,4,11,3,2,3,1,2,1,2,1,2,1,3,13,9,1,2,6,8,13,7,13,18,- -  -,
52082003,Ryan Graydon,M/AM (RL),-,13,12,13,11,12,13,11,9,13,7,8,10,8,9,12,12,5,11,8,8,10,10,5,11,12,8,11,5,9,8,5,5,10,6,5,12,2,1,2,2,1,1,3,2,2,2,1,13,11,7,13,9,6,12,6,12,5,- -  -,Unh
28049741,Jordan Slew,"AM (RL), ST (C)",6.74,12,12,11,13,15,13,9,13,7,9,8,11,6,6,6,11,7,12,4,8,7,8,5,7,10,11,7,7,6,14,5,6,10,9,6,10,2,1,3,2,2,1,3,2,1,2,2,9,7,5,5,5,13,10,9,12,9,- -  -,Wnt
27101175,Lucas Haren,"M (LC), AM (RLC)",6.62,16,8,8,10,13,13,8,5,9,10,1,9,8,10,12,5,4,10,7,9,10,9,10,6,13,7,12,10,9,9,6,6,11,2,4,13,2,3,1,3,1,2,2,3,3,3,1,12,9,9,8,13,9,4,12,17,12,- -  -,Trn
29160424,Luke Burgess,"DM, M (C), AM (RC)",6.66,12,13,8,6,9,10,7,6,9,8,4,9,7,8,8,13,5,9,6,10,11,11,7,7,13,9,11,7,5,8,4,4,10,8,7,12,1,3,2,1,2,1,3,2,3,1,1,10,4,7,8,8,9,10,9,13,19,- -  -,
58115053,Nikita Kirsanov,M/AM (RLC),6.86,13,10,8,7,9,11,10,7,5,10,8,7,8,8,7,10,13,11,7,8,9,7,9,9,8,8,12,7,5,13,6,5,11,10,5,12,2,2,1,3,1,3,3,2,3,2,1,13,12,3,6,12,5,11,10,9,16,- -  -,Lst
61028442,Dale Hilson,"AM (RL), ST (C)",6.72,11,6,9,6,12,13,12,10,10,6,7,11,8,8,12,8,9,13,10,8,8,10,7,11,11,13,10,6,5,11,1,4,11,11,5,11,4,2,3,1,2,1,3,1,2,2,1,10,16,5,11,9,12,9,12,10,14,- -  -,
62139410,Amel Džuzdanović,"DM, M (RC), AM (R)",6.97,11,10,10,8,8,11,10,12,15,9,10,10,9,9,12,8,15,9,12,10,11,10,12,12,10,9,9,11,8,9,9,10,11,1,9,10,2,2,3,1,3,2,2,1,3,1,1,12,11,3,9,11,14,12,13,13,12,- -  -,
18113637,Yanis Rucquois,"M (L), AM (LC)",6.62,14,14,4,8,6,14,9,4,9,6,4,10,5,10,14,12,11,11,6,6,9,4,6,10,6,10,11,6,6,5,4,4,11,4,3,10,1,2,2,1,3,1,3,1,2,3,3,11,8,2,8,12,7,11,10,11,18,- -  -,Trn
27087211,Souheib Dhaflaoui,AM (RLC),6.77,13,12,8,4,14,12,8,5,11,11,5,11,6,10,12,12,10,12,4,8,9,10,11,10,12,12,12,8,4,6,3,4,13,10,4,13,3,3,1,1,2,3,2,2,4,2,1,16,12,7,12,3,9,8,10,16,11,- -  -,Wnt
57191207,Szabolcs Szilágyi,"M (L), AM (LC)",6.82,12,12,12,7,13,12,7,7,12,10,5,10,5,7,6,9,9,13,6,10,11,12,9,10,11,12,12,10,5,9,8,8,10,5,5,12,3,2,2,2,3,3,3,3,3,3,3,10,8,1,5,12,10,9,9,11,18,- -  -,
67073554,Dejan Đermanović,"AM (L), ST (C)",6.99,9,9,11,13,11,10,8,9,14,10,9,10,10,8,13,9,13,9,10,8,9,11,9,9,10,9,11,8,13,11,7,7,11,11,6,11,1,3,1,3,1,2,2,2,1,1,1,10,14,11,15,11,15,8,9,13,8,- -  -,
62054229,Stefan Stevanović,"M/AM (LC), ST (C)",7.03,10,10,10,7,9,12,10,10,9,10,8,10,10,11,12,11,15,11,8,10,9,7,11,11,10,10,11,8,9,8,7,4,11,3,6,10,1,3,1,3,1,1,1,1,3,1,1,8,12,9,11,8,8,12,10,11,11,- -  -,Lst
93080601,Petter Soelberg,"M (RL), AM (RLC)",6.97,12,11,9,6,12,12,12,10,11,9,9,10,8,9,11,10,5,11,7,11,11,11,8,9,9,7,10,8,7,10,7,7,7,9,8,11,2,2,1,2,3,2,2,1,1,1,2,11,12,2,9,10,6,10,12,7,12,- -  -,
29175340,Josh Kay,"WB (L), M (LC), AM (RLC)",6.35,13,9,10,9,13,12,9,9,11,8,8,7,6,5,13,15,6,9,7,7,8,11,8,8,10,9,10,9,6,10,9,5,8,10,6,11,1,2,3,2,3,4,2,1,1,2,3,7,11,4,5,8,5,6,8,11,9,- -  -,
93088599,Viktor Alexandersson,M/AM (RC),7.00,11,11,10,10,13,11,11,7,10,11,8,8,9,11,10,14,8,11,8,11,12,12,8,11,11,7,11,10,6,10,5,7,11,9,7,11,2,2,1,1,3,1,3,2,2,1,1,10,12,4,6,13,11,13,14,15,4,- -  -,
48044128,Owen Maës,"M/AM (RL), ST (C)",6.71,12,11,10,7,14,11,10,8,13,10,7,12,11,9,10,14,5,11,5,9,10,12,10,13,11,8,10,11,6,7,1,5,12,9,7,11,2,2,3,2,1,4,4,2,2,1,2,10,11,4,5,10,8,9,13,11,12,- -  -,Wnt
