,UID,Name,Position,Av Rat,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp
0,98030084.0,Edimilson Fernandes,"D (C), WB (R), DM, M (LC)",6.71,12.0,12.0,14.0,13.0,12.0,13.0,14.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,13.0,13.0,4.0,12.0,12.0,12.0,13.0,11.0,13.0,12.0,12.0,8.0,13.0,12.0,11.0,12.0,7.0,12.0,13.0,6.0,12.0,15.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,12.0,14.0,14.0,11.0,13.0,11.0,10.0,11.0,19.0,13.0
1,5113149.0,Ashley Young,D/WB/M (RL),6.68,12.0,11.0,11.0,6.0,15.0,12.0,10.0,11.0,7.0,12.0,10.0,10.0,11.0,11.0,14.0,9.0,15.0,12.0,11.0,15.0,9.0,14.0,11.0,14.0,8.0,9.0,13.0,13.0,6.0,10.0,7.0,9.0,12.0,11.0,9.0,12.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,3.0,13.0,14.0,4.0,10.0,15.0,5.0,18.0,10.0,17.0,14.0
2,24026903.0,Alen Halilovic,M/AM (RC),6.73,13.0,16.0,14.0,6.0,10.0,11.0,10.0,6.0,6.0,11.0,5.0,13.0,9.0,11.0,11.0,16.0,6.0,14.0,6.0,8.0,13.0,7.0,13.0,12.0,13.0,9.0,15.0,11.0,5.0,13.0,4.0,5.0,13.0,12.0,5.0,16.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,16.0,8.0,14.0,8.0,10.0,12.0,10.0,8.0,13.0,10.0
3,67017094.0,Nolito,"M (L), AM (LC), ST (C)",6.92,11.0,9.0,11.0,8.0,11.0,9.0,10.0,7.0,14.0,13.0,13.0,14.0,14.0,14.0,10.0,16.0,14.0,15.0,9.0,11.0,13.0,12.0,14.0,11.0,13.0,13.0,14.0,11.0,8.0,12.0,5.0,3.0,14.0,14.0,9.0,14.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,14.0,13.0,12.0,14.0,14.0,7.0,10.0,7.0,13.0,10.0
4,8169239.0,Mehdi Carcela-González,"M (C), AM (RLC)",6.71,10.0,14.0,9.0,6.0,12.0,11.0,4.0,6.0,8.0,9.0,14.0,10.0,9.0,13.0,4.0,18.0,6.0,13.0,7.0,6.0,14.0,10.0,12.0,15.0,14.0,11.0,16.0,12.0,7.0,12.0,2.0,4.0,14.0,12.0,6.0,16.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,10.0,11.0,4.0,12.0,8.0,7.0,10.0,14.0,8.0
5,43070623.0,Grégoire Defrel,"AM (RC), ST (C)",6.62,14.0,14.0,12.0,8.0,12.0,15.0,9.0,9.0,11.0,12.0,10.0,14.0,9.0,13.0,12.0,15.0,6.0,16.0,4.0,15.0,13.0,13.0,4.0,6.0,12.0,11.0,12.0,5.0,8.0,8.0,4.0,4.0,13.0,13.0,4.0,14.0,1.0,3.0,4.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,11.0,11.0,10.0,10.0,11.0,12.0,14.0,13.0,14.0,12.0
6,39007034.0,Jóhann Berg Guðmundsson,"M (RL), AM (RLC)",6.74,13.0,11.0,13.0,13.0,15.0,12.0,13.0,11.0,12.0,13.0,10.0,14.0,11.0,11.0,14.0,13.0,5.0,12.0,11.0,15.0,14.0,15.0,12.0,13.0,13.0,11.0,12.0,14.0,10.0,13.0,5.0,7.0,13.0,14.0,7.0,12.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,16.0,13.0,4.0,4.0,14.0,13.0,16.0,14.0,11.0,13.0
7,43056489.0,Riccardo Saponara,"M (C), AM (LC), ST (C)",6.93,12.0,11.0,12.0,10.0,15.0,11.0,12.0,11.0,8.0,14.0,11.0,13.0,11.0,12.0,12.0,16.0,11.0,14.0,7.0,14.0,14.0,13.0,13.0,13.0,15.0,13.0,14.0,14.0,8.0,14.0,4.0,5.0,14.0,12.0,9.0,16.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,1.0,2.0,14.0,13.0,5.0,8.0,12.0,11.0,15.0,14.0,14.0,14.0
8,2114395.0,Maicon Bolt,"M (L), AM (RL)",7.0,13.0,10.0,11.0,13.0,14.0,12.0,11.0,11.0,12.0,11.0,10.0,11.0,12.0,12.0,11.0,10.0,9.0,13.0,9.0,13.0,13.0,13.0,7.0,10.0,10.0,10.0,12.0,7.0,11.0,6.0,8.0,5.0,11.0,12.0,8.0,11.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,8.0,13.0,8.0,8.0,12.0,7.0,10.0,6.0,12.0,14.0
9,7509739.0,Spas Delev,"AM (RLC), ST (C)",6.91,13.0,14.0,14.0,5.0,13.0,12.0,9.0,5.0,14.0,10.0,8.0,12.0,12.0,8.0,17.0,14.0,11.0,13.0,5.0,11.0,12.0,15.0,12.0,12.0,11.0,11.0,10.0,13.0,8.0,10.0,2.0,3.0,12.0,12.0,6.0,12.0,3.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,14.0,15.0,15.0,9.0,14.0,10.0,9.0,7.0,16.0,5.0
