Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Noah Solskjær,"DM, M/AM (C)",7.85,7.85,9,13,1,11,12,6,8,11,3,2,1,12,10,13,12,2,14,7,8,3,13,9,1,13,10,3,9,13,10,11,2,9,14,9,8,11,11,14,3,3,9,7,13,11,7,1,9,12,12,15,13,9,13,20,7,1,13,12,- -  -,Ama
Leonardo Morosini,"M/AM (C), ST (C)",7.77,7.77,12,13,1,14,13,7,11,12,1,1,2,9,11,14,11,3,13,12,8,3,11,11,3,8,6,1,13,15,12,13,3,12,16,12,13,12,12,12,1,1,10,12,13,13,11,3,12,12,14,15,12,14,8,13,7,5,16,13,- -  -,
Radoslav Tsonev,"DM, M/AM (C)",7.74,7.74,13,13,3,15,14,7,7,9,3,3,1,11,15,14,8,1,13,11,8,8,10,10,3,7,6,3,15,15,12,9,1,10,15,11,11,15,10,13,1,1,11,12,11,12,12,2,10,10,12,15,12,13,10,9,5,3,15,15,- -  -,Opt
Ilzat Akhmetov,"DM, M/AM (C)",7.67,7.67,9,13,2,14,10,10,7,12,1,3,1,11,12,13,12,1,12,13,9,4,8,7,1,6,8,3,8,15,14,8,1,13,9,12,9,13,13,12,1,2,10,13,13,15,11,2,14,12,12,11,14,9,5,13,4,8,15,13,- -  -,Opt
Bruno Fernandes,"AM (C), ST (C)",7.65,7.65,12,13,2,8,8,5,10,12,3,3,1,5,9,11,13,1,12,13,3,3,10,7,2,12,1,1,6,10,12,7,3,10,13,11,5,4,8,12,2,4,7,9,8,13,10,2,10,14,9,10,13,9,10,9,5,4,13,11,- -  -,
Emiljano Bardhi,"WB (R), M (LC), AM (C)",7.65,7.65,9,10,1,11,12,7,7,6,3,4,1,4,4,10,7,2,10,11,4,4,6,4,1,9,2,2,6,9,11,6,2,10,15,12,5,5,6,9,4,2,6,12,7,10,8,3,9,15,13,8,13,1,6,14,19,12,11,13,- -  -,
Didier Ortega,"M (C), AM (RC)",7.59,7.59,15,13,1,10,17,3,6,12,2,3,4,5,6,10,7,3,10,12,4,6,6,16,2,8,4,1,10,9,14,11,1,8,14,11,6,8,6,11,3,2,7,8,10,12,10,3,7,10,13,15,7,4,4,9,7,8,7,16,- -  -,Ama
Mikel Oyarzábal,"AM (RLC), ST (C)",7.55,7.55,16,16,2,16,14,12,14,14,1,3,1,13,19,15,13,1,16,15,12,12,12,17,1,12,11,4,13,15,15,15,2,14,16,15,12,14,14,15,3,3,12,14,15,15,13,3,12,13,16,18,13,20,5,14,7,8,16,14,- -  -,
Anice Badri,"M (RL), AM (RLC)",7.54,7.54,11,12,2,13,12,4,10,11,4,1,1,6,9,12,12,3,12,13,3,5,9,10,2,8,6,1,9,15,14,11,1,9,14,13,9,10,12,13,1,4,11,7,12,10,11,3,12,12,12,15,7,14,11,15,9,6,16,13,- -  -,
Florin Tănase,"DM, M (C), ST (C)",7.51,7.51,13,12,2,14,12,8,10,12,3,4,3,8,16,13,12,2,13,13,7,4,13,14,1,10,11,2,11,14,12,12,3,11,14,11,11,13,13,14,2,2,11,10,13,13,10,1,11,14,8,13,14,16,5,13,15,13,16,14,- -  -,
