Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Ali Al Musrati,"DM, M (C)",7.57,7.57,12,15,2,14,14,14,16,15,3,2,2,15,11,15,12,3,9,14,13,8,13,11,3,14,11,2,7,6,13,11,1,10,12,15,10,7,15,17,2,2,11,14,16,11,13,1,10,10,13,15,14,14,8,14,10,6,18,12,- -  -,
Ulrich Méléké,"D (C), DM",7.44,7.44,12,10,1,9,14,14,12,13,3,3,2,14,5,8,13,2,9,12,13,8,7,12,1,11,12,3,5,6,9,3,3,6,13,13,6,4,13,12,2,1,13,11,14,11,8,1,13,14,12,13,12,14,5,11,8,3,15,9,- -  -,Opt
Salvatore Esposito,"DM, M (C)",7.28,7.28,15,15,1,14,12,14,15,14,3,1,2,15,11,15,14,2,12,18,15,9,13,10,2,8,11,3,14,12,12,8,2,13,18,14,12,12,15,13,2,3,12,13,16,15,13,2,15,16,12,15,12,9,4,10,10,11,18,16,- -  -,Wnt
Alejandro Rodríguez Gorrín,"DM, M (C)",7.23,7.23,11,13,3,11,13,13,11,12,2,2,3,12,8,11,9,2,12,14,12,8,10,11,4,8,5,1,9,7,12,8,1,6,15,13,8,8,12,15,1,3,9,10,12,9,12,2,10,15,12,13,10,12,7,10,14,7,17,12,- -  -,
José Giménez,"D (C), DM",7.16,7.16,16,11,4,12,16,16,14,15,2,2,2,16,8,12,13,1,10,12,15,13,8,13,3,12,16,1,6,10,12,7,1,10,15,16,10,7,15,16,4,3,17,13,15,13,15,3,14,9,7,14,14,16,15,13,14,6,16,15,- -  -,
Hauke Wahl,"D (C), DM",7.16,7.16,14,11,2,12,15,12,14,13,3,3,3,14,7,13,11,3,7,12,12,7,8,15,2,13,14,3,6,9,11,8,2,10,12,14,6,5,13,14,4,1,13,12,16,8,11,3,11,17,14,16,13,11,5,16,6,5,18,16,- -  -,
Matthias Ginter,"D (RC), DM",7.15,7.15,13,11,2,13,14,14,14,14,3,1,1,15,10,13,11,2,9,16,14,10,9,13,2,13,14,2,6,8,14,6,3,6,14,15,8,5,15,15,1,3,12,13,15,9,7,1,11,18,18,16,15,15,7,13,6,3,17,15,- -  -,
Luis Muñoz,"D (RC), DM, M (C)",7.15,7.15,11,12,1,12,13,13,13,12,2,2,3,14,15,11,11,2,11,15,13,9,8,15,3,11,11,1,11,7,9,10,3,9,13,15,8,7,15,12,3,4,13,10,14,11,9,4,13,15,14,15,15,13,6,14,8,5,16,13,- -  -,
Daniel Samek,"D (C), DM",7.06,7.06,13,13,1,10,9,14,15,12,3,1,1,15,4,12,10,2,8,16,12,5,12,6,4,13,9,2,7,13,9,8,1,11,15,14,4,9,11,9,1,3,8,10,13,12,7,3,13,19,8,11,12,13,14,11,5,5,12,10,- -  -,
Kevin Balanta,"DM, M (C)",7.00,7.00,12,12,3,9,11,13,14,13,2,2,1,14,8,10,13,3,11,11,13,9,10,13,1,11,10,1,8,11,8,10,2,11,11,13,10,13,14,13,1,1,12,12,14,12,11,3,14,10,11,9,10,13,6,7,9,8,17,9,- -  -,
Betim Fazliji,"D (C), DM, M (C)",7.00,7.00,15,11,2,12,14,14,13,14,4,3,1,14,5,13,10,2,10,14,12,9,12,9,1,13,12,2,7,10,12,7,3,9,14,16,7,8,13,13,3,2,14,12,15,10,13,2,11,12,11,13,10,13,8,10,9,8,16,13,- -  -,
Unai Vencedor,"DM, M (C)",7.00,7.00,16,14,2,15,15,15,15,15,1,2,3,16,8,14,14,2,9,15,15,7,11,10,3,8,9,1,12,7,15,8,1,12,16,16,10,13,16,14,3,2,14,12,15,15,14,3,14,20,11,10,8,10,13,9,7,2,17,11,- -  -,
Dries Wouters,"D (C), DM",6.99,6.99,14,11,1,11,12,12,12,12,2,2,3,13,8,12,11,2,12,12,14,8,9,12,3,15,14,1,9,5,11,8,1,7,12,13,7,7,13,12,1,3,11,11,13,10,10,3,12,16,12,14,15,12,13,7,14,6,16,12,- -  -,
Tomás Ribeiro,"D (C), DM",6.99,6.99,14,12,1,12,14,13,13,13,2,3,3,13,5,11,12,3,9,14,14,5,7,13,3,13,11,1,6,11,11,7,2,10,14,14,10,5,15,11,3,2,13,13,15,12,12,2,12,11,14,16,17,18,12,11,12,5,14,11,- -  -,Inj
Jemerson,"D (C), DM",6.96,6.96,12,9,3,11,12,15,14,12,1,1,2,14,9,12,12,3,7,14,14,10,7,12,3,12,12,1,6,12,11,7,3,7,12,13,7,5,12,13,3,1,13,13,15,12,13,3,12,13,12,14,12,14,6,12,12,9,15,14,- -  -,
Dragoş Nedelcu,"D (C), DM",6.95,6.95,11,13,1,11,12,13,14,8,3,3,2,13,7,14,10,1,11,13,12,6,11,12,2,14,13,1,8,10,11,9,3,10,5,13,7,6,14,12,2,3,12,11,12,9,13,3,10,17,11,10,7,10,8,9,10,6,14,10,- -  -,
Vladimir Screciu,"D (C), DM",6.95,6.95,14,10,1,11,12,14,12,13,1,1,3,13,6,12,12,2,11,13,14,8,11,9,3,8,13,1,6,8,12,6,1,9,11,13,4,5,13,12,1,3,13,13,12,14,9,3,12,15,12,13,11,13,5,11,6,5,11,11,- -  -,
Tudor Băluţă,"DM, M (C)",6.93,6.93,13,15,1,9,12,13,13,12,2,1,2,14,10,12,10,2,12,14,13,6,12,10,3,14,11,2,8,11,11,11,2,9,11,13,8,6,15,13,1,2,13,11,15,11,10,1,11,16,8,15,15,11,6,8,2,5,14,12,- -  -,
Jovan Đokić,"D (C), DM, M (C)",6.90,6.90,11,12,3,10,12,12,11,11,1,4,3,12,11,10,8,3,11,14,12,9,10,10,1,10,10,2,9,12,11,8,1,8,9,13,7,9,13,12,3,1,8,9,12,11,12,2,8,16,2,11,11,10,8,12,10,6,15,11,- -  -,Ctr
André,"DM, M (C)",6.88,6.88,14,13,1,13,13,13,14,14,3,2,1,14,9,13,13,3,12,13,14,9,10,14,1,7,11,2,9,11,13,9,3,11,15,14,7,6,14,13,2,3,13,13,14,13,13,3,13,12,13,13,12,11,4,12,14,8,14,13,- -  -,Wnt
Morgan Brown,"DM, M (C)",6.86,6.86,14,8,2,11,14,15,11,11,3,1,1,12,5,12,11,3,5,18,14,9,9,11,2,11,8,2,9,5,15,5,1,9,5,16,6,9,10,12,2,1,10,10,12,11,15,2,11,13,10,11,9,11,11,7,5,5,16,12,- -  -,
