Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Tinoga Temate,AM (C),7.15,7.15,9,4,2,6,4,1,1,10,3,2,2,3,3,5,12,1,3,8,1,1,7,3,1,1,1,2,2,8,7,3,3,4,16,9,1,1,3,7,1,2,4,3,3,11,14,2,12,13,10,11,12,12,9,6,7,5,9,13,- -  -,Ama
Ousman Jagne,AM (C),6.47,6.47,9,4,3,9,4,1,2,8,1,2,1,2,2,5,11,2,5,9,1,1,4,11,1,12,2,3,1,10,4,5,1,4,9,12,1,1,3,5,3,3,3,3,3,12,11,2,11,15,12,12,14,11,7,11,9,7,9,10,- -  -,Ama
Nordine Bourabia,M/AM (C),6.34,6.34,7,11,3,12,7,2,5,9,4,1,1,5,8,8,10,1,11,11,2,5,12,6,3,6,7,3,12,13,11,6,3,7,10,7,9,9,7,9,2,3,8,9,9,11,13,3,11,13,13,7,9,14,10,13,7,10,9,8,- -  -,
Dans Sirbu,AM (C),7.37,7.37,12,8,2,13,6,2,4,7,2,3,2,1,3,8,12,3,7,6,2,1,6,9,1,9,1,3,5,12,13,9,2,8,12,8,3,4,3,5,2,2,6,3,4,10,13,1,13,10,12,11,12,12,8,15,13,3,15,11,- -  -,Ama
Ahmad Faried Mutaqin Zulhisham,AM (C),6.69,6.69,9,11,3,9,4,2,2,10,2,3,1,3,1,6,11,2,6,18,2,1,3,9,2,1,1,3,3,12,7,6,2,5,9,11,1,3,2,2,2,2,4,3,7,11,5,3,11,17,10,11,11,9,11,5,9,4,10,13,- -  -,
Qudrat Ullah,AM (C),6.47,6.47,7,10,1,9,4,2,3,11,3,2,3,4,1,3,12,1,4,14,3,1,7,3,4,6,1,2,3,12,10,5,3,4,14,11,1,3,4,5,3,3,4,4,5,12,11,3,12,17,11,9,11,11,14,13,13,4,11,11,- -  -,Ctr
Frank Mulimi,AM (C),6.73,6.73,7,13,1,12,6,2,3,5,3,1,3,6,3,10,8,2,10,13,5,1,6,7,3,7,2,3,5,13,13,7,3,9,2,12,5,6,3,9,2,3,4,6,7,8,5,1,7,19,13,9,10,12,12,4,10,8,11,11,- -  -,
Ezequiel Agüero,"AM (C), ST (C)",6.81,6.81,8,11,3,15,7,2,7,9,3,3,2,7,10,12,11,1,11,12,1,2,8,10,3,3,3,2,11,13,14,10,2,14,6,11,9,7,6,13,1,1,6,7,8,13,9,1,9,15,9,11,10,11,14,6,12,4,12,10,- -  -,Inj
Juanfri,"AM (C), ST (C)",6.82,6.82,9,13,3,14,6,2,9,11,3,2,1,6,14,14,11,2,14,7,3,2,12,6,2,12,8,3,3,7,9,12,3,13,15,10,5,5,9,12,4,1,7,8,13,8,4,1,8,14,12,11,8,11,6,11,4,8,12,14,- -  -,
Derek Tare,AM (C),6.92,6.92,6,10,2,8,5,3,3,10,2,1,1,6,5,11,10,1,7,7,1,4,6,1,1,8,3,1,4,9,13,8,3,7,7,13,2,1,6,7,1,2,3,4,7,9,11,3,10,17,11,10,12,12,7,13,10,4,11,7,- -  -,
Ricardo Blanco,"M/AM (C), ST (C)",6.88,6.88,8,14,1,15,10,3,8,11,2,1,2,6,16,15,11,2,13,15,3,4,13,9,2,8,5,2,15,17,14,12,2,14,12,13,13,14,9,12,1,3,8,11,10,14,7,1,12,8,12,11,13,12,8,13,9,5,14,13,- -  -,
Delbert Hazel,M/AM (C),6.20,6.20,9,8,3,13,6,3,4,5,2,1,1,5,2,9,4,3,8,13,7,1,14,13,2,11,3,3,5,12,8,11,3,3,2,13,5,5,6,6,1,3,2,2,8,5,13,2,4,18,14,10,11,12,10,11,8,7,9,15,- -  -,Inj
Thomson Kalopilelu,AM (C),6.21,6.21,6,6,1,9,5,3,3,5,3,1,1,6,3,4,13,2,6,12,3,1,5,10,3,1,4,1,4,13,9,7,1,5,13,8,4,5,4,6,2,2,3,5,5,13,5,2,13,16,9,14,12,11,14,9,12,1,13,9,- -  -,Ama
Trésor Mputu,"M (C), AM (RC), ST (C)",6.58,6.58,8,12,1,14,10,3,5,7,4,2,2,5,11,11,8,2,13,15,2,5,9,14,2,10,7,3,11,15,11,10,1,9,6,11,9,10,8,7,1,1,8,6,9,11,12,1,9,8,10,3,14,2,8,10,6,18,12,6,- -  -,
Vitaly Fedorov,M/AM (C),6.89,6.89,6,11,4,8,5,3,3,5,2,3,2,4,2,7,10,2,6,12,5,4,6,12,4,7,2,3,4,11,12,9,3,7,6,5,4,3,5,7,3,1,1,6,7,9,7,1,9,11,13,12,11,11,11,2,9,2,8,13,- -  -,Ama
Jeferson Douglas,M/AM (C),6.67,6.67,10,12,3,13,9,3,7,9,2,3,3,5,9,12,12,3,12,12,5,3,11,3,1,5,8,2,11,13,12,11,2,12,13,10,11,9,8,11,1,3,9,11,10,13,8,1,13,10,9,12,9,12,10,12,7,7,11,10,- -  -,Loa
Hussain Latheef,AM (C),6.72,6.72,10,9,1,7,5,3,1,7,3,3,3,4,5,5,12,2,5,14,3,1,9,13,3,1,1,2,3,10,11,5,3,7,7,11,3,3,3,7,2,1,1,4,5,12,5,2,12,14,9,14,12,10,6,7,7,5,13,12,- -  -,
Yekalo Getge,M/AM (C),7.07,7.07,6,7,3,10,5,3,2,5,2,2,1,5,3,11,10,3,6,8,2,1,6,6,3,1,2,3,4,13,10,7,3,5,9,12,1,3,4,6,1,1,4,5,6,12,5,1,13,16,13,10,11,9,8,3,12,5,20,13,- -  -,Ama
Rachid Diarra,AM (C),6.97,6.97,6,12,2,13,7,3,4,8,2,1,2,5,1,13,11,1,9,8,3,3,11,8,3,6,1,1,5,13,13,8,1,11,13,10,5,2,5,7,3,1,6,7,9,10,7,1,11,13,11,11,12,12,5,16,5,1,15,11,- -  -,
