Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Luke Woodland,"D (C), DM",7.18,7.18,12,9,4,11,9,7,11,12,3,2,3,11,4,11,8,4,12,11,8,8,8,9,3,12,7,3,8,9,10,7,2,9,13,9,10,10,12,9,2,1,8,11,8,7,12,1,11,13,13,14,12,13,8,6,20,4,13,14,- -  -,
Víctor Torres,D (C),7.15,7.15,8,9,3,13,9,7,13,11,2,2,3,11,8,13,9,2,10,11,11,7,12,5,1,17,17,1,3,10,11,7,2,9,16,9,9,8,8,7,1,2,6,8,10,9,5,1,9,11,8,10,8,10,15,7,6,8,11,11,- -  -,
Davy Frick,"D (C), DM",7.02,7.02,12,15,1,13,13,8,13,11,2,2,3,10,6,12,11,3,14,15,5,7,9,9,4,15,14,2,6,11,11,12,2,11,9,12,13,4,12,12,1,3,13,7,11,9,14,3,10,10,13,11,12,16,3,14,7,3,17,12,- -  -,
Matías Iglesias,"D (C), DM, M (C)",6.72,6.72,13,11,1,13,14,9,15,11,1,1,1,13,8,14,7,2,10,12,11,12,12,17,1,15,16,3,11,9,12,9,1,10,16,13,11,8,12,12,3,2,13,14,13,6,14,1,5,9,8,15,15,16,11,16,16,9,14,13,- -  -,
Salem Sultan Al-Sharji,D (C),6.46,6.46,10,10,2,12,10,9,9,8,1,2,3,12,12,13,10,2,12,9,12,7,6,8,3,5,8,1,9,12,10,9,3,10,11,12,10,10,10,10,3,2,8,9,10,12,10,2,12,8,12,13,12,7,12,6,6,11,10,15,- -  -,
Billy Sass-Davies,D (C),6.92,6.92,13,10,1,12,13,9,14,13,3,1,2,9,7,11,12,3,9,12,12,6,6,6,1,14,13,1,6,11,8,5,1,10,10,10,4,5,10,12,1,3,8,12,10,10,6,1,11,10,11,15,10,11,8,8,9,6,13,9,- -  -,Inj
Rúben Fernandes,D (C),6.79,6.79,10,11,2,10,12,9,11,12,3,2,2,15,9,13,9,3,9,13,14,10,9,17,2,12,12,2,9,8,10,9,3,7,12,12,7,8,15,13,1,1,14,14,12,8,13,2,7,15,15,15,13,18,7,10,7,6,13,15,- -  -,
James Abankwah,D (C),7.19,7.19,13,11,3,12,12,10,13,14,2,1,3,11,5,12,12,2,9,15,12,7,5,6,1,13,12,2,5,9,11,6,1,10,15,12,7,3,12,10,1,3,12,14,11,12,11,1,14,14,7,14,12,6,5,10,7,5,12,15,- -  -,
Elliott Moore,D (C),6.89,6.89,13,10,2,11,14,10,13,14,3,1,4,12,7,12,11,2,12,12,11,10,5,13,3,16,7,3,3,8,10,8,3,8,13,12,8,8,15,14,1,2,12,11,13,10,12,1,11,19,14,15,14,9,6,14,15,1,14,12,- -  -,
Luke Offord,D (C),6.97,6.97,15,11,1,11,12,10,11,14,4,4,2,11,6,12,12,3,9,13,12,3,6,12,2,13,12,2,5,12,9,5,1,8,16,9,5,6,12,11,2,3,10,10,11,9,10,1,12,15,11,15,14,12,5,13,6,3,15,12,- -  -,
Ben Hockenhull,D (C),6.77,6.77,10,8,1,13,13,10,12,12,2,1,4,11,5,12,13,1,6,15,10,6,4,10,1,14,11,2,5,4,12,6,3,8,14,9,7,4,12,12,3,1,13,12,10,6,12,1,12,11,15,13,12,11,3,10,6,2,14,11,- -  -,
Ray Fränkel,"D (C), DM",6.54,6.54,11,10,2,15,12,10,15,8,2,4,1,9,2,11,7,1,12,15,12,9,4,5,2,11,12,3,5,12,8,5,2,10,8,15,8,4,7,8,2,3,11,10,7,10,16,3,8,16,11,11,12,10,5,13,5,4,15,10,- -  -,
Giannis Michailidis,"D (C), DM",6.75,6.75,14,13,1,12,14,10,15,13,3,1,3,12,6,14,12,1,11,10,12,11,10,11,1,14,14,2,14,6,11,8,3,9,14,13,9,10,13,13,2,1,14,12,13,10,13,1,11,12,9,14,12,15,4,11,10,7,14,15,- -  -,
Shir Tzedek,D (C),6.61,6.61,13,11,2,13,14,10,14,11,1,3,2,10,12,11,7,3,7,11,10,4,6,16,1,10,11,2,4,5,11,3,1,6,14,12,4,4,11,12,1,3,16,12,9,6,13,1,7,11,8,12,13,17,5,10,4,7,12,11,- -  -,
Luke Turner,D (C),6.90,6.90,12,12,1,10,12,10,8,8,3,3,3,9,7,11,10,2,7,13,9,9,5,10,1,13,11,2,5,6,10,5,3,8,8,11,6,5,11,10,1,3,11,10,11,12,8,1,11,16,9,13,12,10,6,10,4,2,11,10,- -  -,
Felix Götze,"D (RC), DM, M (C)",6.94,6.94,10,13,1,12,14,11,10,13,4,3,1,10,8,12,9,2,8,12,11,9,7,9,2,14,15,3,7,8,12,7,3,11,15,11,8,6,10,14,1,3,16,11,13,12,14,3,12,15,13,14,12,11,5,13,11,6,12,14,- -  -,
Hrvoje Barišić,D (C),6.98,6.98,14,13,1,11,12,11,12,14,2,1,1,12,6,12,11,2,12,13,12,9,9,8,3,15,11,3,7,12,12,9,2,8,13,10,8,8,11,10,3,3,13,10,12,9,13,3,11,12,8,11,7,11,10,10,10,5,12,11,- -  -,
Jeroen Veldmate,D (C),6.68,6.68,13,12,1,12,14,11,11,13,1,3,2,12,12,12,10,1,11,6,13,9,11,16,3,14,14,1,14,6,12,10,3,10,3,11,11,5,12,14,2,1,9,8,11,5,11,1,7,13,12,15,7,11,16,9,5,8,13,10,- -  -,Inj
Nader Ghandri,"D (C), DM, M (C)",6.91,6.91,12,11,3,13,12,11,15,14,1,4,2,12,10,12,10,1,9,13,11,5,11,7,1,16,15,3,7,12,13,6,2,10,13,11,11,3,10,12,2,1,12,16,12,12,14,1,9,11,12,10,12,9,5,14,13,5,12,13,- -  -,
