Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Paul Poila,M (C),6.61,6.61,10,6,2,3,6,2,6,12,2,2,1,5,2,5,13,1,4,13,5,1,3,1,2,4,2,1,3,5,7,2,3,1,9,4,3,2,3,5,1,3,3,4,4,13,13,3,13,16,10,12,10,12,7,8,11,7,11,9,- -  -,Ama
Emanie Amedee,M (C),5.71,5.71,8,2,1,5,4,2,4,12,2,2,1,5,2,5,5,2,3,5,5,1,5,9,1,5,1,1,1,5,4,2,3,1,13,12,1,3,4,13,3,2,3,5,4,6,11,3,5,18,11,12,11,9,6,1,9,3,10,13,- -  -,Ama
Key Viliamu,M (C),6.52,6.52,10,8,2,4,5,2,4,12,2,3,1,6,1,4,12,1,3,7,7,1,4,12,3,7,2,1,2,5,7,2,3,1,15,10,1,2,2,3,2,1,4,4,3,12,10,1,12,18,9,11,12,11,12,3,6,4,17,9,- -  -,Ama
Mohamed Abdullah Mohamed Najibdeen,M/AM (C),7.09,7.09,11,6,3,7,6,3,6,7,1,3,2,5,2,8,11,1,5,9,6,2,3,11,1,11,4,1,4,11,12,7,3,6,4,5,4,4,5,5,3,2,6,6,7,9,15,1,13,13,10,10,11,11,7,8,9,8,11,12,- -  -,
Manothai Sengphathid,M (C),6.73,6.73,9,12,3,6,5,3,2,9,2,3,1,3,1,4,12,3,1,14,7,1,6,13,2,3,2,2,2,6,9,2,1,1,4,10,1,2,3,3,1,3,3,4,6,12,14,3,12,18,10,12,11,11,6,16,6,5,12,14,- -  -,
Sitaleki Fisi,M (C),6.84,6.84,10,5,3,6,5,3,4,10,3,1,4,2,1,8,12,1,2,9,8,1,2,4,2,7,2,1,2,6,9,1,2,1,12,6,1,1,4,3,1,3,1,4,4,12,12,1,13,12,10,8,9,11,11,1,12,2,8,13,- -  -,IPR
Esekiel Iqussen,M (C),6.44,6.44,10,13,3,4,5,3,2,8,3,3,2,3,1,8,13,2,2,12,5,1,2,12,3,7,3,2,3,5,8,1,2,3,5,7,1,3,4,3,3,2,4,4,6,13,15,3,10,10,10,11,11,10,9,13,13,3,13,11,- -  -,Ama
Shilton D'Silva,"DM, M (C)",6.17,6.17,14,10,3,8,15,3,4,8,3,3,2,4,1,6,9,3,6,7,2,1,6,15,3,6,3,3,10,12,7,5,1,3,15,6,5,7,11,4,3,2,12,8,5,11,7,2,10,13,9,16,9,10,14,13,13,6,12,13,- -  -,
Jireh Yobech,M (C),6.94,6.94,9,3,3,2,4,3,2,10,2,3,2,2,1,3,12,2,4,15,4,1,1,10,3,6,1,1,1,5,5,1,2,1,3,12,1,1,2,3,3,2,1,3,3,12,12,2,12,15,11,10,12,8,5,6,9,4,15,14,- -  -,Ama
Dulzito Furtado,M (C),6.60,6.60,9,12,3,6,5,3,2,9,3,2,2,1,1,5,12,3,5,13,6,1,3,6,4,7,1,1,2,5,8,3,3,1,11,5,1,2,3,5,2,2,1,3,6,12,15,2,12,20,11,9,9,12,5,6,6,7,8,12,- -  -,Ama
