Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Richey Hilario,M (C),6.80,6.80,9,4,1,6,5,5,3,10,1,2,1,4,2,11,10,3,5,8,7,1,4,11,1,3,2,2,2,5,5,2,1,1,13,7,1,2,3,3,1,1,3,4,3,10,10,3,6,16,12,11,12,11,11,8,6,8,15,13,- -  -,Ama
Jake Grech,M/AM (C),6.96,6.96,13,8,3,8,12,6,10,14,2,2,2,7,17,9,12,3,13,12,10,4,10,11,1,13,9,2,9,8,7,11,2,8,13,10,6,7,9,11,2,3,6,10,11,11,11,3,11,13,12,11,8,13,4,12,11,6,13,13,- -  -,
Benson Hunt,M (C),6.57,6.57,11,9,3,9,6,6,3,10,3,1,1,5,2,13,4,2,7,11,6,1,5,13,1,4,1,1,4,5,8,2,1,1,4,5,2,4,2,10,2,2,3,1,4,5,15,4,5,12,10,11,13,10,7,9,7,7,11,11,- -  -,Ama
Kilian Bauernfeind,M (C),6.95,6.95,11,8,3,9,11,7,14,12,3,2,1,12,7,15,13,3,12,11,7,1,12,4,2,16,7,3,10,10,8,5,1,8,17,8,5,5,9,9,3,4,9,10,7,11,5,3,14,15,10,13,10,13,7,4,11,1,9,10,- -  -,
Luke Moore,"DM, M/AM (C)",6.88,6.88,16,10,2,8,12,7,8,10,3,2,2,7,9,8,5,5,11,14,6,4,10,7,1,8,6,3,4,8,9,10,2,6,9,10,9,10,9,11,1,1,9,8,10,6,8,1,5,11,11,9,11,13,8,8,12,8,10,11,- -  -,
Theo Lewis,M/AM (C),7.31,7.31,8,8,3,9,10,7,9,12,1,3,2,5,6,10,9,4,10,11,5,5,7,6,3,5,4,3,6,9,8,8,1,8,13,8,7,7,8,6,2,1,8,9,7,9,7,1,8,13,12,10,9,9,4,4,4,4,12,11,- -  -,
Ryan Edwards,"DM, M (C)",6.80,6.80,7,3,3,10,12,7,7,9,3,2,2,7,6,12,6,2,9,8,11,4,9,8,3,7,8,3,5,12,7,8,3,8,16,8,9,5,10,9,3,1,8,8,9,9,6,3,7,14,12,10,11,14,13,9,5,7,14,9,- -  -,
Daniel Hayfield,M/AM (C),6.62,6.62,11,9,1,9,10,7,9,13,3,1,2,7,5,9,11,3,10,12,6,4,7,6,3,10,6,3,4,6,9,7,2,7,7,7,6,6,7,7,3,4,6,9,7,10,8,1,12,20,11,8,8,12,5,3,11,2,10,11,- -  -,
Stefan Mols,"DM, M (C)",7.13,7.13,13,11,1,12,10,7,9,15,3,1,2,7,13,11,11,3,8,10,6,6,9,9,1,12,6,3,9,7,11,7,2,9,14,8,9,9,5,10,2,1,3,7,5,10,3,1,11,16,14,18,11,16,3,8,4,5,7,15,- -  -,Set
Jean-Baptiste Fischer,M (C),6.65,6.65,9,10,3,8,11,7,10,13,3,3,3,9,3,9,10,1,9,12,7,3,7,11,2,8,7,1,9,6,9,6,3,7,9,8,7,6,8,8,2,1,6,9,6,10,5,3,9,16,11,12,12,10,11,15,4,1,7,9,- -  -,Set
