Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Kane Telesi,D (C),6.30,6.30,2,1,3,1,1,2,4,6,1,1,1,7,1,2,11,1,1,14,8,1,1,9,4,5,4,3,1,5,1,1,1,1,8,11,1,1,7,1,1,3,5,2,6,11,14,2,11,15,12,12,10,11,5,3,8,7,9,10,- -  -,Ama
Soti Neemia,D (C),6.37,6.37,3,2,3,1,3,2,3,8,1,1,2,8,1,3,12,3,2,9,7,1,2,8,3,4,11,3,1,5,3,1,1,1,17,11,1,1,6,3,4,2,6,3,6,12,8,3,12,18,12,13,10,9,11,3,14,5,9,11,- -  -,Ama
Ahmad Adib Mohd Saudian,"D (C), DM, M (C)",6.43,6.43,10,5,2,5,6,3,3,6,3,2,3,8,1,5,9,3,3,14,5,1,2,3,1,11,5,2,1,5,4,1,2,1,9,10,2,1,7,5,3,3,2,4,6,8,7,1,13,20,11,9,11,10,8,4,13,1,17,11,- -  -,Ama
Gikay Croes,GK,6.75,6.75,6,6,5,1,7,3,5,6,6,6,5,8,3,6,13,4,2,13,3,3,1,10,7,13,3,9,3,2,1,1,5,3,7,12,3,2,7,7,5,8,10,6,9,10,14,11,10,10,11,11,10,11,12,7,8,4,11,9,- -  -,Ama
Palsang Lama,D (C),7.03,7.03,5,1,1,1,2,3,9,10,4,2,1,8,1,3,12,3,1,14,7,1,1,12,1,8,5,2,1,5,1,1,1,1,2,12,1,1,5,2,3,3,2,3,6,12,12,3,12,19,9,10,10,10,15,11,8,3,14,12,- -  -,
Fata Filemoni,D (C),6.38,6.38,4,2,1,2,3,3,2,3,4,1,3,11,1,1,13,3,2,13,9,1,1,7,2,1,5,1,1,5,2,1,1,1,14,12,1,1,2,4,1,1,3,4,7,12,11,1,13,11,9,12,7,9,11,2,5,5,10,10,- -  -,Ama
Kyle Legozzie,"D (C), ST (C)",6.48,6.48,4,1,2,1,1,3,4,9,4,1,1,5,1,1,11,2,4,13,4,1,1,7,3,12,8,1,1,6,2,3,1,3,2,11,1,1,4,3,2,1,5,2,3,10,10,3,10,20,12,10,13,12,6,7,14,3,9,13,- -  -,Ama
Muhd Arif Ali Rahman,"D (C), DM, M (C)",6.27,6.27,7,1,3,3,4,3,7,3,3,1,2,8,1,2,7,2,2,12,5,1,3,13,4,12,1,2,1,5,4,1,2,1,2,9,1,1,3,3,4,3,1,3,4,11,10,2,11,18,9,13,12,10,11,1,8,5,8,11,- -  -,Inj
Zeron Azzopardi,"D (C), DM",6.42,6.42,10,7,1,5,6,4,5,7,1,2,1,3,1,8,7,2,1,7,8,1,6,3,1,10,6,3,4,5,4,1,2,1,6,14,2,2,4,6,1,2,5,2,6,6,7,3,11,16,10,10,10,9,9,15,11,3,7,11,- -  -,Ama
Billy Borge,D/M (C),6.53,6.53,7,8,2,8,7,4,11,12,2,3,1,8,1,7,9,3,7,15,7,2,6,11,3,8,6,3,4,5,8,5,3,2,16,10,3,2,7,5,2,1,7,7,8,11,7,1,12,18,11,12,11,10,6,3,9,6,8,11,- -  -,
Dominic Masters,D (C),5.76,5.76,3,1,2,1,1,4,4,8,1,1,1,8,1,1,11,1,1,7,8,1,1,10,2,5,8,2,1,5,2,1,4,1,10,11,1,1,3,2,1,2,4,3,6,11,15,3,11,12,9,12,10,9,5,2,5,5,10,12,- -  -,Ama
