Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Yamanalage Lakshitha Jayathunga,M/AM (C),6.75,6.75,10,10,4,7,5,1,2,11,1,2,2,4,1,9,8,2,9,14,4,1,5,9,2,5,3,2,2,8,12,5,3,4,12,6,3,3,4,5,2,3,3,4,6,8,5,1,12,11,12,10,13,12,11,8,6,5,14,10,- -  -,Inj
Singthong Siyavong,M/AM (C),6.55,6.55,5,11,1,7,3,1,7,10,3,3,2,2,1,6,11,2,8,8,1,1,4,11,2,9,3,2,1,8,8,3,1,4,10,8,1,2,3,5,2,3,5,3,7,11,12,2,11,16,9,11,8,11,13,9,12,8,14,12,- -  -,
Stéphane Mapé,M (C),6.56,6.56,10,7,1,12,5,1,4,8,1,2,4,4,2,12,12,2,2,14,2,1,10,1,1,6,1,1,3,6,13,4,4,3,7,11,1,2,4,3,2,1,4,4,2,12,5,2,9,14,9,13,12,10,5,11,9,1,6,11,- -  -,
Steven de Brito,"M (C), AM (LC)",6.61,6.61,9,8,3,7,4,1,2,11,1,1,2,3,1,8,10,3,6,13,2,2,4,13,1,4,1,1,2,8,12,5,2,6,8,11,2,2,1,2,2,2,3,1,1,6,10,2,8,10,10,11,11,11,12,9,13,3,9,12,- -  -,Ama
Marcus McMillan,M/AM (C),6.73,6.73,6,7,3,12,5,1,4,9,3,3,2,5,1,12,12,1,8,10,5,1,9,10,2,7,9,3,3,13,10,11,3,6,8,12,3,9,3,4,3,2,5,5,6,12,8,1,12,20,7,11,11,11,12,9,9,13,13,11,- -  -,Ama
Loi Wai Hong,M (C),6.79,6.79,8,11,1,5,4,1,4,11,2,2,3,1,1,9,11,3,3,7,7,1,6,9,3,3,2,2,1,5,9,2,1,1,3,9,1,1,1,3,1,2,1,3,4,10,5,2,11,19,9,11,11,11,11,4,7,3,7,11,- -  -,Ama
Keston James,M (C),6.69,6.69,9,6,1,5,4,1,3,4,2,3,2,2,1,6,11,1,3,13,5,1,2,12,3,5,1,1,1,5,10,2,2,1,14,12,1,1,2,5,1,3,4,2,4,9,12,3,11,19,10,10,9,10,12,12,5,3,8,11,- -  -,Ama
Cláudio Duarte,M (C),6.38,6.38,10,7,1,12,6,2,3,5,4,1,3,4,3,11,5,3,5,10,6,1,12,2,1,12,3,2,3,5,11,4,3,1,11,10,2,3,4,3,3,1,5,3,6,5,15,1,3,16,11,11,12,9,6,1,12,7,7,11,- -  -,
Adileno Costa,M (C),6.50,6.50,9,4,3,6,4,2,4,4,2,1,1,1,1,8,11,1,5,11,7,1,1,11,3,9,1,2,1,5,11,1,3,1,3,6,1,1,2,8,2,2,1,3,3,10,14,3,11,11,10,10,10,13,6,8,10,3,6,11,- -  -,Ama
Logic Chingandu,M/AM (C),6.84,6.84,13,9,1,12,8,2,6,10,1,1,3,9,5,14,13,3,13,7,6,3,11,10,3,5,5,3,14,9,12,10,1,12,12,13,12,11,6,7,3,1,5,10,11,13,9,2,12,19,11,11,11,13,13,1,8,7,12,10,- -  -,
