Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Brian Brobbey,ST (C),7.24,7.24,14,9,1,13,11,4,17,12,1,1,3,5,12,11,13,4,11,13,5,4,10,8,1,12,13,1,10,14,13,14,3,11,14,14,6,5,12,15,3,3,14,17,13,13,6,1,14,15,9,15,13,5,12,11,4,7,13,14,- -  -,
Ben Malango,ST (C),6.84,6.84,13,12,1,12,10,4,16,12,2,1,2,11,11,12,13,3,13,14,12,10,10,13,3,12,13,2,9,7,14,15,2,12,15,11,12,10,10,11,1,1,10,10,12,14,13,2,14,12,12,16,8,6,10,13,5,4,11,10,- -  -,
Ernesto Torregrossa,ST (C),6.94,6.94,15,12,1,13,15,4,13,12,1,1,3,4,13,12,12,3,13,15,3,3,11,13,2,13,16,3,8,12,13,13,4,12,13,11,10,6,11,12,1,1,13,12,13,13,12,1,12,18,13,14,11,14,3,15,6,7,13,12,- -  -,
Mohammed Bouldini,ST (C),6.84,6.84,12,10,2,14,8,5,15,12,3,2,3,5,8,10,15,1,12,8,4,5,10,5,3,14,14,2,5,18,11,16,2,14,12,12,8,5,10,13,4,3,12,12,14,13,10,1,15,15,14,13,12,8,13,12,6,6,15,12,- -  -,
Jhonatan Agudelo,"AM (C), ST (C)",7.38,7.38,14,10,2,13,12,5,13,13,4,1,1,8,14,12,12,2,13,13,4,4,10,15,3,13,14,2,8,10,10,14,1,12,14,13,9,8,13,10,2,1,12,12,13,13,10,1,13,11,13,13,10,15,10,10,4,9,15,12,- -  -,
Nélson Oliveira,ST (C),7.03,7.03,12,11,3,14,10,5,14,10,2,1,1,9,14,12,11,1,13,12,6,3,13,10,3,12,14,2,11,14,13,13,3,12,14,12,9,5,12,13,1,1,12,15,14,11,13,2,11,10,12,13,13,8,13,13,10,13,14,14,- -  -,
Juan Manuel Cruz,ST (C),6.85,6.85,12,11,2,13,13,6,12,14,1,2,1,8,12,9,13,1,13,13,5,8,13,8,1,11,14,3,8,12,13,13,2,12,12,12,7,7,10,13,3,1,12,13,13,14,9,3,12,11,14,13,11,10,5,9,8,5,12,11,- -  -,
Ali Mabkhout,ST (C),6.92,6.92,12,9,2,13,11,6,14,11,1,2,3,12,14,10,15,3,10,10,5,7,14,14,3,10,12,1,9,13,9,15,1,12,1,11,9,8,11,10,3,3,8,15,12,14,11,3,13,20,11,12,9,13,10,8,9,6,13,14,- -  -,
Habib Diallo,ST (C),6.89,6.89,14,12,4,13,11,6,16,14,2,3,2,10,15,11,14,1,13,15,6,8,10,11,2,14,15,2,10,13,11,15,3,11,11,11,7,8,13,13,1,2,15,16,12,13,7,3,14,14,12,12,12,13,6,10,7,8,13,14,- -  -,
Gianluca Scamacca,ST (C),6.98,6.98,14,13,1,14,14,6,16,14,3,1,1,5,12,12,13,2,15,15,5,4,16,12,1,17,16,3,13,16,14,17,2,12,16,13,6,5,13,13,3,3,14,16,15,13,14,1,11,9,9,14,13,9,5,13,8,9,15,16,- -  -,Set
Hugo Ekitike,"AM (R), ST (C)",7.05,7.05,12,11,1,12,11,6,13,12,3,3,1,6,11,12,14,2,12,13,6,9,11,7,3,14,13,1,9,12,12,13,2,12,12,12,11,10,11,12,3,3,13,12,12,12,12,1,14,13,10,12,10,9,7,11,6,4,10,14,- -  -,
Francisco da Costa,ST (C),6.88,6.88,11,11,3,13,9,6,13,11,3,4,1,9,10,13,13,2,12,12,6,6,12,8,2,14,13,3,12,14,11,13,3,12,10,10,10,11,12,12,1,3,12,13,13,13,9,3,14,17,8,9,10,12,12,9,12,6,12,9,- -  -,
Jørgen Strand Larsen,ST (C),6.83,6.83,12,11,3,12,12,6,17,15,2,2,2,7,12,11,13,2,14,13,6,6,14,11,3,14,14,2,6,13,13,15,2,12,12,12,6,5,12,13,3,2,12,16,13,12,10,3,12,13,11,12,6,4,6,11,8,6,12,17,- -  -,
Lucas João,ST (C),6.83,6.83,8,9,1,13,9,6,15,12,1,2,1,5,13,9,11,3,10,15,6,6,12,6,3,16,14,2,7,15,14,14,2,12,13,8,7,6,9,14,2,2,11,14,9,14,11,4,11,12,12,14,11,12,10,11,6,5,13,15,- -  -,Set
Andraž Šporar,ST (C),7.04,7.04,10,12,4,12,11,6,14,13,3,2,3,7,14,10,14,2,14,13,4,6,11,5,1,12,13,1,10,15,13,13,2,12,13,13,9,7,11,13,1,3,12,14,13,12,11,3,13,10,12,14,13,16,12,14,9,15,12,15,- -  -,
Antonio Sanabria,ST (C),6.66,6.66,11,12,3,14,13,6,12,12,1,1,2,5,12,12,13,3,15,13,5,4,11,9,3,13,16,2,11,13,15,13,3,12,13,12,9,5,11,12,1,1,12,13,13,15,13,1,14,12,13,14,11,12,10,8,9,8,13,13,- -  -,
Rafa Mir,ST (C),6.74,6.74,14,11,2,12,11,6,15,14,3,2,2,12,15,11,15,3,13,15,6,7,14,10,1,15,17,3,7,12,14,15,3,12,13,13,10,5,14,13,1,1,12,14,13,12,10,4,14,12,12,12,12,9,8,14,8,13,14,17,- -  -,
Shamar Nicholson,"AM (RL), ST (C)",6.76,6.76,13,12,2,11,11,6,13,13,1,3,2,8,10,10,13,4,15,14,5,5,10,8,1,16,15,2,11,14,12,13,1,11,15,12,12,9,13,14,2,2,13,11,12,13,12,1,14,15,13,13,14,13,3,12,7,3,13,15,- -  -,
Ishak Belfodil,"AM (C), ST (C)",6.82,6.82,10,14,1,15,8,6,14,11,3,1,3,7,12,14,10,1,14,12,6,7,11,9,4,16,16,1,13,15,16,12,3,14,11,12,12,10,10,13,2,4,14,15,14,11,9,3,11,7,10,8,13,5,9,12,8,16,9,14,- -  -,
Fábio Abreu,"AM (L), ST (C)",7.27,7.27,10,13,3,12,9,6,16,12,3,3,1,12,12,11,14,1,14,14,5,4,8,12,1,14,15,4,7,12,12,16,2,13,11,8,8,7,12,13,2,1,15,12,13,12,13,3,15,12,8,13,14,7,6,15,12,10,13,14,- -  -,
Milton Giménez,ST (C),7.03,7.03,12,10,2,13,11,7,14,13,2,2,2,6,13,13,13,1,12,12,5,4,11,8,1,13,15,3,6,11,11,14,2,12,12,14,5,8,12,12,2,2,12,12,14,13,12,3,13,10,12,10,13,11,10,10,9,5,14,11,- -  -,
Gonçalo Paciência,"AM (C), ST (C)",6.61,6.61,12,13,3,14,10,7,16,12,3,4,3,7,15,13,14,3,12,12,7,5,12,8,2,13,14,1,10,14,15,11,3,15,11,11,9,8,11,11,4,2,12,15,13,14,9,2,11,12,7,14,9,15,8,11,6,13,12,12,- -  -,
Martín Satriano,ST (C),6.93,6.93,13,11,1,13,12,7,13,15,1,2,2,8,12,11,12,2,13,14,5,5,11,11,2,14,15,1,8,13,12,14,3,11,15,13,8,7,12,12,2,2,13,14,14,13,12,3,13,18,12,15,13,11,6,10,8,7,14,15,- -  -,
Marvin Ducksch,ST (C),6.76,6.76,9,13,1,12,12,7,13,13,2,1,1,6,13,12,14,3,12,11,5,6,14,5,3,14,15,1,14,13,12,15,2,10,10,11,11,13,11,12,3,1,7,10,14,14,11,3,13,8,8,8,11,12,12,13,8,14,10,14,- -  -,Inj
Jonatan Bauman,ST (C),6.92,6.92,15,12,1,12,14,8,14,11,2,2,1,9,13,12,12,3,15,13,7,6,9,10,2,10,14,2,8,9,12,14,4,13,10,12,11,7,13,15,1,3,12,13,14,13,11,1,12,8,12,13,10,9,6,13,12,6,10,12,- -  -,
Germán Berterame,ST (C),7.05,7.05,12,11,1,13,11,8,14,12,2,1,2,11,16,11,13,1,13,11,7,13,13,9,2,9,15,1,9,12,13,16,1,14,19,14,11,10,13,13,1,2,14,13,15,15,11,3,14,17,13,12,10,11,7,13,13,6,14,13,- -  -,Wnt
Matheus Babi,ST (C),6.81,6.81,14,12,2,12,10,8,10,13,2,1,2,6,14,10,10,2,12,12,8,8,12,12,3,16,14,3,10,11,12,12,2,12,12,11,8,8,11,12,1,2,13,9,13,12,12,1,11,12,10,13,12,12,13,13,14,7,12,15,- -  -,
Zé Luís,ST (C),7.09,7.09,8,13,1,14,13,8,16,11,3,2,2,6,12,11,13,3,12,10,9,10,12,10,3,15,15,3,9,14,14,13,3,13,13,13,8,7,10,10,2,1,12,13,13,11,14,1,12,12,14,10,14,13,13,12,8,13,13,12,- -  -,
Victor Boniface,ST (C),6.77,6.77,12,9,3,15,12,9,18,11,3,1,1,9,14,9,14,1,11,10,10,10,13,9,2,14,13,4,10,15,15,13,3,13,15,7,10,7,10,11,3,3,11,17,13,13,13,1,13,18,12,13,10,10,16,10,10,5,11,13,- -  -,
Robert Berić,ST (C),7.47,7.47,13,10,3,13,13,9,15,14,3,3,1,10,10,11,12,3,14,13,7,10,10,10,1,14,15,3,11,11,12,14,1,11,14,11,9,8,14,13,3,3,10,15,14,12,14,3,12,12,13,14,12,12,13,13,8,8,11,15,- -  -,
Alex Valera,ST (C),7.18,7.18,13,8,1,14,14,9,13,9,1,2,3,10,13,14,13,1,9,13,11,7,13,8,3,13,13,3,9,13,13,14,1,14,9,15,12,7,14,13,2,1,10,13,15,13,14,2,14,10,8,13,12,12,7,13,9,4,15,12,- -  -,Inj
José Manuel López,ST (C),7.09,7.09,14,12,1,13,11,9,13,14,3,3,3,9,12,12,12,3,15,13,8,7,10,11,3,16,16,1,8,12,12,15,2,12,11,13,10,10,14,14,1,3,14,15,15,13,12,1,13,20,9,11,11,10,8,4,11,8,13,10,- -  -,Wnt
Adrien Hunou,"AM (RC), ST (C)",6.86,6.86,14,14,1,14,13,10,12,13,2,2,3,12,10,13,13,3,12,12,8,6,11,10,1,11,14,1,11,14,13,14,2,12,14,12,11,8,12,12,2,3,13,12,17,14,10,2,13,15,15,14,9,14,11,12,12,7,11,12,- -  -,
Shahab Zahedi,"AM (RL), ST (C)",7.01,7.01,13,12,2,12,11,11,13,10,1,3,3,10,15,11,13,3,14,12,7,3,12,12,3,14,13,2,5,9,12,13,3,12,13,12,7,7,12,13,2,1,12,13,12,12,13,1,14,15,9,10,12,9,9,11,11,7,11,11,- -  -,
