Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Jermar Lopez,D/WB (R),6.82,6.82,9,4,2,10,9,6,2,8,3,2,2,9,1,10,15,3,8,14,10,8,3,5,3,4,8,2,4,6,10,6,3,6,19,13,13,7,7,8,1,3,9,9,6,15,14,1,15,3,4,10,9,10,5,7,8,4,9,11,- -  -,
Sylvio Ouassiero,"D (RL), WB (R)",6.79,6.79,11,9,2,13,8,6,9,11,3,1,2,6,7,10,13,1,10,13,5,6,7,5,3,8,7,1,9,12,12,8,2,11,12,10,8,8,10,10,2,3,9,12,10,10,14,3,14,11,12,12,11,10,12,9,6,12,11,12,- -  -,
Ross Redman,D/WB (L),6.77,6.77,13,10,2,12,11,7,8,9,2,2,2,6,7,10,11,2,10,16,9,15,6,13,3,9,6,2,5,11,9,5,1,9,17,11,11,10,8,14,3,2,9,10,8,13,11,2,10,12,16,16,15,20,4,13,9,10,14,19,- -  -,
Oscar,"D/WB (L), DM, M (C)",6.87,6.87,10,12,1,14,11,7,10,13,3,2,1,12,12,14,15,1,13,8,5,9,8,6,2,7,7,2,13,15,14,8,2,14,12,13,11,7,13,14,3,3,9,12,14,17,7,2,15,13,12,12,6,9,12,9,8,9,13,12,- -  -,
Mike Katiba,"WB (R), AM (C)",6.85,6.85,9,10,1,14,8,7,6,14,1,1,2,7,7,10,14,3,9,12,8,4,9,1,3,2,7,3,7,13,11,12,3,9,14,10,10,7,4,8,2,1,7,7,7,14,8,2,14,16,12,11,11,10,12,12,12,6,12,9,- -  -,
Noppanon Kotchpalayuk,D/WB (R),6.40,6.40,13,10,4,10,11,7,7,8,1,1,1,8,8,10,11,2,6,11,8,13,4,3,1,7,10,2,4,15,11,6,1,12,11,9,10,10,9,8,3,4,12,8,8,11,9,3,12,13,10,9,12,12,13,5,5,3,8,12,- -  -,
Maximilian Blatt,WB (L),6.42,6.42,7,10,3,9,8,7,8,7,2,1,1,8,1,16,12,2,8,12,9,3,3,11,2,8,4,2,2,6,14,1,3,8,14,13,9,5,11,7,2,1,4,7,7,12,8,3,11,14,11,12,10,10,11,10,5,3,15,10,- -  -,
Sami Al-Sabahi,WB (L),6.69,6.69,8,7,2,9,8,7,9,9,1,3,3,7,3,9,13,3,8,13,6,2,2,10,4,14,3,1,1,8,12,7,2,8,12,11,12,4,5,8,3,3,7,8,9,12,5,2,14,20,9,15,12,12,15,15,8,6,9,12,- -  -,
Fernando Ortega,D/WB (R),6.92,6.92,11,5,2,10,5,7,7,13,3,3,3,6,3,10,11,3,10,12,7,5,1,4,2,3,6,2,1,6,10,9,1,9,14,10,10,3,11,6,1,1,8,10,11,11,12,3,13,14,12,12,13,11,6,1,7,5,10,12,- -  -,
Bali Mumba,"D (R), WB (RL), DM, M (C)",6.91,6.91,13,10,1,12,13,8,5,15,1,3,1,7,10,11,14,3,11,13,8,4,8,8,3,6,7,2,6,13,12,7,2,13,14,8,8,4,10,15,3,2,12,12,11,15,9,1,15,13,12,14,12,12,5,10,5,6,10,13,- -  -,
Enmy Manuel,D/WB (R),6.89,6.89,11,5,4,9,13,8,4,16,1,3,1,7,2,13,13,1,11,16,7,6,6,10,1,3,5,2,3,8,11,5,4,10,11,9,11,6,9,9,2,1,8,14,9,12,8,3,14,16,12,15,12,10,7,10,5,3,8,13,- -  -,
Juha Pirinen,"D (LC), WB (L)",6.71,6.71,14,12,1,12,12,8,13,13,3,3,2,10,6,14,12,1,13,12,9,9,9,12,3,13,8,2,9,9,10,7,2,10,16,9,11,10,9,12,1,2,13,14,10,12,15,2,13,8,7,12,14,12,6,12,13,10,14,14,- -  -,
Maksym Gendera,D (RL),7.30,7.30,10,8,1,11,9,8,5,8,1,3,3,9,6,6,12,2,11,12,6,8,8,4,1,10,3,3,4,9,9,7,3,11,15,9,7,8,9,12,2,3,10,9,13,12,7,1,13,12,7,11,12,8,13,10,5,4,11,13,- -  -,
Gergő Lovrencsics,D/AM (R),7.04,7.04,16,9,2,13,16,8,10,13,3,2,2,7,8,12,13,3,13,13,6,5,11,16,3,9,8,1,10,12,12,11,1,10,12,7,11,12,9,9,1,2,15,13,11,13,9,1,12,11,10,14,10,13,9,11,7,7,12,12,- -  -,Wnt
Mihai Căpăţînă,"D/WB (R), M (C)",6.59,6.59,12,11,2,12,12,8,12,12,1,2,1,10,14,14,11,2,12,12,7,7,13,11,4,12,10,1,11,11,12,12,2,13,12,11,12,11,12,12,2,2,9,12,11,13,9,2,12,11,12,13,12,10,5,12,5,5,13,12,- -  -,
Bekjan Sagynbaev,D/M/AM (L),6.89,6.89,8,6,2,8,7,8,7,13,1,1,1,7,5,11,13,1,11,7,7,1,3,2,1,4,6,2,6,11,10,10,2,5,6,13,8,5,3,8,1,1,8,7,10,13,11,2,13,18,12,10,10,12,12,7,13,8,12,12,- -  -,
Hendrick Zuck,"D/WB (L), M (LC)",6.70,6.70,12,12,1,12,10,8,8,13,3,1,1,8,9,11,11,1,14,13,6,10,9,7,3,7,6,3,11,13,12,10,1,10,14,13,12,11,12,9,4,2,13,9,10,15,15,3,12,12,12,10,9,10,9,10,5,13,13,11,- -  -,
Calvin Ramsay,D/WB (R),6.80,6.80,12,14,2,15,13,8,10,10,3,1,3,8,9,14,14,2,12,12,10,10,7,11,2,11,7,2,14,14,12,8,2,14,16,8,14,13,10,11,4,2,6,12,12,13,10,3,14,14,10,15,11,12,12,16,6,3,14,18,- -  -,
Fawaaz Basadien,"D/WB/M (L), AM (RL)",6.69,6.69,9,8,1,11,9,8,6,13,1,3,3,9,4,12,13,2,13,13,8,7,8,2,2,5,1,3,7,11,11,8,3,9,14,13,10,7,9,8,2,1,5,9,11,13,6,3,13,13,12,10,13,10,13,13,12,3,9,12,- -  -,
Vincent Collet,D (R),6.84,6.84,13,10,1,10,12,8,8,10,2,2,1,7,4,10,12,2,10,13,7,9,5,9,3,6,8,3,5,5,11,6,1,10,10,16,11,9,10,8,1,3,10,10,11,13,8,1,13,17,10,12,12,14,10,16,14,1,13,10,- -  -,
Vitor Leite,D/WB (R),6.55,6.55,11,6,3,9,7,8,8,10,2,2,1,9,3,11,13,3,7,12,8,7,1,11,3,6,5,2,2,5,11,2,2,12,12,11,11,6,11,11,1,2,9,14,9,13,10,2,14,18,7,12,11,12,8,2,10,7,14,10,- -  -,
Mohammed Al-Sadodi,WB (L),6.88,6.88,10,9,3,16,9,8,10,6,1,1,1,7,3,14,6,1,9,12,9,8,7,12,2,14,5,1,2,5,13,2,3,9,3,9,11,6,8,9,1,3,3,5,12,7,9,2,10,20,12,11,10,11,7,3,12,4,11,12,- -  -,
Patrik Klančir,D (L),6.50,6.50,12,10,2,11,12,9,11,12,2,3,2,8,2,9,12,2,10,14,9,11,4,11,2,8,8,1,2,11,12,1,1,9,3,13,10,4,12,9,2,1,12,13,6,12,11,3,13,12,10,11,9,10,12,3,8,2,9,11,- -  -,Int
Kacy Parish,"D/WB (R), DM, M/AM (C)",7.30,7.30,13,4,1,10,9,9,6,9,1,3,3,5,2,10,11,2,8,12,4,2,9,12,2,5,4,2,5,14,10,10,1,9,14,12,8,6,7,8,3,1,4,4,7,9,15,3,8,10,9,9,10,10,12,9,9,8,10,12,- -  -,
Fitsum Girma,WB (L),6.45,6.45,7,6,1,9,7,9,1,9,1,4,2,4,1,9,14,2,3,15,6,6,2,11,3,3,4,2,1,5,13,5,2,6,4,12,11,5,9,7,3,3,2,7,5,14,13,1,14,10,10,10,9,11,13,12,7,6,20,12,- -  -,
Evan Osam,"D (RL), WB (L)",7.19,7.19,10,9,2,11,12,9,10,11,3,2,1,9,6,10,12,2,10,12,9,10,6,5,3,9,9,1,4,11,10,5,2,10,12,10,10,6,7,9,3,1,9,12,10,11,9,1,12,11,12,14,11,12,9,11,5,5,12,12,- -  -,
Josh Key,D/WB/M/AM (R),6.79,6.79,13,10,2,12,10,9,9,13,2,3,1,8,10,10,14,2,10,13,8,12,8,8,1,10,9,1,8,11,11,7,1,9,14,10,11,9,9,9,1,2,9,12,9,13,7,1,13,14,13,15,9,11,6,11,7,5,13,10,- -  -,Wnt
