Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Renardo Burgher,"AM (C), ST (C)",6.66,6.66,8,7,3,11,10,1,10,7,1,2,3,5,6,12,13,2,13,15,5,2,8,11,1,8,8,2,6,14,13,10,1,8,4,12,6,5,5,10,1,2,7,12,4,7,5,2,13,13,14,11,13,8,2,14,5,1,10,11,- -  -,
Khairul Amri,ST (C),6.68,6.68,7,12,4,12,10,1,5,5,4,4,1,6,8,11,9,1,10,13,6,4,4,7,3,3,3,3,11,15,11,11,1,10,11,7,10,7,8,8,3,3,8,6,6,5,9,4,9,9,10,10,13,9,12,14,7,7,13,15,- -  -,
Lee Casciaro,"AM (RLC), ST (C)",6.90,6.90,8,10,3,11,13,2,8,9,3,2,1,8,3,13,9,3,10,15,6,4,7,9,1,8,9,1,3,15,13,12,3,2,15,12,5,5,8,9,3,3,4,5,7,6,16,1,9,17,17,17,8,20,14,1,14,4,19,17,- -  -,Inj
Zlatan Ibrahimović,"AM (C), ST (C)",7.04,7.04,6,14,2,18,13,3,17,7,3,1,2,4,13,14,7,2,15,20,3,5,14,20,2,18,15,1,14,20,19,17,2,9,20,15,11,3,16,15,2,2,18,17,16,8,16,4,7,5,5,20,20,10,15,18,16,20,18,20,- -  -,Lst
Ciprian Rus,ST (C),7.11,7.11,12,12,3,12,11,3,10,9,4,2,2,6,9,12,11,3,12,12,2,2,9,9,2,10,9,2,6,14,10,11,2,10,13,11,9,5,12,12,3,3,11,9,10,10,9,2,11,14,11,13,11,13,5,11,5,7,14,12,- -  -,
Park Chu-Young,"AM (C), ST (C)",5.47,5.47,8,13,1,10,12,3,8,9,1,2,3,10,10,12,8,4,12,8,4,4,11,6,3,13,10,1,12,10,12,10,2,7,5,11,10,10,11,10,1,4,9,12,11,8,8,2,8,11,6,6,5,4,13,8,4,3,11,20,- -  -,
Eren Aydın,ST (C),7.77,7.77,13,10,2,12,14,3,10,7,1,2,1,4,9,8,12,3,10,15,4,4,11,14,1,10,11,3,9,14,11,13,1,13,10,14,7,5,8,12,1,2,12,13,10,12,9,4,11,17,12,9,10,9,6,4,6,3,9,12,- -  -,
Jorge Villalón,"M/AM (C), ST (C)",7.24,7.24,10,11,3,13,9,3,8,6,1,4,1,9,6,11,6,1,13,14,8,3,10,7,3,10,12,3,8,11,14,10,1,12,11,13,8,8,7,13,2,1,8,7,8,9,7,3,7,16,11,11,9,10,11,16,12,5,17,13,- -  -,
Fehmi Koç,ST (C),7.20,7.20,8,11,2,11,11,3,10,9,3,3,2,5,9,10,11,1,9,10,5,3,10,7,2,9,12,4,6,11,11,12,2,10,8,10,7,4,9,9,1,3,11,9,10,9,12,3,11,10,9,15,12,12,12,9,12,6,8,12,- -  -,
Fran Sol,ST (C),6.86,6.86,15,12,2,12,13,3,14,14,1,1,1,4,16,13,12,1,13,15,5,7,12,12,2,13,14,2,14,11,12,14,1,9,15,14,7,7,12,14,2,3,14,14,14,14,8,1,11,13,12,15,11,10,8,12,8,8,14,14,- -  -,
Uetuuru Kambato,"AM (RLC), ST (C)",6.60,6.60,10,9,1,15,13,3,1,10,1,3,3,9,5,12,8,1,12,5,8,7,8,11,3,3,10,3,8,13,14,12,1,10,13,13,10,8,6,8,2,3,8,9,10,10,5,2,10,20,13,11,11,10,6,15,6,3,10,10,- -  -,
Kostas Mitroglou,ST (C),6.58,6.58,4,12,2,15,11,4,14,5,1,3,3,5,12,14,6,2,11,8,5,4,14,8,1,15,15,2,7,16,15,15,2,11,6,12,9,6,12,15,2,3,12,15,16,4,7,1,6,15,14,9,10,14,13,15,9,10,11,13,- -  -,
Martin Toshev,"AM (RLC), ST (C)",7.15,7.15,9,11,2,12,12,4,12,9,1,1,1,5,12,11,11,2,13,11,3,6,11,6,3,14,12,3,9,15,10,13,2,11,13,11,11,4,12,12,1,1,5,10,10,9,9,1,10,7,10,13,11,11,10,14,6,8,14,11,- -  -,Inj
Roberto Inglese,ST (C),6.90,6.90,17,12,4,13,14,4,12,11,1,2,2,5,11,12,11,2,14,14,3,3,9,9,1,15,14,1,5,12,13,12,4,11,12,13,6,5,13,12,3,2,12,14,13,12,12,2,12,12,14,15,13,13,18,13,8,2,14,12,- -  -,
Ettore Marchi,ST (C),6.61,6.61,11,12,3,12,11,4,10,7,3,1,1,9,13,11,8,2,12,13,4,5,9,13,4,10,12,2,6,14,11,13,3,9,14,13,5,3,11,12,2,2,10,10,11,9,12,2,8,11,12,12,12,12,12,14,10,4,14,11,- -  -,
Timur Dosmagambetov,"M (RL), AM (RC), ST (C)",7.19,7.19,12,10,3,12,10,4,8,13,3,1,2,9,5,14,11,3,14,12,7,10,10,13,2,8,12,2,10,11,15,11,3,10,6,15,13,10,10,14,3,2,10,7,10,12,7,2,10,14,11,12,11,13,9,11,5,7,13,8,- -  -,
Gary Oliver,"M/AM (C), ST (C)",6.91,6.91,13,10,3,9,14,4,11,11,3,1,3,12,14,12,11,2,11,11,5,5,7,7,2,9,10,3,8,14,10,10,3,7,9,8,7,9,9,12,1,2,10,12,12,13,8,1,10,5,7,18,8,6,5,12,6,2,10,6,- -  -,
Kevin Gameiro,ST (C),6.99,6.99,13,14,1,14,15,4,10,11,1,3,1,6,15,14,14,1,16,14,4,5,13,10,2,8,12,3,10,14,14,12,2,13,14,12,12,10,14,11,3,2,12,14,15,13,6,2,13,13,15,14,9,13,10,16,6,8,13,16,- -  -,
Younis Khalifa Al-Mushaifri,"AM (RC), ST (C)",7.22,7.22,10,13,4,14,10,4,6,5,2,4,3,7,7,15,5,1,16,9,9,4,10,7,1,9,13,2,9,12,16,13,1,5,16,12,10,9,10,10,1,2,6,7,11,5,12,4,5,12,9,10,8,11,7,9,13,2,19,9,- -  -,
Luka Zahovič,ST (C),6.73,6.73,12,11,4,12,13,4,12,13,2,1,4,5,10,12,13,1,13,11,6,7,10,11,3,11,13,1,9,14,11,12,3,12,12,13,8,8,13,14,1,1,12,12,13,13,11,1,12,7,7,8,13,11,13,14,14,15,14,17,- -  -,
Ye Chugui,"M/AM (C), ST (C)",5.94,5.94,11,11,3,12,12,4,7,9,1,3,2,6,10,12,11,2,10,16,6,5,8,11,3,7,7,3,10,12,9,8,2,10,12,8,11,11,8,9,3,3,9,7,11,11,10,3,10,15,11,12,12,12,6,5,7,7,9,9,- -  -,
Đorđe Šaletić,ST (C),6.80,6.80,12,13,3,11,13,4,11,12,2,3,3,5,2,12,10,3,12,13,8,4,9,7,1,14,14,1,7,13,12,10,2,14,3,12,5,8,8,13,1,3,7,9,13,11,6,3,10,10,8,10,8,12,11,9,6,7,13,11,- -  -,
Modibo Maïga,"AM (L), ST (C)",7.09,7.09,8,11,4,15,13,4,11,10,3,1,2,8,14,12,9,3,14,12,6,5,13,8,2,15,15,2,11,13,13,13,2,11,16,11,11,7,12,12,1,1,14,14,12,11,12,1,9,13,13,5,10,5,9,14,12,15,14,18,- -  -,
Serdar Deliktaş,"AM (C), ST (C)",6.90,6.90,8,13,1,14,12,4,7,7,3,4,2,6,11,13,10,2,13,13,4,4,9,12,2,7,10,3,8,13,14,14,3,10,10,12,10,8,12,13,2,3,7,12,14,10,12,2,11,13,12,12,12,15,8,12,8,7,15,10,- -  -,
Dion Drena Beljo,ST (C),6.79,6.79,12,12,1,13,13,4,14,13,4,2,1,6,14,12,12,3,14,14,3,3,11,8,1,15,12,3,5,15,14,16,1,13,15,12,6,3,12,13,1,4,12,14,14,12,12,3,12,13,13,18,12,14,7,11,7,11,13,15,- -  -,
Muhammet Demir,ST (C),7.10,7.10,12,13,3,13,13,4,10,8,2,2,3,12,13,13,10,3,13,10,3,4,14,14,1,10,13,1,14,14,13,13,1,13,14,13,10,7,11,13,3,1,13,13,13,13,13,2,12,11,12,11,16,12,15,14,10,12,9,17,- -  -,Inj
Roman Yaremchuk,ST (C),6.87,6.87,11,14,2,15,13,4,12,13,2,2,3,6,11,13,13,2,12,12,3,6,12,7,2,15,12,2,8,8,14,13,2,13,12,13,11,8,12,16,3,1,12,12,11,14,13,2,12,11,14,15,11,12,7,13,8,11,12,12,- -  -,
Lachlan Brooks,"AM (RC), ST (C)",6.74,6.74,10,11,4,10,13,4,11,9,2,1,1,4,9,9,11,1,12,9,4,3,8,14,3,10,8,2,4,8,11,9,3,9,12,10,7,7,9,10,1,1,7,12,10,11,6,3,10,11,11,11,11,13,7,4,13,8,14,14,- -  -,Ama
Stefan Payne,ST (C),6.98,6.98,12,11,3,10,12,4,12,12,3,3,1,7,13,9,11,3,12,14,3,5,8,6,2,11,9,3,5,14,10,10,1,9,14,11,8,6,9,11,3,3,9,12,12,10,10,1,8,5,11,14,6,7,8,11,12,8,13,12,- -  -,Opt
Marten Winkler,"AM (R), ST (C)",6.66,6.66,11,10,2,14,13,4,9,8,3,2,2,10,7,12,10,3,11,9,9,5,12,8,1,8,11,4,9,12,13,15,2,11,16,15,11,10,9,9,4,2,8,13,9,11,14,1,9,19,13,12,11,10,7,10,11,6,12,13,- -  -,Inj
Oleksandr Tadzhybayev,ST (C),6.74,6.74,7,12,2,10,6,4,6,8,2,3,3,6,6,11,8,1,9,8,2,4,6,13,3,13,7,2,6,8,8,7,2,11,6,10,7,6,7,7,3,3,7,4,11,8,8,3,7,11,11,10,12,11,14,3,10,8,8,12,- -  -,
