Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Jacopo Petriccione,"DM, M (C)",8.06,8.06,12,14,2,15,13,13,9,12,2,2,2,12,12,15,10,1,12,14,9,5,9,12,1,8,8,2,10,14,13,11,4,11,13,12,11,13,10,11,2,2,13,12,15,12,14,1,11,7,9,11,12,8,9,15,12,12,16,14,- -  -,
Juan Arias,M/AM (C),7.90,7.90,4,14,1,15,10,4,5,5,1,3,3,4,7,15,8,1,13,7,4,5,5,13,2,5,5,1,4,10,10,5,3,9,12,9,6,6,4,9,1,2,7,7,10,9,10,3,6,9,11,6,12,6,9,12,5,10,16,7,- -  -,Inj
Chris Allan,"DM, M (C)",7.84,7.84,13,12,1,13,8,8,11,12,3,3,3,6,13,13,8,1,5,10,9,8,7,11,3,10,8,3,11,5,11,7,1,7,4,10,5,10,10,10,2,3,8,9,9,11,6,1,9,12,10,13,13,10,10,7,6,7,16,9,- -  -,Opt
Diogo Barbosa,"DM, M (C)",7.74,7.74,8,10,2,11,10,11,11,11,2,2,3,9,7,10,11,3,7,13,8,7,7,4,2,8,9,3,6,11,11,4,1,8,4,9,5,7,7,11,3,1,10,11,8,9,12,4,11,8,11,3,8,7,9,9,9,11,15,12,- -  -,
Jesse Dee,"DM, M (C)",7.69,7.69,13,12,1,11,13,4,5,10,3,3,2,6,7,10,9,2,9,14,5,5,8,11,3,7,7,1,7,4,8,4,2,8,5,9,5,6,6,10,3,4,7,9,11,8,7,3,7,10,12,5,12,13,7,11,6,10,14,6,- -  -,Yth
Liam Smith,M/AM (C),7.64,7.64,8,12,2,9,12,4,3,8,3,1,2,6,4,11,10,2,10,13,6,1,7,4,3,7,4,2,6,12,9,5,1,5,14,11,5,8,5,11,1,1,3,7,10,12,7,3,8,12,11,15,10,12,8,7,7,7,17,13,- -  -,Ctr
Allan,"DM, M (C)",7.62,7.62,14,16,2,16,13,11,11,13,2,2,2,13,9,16,13,1,15,13,12,6,11,11,2,6,6,1,11,13,14,8,1,12,15,13,11,12,12,15,3,1,16,14,14,14,17,2,14,5,9,10,12,8,5,12,15,12,16,16,- -  -,
Mark Norton,"DM, M (C)",7.59,7.59,8,12,1,12,8,8,6,9,3,2,1,8,5,8,7,1,5,14,8,4,6,6,3,13,5,2,7,3,7,5,1,6,5,10,5,8,9,8,3,1,10,10,7,7,14,1,6,12,14,11,7,12,9,7,15,10,8,5,- -  -,Yth
Stanley Muntari,"M (C), AM (RC)",7.57,7.57,13,11,2,14,16,3,7,12,1,1,1,9,8,13,11,3,10,15,4,2,4,4,2,8,9,3,6,15,13,5,1,7,4,13,2,7,5,12,2,3,6,12,12,9,16,1,9,19,15,11,16,10,7,19,5,13,9,5,- -  -,
Yôsuke Ideguchi,"DM, M (C)",7.56,7.56,13,14,2,13,16,12,8,13,2,4,2,12,10,15,11,2,11,15,11,5,13,9,1,5,7,3,9,12,14,9,2,10,15,10,11,12,13,14,2,4,15,11,11,16,15,3,13,14,12,17,13,13,10,16,12,4,15,16,- -  -,
Miguel Ángel Tejeda,M/AM (C),7.56,7.56,8,11,3,12,13,7,7,5,2,3,3,5,8,10,8,2,6,10,7,5,5,11,1,10,2,1,10,9,7,5,1,5,13,10,3,6,7,7,2,3,7,7,9,7,12,2,5,11,2,15,12,5,15,11,13,10,6,11,- -  -,
Nahuel Estévez,"DM, M (C)",7.56,7.56,12,13,3,13,13,11,12,13,1,1,3,11,11,13,12,1,11,14,11,8,14,9,3,11,8,1,14,11,12,12,1,12,13,13,10,14,11,12,2,2,11,12,13,13,10,1,12,8,10,14,11,12,10,11,7,7,15,14,- -  -,Opt
Mostafa Gomaa,"WB (L), DM, M/AM (C)",7.53,7.53,14,15,3,14,13,6,10,16,1,1,3,10,5,9,11,3,10,18,8,7,7,11,3,12,4,3,7,3,11,7,2,7,11,13,8,9,8,11,1,1,8,15,12,12,12,1,8,8,5,14,4,10,7,8,12,17,6,10,- -  -,
Matteo Ricci,"DM, M (C)",7.52,7.52,12,15,1,15,13,12,8,12,2,1,2,13,14,14,11,3,11,11,13,3,14,5,2,6,5,1,13,16,14,10,1,11,14,12,9,9,12,13,1,1,11,12,13,13,10,2,12,11,10,12,12,11,5,12,8,6,16,8,- -  -,
Nail Umyarov,"DM, M (C)",7.52,7.52,12,16,1,15,13,13,11,14,2,1,3,12,13,15,13,1,12,7,10,3,11,15,2,14,8,7,10,14,16,8,1,13,16,15,11,13,12,18,3,3,12,14,15,15,13,4,14,19,11,11,9,9,9,9,14,1,17,14,- -  -,
Niccolò Zanellato,"DM, M (C)",7.48,7.48,13,12,4,13,13,10,11,14,1,4,2,11,9,13,12,3,12,14,12,9,12,11,2,14,12,2,9,12,13,10,2,10,14,13,9,11,11,13,3,2,12,13,13,11,12,1,11,13,15,15,13,16,7,11,11,2,15,15,- -  -,
Hussain Al-Dihany,"DM, AM (C)",7.48,7.48,8,11,2,12,10,5,8,8,2,3,3,10,3,8,7,2,9,15,5,2,4,9,2,11,4,2,9,8,10,8,1,5,13,13,6,4,8,13,3,1,8,14,15,8,7,3,8,19,12,15,11,11,7,9,7,11,11,11,- -  -,
Romal Palmer,"DM, M/AM (C)",7.44,7.44,12,13,1,12,13,9,10,10,3,1,2,11,4,12,10,1,12,13,8,9,7,8,3,11,8,2,10,12,11,6,3,11,11,12,9,10,11,14,1,3,12,12,12,12,12,4,11,10,11,11,12,13,10,12,8,4,14,12,- -  -,
Jeremy Dudziak,"D/WB (L), DM, M/AM (C)",7.43,7.43,11,13,3,15,13,11,6,8,2,2,4,10,9,14,9,1,10,13,8,11,10,6,2,6,5,1,9,13,15,7,1,11,8,12,11,10,9,15,2,1,9,8,13,10,11,1,10,10,13,9,16,6,13,12,7,14,14,14,- -  -,
Niklas Arndt,"M (RLC), AM (C)",7.43,7.43,15,17,2,16,12,7,11,13,1,2,1,12,9,13,12,3,13,14,6,7,10,5,3,12,8,1,12,12,14,7,1,11,16,16,12,11,7,16,1,1,10,15,12,12,8,1,12,16,4,13,16,8,3,16,8,3,17,15,- -  -,Loa
Jack Caton,"DM, M (C)",7.40,7.40,8,10,2,12,12,7,6,7,2,1,3,11,5,9,5,2,5,10,6,5,10,9,2,7,4,4,4,7,9,3,2,3,15,13,5,4,7,9,4,1,9,8,11,5,10,3,7,4,8,12,13,12,4,12,10,11,13,12,- -  -,Loa
Darko Fracchia,"M (LC), AM (C)",7.39,7.39,14,16,1,16,15,7,9,14,1,1,3,8,6,13,13,3,12,13,8,6,10,6,1,8,4,1,7,10,13,9,2,12,13,11,10,6,7,13,1,3,8,15,11,12,9,2,15,15,15,18,12,17,10,11,11,5,9,10,- -  -,
Wendel,"DM, M (LC), AM (C)",7.38,7.38,13,15,3,15,14,10,10,14,4,2,2,13,10,15,13,3,13,14,11,12,14,12,1,9,8,3,11,14,14,7,2,12,12,14,12,12,12,14,1,1,14,14,15,14,11,3,13,9,10,7,12,9,8,13,6,11,17,12,- -  -,
Juan Hernández,"M (C), AM (LC), ST (C)",7.37,7.37,7,12,2,12,12,5,8,9,1,3,2,8,3,13,8,1,8,9,4,3,4,16,3,8,6,3,6,11,11,4,4,4,16,11,6,5,6,12,3,3,6,11,12,8,8,2,8,7,11,11,12,15,4,9,7,5,9,4,- -  -,
