Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Kekoa Diaz,"DM, M (C)",6.33,6.33,10,8,3,4,6,4,2,4,3,3,1,7,1,7,4,1,4,10,4,1,3,3,3,4,3,3,3,5,7,4,2,1,6,10,3,3,5,3,3,1,1,3,4,7,10,1,6,14,11,10,10,15,15,1,11,3,9,12,- -  -,Ama
Daniele Conti,"D/WB (L), DM, M (LC)",6.39,6.39,6,6,1,1,8,5,5,8,3,1,3,7,4,7,5,1,6,17,4,2,3,10,4,9,2,2,2,5,5,6,2,7,3,11,6,6,8,8,1,2,5,7,8,7,11,2,7,13,6,11,11,11,7,4,8,6,13,12,- -  -,
Thinley Dorji,"DM, M (C)",6.64,6.64,10,9,1,6,6,6,4,5,2,3,1,5,1,9,10,2,4,13,5,1,4,6,1,7,4,2,4,5,11,2,4,3,6,6,2,4,6,5,1,3,5,5,10,10,10,3,13,19,13,11,11,12,13,13,8,6,15,10,- -  -,Ama
Mohamed Shifan,"D (C), DM, M (C)",6.65,6.65,11,7,3,7,8,6,5,6,2,3,4,9,1,9,6,1,5,10,6,1,4,9,2,7,8,2,5,5,7,4,4,1,4,14,5,3,8,7,2,4,6,5,11,5,7,2,3,11,8,9,10,11,12,7,13,6,11,12,- -  -,
Wu Fusheng,"DM, M (C)",6.16,6.16,8,10,2,6,10,6,5,6,2,4,2,8,5,9,7,3,5,14,6,5,6,4,3,12,4,2,6,3,7,5,3,4,18,10,2,4,6,8,3,2,5,6,7,5,17,3,5,13,4,13,11,9,5,13,10,11,7,12,- -  -,Ama
Moaz Al-Jahdami,"DM, M (C)",6.62,6.62,12,8,2,8,7,6,5,7,3,3,1,12,1,8,13,1,7,17,8,2,8,14,1,7,6,3,6,5,11,5,1,2,4,9,2,6,8,5,2,1,8,7,11,13,11,2,13,15,14,10,10,9,11,13,6,7,12,12,- -  -,
Tharaka Silva,"D (C), DM, M (C)",6.45,6.45,10,6,3,4,6,6,3,5,2,3,4,12,1,5,8,4,4,15,5,1,4,1,2,4,6,1,4,5,5,2,1,4,9,13,2,3,6,5,1,2,4,5,10,11,12,2,9,11,14,13,10,10,9,7,6,7,7,11,- -  -,
Rolando Santos,"DM, M (C)",6.45,6.45,11,9,2,13,7,6,4,9,2,1,1,7,1,5,5,2,5,7,7,1,7,6,2,7,4,2,4,5,8,5,2,1,9,7,4,4,6,4,1,4,3,4,6,8,9,2,7,17,10,10,12,9,7,3,12,7,13,8,- -  -,
Jared Gallagher,DM,6.40,6.40,11,5,2,8,6,6,5,8,1,2,1,6,3,7,8,3,5,10,8,1,6,5,2,3,5,3,4,5,5,2,2,3,16,13,4,4,7,3,2,2,6,8,10,9,5,2,14,10,11,11,14,12,5,9,6,8,16,13,- -  -,
Diyor Maraufov,DM,6.93,6.93,9,3,3,3,7,6,6,4,1,2,3,6,1,9,9,2,4,16,5,1,3,12,2,3,1,2,4,5,7,3,2,2,16,9,2,4,12,5,3,3,5,5,8,12,15,2,6,16,9,12,10,9,10,2,11,3,17,13,- -  -,
Alexander Fleming,"DM, M (C)",6.04,6.04,8,6,2,10,7,7,8,5,3,1,2,6,5,5,5,3,6,11,7,3,6,4,3,10,6,1,6,5,8,6,2,4,15,7,2,5,8,7,3,3,5,5,9,5,14,1,7,20,10,12,12,11,5,1,14,7,7,8,- -  -,Ama
Tony Samasoni,"DM, M (C)",6.30,6.30,11,6,1,4,7,7,3,5,3,3,1,9,1,5,5,3,5,12,5,1,10,10,3,6,4,1,4,5,9,4,1,1,7,10,4,4,4,6,1,1,5,4,8,5,15,1,4,14,11,11,11,11,12,6,6,7,7,10,- -  -,Ama
Matías Vaamonde,"D (LC), DM, M (C)",6.63,6.63,9,5,3,9,8,7,13,13,2,2,1,10,5,6,6,2,7,11,6,6,12,13,3,9,8,3,7,5,7,4,2,5,8,9,7,7,9,8,2,1,8,8,11,13,7,3,5,12,12,12,12,12,5,6,15,8,13,12,- -  -,
Leo Kuliqi,"D (C), DM",7.15,7.15,10,5,2,7,12,7,4,7,1,2,1,10,3,10,2,3,4,9,13,4,4,11,2,10,7,3,1,5,8,6,2,1,13,14,5,3,4,10,1,3,6,2,11,5,15,2,3,6,4,10,12,12,10,11,8,5,8,13,- -  -,
Sitiveni Cavuilagi,"D (C), DM",6.42,6.42,11,5,2,6,7,7,4,11,4,3,2,13,2,7,11,2,5,14,8,3,6,4,2,6,7,3,5,5,8,4,2,1,3,13,5,3,9,6,1,2,3,6,9,10,10,2,13,10,14,12,10,12,8,16,8,7,11,9,- -  -,
Pujan Uparkoti,"DM, M (C)",6.41,6.41,10,8,3,4,6,7,2,6,3,1,1,7,1,9,12,2,5,9,6,1,5,1,3,5,4,2,4,5,8,3,3,3,3,8,4,3,8,6,2,2,2,5,5,11,12,1,13,14,10,10,11,10,5,7,8,2,8,10,- -  -,
Muhammad Arfan,"DM, M (C)",6.60,6.60,9,11,2,12,7,7,6,12,3,1,2,12,1,9,13,2,7,13,9,2,11,11,2,8,7,2,6,5,10,7,3,4,4,12,6,6,12,7,1,1,12,4,11,13,11,1,13,18,12,12,11,10,10,4,11,6,12,12,- -  -,
Vlastimil Daníček,"DM, M (C)",6.80,6.80,16,7,3,13,16,7,9,16,1,2,2,15,13,10,12,3,14,9,13,8,8,8,4,9,8,1,11,12,13,11,4,13,14,11,8,9,16,8,1,4,8,13,13,9,11,2,15,11,12,12,14,14,7,15,10,4,15,11,- -  -,
Stéfan Almeida,"DM, M (C)",6.36,6.36,10,2,3,8,5,7,6,5,3,1,1,8,1,3,12,1,3,17,4,1,4,9,4,14,1,1,3,5,11,4,3,4,12,9,1,3,3,5,3,1,6,4,6,10,12,2,12,19,11,14,9,10,5,5,8,1,9,9,- -  -,
Silas Trego,"DM, M (C)",6.48,6.48,10,7,2,4,5,7,5,4,1,3,4,9,1,4,11,2,4,13,7,1,6,12,1,9,4,3,2,5,7,3,1,3,4,9,1,3,6,5,4,3,10,4,8,11,14,1,13,12,11,11,8,11,5,2,11,1,6,14,- -  -,IPR
Mohd Nazirul Azim Muhd Redzuan,"DM, M (C)",6.40,6.40,7,8,2,8,7,7,5,6,2,3,1,12,1,7,6,2,6,12,9,3,7,14,1,9,6,3,5,5,10,6,3,2,15,14,4,1,8,3,1,3,7,7,8,6,5,3,6,10,12,9,14,11,8,8,10,2,9,12,- -  -,
Jonathon Richardson,"D (C), DM, M (C)",6.30,6.30,5,7,3,5,4,7,5,9,1,1,3,11,1,7,5,3,4,11,5,2,4,9,1,6,5,3,1,5,4,4,2,2,16,9,2,1,6,3,1,1,5,4,5,6,8,2,6,14,12,9,11,12,5,6,7,6,7,10,- -  -,Yth
William Dunn,"D (C), DM, M (C)",6.34,6.34,11,9,1,4,8,7,2,6,2,1,3,12,3,9,4,1,6,11,8,1,6,4,2,3,7,3,5,5,7,3,1,2,4,10,4,3,5,6,3,2,3,4,4,5,10,1,3,15,13,11,7,13,5,1,15,7,15,12,- -  -,Ama
Salim Athoumani,"D (C), DM, M (C)",6.32,6.32,10,9,3,4,7,7,5,4,3,2,1,9,2,10,4,1,4,8,9,2,6,11,2,3,6,1,4,4,6,2,3,1,3,13,3,4,7,6,3,3,6,3,4,7,8,3,4,11,10,10,12,10,11,3,14,3,10,13,- -  -,Inj
Bakyt Usenov,"DM, M (C)",6.40,6.40,11,5,3,7,8,7,7,6,3,1,1,9,2,6,7,1,5,13,6,3,5,1,2,9,5,4,5,5,6,5,3,2,17,14,4,5,5,7,1,2,7,5,5,8,5,2,4,16,13,10,11,12,10,9,6,7,5,13,- -  -,
Mohamed Rizwan Shaib,"DM, M (C)",6.63,6.63,11,7,1,7,7,8,4,6,1,1,3,8,5,6,13,3,5,7,5,3,3,4,4,4,2,2,2,5,9,2,1,2,6,8,1,1,7,6,2,1,6,6,4,13,8,1,12,18,12,14,11,10,10,3,11,5,9,8,- -  -,
Muhaimin Mappy,"DM, M (C)",6.45,6.45,9,1,3,4,4,8,5,8,3,2,2,7,1,5,12,1,2,15,3,1,3,10,3,5,1,2,1,5,7,2,2,1,9,9,1,1,2,3,1,3,3,2,1,12,8,2,12,18,10,12,9,11,8,10,6,1,18,11,- -  -,Ama
Törmönkh Mönkhsüld,"DM, M (C)",6.45,6.45,10,5,3,4,5,8,1,6,4,3,2,6,2,9,12,1,3,17,3,2,1,12,4,4,1,3,1,5,9,1,1,1,8,9,1,1,4,1,3,1,4,4,5,12,7,2,12,15,13,11,10,12,11,7,12,4,8,10,- -  -,
Jun Toba,DM,6.29,6.29,10,5,1,6,6,8,6,6,1,2,1,12,1,9,11,3,4,9,6,1,6,5,3,8,5,2,3,5,5,5,3,2,5,6,4,4,3,5,2,2,5,5,10,10,11,2,13,17,12,12,14,11,10,2,8,6,19,10,- -  -,
Nouaman Aarab,"DM, M (C)",6.76,6.76,11,10,1,11,16,8,9,11,1,1,3,11,10,12,9,3,10,11,13,6,9,15,4,8,8,2,9,10,12,6,2,9,17,12,12,11,13,12,3,3,14,10,14,9,15,1,9,10,1,12,11,11,8,11,5,2,13,12,- -  -,
Sione Uhatahi,"D (C), DM",6.58,6.58,9,6,2,6,9,8,5,7,4,3,2,8,5,8,10,2,4,7,8,7,4,13,3,5,7,1,5,5,8,5,3,6,16,7,3,2,8,7,1,2,12,6,9,7,10,2,9,13,13,10,11,9,14,4,7,6,9,9,- -  -,Ama
Arslan Ýusupow,"DM, M (C)",6.60,6.60,10,8,2,7,6,8,6,5,2,2,3,11,5,6,13,3,5,5,6,5,8,12,1,7,5,2,5,5,12,4,1,4,5,13,5,5,7,5,4,1,7,6,6,13,5,1,13,18,11,10,11,7,5,8,7,3,16,12,- -  -,
Alessandro Marcucci,DM,7.05,7.05,10,12,1,8,13,8,8,11,1,2,3,11,9,13,8,2,8,9,7,5,7,8,1,6,7,3,9,7,10,4,3,8,10,10,9,10,12,9,3,3,11,11,9,11,10,1,9,15,7,13,13,11,11,10,5,8,8,12,- -  -,Yth
