Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Luca Terenzi,M (LC),6.68,6.68,10,2,3,5,6,1,3,11,2,3,1,5,1,5,9,1,2,13,4,3,5,4,1,6,1,4,1,5,7,4,1,6,3,12,7,3,4,2,3,3,1,4,5,6,10,2,12,18,12,11,9,11,6,9,5,7,6,13,- -  -,
Ziya Osman,M (R),6.99,6.99,10,3,1,8,5,1,2,11,1,3,3,3,1,3,12,3,4,15,3,3,4,10,2,7,3,1,1,5,5,2,4,6,11,7,5,3,4,5,1,2,5,3,4,12,5,3,12,18,11,12,11,12,11,6,8,2,10,10,- -  -,
Qu Junbo,"M/AM (R), ST (C)",6.16,6.16,11,1,1,9,13,1,1,6,2,1,3,1,1,6,9,3,7,7,2,1,1,1,1,6,1,3,6,10,13,7,1,2,9,3,5,4,1,1,3,2,4,12,1,6,8,3,11,8,11,12,4,12,4,2,7,19,12,10,- -  -,Ama
Pürevdorj Bayartsengel,M (LC),6.83,6.83,12,6,2,13,7,1,8,5,1,2,3,6,1,5,7,2,7,5,6,5,5,14,1,14,4,1,4,8,11,4,2,6,9,13,6,4,5,5,2,4,1,2,4,7,15,2,5,10,9,9,12,11,8,5,10,8,10,10,- -  -,Ctr
Bagachoimbol Javkhlan,M (R),7.82,7.82,11,5,1,9,6,2,6,13,3,3,2,5,1,6,12,4,5,9,5,1,3,7,3,6,4,3,4,5,7,4,3,5,4,8,9,6,5,5,3,1,7,6,7,13,12,3,13,14,10,12,9,12,9,12,8,7,20,13,- -  -,Ctr
Dukay Tainuwopuy,M/AM (L),6.53,6.53,9,3,3,8,4,2,1,11,3,2,2,2,1,2,10,4,4,15,2,1,2,3,3,7,1,3,1,9,4,4,2,4,15,6,4,1,2,4,1,2,4,2,3,10,6,3,6,16,10,12,8,11,15,2,13,4,8,11,- -  -,Ama
Christian Olmos,M (R),6.72,6.72,10,4,2,6,5,2,4,6,3,3,3,3,1,6,9,2,4,15,3,3,3,12,2,8,2,3,3,5,2,2,1,2,6,5,7,5,4,9,2,1,1,4,7,8,13,2,11,12,8,12,11,10,9,9,15,5,7,12,- -  -,Ama
Camden Aguon,M (R),6.54,6.54,12,4,3,1,7,2,3,8,2,3,3,5,2,5,7,3,6,14,5,1,6,12,1,5,5,1,5,5,5,6,2,7,10,10,12,7,6,4,3,2,3,4,7,6,13,1,9,12,11,9,9,11,14,5,13,5,9,10,- -  -,Ama
C.K. Vineeth,"M (R), AM (RLC), ST (C)",6.71,6.71,17,5,3,5,14,2,4,8,1,1,2,2,9,6,10,1,10,7,1,5,2,7,2,6,5,1,10,13,4,6,4,2,13,4,4,5,5,3,2,4,8,5,3,9,6,1,10,12,11,12,13,15,11,12,7,6,11,14,- -  -,
Kean Lewis,M/AM (RL),6.75,6.75,13,5,3,5,8,2,5,13,1,4,1,5,1,7,12,2,13,13,3,5,3,13,3,6,5,2,6,12,10,5,1,4,7,4,5,8,4,7,2,1,5,8,5,7,7,4,12,17,12,11,10,10,9,14,7,1,8,16,- -  -,
Huang Shuai,M/AM (L),7.05,7.05,10,6,1,5,15,2,2,6,3,2,1,1,3,5,10,1,6,16,2,3,3,12,1,5,3,3,8,2,6,4,3,7,4,5,7,5,4,2,1,2,2,5,5,14,10,1,11,12,10,14,8,12,10,8,9,8,6,5,- -  -,Ama
Kaydoo Charles,M/AM (RL),6.17,6.17,9,4,3,7,5,2,2,11,1,3,3,4,2,5,11,1,11,8,3,1,1,13,3,5,2,2,2,9,11,6,3,7,12,11,9,5,4,8,2,3,5,1,3,10,13,3,11,18,11,8,13,11,8,3,7,1,12,12,- -  -,
Jeshansing Jeetoo,M (RC),6.66,6.66,9,3,3,8,5,2,1,9,3,1,1,4,1,6,12,2,2,13,4,1,4,10,1,3,2,2,2,5,6,3,3,1,6,9,3,2,3,3,1,3,1,3,4,12,6,2,12,15,10,11,11,10,11,2,6,8,7,9,- -  -,Ama
Tanat Nöserbaev,"M (R), AM (RC), ST (C)",5.62,5.62,12,10,1,12,11,2,5,15,2,1,3,13,13,11,9,2,12,13,3,7,10,11,2,7,6,1,8,11,11,10,2,8,11,10,2,8,10,5,3,3,7,8,10,9,13,1,12,11,12,13,16,12,8,13,9,12,16,15,- -  -,
Feng Lei,D/M (R),6.14,6.14,10,2,2,9,7,2,3,5,2,2,3,3,1,4,11,3,4,9,4,1,4,11,2,3,3,3,5,3,4,3,2,5,11,4,8,4,3,3,1,2,2,8,3,11,6,3,8,9,12,8,4,12,11,4,12,17,5,11,- -  -,Ama
Spyros Dimitriadis,M/AM (L),7.02,7.02,12,4,1,13,17,3,4,8,1,2,2,2,1,5,9,1,5,3,2,1,1,13,4,11,1,2,3,4,9,4,2,8,4,5,11,6,3,6,1,1,9,5,3,10,9,3,13,12,13,11,5,13,8,7,15,9,14,4,- -  -,Loa
Imo Fiamalua,M/AM (R),5.35,5.35,11,4,3,4,6,3,9,9,3,3,2,3,1,5,6,3,6,12,4,1,5,8,3,16,2,3,4,5,8,4,3,4,16,8,8,4,5,5,1,3,5,5,7,7,13,4,7,15,9,11,11,12,11,8,12,8,8,10,- -  -,Ama
Sujal Shrestha,M/AM (L),7.38,7.38,15,4,1,5,8,3,8,12,1,2,3,5,3,4,11,1,6,9,5,3,6,14,2,7,1,1,5,6,5,11,1,5,5,11,5,2,5,6,2,1,4,6,7,12,15,1,11,20,11,11,13,12,14,5,10,4,10,9,- -  -,
Andrew Barry,M (R),6.70,6.70,11,3,2,7,6,3,3,12,2,1,3,3,2,5,9,3,4,10,4,3,5,12,4,13,4,2,1,5,9,3,2,6,16,8,6,3,5,5,3,1,6,5,4,10,13,4,11,15,11,12,11,13,10,2,10,2,10,12,- -  -,Ama
Larry Gonçalves,M/AM (R),6.71,6.71,9,4,1,8,4,3,1,11,3,3,2,2,1,7,12,2,4,8,3,3,2,13,2,1,1,2,3,9,9,10,2,4,8,9,8,3,2,5,3,4,1,4,6,12,15,3,12,18,12,13,11,12,10,13,12,4,10,12,- -  -,
Vuti Steven,M (L),6.75,6.75,11,5,2,7,6,3,3,9,3,1,3,3,3,6,8,1,5,11,4,4,5,10,1,4,1,1,4,6,8,4,2,4,11,7,9,5,5,6,1,1,2,5,6,6,10,2,9,11,11,12,12,8,5,5,8,1,9,9,- -  -,Ama
Shamol Bebari,M/AM (R),6.80,6.80,11,5,2,6,6,3,2,12,2,4,3,4,1,8,12,3,6,8,4,4,4,11,3,9,2,1,4,6,4,8,3,7,12,8,8,6,4,7,2,4,6,5,6,12,15,1,12,13,12,7,10,13,8,6,9,5,5,11,- -  -,
Tristan Henry,M/AM (LC),6.47,6.47,10,6,1,6,6,3,6,5,2,3,3,4,1,9,6,3,4,11,3,3,5,4,2,10,2,3,3,7,6,5,3,6,16,9,5,3,1,5,3,3,5,4,4,8,14,3,8,14,12,10,13,10,13,9,12,7,6,11,- -  -,Ama
John Filipo,M (R),6.70,6.70,11,9,2,9,7,3,4,4,3,1,3,5,1,5,5,3,6,13,5,4,4,13,1,14,5,3,5,5,8,5,1,6,10,9,7,3,6,8,1,1,3,3,6,5,13,2,9,17,11,11,12,11,5,4,6,8,8,13,- -  -,Ama
Nahjib Kazim Guerra,M (L),7.26,7.26,11,7,3,13,6,3,7,13,4,3,2,5,4,6,13,3,6,15,5,3,6,12,2,7,5,3,1,5,8,6,3,8,16,12,5,2,6,9,2,1,6,6,4,11,7,3,13,4,6,11,11,12,10,5,6,5,12,11,- -  -,
Man Wenda,WB (L),5.82,5.82,13,4,2,8,8,3,5,12,1,1,1,4,3,6,9,1,4,11,4,3,2,6,1,4,3,2,1,6,4,2,4,4,10,5,5,2,5,5,2,1,1,12,3,10,11,3,8,8,11,9,6,12,7,5,11,16,6,8,- -  -,Ctr
Sushil Meitei,M/AM (L),7.25,7.25,13,5,1,4,8,3,8,8,2,4,4,5,1,6,9,2,11,12,4,5,4,9,1,6,4,3,2,5,8,3,4,6,4,11,4,6,4,9,1,1,3,7,10,11,13,3,10,16,10,11,11,11,8,8,7,5,9,9,- -  -,
Aziz Diallo,M (RLC),6.67,6.67,10,6,1,9,5,3,6,12,2,1,1,4,1,6,10,2,6,8,5,2,6,11,2,14,3,2,3,5,8,4,2,5,18,10,5,2,4,4,1,1,7,4,6,10,11,1,11,13,11,10,9,11,12,10,10,3,12,11,- -  -,
Song Heveth,M (L),6.78,6.78,12,9,1,8,7,3,5,7,2,2,3,3,4,7,11,1,5,12,5,5,5,12,3,6,3,4,5,5,11,5,1,6,13,7,11,6,6,8,3,3,3,6,8,9,7,1,6,18,12,8,13,11,11,13,10,5,10,11,- -  -,Ama
Matthew Nierras,"D (LC), M (L)",6.78,6.78,8,5,1,5,7,4,5,13,3,2,1,6,3,4,13,3,5,13,7,1,3,8,1,10,4,2,1,5,7,3,2,6,10,12,4,1,5,4,3,2,8,6,11,12,7,3,13,10,12,11,11,11,7,11,15,6,11,13,- -  -,
Frantz Joseph,M/AM (R),5.93,5.93,11,8,1,14,7,4,5,5,1,3,3,4,5,7,5,3,9,10,4,5,6,13,3,8,3,3,5,13,10,10,4,3,8,10,10,8,6,9,3,3,1,5,5,4,8,3,7,6,11,6,9,10,10,2,8,13,9,11,- -  -,Ama
Ma Lei,"D (RL), M/AM (R)",6.75,6.75,15,5,1,10,16,4,4,10,2,3,3,6,3,6,9,1,8,9,5,4,5,1,1,3,5,2,5,8,6,4,1,7,4,7,8,5,5,7,2,1,11,6,5,9,14,2,10,13,17,3,13,12,9,11,8,8,12,6,- -  -,Ama
Kevin O'Hara,"M (R), AM (RLC), ST (C)",7.14,7.14,14,6,1,8,13,4,7,14,1,1,4,7,11,8,13,3,10,9,3,4,6,5,1,14,8,1,7,11,8,9,3,9,10,8,7,4,7,8,1,3,8,8,8,11,10,3,14,10,10,9,8,9,3,9,6,14,11,10,- -  -,
Jhon Samuel,"WB/M/AM (R), ST (C)",5.57,5.57,7,5,2,10,7,4,5,7,3,1,2,5,5,9,6,2,9,13,3,2,6,9,1,15,7,2,5,8,13,8,1,1,13,9,9,6,6,6,1,2,6,6,5,6,11,1,5,19,11,10,9,12,10,4,11,5,11,10,- -  -,Ama
