Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Malik Tillman,"M (C), AM (RLC), ST (C)",7.41,7.41,7,13,1,15,7,9,11,12,3,3,3,7,12,13,13,4,13,12,9,1,12,5,3,15,13,1,6,13,14,13,1,13,12,12,8,4,10,14,3,3,11,12,13,13,11,3,13,16,12,15,12,14,9,7,4,2,14,15,- -  -,
Adam Maher,"DM, M/AM (C)",7.31,7.31,9,16,2,15,10,9,6,10,2,2,1,9,15,15,9,1,12,15,6,6,11,6,1,8,7,1,13,13,15,10,3,12,14,13,12,16,10,15,1,3,12,11,14,12,11,2,9,11,7,13,14,7,3,10,12,8,15,13,- -  -,
Kevin González,AM (C),7.30,7.30,11,11,3,14,7,4,6,9,3,1,2,4,5,12,9,3,11,10,4,2,5,10,3,7,6,3,6,13,13,12,2,13,5,13,4,7,4,8,2,2,5,7,7,8,14,2,10,15,14,15,10,13,10,4,6,2,12,11,- -  -,Ama
Riqui Puig,M/AM (C),7.29,7.29,7,18,1,17,11,6,8,11,3,2,1,6,10,16,12,3,14,15,4,5,10,11,1,5,6,3,11,16,16,6,3,15,11,14,11,9,13,16,1,2,10,15,17,16,5,3,13,16,15,11,11,15,6,15,5,9,15,9,- -  -,
Euan Williams,M/AM (C),7.26,7.26,8,15,3,14,13,7,4,12,4,2,3,9,4,11,10,2,11,12,5,6,8,13,3,2,8,3,7,12,9,7,3,13,9,15,3,8,5,12,2,1,5,11,9,11,12,1,9,15,14,11,12,11,10,4,9,6,20,10,- -  -,
João Novais,M/AM (C),7.13,7.13,7,15,3,15,14,5,8,10,2,2,1,11,14,14,10,1,13,13,5,4,13,11,3,9,4,3,17,13,14,9,4,12,11,14,13,15,13,14,1,3,10,13,12,11,14,3,9,13,11,12,13,11,7,12,11,6,16,14,- -  -,
Manuel Viana,"M (C), AM (RC)",7.03,7.03,4,15,1,15,9,3,8,11,1,3,1,4,8,14,13,2,13,17,5,1,10,14,3,6,7,2,8,15,13,8,2,9,10,12,9,7,4,13,2,1,7,13,12,15,14,2,15,16,19,15,13,11,9,15,8,12,8,5,- -  -,
Raphael Holzhauser,"DM, M/AM (C)",7.01,7.01,7,15,3,15,9,11,14,9,1,3,1,12,18,16,11,2,10,8,11,5,13,15,2,15,12,4,15,16,13,10,2,10,8,14,14,14,12,15,1,3,12,12,13,11,8,3,8,7,8,10,12,10,5,9,13,13,16,13,- -  -,
Owen Hesketh,M/AM (C),7.00,7.00,9,14,3,11,8,6,6,10,3,1,2,5,5,13,14,3,9,11,5,2,5,8,3,6,6,3,6,13,13,8,2,13,15,9,5,6,5,12,3,3,7,6,10,13,15,4,13,14,10,12,11,12,5,10,7,2,18,10,- -  -,
Marko Tolić,"DM, M (LC), AM (RC)",6.92,6.92,6,10,2,13,10,5,10,8,1,1,1,6,17,12,8,3,11,11,5,5,12,10,4,10,8,2,13,17,13,10,3,14,9,10,10,12,8,15,2,3,7,8,10,7,8,2,8,9,7,10,12,9,9,10,7,8,12,12,- -  -,
Cristian Benavente,"M (C), AM (RLC), ST (C)",6.86,6.86,7,14,2,16,8,5,6,5,1,1,3,5,11,14,11,3,10,12,4,5,12,7,2,5,7,1,14,15,15,12,1,12,10,12,11,11,8,14,3,3,11,11,11,11,6,1,12,12,12,15,12,13,11,13,8,2,15,15,- -  -,Inj
Khouma Babacar,"AM (RC), ST (C)",6.86,6.86,6,13,3,13,7,4,9,8,3,2,3,4,11,13,8,2,12,11,4,5,9,4,1,11,13,1,7,15,15,11,2,11,9,12,6,3,8,13,4,1,14,11,12,8,12,3,8,11,14,14,12,13,5,15,10,3,13,11,- -  -,
Andrés Roa,M/AM (C),6.85,6.85,8,16,2,17,13,2,9,11,1,2,3,5,11,16,10,2,14,14,2,7,14,10,3,9,13,3,14,14,15,11,1,11,12,13,11,14,10,14,4,2,11,9,13,12,5,3,11,10,11,12,12,11,9,13,7,9,13,11,- -  -,
Rafael González,M/AM (RC),6.84,6.84,8,14,4,12,10,5,9,11,1,2,3,7,5,15,10,1,8,13,9,3,13,13,1,2,6,1,10,13,15,14,1,10,13,13,11,8,4,12,1,2,7,14,9,9,10,3,11,17,15,9,16,11,10,19,7,3,12,11,- -  -,Wnt
Noah Carroll,M/AM (C),6.79,6.79,10,14,2,16,8,4,9,10,3,3,3,3,4,8,12,2,8,8,4,3,8,2,3,8,6,1,7,16,12,8,2,10,15,12,2,4,5,12,1,3,8,15,7,11,9,3,12,10,11,12,12,14,8,11,7,7,13,12,- -  -,
Jorge Grant,"M (LC), AM (RLC)",6.77,6.77,10,14,2,15,10,8,8,11,3,3,1,10,12,15,11,1,12,11,7,4,12,13,3,8,9,2,14,15,12,11,3,10,9,11,13,12,11,14,3,4,7,9,10,13,7,2,11,12,10,11,12,11,5,11,5,8,15,12,- -  -,Ask
Abdullah Elrich,M/AM (C),6.72,6.72,7,13,2,15,12,6,10,11,3,3,1,8,5,13,11,4,11,16,4,4,11,5,4,9,7,1,11,15,16,7,1,11,10,14,5,7,7,11,3,2,9,15,6,9,6,1,7,10,13,5,8,1,10,4,11,17,8,11,- -  -,
