Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Wal,"M/AM (C), ST (C)",6.81,6.81,6,9,2,13,7,2,5,10,1,1,2,8,5,13,13,2,10,12,4,3,7,8,1,3,8,1,6,13,13,13,3,13,6,13,6,5,5,5,1,2,3,7,7,13,7,1,13,15,10,9,10,12,10,11,9,2,10,10,- -  -,
Adham Ghandour,"M (L), AM (LC), ST (C)",6.67,6.67,8,10,2,10,7,2,2,13,4,2,1,7,4,6,13,1,11,14,6,2,7,7,1,2,8,2,6,9,10,13,1,10,16,9,8,6,8,10,1,1,5,7,9,14,8,3,14,14,8,9,10,12,8,13,9,7,14,11,- -  -,
William Wadri,"M/AM (C), ST (C)",6.81,6.81,8,11,3,12,7,2,8,13,2,1,3,6,2,11,13,3,9,17,6,1,8,11,2,4,7,2,6,12,10,12,1,12,17,10,8,6,7,6,1,2,6,7,7,12,12,3,13,11,10,8,11,11,8,10,12,6,9,12,- -  -,
Ebrahim Al-Khatal,"M/AM (C), ST (C)",6.73,6.73,9,7,2,13,8,2,6,9,1,1,1,5,7,13,14,2,13,13,8,4,7,12,2,5,9,2,5,12,14,14,3,12,5,13,5,7,5,7,3,2,1,8,9,13,5,1,14,20,12,11,10,9,10,7,9,5,14,12,- -  -,
Nicolás Núñez,M/AM (C),6.44,6.44,11,12,2,12,9,3,5,8,3,1,3,5,9,11,11,3,12,9,3,3,7,8,3,5,4,3,14,14,11,8,1,12,7,15,9,10,8,8,1,3,4,11,11,13,8,2,11,15,14,12,10,11,6,8,12,3,11,11,- -  -,
LaShawn Roberts,"M/AM (C), ST (C)",6.56,6.56,8,11,1,10,6,3,6,10,1,1,2,7,5,7,13,2,12,11,5,1,7,9,1,6,9,1,6,10,13,10,2,8,15,13,6,6,7,9,1,2,3,7,11,13,8,1,13,17,12,10,13,10,13,10,12,7,7,9,- -  -,
Kun Temenuzhkov,"AM (C), ST (C)",7.60,7.60,10,11,3,13,11,4,8,12,2,4,3,4,11,11,13,2,14,12,2,1,11,6,2,4,10,3,7,14,12,13,1,12,12,12,10,2,11,13,1,2,9,13,12,13,8,3,14,12,10,12,14,8,4,10,5,4,12,16,- -  -,
David Puche,"AM (C), ST (C)",6.98,6.98,8,10,2,10,11,4,7,12,2,3,2,5,12,7,11,3,10,12,3,4,9,5,2,7,8,3,12,14,9,7,1,11,5,9,8,12,8,11,1,3,7,11,9,12,8,1,12,17,9,9,12,10,14,13,5,4,17,11,- -  -,
Abdul Abdulmalik,"AM (C), ST (C)",6.78,6.78,11,13,4,13,10,4,6,10,2,3,2,5,6,9,10,2,11,10,5,2,9,3,1,7,7,2,9,13,12,11,1,14,11,9,9,9,8,12,1,4,4,13,12,12,4,2,12,10,10,10,9,8,4,8,5,5,8,12,- -  -,
Milán Vitális,"AM (C), ST (C)",7.09,7.09,9,14,2,11,8,4,6,8,3,4,2,6,5,13,11,2,12,13,4,6,8,12,1,8,8,3,10,15,11,12,1,12,13,9,9,10,8,10,3,3,9,12,10,12,15,3,13,17,2,13,9,8,11,8,7,7,10,10,- -  -,
