Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Ciro Eboli,D/WB/M (R),6.56,6.56,5,4,1,5,4,2,5,4,1,2,3,4,2,4,13,1,4,15,6,1,1,8,2,12,3,2,3,6,3,1,2,4,16,6,3,1,5,5,3,3,5,3,4,11,12,3,13,18,6,9,12,9,10,1,7,3,3,11,- -  -,
Marlon Etnold,D (L),6.66,6.66,3,1,3,3,2,3,4,8,3,2,2,5,1,2,12,2,1,11,3,1,1,5,2,11,2,2,1,5,1,1,2,1,12,11,4,1,1,2,3,3,2,2,4,11,6,3,12,10,12,10,11,12,10,10,10,8,10,11,- -  -,Ama
Mohammed Salah,D/WB (L),6.45,6.45,9,8,2,5,8,3,5,7,1,3,2,5,3,3,10,2,7,13,5,7,6,12,1,5,5,2,2,5,9,3,2,6,14,11,9,6,10,6,3,2,7,8,10,4,10,1,9,19,12,11,13,10,6,10,11,7,7,12,- -  -,
Valerio Kostika,D/WB (L),6.48,6.48,3,1,2,2,2,3,1,8,3,3,1,2,1,2,12,3,1,8,3,1,1,11,1,5,1,3,1,5,3,1,2,1,3,5,4,1,6,2,1,2,3,2,6,12,15,3,12,12,11,10,11,12,9,10,5,4,7,10,- -  -,Ama
Zedrick Ligohr,D (R),6.74,6.74,5,5,1,3,5,4,2,3,1,1,1,4,1,3,8,3,4,13,8,2,1,6,1,8,3,3,1,5,8,3,2,1,15,11,8,4,8,5,2,3,5,5,4,10,7,1,10,13,13,9,12,11,8,3,15,1,7,12,- -  -,Ama
Souvik Das,"D/WB (R), DM, M/AM (C)",6.56,6.56,14,3,2,5,11,4,6,11,3,3,1,5,1,4,10,3,3,17,6,3,6,13,2,4,1,3,5,5,4,3,3,3,17,11,3,5,6,7,1,1,6,5,8,11,6,2,10,18,12,13,11,12,9,1,5,6,9,10,- -  -,
Lance Chargualaf,D/WB (R),6.31,6.31,4,1,1,2,2,4,6,9,3,1,4,4,1,3,12,1,1,12,3,1,1,11,1,5,1,3,1,5,3,1,3,1,8,4,3,1,5,1,2,1,3,3,3,11,15,3,12,18,10,10,12,11,12,1,5,8,13,9,- -  -,Ama
Kevin Fajardo,D (RC),6.96,6.96,12,11,1,9,11,4,9,15,2,1,1,17,7,11,14,2,10,15,6,10,6,3,3,4,4,3,4,5,13,10,1,6,11,12,12,6,16,10,3,3,2,11,4,14,6,2,11,5,11,12,6,13,11,10,8,6,13,11,- -  -,
Salvatory Ngaroi,D (R),6.44,6.44,5,3,2,2,3,4,6,9,2,2,2,6,1,3,9,4,2,12,7,2,1,1,1,14,1,2,1,5,1,1,1,1,10,11,8,3,5,3,3,2,6,3,6,9,11,1,12,20,12,11,11,12,10,9,7,5,7,13,- -  -,Ama
Kimkima,D (RC),6.44,6.44,14,2,3,6,8,4,7,11,1,3,3,5,1,6,13,2,3,14,7,5,4,12,2,6,8,2,1,5,3,1,2,2,8,6,4,1,5,6,3,2,1,6,10,6,11,3,12,17,9,13,12,13,6,6,14,1,8,13,- -  -,Inj
