Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Yoan Besse,GK,8.27,8.27,5,2,3,7,11,1,3,3,7,6,8,5,3,4,6,4,2,9,2,3,2,8,7,9,1,13,4,3,3,1,17,1,2,9,2,3,5,3,7,4,8,8,4,5,12,14,10,16,17,14,16,11,10,17,7,12,6,3,- -  -,Ama
Damian Niemczycki,GK,8.20,8.20,2,3,2,1,4,2,4,1,10,8,7,8,3,7,10,6,1,8,3,1,3,11,9,8,1,10,6,1,1,1,5,1,12,12,2,2,6,3,5,8,14,5,3,7,10,14,11,17,13,11,10,13,6,8,14,7,18,11,- -  -,Wp
José Antonio Caro,GK,7.86,7.86,11,10,13,10,11,2,12,11,9,14,5,12,2,12,9,13,11,11,2,1,2,16,13,12,7,13,6,9,11,1,13,1,12,12,1,3,12,10,12,12,12,10,10,13,7,13,10,15,13,15,13,12,8,15,5,4,15,12,- -  -,
Matteo Grandi,GK,7.64,7.64,9,11,14,7,10,3,11,12,13,11,13,11,4,8,12,12,5,16,3,1,1,12,11,13,4,12,6,5,6,3,8,3,12,12,1,4,12,10,13,12,12,12,10,12,11,13,10,11,11,12,10,11,5,12,6,10,16,12,- -  -,
Aaron McCarey,GK,7.61,7.61,11,10,12,8,9,1,10,5,7,10,3,11,3,11,9,9,2,12,3,2,3,9,13,13,7,12,5,3,8,3,5,1,14,11,3,3,12,9,10,11,12,9,9,10,8,11,8,16,11,15,11,16,6,8,10,8,19,12,- -  -,
Han Ang,GK,7.61,7.61,12,9,13,6,14,2,9,11,9,16,10,14,3,10,8,13,1,11,1,1,1,12,9,11,1,15,6,3,7,1,9,2,16,15,3,5,14,9,12,11,14,11,13,16,9,10,9,15,16,7,15,14,3,16,7,5,7,16,- -  -,
Odysseas Vlachodimos,GK,7.60,7.60,12,10,14,9,12,2,11,12,7,17,13,15,3,10,11,14,3,14,2,2,1,10,12,13,7,16,6,4,9,2,4,1,13,12,3,5,13,12,10,8,13,12,14,15,11,13,12,16,12,15,15,14,5,13,4,7,16,14,- -  -,Wnt
David Aziaya,GK,7.60,7.60,6,8,12,7,7,1,11,6,8,12,9,9,2,9,6,12,1,12,2,2,1,14,13,15,1,11,8,1,6,1,5,3,12,9,2,4,10,9,11,11,7,10,7,12,5,16,5,13,11,14,11,12,7,13,11,4,17,13,- -  -,
Ali Abdulrahman,GK,7.60,7.60,7,6,11,8,11,2,5,7,7,14,8,13,4,10,12,9,2,16,2,2,2,8,11,14,1,10,7,2,7,3,7,2,12,12,2,2,8,9,8,12,12,15,11,11,13,12,7,15,10,12,12,12,10,15,10,9,8,15,- -  -,Yth
Archie Mair,GK,7.60,7.60,8,9,12,8,9,3,12,9,6,13,6,11,6,8,5,13,1,10,2,2,2,7,13,14,5,13,8,2,8,2,5,2,8,12,3,4,12,14,12,12,12,12,11,13,10,14,5,13,11,15,10,15,5,5,15,6,12,11,- -  -,
Jordan Amissah,GK,7.60,7.60,9,11,10,5,10,2,9,5,6,10,10,13,2,11,12,12,2,15,2,2,2,4,13,14,1,11,8,1,4,3,5,3,8,10,3,6,9,11,10,12,16,6,14,12,9,14,13,15,11,11,12,14,13,14,9,5,12,14,- -  -,
Moritz Nicolas,GK,7.57,7.57,11,7,13,8,11,3,11,10,11,13,9,13,3,10,10,13,2,13,2,1,1,10,12,15,3,11,5,4,7,2,7,2,13,12,3,4,12,12,12,12,13,12,12,12,11,14,8,13,13,12,12,16,7,14,7,4,15,13,- -  -,
Jermaine Fordah,GK,7.56,7.56,7,7,9,3,6,2,11,5,5,14,13,8,2,9,7,9,1,13,1,2,1,4,10,11,1,9,8,2,3,1,5,1,6,13,3,3,9,8,7,14,7,8,8,9,13,12,7,20,12,9,13,13,14,1,5,4,17,10,- -  -,
Tomáš Vaclík,GK,7.55,7.55,8,11,14,10,16,9,11,10,6,15,10,16,9,12,7,16,5,10,2,2,2,8,14,13,2,15,5,8,11,3,8,8,14,13,5,5,12,14,14,11,11,13,14,13,6,12,7,17,15,16,13,15,10,12,8,4,17,12,- -  -,
Qismət Hacıyev,GK,7.54,7.54,10,15,10,5,7,3,7,8,16,13,8,13,2,5,5,6,2,18,3,3,1,13,8,13,1,13,6,2,3,3,1,3,8,13,1,1,7,9,15,10,9,13,6,14,11,13,5,15,13,16,8,11,9,8,5,6,6,9,- -  -,Opt
Nikita Contini,GK,7.53,7.53,10,8,14,6,9,1,11,13,9,14,10,12,2,8,10,14,5,16,1,2,1,7,12,13,3,14,7,5,7,3,10,2,13,11,3,5,10,8,13,13,13,12,10,12,8,13,10,9,10,9,10,7,8,13,11,12,14,11,- -  -,
Joe Samuels,GK,7.50,7.50,11,7,11,8,13,2,8,10,9,10,13,7,2,10,10,10,1,13,1,2,2,6,10,10,1,13,6,2,2,1,2,2,10,13,2,3,9,8,9,9,14,12,10,13,6,12,11,6,6,11,18,9,5,18,9,16,9,12,- -  -,
Conor Hazard,GK,7.50,7.50,12,8,11,7,14,1,12,14,7,12,10,12,2,7,10,11,2,12,1,1,1,6,13,19,9,12,5,1,10,1,4,2,15,12,2,3,12,10,10,12,9,12,11,17,15,15,11,13,15,11,11,14,4,7,7,5,16,13,- -  -,Wnt
Robbie Thomson,GK,7.49,7.49,10,5,9,8,14,1,8,8,5,11,14,11,1,6,8,9,1,10,2,9,4,11,14,14,8,11,6,4,9,2,6,3,15,9,2,2,9,8,10,8,10,9,9,10,11,10,9,11,12,10,11,9,4,11,6,5,16,13,- -  -,
Paul White,GK,7.48,7.48,2,2,8,5,10,1,10,9,11,12,5,12,2,5,7,10,3,8,2,1,2,9,6,10,4,9,8,3,6,3,14,1,12,9,1,4,9,7,12,7,11,8,9,11,7,10,8,13,13,14,8,11,2,7,2,3,14,14,- -  -,
