Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Lérry Hanany,"DM, M (C)",6.00,6.00,13,9,3,14,10,9,6,8,3,1,3,13,9,9,6,2,10,12,12,1,10,15,3,12,8,1,9,5,11,6,4,3,16,12,9,7,10,11,3,1,9,6,12,6,15,2,6,18,9,15,11,13,14,5,5,5,20,13,- -  -,
James Holland,"D (C), DM, M (C)",6.80,6.80,13,11,1,13,13,10,12,12,1,1,3,14,5,12,10,4,12,15,12,8,6,14,3,11,10,3,5,10,11,4,2,10,14,13,10,9,12,13,3,1,14,13,13,9,11,1,12,12,12,8,10,8,5,12,7,11,14,12,- -  -,
Mohammed Ali Bemammer,"DM, M (C)",7.04,7.04,12,13,2,12,13,12,11,13,1,1,2,13,7,14,11,1,11,14,13,6,7,14,2,13,13,2,8,8,12,7,4,11,14,12,11,8,12,11,2,3,14,13,12,7,12,3,11,12,4,9,13,11,7,10,12,8,13,11,- -  -,
Igor Kharatin,"D (C), DM, M (C)",6.78,6.78,15,10,3,11,15,12,12,11,1,3,2,12,16,13,9,1,11,14,12,10,11,15,1,13,13,4,10,11,13,11,2,12,10,14,10,10,14,14,1,1,12,10,12,9,10,2,10,9,11,12,9,10,5,10,10,5,12,10,- -  -,
Patryk Dragon,"D (C), DM, M (C)",6.67,6.67,10,8,3,10,13,12,12,12,2,1,1,12,6,11,11,2,7,10,13,11,7,8,1,14,12,2,6,6,11,7,1,8,16,12,7,6,11,12,3,3,14,12,11,10,13,2,9,11,14,12,13,9,8,6,10,6,14,9,- -  -,
Eric Smith,"D (C), DM, M (C)",6.76,6.76,14,11,1,12,13,12,13,13,2,2,3,13,9,13,12,3,12,12,12,7,12,10,1,16,13,2,12,7,12,5,2,10,14,12,12,11,12,13,3,2,12,13,13,10,9,3,11,16,15,14,13,10,13,11,8,2,14,13,- -  -,Inj
Jon Stankovič,"D (C), DM, M (C)",6.88,6.88,13,11,2,11,13,13,12,12,1,3,2,14,7,13,12,1,12,14,13,11,6,14,2,15,16,3,4,6,13,6,2,10,13,14,6,4,13,14,2,3,14,15,12,12,14,3,12,10,11,14,4,10,6,12,8,4,15,10,- -  -,
Tomasz Jodłowiec,"DM, M (C)",6.87,6.87,11,10,2,10,14,14,14,8,3,4,3,12,10,12,7,2,13,12,12,14,9,5,2,16,14,1,6,6,11,9,2,9,14,11,11,6,12,13,2,3,13,16,11,10,13,2,6,12,9,8,10,8,9,13,10,8,13,9,- -  -,Opt
Mostafa Ahmadi,DM,7.05,7.05,12,12,2,12,9,14,7,12,3,2,2,13,6,12,9,3,11,15,12,4,7,8,1,13,10,1,7,5,12,4,1,7,2,11,8,10,12,12,2,3,10,10,11,10,11,3,8,11,11,9,10,13,9,9,8,8,15,12,- -  -,
Marco Höger,"D (C), DM, M (C)",6.92,6.92,13,10,3,12,17,14,13,12,3,3,1,11,15,13,8,1,9,13,12,10,14,12,1,11,10,3,11,9,11,9,3,9,11,14,11,9,12,15,2,4,17,14,14,8,11,3,7,16,14,13,14,12,12,14,13,6,15,14,- -  -,Inj
Jumanne Elfadhili,"DM, M (C)",6.73,6.73,9,7,2,10,14,15,5,9,4,2,2,12,5,10,5,1,8,15,11,5,9,7,3,14,8,1,5,5,13,9,2,5,8,15,4,7,8,12,2,3,9,9,12,5,15,1,5,20,8,12,12,10,8,13,12,4,12,10,- -  -,
