Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Rashid Sindano,"AM (RL), ST (C)",6.89,6.89,5,6,3,7,5,1,2,3,1,2,1,2,4,6,13,2,8,13,1,4,8,9,3,7,6,2,4,7,12,5,2,12,4,6,6,4,1,4,2,3,1,8,6,13,6,3,13,15,9,9,10,11,5,14,10,5,20,9,- -  -,Yth
Feisal Riyambi,"AM (RLC), ST (C)",6.84,6.84,6,4,2,8,5,1,3,10,2,2,1,5,3,3,12,2,7,10,4,1,3,9,3,6,5,2,4,11,9,10,2,10,9,5,6,4,3,8,3,2,3,6,8,12,12,4,12,20,12,11,8,12,7,11,8,4,13,11,- -  -,
Neil Buttigieg,"AM (L), ST (C)",5.72,5.72,5,1,3,8,4,1,2,1,3,1,4,4,2,5,14,3,5,12,3,4,6,10,1,2,5,3,3,9,12,5,1,3,14,1,4,3,1,6,2,1,4,13,3,14,8,3,13,11,12,11,11,13,6,8,8,7,4,11,- -  -,
Kacper Kondracki,"M (C), AM (LC)",6.85,6.85,11,8,1,9,13,1,4,7,2,1,4,5,7,13,14,1,11,12,7,1,10,2,3,8,7,2,7,10,13,9,2,11,16,8,9,4,8,10,1,1,7,14,8,13,6,2,14,20,7,10,8,10,9,16,8,3,9,10,- -  -,
Francesco Pari,"M (L), AM (LC)",6.65,6.65,5,5,3,12,3,1,2,3,2,1,1,2,1,1,12,3,6,16,1,1,3,7,2,3,2,3,2,13,12,8,4,5,6,9,5,5,4,3,3,2,3,5,3,12,12,3,12,11,10,10,9,13,14,18,7,4,16,11,- -  -,Ctr
Cody Brook,"M (R), AM (RC), ST (C)",7.16,7.16,10,3,3,11,3,1,2,8,4,2,3,5,3,3,12,1,10,12,3,1,4,9,1,2,5,2,9,12,10,10,2,7,4,12,5,5,6,5,1,3,6,11,7,12,13,1,12,11,10,13,9,12,15,6,14,4,18,11,- -  -,Ama
Decarrey Sheriff,"AM (R), ST (C)",6.77,6.77,9,4,2,9,11,2,6,10,3,3,4,4,11,8,14,2,10,11,4,1,8,3,1,6,8,2,5,8,10,10,2,8,1,5,8,3,6,8,1,2,1,11,8,14,4,3,12,18,10,10,10,12,10,9,4,8,15,10,- -  -,
Lucas Tomlinson,"M (L), AM (RLC)",7.06,7.06,10,12,1,12,8,2,6,9,2,2,3,4,7,9,13,1,7,7,4,3,9,3,1,6,6,3,6,13,11,8,2,13,11,10,8,8,8,9,3,1,8,13,6,13,3,1,12,19,11,12,9,11,3,7,2,8,8,10,- -  -,Wnt
Malick Mbaye,"AM (RL), ST (C)",6.98,6.98,10,6,1,14,9,2,8,10,1,2,1,8,5,10,15,2,11,15,7,7,7,8,3,3,10,1,4,13,12,14,3,14,19,14,10,6,4,10,3,2,8,10,10,14,6,3,12,12,12,11,10,10,5,6,11,4,12,9,- -  -,
Roberval,"AM (RL), ST (C)",5.84,5.84,10,12,2,14,10,2,11,11,2,3,3,5,13,11,9,4,13,10,2,2,11,8,2,7,8,2,11,9,13,13,1,12,9,9,9,8,6,8,3,1,6,14,12,11,10,1,6,12,8,7,12,14,6,9,10,15,13,11,- -  -,
Muhammadu Faal,"AM (RL), ST (C)",7.23,7.23,11,6,3,8,6,2,11,11,1,1,1,5,8,7,14,3,7,11,2,1,8,2,2,15,5,2,3,15,10,11,2,12,13,4,6,2,3,10,1,1,8,12,4,15,7,1,14,13,12,11,6,8,6,14,7,2,11,12,- -  -,Wnt
Selim Ilgaz,AM (RL),7.40,7.40,9,12,1,15,9,2,14,10,2,3,1,8,10,10,14,1,14,14,3,5,15,7,2,11,11,4,10,13,13,14,1,13,10,12,9,7,12,14,1,4,15,16,12,13,8,2,12,11,13,12,10,12,9,13,7,5,14,12,- -  -,Opt
Chico,"AM (L), ST (C)",6.42,6.42,8,7,1,9,12,2,4,4,2,3,3,6,10,11,9,2,13,12,5,1,4,14,2,8,6,4,4,14,10,14,4,14,13,10,4,4,8,11,3,3,7,13,6,12,14,2,13,18,10,12,9,10,13,6,14,6,11,12,- -  -,Inj
Rhys Murrell-Williamson,"M/AM (RL), ST (C)",7.34,7.34,7,3,1,8,4,2,8,8,1,1,2,2,7,5,15,3,4,10,3,1,5,3,3,9,5,3,9,13,8,7,1,12,8,4,7,8,4,5,3,1,5,10,6,14,6,3,15,12,11,11,10,14,5,7,3,3,8,16,- -  -,
Mohammed Al-Kuwaykibi,AM (RLC),6.86,6.86,7,6,2,13,6,2,3,11,3,2,3,8,11,7,17,2,11,9,2,6,12,12,1,6,4,1,11,10,12,12,2,15,14,8,12,11,6,7,1,3,10,14,6,16,7,2,17,16,12,12,8,12,12,11,5,1,12,10,- -  -,
Mate Vatsadze,"M/AM (L), ST (C)",7.18,7.18,7,9,1,11,6,3,8,11,4,2,3,4,13,9,11,2,13,9,5,6,10,10,3,11,13,1,8,12,10,12,1,9,13,6,8,7,6,11,4,2,15,12,13,9,15,1,11,7,7,7,8,13,14,8,13,8,9,11,- -  -,
Hassan Masenga,"AM (LC), ST (C)",6.72,6.72,6,5,3,8,5,3,1,4,1,2,1,3,3,6,13,1,8,14,4,3,6,8,3,1,1,1,4,9,13,6,2,9,13,5,6,4,5,10,2,3,3,13,4,12,12,3,13,20,13,11,11,11,18,12,7,7,9,12,- -  -,Yth
Talla N'Diaye,"AM (L), ST (C)",7.34,7.34,9,7,3,11,8,3,11,12,2,1,1,5,12,7,10,1,11,13,3,5,9,6,3,9,7,1,8,12,11,9,4,9,12,8,8,6,9,10,2,3,8,11,10,13,6,3,13,15,15,13,12,12,10,13,6,6,13,12,- -  -,
Razak Boukari,"M (L), AM (RL), ST (C)",6.78,6.78,8,10,1,12,7,3,10,7,3,2,1,5,12,9,12,3,13,12,4,5,12,6,1,13,13,3,11,14,12,10,2,11,12,8,10,8,7,10,2,1,11,13,10,10,8,1,11,14,14,10,10,13,14,13,8,7,10,12,- -  -,Ama
Josh Bohui,M/AM (RL),6.71,6.71,11,4,3,8,5,3,6,8,1,2,3,3,3,5,13,1,7,13,2,1,5,2,1,6,4,2,2,12,8,9,4,9,11,5,9,3,9,6,2,2,7,9,5,12,6,3,12,17,10,10,10,12,5,12,10,1,9,12,- -  -,
David Rajic,AM (RL),6.79,6.79,7,3,1,8,6,3,8,9,1,2,1,3,4,7,13,2,4,11,5,1,5,7,1,12,3,2,4,13,12,10,3,10,17,7,7,5,5,5,2,1,6,7,5,13,9,3,10,18,11,12,12,9,5,14,6,6,10,10,- -  -,Yth
Ta Eh Doe,"M (L), AM (RL)",6.69,6.69,5,4,2,12,9,3,8,7,1,3,3,2,3,6,12,1,5,8,2,6,6,9,4,3,2,3,8,14,9,5,2,12,7,5,6,8,4,7,3,3,7,13,6,11,11,2,11,16,12,11,10,11,6,15,14,4,9,14,- -  -,Ama
Tebnimit Buransri,"AM (RL), ST (C)",6.73,6.73,7,6,3,6,6,3,1,11,2,1,1,5,2,3,13,2,10,5,5,3,5,7,3,1,4,2,3,9,11,8,1,10,9,10,8,5,6,7,1,2,7,7,8,13,6,1,13,16,13,10,11,12,12,7,6,5,11,10,- -  -,
Kevin Hanratty,M/AM (LC),6.86,6.86,6,8,1,10,7,3,6,11,2,1,2,5,2,8,12,2,7,10,4,7,8,6,3,8,7,1,6,14,10,10,2,11,12,7,8,5,6,8,3,2,2,10,7,11,7,2,10,7,5,10,10,10,9,4,11,3,5,10,- -  -,
Casimir Ninga,"M/AM (L), ST (C)",6.88,6.88,11,9,1,10,10,4,14,14,1,1,3,7,10,9,15,3,13,10,3,5,13,7,2,12,11,1,5,13,10,13,2,11,15,9,10,5,8,11,3,3,14,15,11,13,13,2,14,15,13,14,12,13,12,11,8,6,12,15,- -  -,
Érico Castro,"AM (R), ST (C)",7.03,7.03,11,9,2,13,10,4,16,12,3,3,3,6,15,11,11,1,14,16,3,3,13,9,1,11,11,1,13,13,11,14,1,11,12,10,10,7,11,11,2,3,13,15,11,9,13,1,10,13,10,13,11,10,5,9,13,9,13,14,- -  -,
Mustafa Çeçenoğlu,"M (R), AM (RL)",7.15,7.15,13,10,3,13,11,4,13,11,1,2,2,7,9,8,14,3,13,12,5,3,12,8,1,11,9,3,10,12,11,11,3,11,12,9,12,13,13,10,3,2,14,14,10,11,12,1,12,5,5,10,12,5,3,4,12,8,11,10,- -  -,Opt
Fandjé Touré,"AM (RL), ST (C)",6.73,6.73,8,13,2,10,11,4,8,10,2,1,1,3,6,6,14,3,13,15,2,7,6,6,3,6,4,1,8,16,11,10,3,11,12,10,7,4,7,11,3,3,6,10,12,11,12,2,14,16,11,11,14,11,13,7,6,5,4,13,- -  -,
Tyrese Campbell,"AM (R), ST (C)",6.88,6.88,12,11,2,12,11,4,12,15,4,1,1,7,11,8,14,2,15,13,4,7,12,6,3,12,10,2,5,12,12,16,1,12,13,12,10,9,10,12,2,3,8,14,14,14,10,1,14,10,13,16,10,11,3,10,3,7,10,15,- -  -,
Salum Mlinge,AM (RL),6.59,6.59,8,3,2,11,7,4,5,3,1,1,1,6,1,8,13,3,8,14,3,2,14,7,2,8,6,1,6,10,12,8,2,14,1,8,8,6,7,8,3,1,1,12,8,14,5,1,13,14,13,11,9,12,13,2,9,5,9,12,- -  -,Yth
Kelvin Ofori,"AM (RC), ST (C)",6.69,6.69,15,9,3,14,10,4,8,12,2,3,3,6,10,10,14,1,8,15,5,6,12,6,1,8,9,2,8,13,14,11,3,14,13,8,8,8,11,11,3,2,12,12,11,14,14,2,16,9,14,12,10,9,6,12,6,10,10,15,- -  -,
James Naku,"AM (LC), ST (C)",7.23,7.23,7,8,3,8,7,4,3,4,1,1,4,4,4,8,13,1,5,12,4,1,8,5,3,7,8,2,6,14,13,8,3,6,6,8,8,6,7,5,3,3,7,12,10,12,6,1,14,19,10,11,11,11,5,9,13,5,8,12,- -  -,
Anton Chebykin,"M/AM (R), ST (C)",7.08,7.08,8,7,3,8,7,4,6,9,1,2,1,3,6,8,14,3,12,8,5,5,6,3,3,10,7,1,4,12,14,11,2,11,18,7,10,8,6,8,1,3,8,8,12,13,15,2,13,20,11,13,11,13,6,15,8,4,9,10,- -  -,
Vicente Besuijen,AM (RLC),6.87,6.87,13,8,1,13,7,4,4,11,3,2,1,4,10,11,15,4,13,14,3,11,6,6,1,5,5,4,11,15,12,11,1,14,10,10,10,7,7,12,3,1,13,15,8,16,5,1,15,8,3,10,12,11,9,10,13,1,8,13,- -  -,Set
Amine Gouiri,"M/AM (L), ST (C)",7.18,7.18,14,15,2,15,15,4,12,13,2,3,3,10,13,13,15,2,16,16,5,5,14,12,2,12,11,3,10,16,15,15,2,16,16,13,11,7,14,15,3,1,14,16,13,15,13,3,15,14,10,16,16,14,7,15,8,8,13,15,- -  -,Inj
Dani Pacheco,"AM (LC), ST (C)",6.89,6.89,12,13,3,13,9,4,4,10,1,2,2,7,12,12,12,2,12,13,8,5,12,4,2,7,4,1,14,16,14,13,1,13,14,10,12,10,8,12,2,2,7,15,13,14,9,1,12,7,10,10,12,6,16,10,4,10,14,14,- -  -,
Daniel da Mota,"M/AM (L), ST (C)",7.24,7.24,9,10,3,13,8,4,8,9,1,2,3,4,7,11,11,3,10,18,3,2,9,13,2,8,6,3,10,14,13,11,1,11,15,11,8,8,7,11,1,3,10,12,10,12,11,1,10,14,15,19,11,9,9,16,8,5,11,10,- -  -,
Shayon Harrison,"AM (RL), ST (C)",7.54,7.54,8,10,1,11,9,4,9,8,3,3,2,7,11,7,13,2,11,14,6,4,12,6,3,9,9,2,10,15,11,10,1,13,13,10,7,7,11,13,3,2,7,10,8,12,6,3,13,6,7,6,12,13,12,8,5,14,15,9,- -  -,Opt
Yusuf Lawal,"AM (RL), ST (C)",6.76,6.76,10,7,2,12,9,4,13,10,3,2,3,7,9,6,16,3,7,14,4,8,8,1,3,5,7,3,8,12,12,10,1,12,9,10,11,8,9,9,3,2,14,14,11,12,12,2,15,10,12,8,10,12,9,6,5,7,8,19,- -  -,
Alden Suri,"AM (RL), ST (C)",6.64,6.64,11,5,2,9,6,4,4,6,3,3,3,3,4,6,12,3,5,10,7,6,7,9,2,6,3,3,5,13,8,6,2,11,15,5,6,8,4,5,1,2,12,15,4,13,11,1,14,19,9,11,11,10,9,5,14,5,9,10,- -  -,Ama
Filip Đuričić,M/AM (LC),6.77,6.77,12,14,1,16,12,4,9,12,2,1,3,6,13,14,11,2,15,13,4,4,12,12,4,8,4,2,10,17,16,13,2,14,14,13,11,11,10,13,1,2,7,15,14,13,9,2,13,10,11,11,13,5,12,10,8,16,13,14,- -  -,nEU
Armando Dobra,"M (L), AM (RLC)",6.85,6.85,11,10,3,10,10,4,10,10,1,2,3,7,7,9,12,2,8,11,4,4,8,5,1,5,6,2,7,13,10,8,1,14,14,9,8,7,9,12,1,2,13,16,10,13,12,3,13,9,7,11,12,10,2,10,12,9,7,9,- -  -,
Łukasz Cieślewicz,"M (C), AM (RLC), ST (C)",6.71,6.71,11,13,1,11,8,4,9,8,3,2,3,2,17,10,7,4,12,10,4,4,11,12,2,5,5,3,8,14,12,12,3,10,15,8,6,6,6,7,3,2,12,12,7,10,13,2,8,8,7,11,8,11,7,12,5,7,10,15,- -  -,
Paulinho Piracicaba,"M (C), AM (RC), ST (C)",6.62,6.62,8,3,1,10,6,4,7,7,2,3,1,6,6,7,8,2,8,13,2,3,6,9,4,7,5,3,8,15,9,10,2,9,15,8,7,5,2,8,2,2,7,9,8,10,5,1,9,13,9,12,15,13,7,11,8,4,14,8,- -  -,Ama
Djamel-Eddine Chettal,"AM (RLC), ST (C)",6.81,6.81,9,7,2,11,13,4,4,8,1,1,3,7,3,12,11,1,11,9,7,7,9,9,1,6,7,1,7,14,11,14,2,14,6,11,6,7,8,9,1,3,8,14,10,12,11,1,14,11,5,10,10,11,6,15,11,3,16,11,- -  -,
Malcolm Stewart,"M/AM (L), ST (C)",6.81,6.81,8,7,3,7,7,4,8,8,3,4,3,4,4,7,13,1,7,8,5,6,6,12,2,6,8,2,5,10,12,7,3,9,4,8,4,6,6,9,2,1,8,13,9,13,15,1,13,12,10,11,11,13,10,9,7,2,10,11,- -  -,Ctr
