Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Thu Ya Kyaw,WB (L),6.45,6.45,6,3,2,5,5,3,5,12,3,3,1,5,2,5,14,1,5,15,6,4,4,7,4,4,4,3,1,5,9,4,4,5,6,5,6,3,4,6,1,3,4,6,8,12,5,1,13,11,15,9,13,11,7,12,5,6,8,12,- -  -,
Dhananjoy Singh,D/WB (RL),6.24,6.24,8,6,3,4,6,4,4,13,1,2,2,5,1,4,10,3,5,14,5,4,4,12,1,4,3,2,1,8,5,2,1,4,14,5,9,5,9,4,1,2,5,7,6,11,13,2,9,17,13,10,10,10,6,2,11,5,8,11,- -  -,
Mönkhbat Mönkhjargal,WB (L),6.46,6.46,5,2,2,4,4,4,1,10,3,3,3,6,1,3,11,2,4,16,4,3,1,5,1,1,3,2,1,6,4,3,3,4,15,8,5,2,8,4,2,1,4,1,3,9,11,3,12,17,12,10,11,12,14,4,13,6,8,11,- -  -,Ctr
Aleksandr Bezrodnyi,WB (L),7.45,7.45,5,5,3,10,5,5,7,6,1,4,3,7,1,4,8,2,3,14,4,1,1,6,1,14,2,3,2,6,6,1,1,3,11,7,10,4,7,5,2,1,1,6,5,9,7,3,13,19,10,12,12,13,9,2,5,2,8,10,- -  -,
Sakal Regmi,WB (L),7.02,7.02,5,2,2,5,5,5,3,9,2,1,2,8,1,8,13,2,4,13,2,2,2,11,3,4,4,3,1,5,10,1,4,4,16,11,10,5,7,5,2,1,5,5,4,13,12,1,13,20,10,10,13,10,6,7,10,3,10,13,- -  -,
Sadat Sibabi,WB (L),6.25,6.25,7,3,3,8,5,5,4,11,2,2,1,5,2,4,13,1,3,12,5,4,1,11,3,4,3,3,1,5,7,2,3,5,18,9,10,3,6,5,2,2,7,5,8,13,6,2,13,11,12,10,12,12,10,1,7,4,8,11,- -  -,
Chris Craven,D (RLC),6.49,6.49,7,5,3,8,6,5,8,7,3,3,3,10,1,5,12,1,6,14,6,5,2,7,3,6,6,2,1,5,9,3,1,2,3,11,7,4,9,6,2,2,7,4,4,12,13,1,12,15,13,12,11,10,9,11,12,8,9,11,- -  -,Ama
Akashdeep Singh,D/WB (RL),6.43,6.43,15,3,2,6,8,5,8,11,3,2,1,6,1,5,9,2,4,7,6,5,2,14,3,7,4,2,1,5,7,4,3,5,12,8,4,3,6,4,3,3,5,5,5,8,11,3,10,19,12,11,11,11,10,14,13,1,7,9,- -  -,
Abdullah Al-Ammar,D/WB (L),6.94,6.94,13,11,2,9,13,5,11,15,1,2,3,5,7,9,15,3,13,13,9,10,5,8,2,9,8,3,4,12,9,3,1,6,3,11,12,6,12,7,2,1,10,16,9,12,13,3,14,20,10,11,10,10,7,2,11,3,16,14,- -  -,
Mohd Shahrizan Adam,D/WB (RL),6.38,6.38,5,2,2,6,5,5,2,8,3,2,2,5,3,5,10,1,5,16,5,4,1,2,2,6,4,1,1,5,5,1,1,4,11,6,6,3,6,2,2,2,2,5,5,8,11,3,12,19,15,9,11,12,12,3,5,8,6,14,- -  -,
