Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Camilo Reyes,"AM (L), ST (C)",7.93,7.93,13,12,3,15,10,4,8,12,1,3,3,4,9,9,9,2,11,12,4,9,5,7,2,14,10,1,6,14,11,13,3,14,16,10,8,7,5,12,1,3,8,15,8,7,8,3,11,14,10,15,12,12,4,10,10,6,14,9,- -  -,Ama
Kazaiah Sterling,"AM (RL), ST (C)",7.91,7.91,11,10,3,9,12,5,11,10,3,3,2,8,10,10,13,2,11,10,4,8,11,13,1,7,6,1,7,10,9,7,1,7,17,8,8,4,9,11,4,2,6,12,12,11,8,2,12,19,8,12,11,14,5,12,9,7,17,10,- -  -,Opt
Kaide Gordon,"AM (RLC), ST (C)",7.90,7.90,12,13,3,14,11,6,10,12,3,3,3,7,9,11,14,1,12,10,6,4,11,5,2,7,6,4,10,13,13,10,2,15,12,11,13,8,9,13,3,2,7,12,12,13,8,2,15,10,8,12,10,8,9,10,8,6,9,13,- -  -,
Luca De La Torre,"M (RC), AM (RLC)",7.87,7.87,13,12,2,14,13,4,10,13,2,2,1,8,10,14,13,3,13,15,6,3,9,8,2,6,7,3,10,12,12,7,3,14,12,12,8,5,11,11,1,1,9,13,9,14,9,1,11,8,13,13,11,9,5,12,9,8,14,12,- -  -,
Matheusinho,"M (L), AM (LC)",7.82,7.82,13,13,2,14,13,4,6,14,3,1,2,3,12,13,14,3,14,13,4,5,8,8,4,5,6,3,11,15,14,9,1,14,14,12,13,11,11,13,2,2,12,10,14,16,8,2,15,10,5,12,12,10,12,12,9,7,15,13,- -  -,
Ahmed Abdelkader,"AM (LC), ST (C)",7.81,7.81,10,16,2,16,12,9,11,13,2,1,4,12,9,14,14,1,15,15,10,5,10,10,3,9,7,3,7,15,15,13,4,17,15,14,12,12,12,15,3,3,13,13,16,16,12,2,12,15,11,14,11,12,6,13,7,5,18,17,- -  -,
Ilias Akhomach,"DM, M/AM (RC), ST (C)",7.81,7.81,8,13,4,16,10,5,12,12,3,1,2,6,9,13,13,1,13,15,5,7,12,9,3,5,8,3,12,17,14,11,2,15,15,13,11,10,8,13,1,1,13,13,12,17,11,3,15,12,11,14,15,15,5,15,10,10,15,15,- -  -,
Tarek Ben Hassine,"M (C), AM (RLC)",7.75,7.75,9,12,3,15,8,8,11,11,3,2,3,7,9,13,12,4,12,14,7,3,12,5,1,5,6,1,12,14,13,9,3,16,14,15,13,12,9,13,1,3,6,11,10,15,13,2,10,16,16,14,15,17,8,16,9,3,13,19,- -  -,
Carlos Jr.,"M/AM (RL), ST (C)",7.75,7.75,16,13,3,13,12,12,7,12,2,2,3,5,14,11,13,3,14,16,7,9,13,12,2,5,12,1,10,14,13,13,1,13,17,11,10,8,12,12,2,4,16,12,12,15,17,2,15,14,7,14,13,12,8,14,6,10,16,14,- -  -,
Mariano Carrera,"AM (RC), ST (C)",7.73,7.73,4,8,2,13,5,3,8,10,3,2,1,4,7,10,15,3,9,14,2,4,6,11,3,8,9,2,7,12,11,8,1,13,14,10,8,10,4,7,3,1,5,15,8,13,12,1,17,16,13,15,9,14,10,8,17,8,7,11,- -  -,Ctr
Luís Henrique,"M (L), AM (RL)",7.73,7.73,12,11,2,14,11,6,12,12,2,4,2,7,10,12,14,3,12,14,7,6,11,6,3,10,10,1,9,15,13,10,1,14,14,12,16,7,9,13,2,3,11,11,10,14,12,1,14,12,8,13,12,13,14,11,5,4,13,13,- -  -,
Levan Shengelia,M/AM (R),7.71,7.71,15,13,4,12,13,7,12,12,3,3,2,9,8,13,13,3,10,14,3,7,13,8,1,13,10,3,12,13,12,10,2,12,12,11,14,14,10,10,3,3,11,13,11,14,8,3,13,8,11,13,13,11,7,3,7,5,14,12,- -  -,
Adam McCann,D/M/AM (R),7.67,7.67,13,11,1,16,12,4,12,11,3,1,1,5,11,10,14,2,9,12,4,5,13,4,2,10,9,3,10,14,11,8,2,13,14,10,10,7,9,10,3,4,7,11,9,12,7,1,15,17,17,13,14,11,6,15,14,11,9,14,- -  -,Opt
Achraf Bencharki,"M (L), AM (LC), ST (C)",7.66,7.66,12,13,3,15,10,3,8,10,3,1,2,3,15,13,13,2,14,14,3,7,10,12,4,8,13,2,9,14,13,13,4,13,3,13,12,9,11,12,3,1,10,11,13,14,8,2,14,13,11,12,11,11,8,13,14,7,17,11,- -  -,
Muamer Tankovic,M/AM (RL),7.66,7.66,12,13,1,14,11,5,10,12,3,1,2,6,13,12,13,1,14,10,6,3,12,7,2,8,9,3,13,15,14,11,3,12,9,11,13,14,10,12,2,3,6,11,12,13,9,1,12,9,9,10,11,8,6,11,9,12,13,13,- -  -,
Alexandros Zervoulias,"M (R), AM (RL), ST (C)",7.65,7.65,9,2,2,12,6,1,4,5,2,1,3,1,3,8,9,2,6,14,1,1,2,1,1,9,3,4,1,12,7,5,2,5,2,2,4,5,2,4,1,3,6,10,3,9,15,1,13,10,12,11,8,12,9,8,13,8,6,4,- -  -,Ctr
Christian Capone,"M (L), AM (LC)",7.63,7.63,12,13,1,13,12,5,13,13,1,2,1,6,11,12,15,3,13,13,3,6,11,11,3,9,5,2,7,14,13,12,1,12,15,11,13,11,12,12,2,2,11,10,11,14,10,1,15,11,13,15,14,14,5,15,4,4,15,15,- -  -,
Simone Edera,"M (R), AM (RLC)",7.63,7.63,10,13,3,13,10,8,9,12,3,3,3,5,8,13,14,1,14,15,5,6,13,6,2,11,11,3,9,14,14,10,3,13,13,12,12,13,10,12,1,2,10,11,12,13,11,3,14,15,14,13,11,18,10,12,10,2,16,12,- -  -,
Aleksandar Boljević,"M (L), AM (RL)",7.63,7.63,10,9,4,12,9,4,10,14,4,1,1,6,10,12,15,1,7,13,4,8,10,5,1,10,10,2,9,12,12,8,3,11,4,9,11,11,12,10,1,1,12,11,12,10,10,2,15,16,9,13,13,9,8,10,9,8,15,11,- -  -,
