Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Michael Clunan,"DM, M (C)",7.82,7.82,12,13,1,10,12,9,9,12,3,3,2,9,7,12,9,2,9,11,9,4,10,15,2,5,6,2,8,10,9,9,2,10,18,10,9,9,9,9,3,4,8,10,10,10,8,1,11,9,7,9,7,12,5,13,4,1,15,9,- -  -,
Gabri Veiga,M/AM (C),7.75,7.75,15,14,2,14,12,11,12,15,2,3,2,12,10,16,13,3,15,11,12,7,12,13,4,15,12,3,11,12,14,12,2,14,15,13,11,12,13,14,3,3,9,14,14,13,15,3,14,20,13,10,12,13,6,10,11,6,14,9,- -  -,
Julinho Sambú,"DM, M/AM (C)",7.61,7.61,12,11,3,12,6,4,8,9,1,3,1,5,5,8,9,3,9,14,5,3,6,13,2,7,1,1,3,12,6,6,1,7,14,8,6,7,4,8,3,3,6,8,9,11,6,2,7,8,9,19,9,12,4,6,13,6,8,12,- -  -,Ama
Lukáš Provod,"DM, M (C), AM (L)",7.56,7.56,15,14,2,13,11,11,14,14,1,1,3,12,11,14,13,4,11,12,12,12,12,10,4,13,11,1,10,14,14,10,3,12,13,15,12,8,14,12,1,1,14,14,14,11,13,1,13,9,10,13,11,12,13,14,12,10,16,13,- -  -,
Assan Ouédraogo,"M (C), AM (RC)",7.54,7.54,12,14,3,15,11,10,12,14,2,3,2,10,12,15,15,4,14,17,8,2,15,10,1,12,10,3,12,16,14,12,3,15,16,11,10,7,10,12,1,4,11,14,12,15,12,3,15,14,14,15,14,12,5,13,4,4,15,15,- -  -,
Teboho Mokoena,"DM, M (C)",7.54,7.54,13,12,1,16,12,15,9,9,2,3,1,13,7,15,13,3,12,10,12,6,12,9,1,6,9,1,9,12,13,7,2,10,8,16,7,7,12,13,1,3,7,11,15,13,13,3,15,12,9,10,10,12,5,17,10,6,17,9,- -  -,Opt
Aaron Tshibola,"DM, M (C)",7.44,7.44,13,11,1,13,10,12,14,13,2,3,2,11,9,14,14,1,12,16,11,9,8,6,2,14,10,2,9,13,14,10,2,13,12,8,8,8,7,13,1,1,12,13,11,10,9,2,14,12,14,10,9,10,8,10,7,5,14,13,- -  -,
Víctor Rosales,"DM, M/AM (C)",7.43,7.43,11,8,2,11,8,5,8,12,4,2,2,5,8,13,6,3,7,16,10,5,5,9,1,7,2,3,7,10,8,5,4,7,14,10,1,5,6,6,2,3,6,11,10,4,6,2,6,16,8,17,15,11,6,15,6,2,12,12,- -  -,Int
Nemanja Glavčić,"DM, M/AM (C)",7.40,7.40,14,14,2,14,12,9,8,12,3,2,4,9,13,12,15,2,11,11,7,5,10,11,3,7,8,1,13,12,11,5,1,12,12,11,9,14,9,10,1,3,9,8,12,13,12,3,14,12,12,12,13,12,9,12,9,9,16,12,- -  -,
Alfie Bridgman,"DM, M (C)",7.40,7.40,10,10,1,9,6,7,9,9,2,1,3,3,3,13,9,1,8,9,7,4,8,8,1,12,4,2,5,6,8,5,2,6,13,15,3,3,5,8,3,1,8,6,8,10,9,2,13,14,7,12,10,13,7,6,11,4,5,12,- -  -,
