Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Jahongir O'rozov,D (C),6.29,6.29,3,1,2,1,2,3,5,2,3,3,2,12,1,2,11,1,2,11,6,2,1,3,1,10,9,1,1,5,1,1,2,1,6,10,1,1,3,1,2,2,4,3,8,9,13,1,12,10,10,12,8,10,7,6,14,5,14,9,- -  -,
Keenan Almeida,"D (RLC), WB (RL)",6.25,6.25,14,5,2,3,7,3,7,10,3,2,3,4,3,4,11,2,3,14,2,1,3,14,1,8,5,1,4,10,4,2,3,4,17,4,3,10,9,3,2,2,7,5,3,12,15,4,11,11,11,15,15,11,13,1,12,3,9,10,- -  -,
Júlio César Tavares,D (C),6.29,6.29,3,1,3,1,1,4,4,8,3,4,4,8,1,1,10,3,1,13,10,1,1,4,4,8,9,2,1,5,1,1,4,1,6,10,1,1,3,1,3,1,5,1,1,10,14,2,10,14,12,10,14,10,5,14,13,3,9,11,- -  -,Ama
Júnior,D (C),6.35,6.35,2,1,1,1,1,4,3,7,2,3,2,10,1,1,8,1,1,16,6,1,1,2,1,8,6,2,1,5,1,1,2,1,12,10,1,1,7,1,2,3,4,1,5,5,14,1,11,19,10,12,10,11,9,7,12,5,8,13,- -  -,Ama
Shen Huanming,D (C),6.56,6.56,3,1,1,1,2,4,4,6,2,1,2,9,1,1,7,2,1,12,10,1,1,6,2,7,12,1,1,5,3,1,2,1,6,11,1,1,3,1,2,1,5,3,4,10,15,2,11,10,9,14,13,10,13,2,7,5,7,10,- -  -,Ctr
Lexter James,D (C),6.72,6.72,2,1,1,1,1,4,4,2,3,1,3,12,1,2,6,3,1,18,9,1,1,13,1,10,10,2,1,5,1,1,1,1,14,7,1,1,3,2,3,1,4,3,5,9,8,3,9,14,13,13,12,11,9,2,7,2,7,11,- -  -,Ama
Brandon Philip,D (C),6.44,6.44,1,1,2,1,1,5,3,6,3,2,1,9,1,1,10,2,1,18,12,1,1,1,2,5,1,2,1,5,1,1,3,1,8,9,1,1,1,1,1,1,5,1,4,10,8,3,11,14,11,10,13,11,13,1,9,3,7,13,- -  -,Ama
Tsogtbaatar Gezegt,D (C),6.53,6.53,4,2,3,2,2,5,3,9,3,1,4,13,1,3,8,2,2,12,11,1,2,11,1,1,4,3,1,5,2,1,1,1,5,5,1,1,9,3,1,1,5,3,5,9,8,3,11,14,10,12,11,12,9,7,10,2,9,10,- -  -,Ama
Sione Tu'ifangaloka,"D (C), DM",6.56,6.56,3,2,3,1,8,5,13,10,2,2,3,8,1,3,8,1,1,16,5,1,1,10,3,12,7,2,1,5,1,1,3,1,18,11,1,1,4,1,3,1,15,1,10,7,14,3,5,15,9,12,11,11,7,1,5,7,10,8,- -  -,Ama
Kyle Kern,D (C),6.40,6.40,4,1,1,1,3,5,7,9,1,2,2,5,2,3,11,1,3,6,11,1,1,8,2,7,8,3,1,5,1,1,3,1,4,12,1,1,4,2,1,3,6,4,6,11,11,3,12,13,13,11,12,9,6,8,5,5,10,10,- -  -,
Hassan Shifaz,D (C),6.38,6.38,6,1,3,1,3,5,5,11,2,1,1,10,1,3,12,2,3,14,11,1,1,10,2,9,10,3,1,5,3,1,3,1,18,10,1,1,4,4,2,4,6,4,8,10,15,1,12,11,10,10,10,11,6,13,10,1,10,12,- -  -,
Katepu Sieni,D (C),6.09,6.09,6,3,2,1,5,5,7,5,2,1,3,8,1,4,6,3,3,10,10,1,4,10,2,7,10,1,3,5,3,2,4,3,6,8,1,3,12,5,3,1,5,5,5,8,9,1,4,17,12,13,10,10,7,1,7,2,8,9,- -  -,Ama
Jaghar Obed,D (C),6.19,6.19,1,1,2,1,1,5,4,6,2,1,1,1,1,1,10,2,1,15,11,1,1,8,4,9,5,1,1,5,1,1,2,1,11,10,1,1,1,1,1,3,4,1,7,8,8,4,11,18,11,11,13,10,7,1,9,3,10,12,- -  -,Ama
Alessandro Renzi,D (C),6.47,6.47,3,3,3,1,2,5,6,3,2,2,3,9,1,4,8,3,1,9,11,1,2,10,1,7,9,1,1,5,4,2,1,1,16,13,1,1,6,1,4,3,6,4,6,11,14,1,7,14,9,13,13,11,8,1,15,3,9,12,- -  -,
Vannadeth Nuanmaniaob,D (C),6.47,6.47,4,4,1,3,4,5,5,2,2,2,1,12,1,1,7,1,3,9,11,1,1,7,1,11,10,3,1,5,1,1,1,3,17,12,3,2,4,4,3,2,6,4,2,10,5,1,8,12,9,12,14,9,5,12,10,8,18,12,- -  -,
Zhao Jun,D (C),6.01,6.01,15,2,3,7,12,5,6,10,1,1,3,6,2,3,5,2,5,13,5,3,4,9,1,15,7,3,3,4,6,3,3,2,11,5,3,4,7,7,1,2,19,15,7,5,15,1,6,8,10,14,9,9,3,13,12,13,5,9,- -  -,Ama
Beram Njie,D (C),6.35,6.35,3,2,2,1,3,5,6,2,1,1,3,12,1,2,10,1,1,17,11,1,2,7,1,2,10,1,1,5,2,1,3,1,6,5,3,1,6,3,4,2,6,4,6,10,13,1,12,20,10,10,11,11,12,8,14,1,6,9,- -  -,
Kim Jeong-Woo,D (C),6.23,6.23,4,1,3,1,1,5,4,9,2,3,1,11,1,1,7,2,1,16,6,1,1,8,1,10,7,1,1,5,2,1,3,1,3,6,1,1,1,2,1,2,3,2,3,9,5,2,11,20,12,10,10,11,7,1,7,6,6,12,- -  -,Ama
Shwe Win Tun,D (C),6.57,6.57,5,4,1,2,4,6,8,10,2,2,4,11,1,5,12,4,3,13,8,1,1,4,3,9,8,3,1,5,4,1,1,1,13,5,1,2,7,4,2,3,4,5,6,11,8,3,13,19,10,8,9,10,5,8,11,8,10,12,- -  -,
Junior Sasu,D (C),6.36,6.36,7,3,2,4,6,6,7,3,4,1,2,14,1,5,6,3,4,12,11,1,2,10,3,9,13,2,3,5,4,3,3,4,11,8,1,1,10,5,1,1,8,6,8,9,13,3,4,12,10,11,11,12,11,1,9,5,10,11,- -  -,
Lancine Touré,D (C),6.67,6.67,6,3,3,1,5,6,6,11,2,2,3,13,2,3,13,3,4,8,10,3,3,9,3,7,13,1,1,5,5,1,4,1,6,8,2,1,6,4,3,2,8,6,9,13,11,3,13,12,8,12,11,10,5,14,5,1,16,9,- -  -,Ctr
Paul Brown,D (C),6.80,6.80,6,4,3,1,4,6,11,11,3,1,4,13,14,5,8,1,2,12,8,1,4,13,4,12,11,4,1,5,3,1,1,1,9,6,2,2,5,2,4,3,7,5,11,7,13,1,9,11,10,10,13,10,10,5,11,2,10,12,- -  -,Ama
Moreno van Leeuwen,D (C),6.20,6.20,4,1,2,1,3,6,7,8,4,1,3,13,1,2,6,1,1,5,12,1,1,7,2,11,5,1,2,5,3,1,3,1,16,9,1,1,5,1,2,1,6,3,8,5,15,1,7,13,9,10,12,8,7,8,10,5,11,12,- -  -,
Ling Zhi,"D (RC), WB (R)",6.61,6.61,4,1,3,5,3,6,4,7,2,2,3,4,4,5,8,3,1,11,7,2,3,13,4,8,6,3,2,3,4,2,3,2,11,5,5,3,4,5,1,3,16,14,7,9,18,2,11,10,12,9,12,9,4,13,9,11,6,10,- -  -,
Seuphie Coulibaly,D (C),6.58,6.58,4,1,1,3,3,6,5,8,3,3,2,10,1,1,9,3,3,12,12,3,3,8,3,13,3,1,1,5,4,1,1,1,12,8,1,1,10,4,1,2,5,4,8,7,10,2,11,14,11,11,10,12,7,3,8,3,9,12,- -  -,
