Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Nikolay Saraev,D/WB (R),8.08,8.08,6,5,2,7,9,6,6,11,2,2,1,7,5,4,6,1,5,9,5,5,3,14,2,12,5,1,2,5,4,4,3,4,12,6,4,2,8,4,1,3,17,6,7,9,5,2,7,17,6,12,13,16,6,13,9,5,13,5,- -  -,Ctr
Elliott Reeve,"D (RC), WB (R)",7.90,7.90,9,4,1,6,13,8,7,10,3,3,1,6,1,7,9,2,4,11,8,4,2,12,1,16,6,1,1,6,4,3,3,5,11,7,5,2,6,4,2,2,9,11,8,6,9,3,11,17,13,16,12,12,7,13,13,8,11,7,- -  -,Yth
Daniel Afriyie,D (LC),7.78,7.78,9,7,3,6,14,10,11,8,2,2,1,11,1,7,9,3,3,8,8,8,3,12,2,15,5,4,3,4,6,2,2,3,10,12,5,3,9,5,2,2,13,7,8,8,6,2,10,11,12,8,1,10,6,4,5,15,6,12,- -  -,
Robert Owusu Frimpong,D (RC),7.75,7.75,8,7,1,5,6,13,14,11,1,3,3,11,2,6,15,1,2,12,9,6,6,11,3,15,5,2,2,7,4,1,1,2,12,7,3,4,8,7,4,3,8,11,7,14,14,2,16,16,13,10,10,12,10,5,7,3,7,11,- -  -,
Fabricio Formiliano,"D (RC), DM",7.73,7.73,15,10,3,9,14,15,16,13,2,2,1,14,5,10,11,3,12,12,14,6,11,13,3,14,15,1,7,7,8,10,2,6,14,12,11,9,14,13,1,3,15,13,15,6,13,1,7,10,11,10,12,12,12,14,12,6,17,12,- -  -,
Senna Miangue,"D (LC), WB/M (L)",7.71,7.71,13,8,2,7,13,12,13,10,1,3,1,12,5,11,13,4,11,15,12,12,6,8,2,14,13,2,5,8,9,5,2,8,8,9,10,5,13,10,1,1,14,12,11,13,12,3,13,11,8,11,12,10,5,9,11,5,15,11,- -  -,
Mindia Mikeltadze,"D (RL), M (R)",7.70,7.70,7,6,4,10,7,7,9,10,2,4,2,10,11,7,5,2,6,10,9,6,4,9,3,13,6,1,8,4,6,3,1,5,15,12,7,11,7,7,1,1,8,4,8,5,17,3,8,17,6,13,16,6,5,15,10,2,6,10,- -  -,
Dominic Bernard,"D (RC), WB (R), DM",7.65,7.65,14,10,4,10,13,11,12,12,3,3,1,11,5,7,12,4,8,15,10,7,4,9,1,10,10,2,5,5,6,4,2,7,4,9,7,8,9,10,1,2,9,11,8,9,10,2,11,13,11,12,11,9,5,10,8,1,16,13,- -  -,
Alberto Pascarella,"D (RC), WB (R)",7.60,7.60,14,8,2,14,15,15,14,13,3,3,2,12,6,9,11,4,5,11,11,10,10,9,2,17,12,2,2,10,9,6,3,5,16,12,8,5,12,8,3,1,14,15,13,12,7,2,13,14,14,13,18,17,11,14,13,6,13,17,- -  -,Int
Carlos Domínguez,D (LC),7.58,7.58,12,10,2,11,11,15,13,10,3,2,2,15,6,11,12,1,11,7,13,9,10,11,2,13,14,2,10,9,11,4,1,11,13,13,4,7,15,13,4,3,14,11,14,11,16,4,13,17,11,10,13,11,13,7,8,1,16,15,- -  -,
Kwaku Donkor,D/WB (R),7.54,7.54,8,7,3,7,9,8,11,11,2,3,4,9,7,8,10,1,7,10,6,8,5,11,3,10,5,1,3,6,13,2,2,7,11,12,7,6,6,4,1,2,8,11,12,13,9,3,14,20,12,13,12,12,7,11,5,5,15,12,- -  -,
Natércio Tobias,D (RC),7.51,7.51,15,12,3,13,13,15,15,15,3,2,1,15,9,7,10,3,10,14,13,5,9,10,2,17,10,1,3,9,9,5,1,4,15,11,10,5,15,11,1,1,15,17,9,13,11,1,12,14,12,14,9,7,13,12,9,12,9,7,- -  -,
Joe Dandy,D (RC),7.44,7.44,5,2,3,5,7,13,7,5,3,3,1,9,5,4,7,2,4,8,13,4,4,8,2,10,9,3,1,4,5,3,2,4,7,13,4,4,7,6,1,2,8,5,7,5,9,2,8,18,12,10,11,13,10,4,15,3,14,12,- -  -,
Dimitrije Kamenović,"D (LC), WB (L)",7.42,7.42,15,11,1,9,10,11,17,13,3,2,3,13,8,10,13,2,9,13,13,11,9,14,1,16,13,3,6,6,9,3,2,10,13,12,11,9,13,9,3,1,13,16,13,12,12,3,13,12,13,14,13,13,9,12,8,8,17,13,- -  -,
Vasile Mogoş,D/WB/M (R),7.42,7.42,13,10,3,11,12,13,12,11,2,4,1,15,8,11,9,1,12,13,13,18,11,10,2,12,14,1,11,5,13,11,2,8,14,12,11,8,13,13,1,2,13,14,13,9,14,3,9,15,14,15,11,12,8,14,13,7,18,15,- -  -,
Kingsley Omoregie,"D (LC), M (L)",7.42,7.42,9,6,3,4,7,9,14,10,2,2,1,8,5,6,6,3,4,6,11,8,7,9,2,14,7,1,6,8,5,2,3,1,10,7,4,3,10,5,1,3,13,6,10,6,6,3,8,12,13,13,13,4,10,11,14,13,14,15,- -  -,Ama
Josh Lelan,D (RC),7.40,7.40,11,4,3,7,7,10,10,10,1,1,1,8,2,6,11,3,7,12,7,8,1,6,2,9,9,3,1,4,5,1,2,5,15,5,5,4,6,5,2,2,15,9,8,9,13,2,11,10,10,12,9,10,5,8,9,4,14,12,- -  -,
George Burroughs,D (RC),7.36,7.36,7,3,1,7,7,13,9,10,1,3,3,13,2,4,7,1,4,13,11,3,8,12,1,12,10,3,1,7,9,3,1,2,18,9,4,4,12,6,2,2,8,10,8,8,15,1,5,13,11,12,14,10,12,6,8,4,11,10,- -  -,
Sory Camara,"D (LC), DM",7.35,7.35,12,7,2,10,17,12,15,12,3,4,1,12,6,9,9,1,6,13,10,9,9,12,3,13,9,3,12,6,8,4,2,5,10,10,9,8,11,6,3,3,18,9,11,7,6,2,9,3,6,13,9,10,8,14,9,8,16,9,- -  -,
Kamran Məmmədov,"D (RC), M (C)",7.34,7.34,9,7,2,5,5,11,9,10,1,3,2,9,6,5,7,2,7,14,8,6,3,5,2,14,6,1,4,3,5,4,3,6,14,9,6,5,8,7,3,3,6,13,8,9,8,1,6,12,10,11,9,2,9,8,11,7,5,18,- -  -,
Baher Elmohamady,"D (RC), WB (R)",7.30,7.30,11,10,2,9,11,14,13,12,2,1,3,14,15,10,13,1,12,16,13,10,8,15,1,13,14,1,7,11,10,7,1,8,15,14,8,8,13,12,3,3,17,10,12,12,13,3,10,13,18,10,12,12,7,13,6,4,17,12,- -  -,Wnt
Hansell Riojas,D (RC),7.26,7.26,13,7,2,11,14,14,11,12,2,1,1,13,12,10,10,3,9,13,14,13,8,12,2,12,13,3,8,9,10,5,2,4,13,11,6,7,13,11,3,1,12,10,14,11,13,2,10,14,12,12,12,13,8,12,14,8,16,12,- -  -,
Lewis Martin,"D (LC), WB (L)",7.24,7.24,10,8,2,10,8,12,11,9,4,1,4,8,5,10,8,4,8,7,12,7,4,8,3,13,12,1,2,5,7,5,3,9,11,8,9,7,10,10,3,2,11,10,10,9,10,1,9,17,11,10,10,12,18,8,10,6,15,9,- -  -,
Jorge Augusto,D (L),7.24,7.24,12,11,3,9,14,13,14,12,3,1,3,13,10,7,14,3,9,16,9,11,6,5,1,13,6,3,4,7,9,3,1,6,14,14,6,7,14,8,2,1,15,11,13,13,13,3,14,13,11,13,13,16,12,15,11,7,11,20,- -  -,
Harry Osborne,"D (RC), AM (L)",7.23,7.23,9,6,2,6,7,11,10,9,2,3,2,10,1,7,10,1,3,10,10,5,3,9,1,9,10,2,1,5,6,5,1,3,12,8,5,4,9,5,4,1,12,10,8,9,12,2,10,15,9,12,12,11,11,13,8,1,15,11,- -  -,
Anders Vilstrup Sørensen,D (RC),7.23,7.23,7,1,2,2,6,14,13,9,3,1,2,7,2,3,4,1,2,8,12,4,5,8,1,13,9,2,1,6,5,3,3,3,6,6,4,3,7,4,4,1,14,8,8,5,13,1,6,15,16,9,16,14,8,17,2,15,8,5,- -  -,
Mohamed Boukhari,D (LC),7.22,7.22,12,4,1,7,9,10,11,12,2,3,3,12,4,2,6,2,5,11,11,5,7,16,1,7,10,4,5,5,6,3,3,2,15,7,5,3,11,5,3,2,18,7,11,6,11,4,7,13,11,15,12,12,13,12,6,5,9,10,- -  -,Ctr
Pablo Ramirez,D (L),7.21,7.21,15,6,3,4,15,8,6,14,2,2,2,6,3,5,4,3,3,12,8,2,4,15,1,12,5,4,1,4,4,1,3,5,5,11,5,3,7,5,2,2,13,10,6,5,13,3,6,5,10,13,8,10,2,6,6,7,6,1,- -  -,
Romário Vieira,"D (R), DM, M/AM (C)",7.20,7.20,10,8,1,6,9,8,9,9,2,2,3,7,3,5,10,2,7,9,7,2,9,7,3,7,4,2,1,9,5,5,2,5,12,6,4,3,6,5,2,3,10,11,5,11,15,4,10,4,5,10,6,10,14,4,12,12,13,12,- -  -,Inj
Curtis Thorn,D (RC),7.20,7.20,9,8,1,5,14,12,12,5,1,2,1,12,6,4,7,1,7,14,13,7,2,12,3,11,12,1,4,8,9,3,3,6,7,11,8,8,12,9,3,3,12,9,11,7,15,1,9,16,12,13,10,9,6,18,8,3,17,10,- -  -,
