Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Ricardo Farías,"D/M (C), ST (C)",8.70,8.70,10,10,1,13,5,6,9,10,3,3,2,8,7,11,8,2,10,10,3,5,5,14,3,11,12,3,3,13,9,13,1,6,6,10,7,2,6,13,3,1,14,8,10,9,7,2,10,13,12,12,12,12,5,14,13,8,9,6,- -  -,
Mateo Mejía,"AM (R), ST (C)",7.83,7.83,11,9,2,13,9,4,13,12,2,3,3,5,11,10,13,2,14,15,2,5,11,4,2,14,10,1,7,11,14,14,3,13,17,10,7,5,10,14,3,3,8,9,13,7,9,2,13,10,11,9,14,13,12,9,8,1,20,14,- -  -,Opt
Micah Obiero,ST (C),7.79,7.79,7,7,3,10,6,2,6,10,3,1,2,6,5,6,14,3,14,11,6,4,8,5,1,10,9,1,7,13,9,12,1,8,10,8,6,8,8,11,4,3,7,6,10,11,11,3,15,19,11,12,12,9,7,7,5,4,19,11,- -  -,
Robbie Blackburn,ST (C),7.61,7.61,6,8,1,12,9,1,10,11,3,1,3,2,11,10,14,1,14,14,1,3,6,10,3,13,14,2,1,13,15,16,3,10,13,10,5,2,5,13,1,1,9,9,10,14,11,3,15,15,16,13,18,15,9,16,8,5,10,3,- -  -,
Henrik Bergman,"M (RC), AM (R), ST (C)",7.60,7.60,7,7,3,10,9,5,12,11,1,2,2,8,9,9,9,2,10,14,5,4,7,7,3,9,9,3,7,12,6,10,1,6,13,10,10,10,4,12,2,3,5,11,12,8,8,4,8,17,16,16,13,17,6,13,8,4,16,13,- -  -,
Rickie Cruz,ST (C),7.55,7.55,6,1,1,9,4,1,6,11,2,2,2,3,8,5,10,3,8,14,3,3,2,7,2,8,12,3,5,7,11,14,1,9,6,9,3,4,3,7,4,1,5,5,4,12,12,1,11,13,11,11,11,12,5,7,13,8,15,12,- -  -,Ctr
Ruel Sotiriou,"AM (RL), ST (C)",7.51,7.51,12,6,1,10,7,5,11,11,3,1,3,5,8,9,12,3,12,11,5,3,9,7,1,7,8,3,8,6,12,13,1,11,15,7,6,9,11,12,2,3,13,13,12,12,14,3,12,8,8,12,11,8,12,10,8,4,11,14,- -  -,Opt
Atapharoy Bygrave,ST (C),7.43,7.43,9,7,1,8,9,4,7,8,1,2,1,8,8,9,9,3,10,13,7,1,7,9,3,10,13,1,8,14,8,11,1,7,7,15,6,11,9,10,2,2,13,14,15,9,15,1,11,16,14,12,11,10,12,8,12,8,15,9,- -  -,Ctr
Nikolay Komlichenko,"AM (L), ST (C)",7.41,7.41,13,8,3,13,11,8,17,13,2,3,3,10,14,10,12,3,16,15,9,8,7,7,2,16,14,1,11,10,10,16,3,7,12,11,8,6,11,14,1,2,14,10,14,11,13,1,11,11,12,11,6,13,8,8,13,9,16,10,- -  -,Opt
Salomón Rodríguez,"AM (R), ST (C)",7.41,7.41,12,8,1,13,10,5,13,12,1,2,3,9,6,11,13,3,13,15,6,5,12,8,1,14,16,3,12,13,12,14,2,13,12,12,12,13,9,13,2,1,11,12,13,12,9,1,12,10,12,12,11,9,4,12,7,5,14,13,- -  -,
Christian Ogene,ST (C),7.39,7.39,6,4,1,12,7,1,6,10,1,3,3,3,10,7,7,2,9,4,2,3,2,3,1,13,6,3,3,12,9,13,3,7,4,8,2,5,1,12,3,2,4,12,7,8,7,2,11,16,15,11,15,15,7,17,11,10,6,6,- -  -,Ama
George Chmiel,"AM (RLC), ST (C)",7.38,7.38,11,9,2,13,12,1,11,9,4,1,2,6,11,9,12,3,10,12,5,2,11,7,1,10,11,1,9,15,10,14,1,10,17,13,8,6,8,13,1,2,9,8,13,10,10,3,11,17,11,12,12,12,4,6,10,2,10,12,- -  -,
Nathan Austin,ST (C),7.37,7.37,9,10,1,11,9,4,11,10,3,1,4,7,12,8,12,3,12,9,4,9,5,8,3,13,12,1,9,12,8,14,3,11,15,9,8,9,10,8,2,2,9,9,10,10,10,2,11,15,4,15,11,10,15,8,6,5,15,15,- -  -,
Krzysztof Piątek,ST (C),7.37,7.37,11,10,4,13,11,9,13,13,1,2,1,7,17,10,12,1,15,14,6,7,12,12,2,13,14,2,9,12,15,17,3,9,13,12,8,6,15,16,3,3,14,15,17,12,11,1,13,14,10,15,13,8,4,10,8,9,17,15,- -  -,Wnt
Michael Olunga,"AM (R), ST (C)",7.36,7.36,13,12,1,12,12,4,13,10,3,2,3,6,10,12,13,1,15,13,4,8,12,10,2,15,13,1,9,13,14,15,3,7,12,12,10,9,11,14,1,1,13,14,13,9,13,2,13,12,11,11,11,5,15,11,5,6,17,13,- -  -,
Oquassa Chong,"AM (RC), ST (C)",7.30,7.30,11,10,1,11,7,4,8,7,2,1,3,9,7,9,13,2,13,15,6,2,7,5,2,7,9,1,5,12,13,13,1,10,18,15,4,7,7,11,1,2,8,13,13,13,5,1,14,11,10,9,11,12,6,2,11,1,15,13,- -  -,Opt
Chris McKee,ST (C),7.29,7.29,11,8,2,9,8,6,7,7,1,3,3,10,9,8,10,1,13,9,7,2,7,10,2,9,10,4,6,13,12,14,2,11,8,12,7,5,9,15,3,1,6,10,12,11,12,3,15,16,10,12,11,12,7,13,11,8,10,12,- -  -,
Marvin Ducksch,"AM (LC), ST (C)",7.29,7.29,8,13,4,12,12,5,9,10,2,2,2,5,12,12,9,1,12,11,4,5,14,5,3,14,14,1,13,13,13,14,2,8,10,11,11,13,10,13,3,2,7,9,14,9,11,3,10,8,8,8,11,12,14,13,8,14,15,14,- -  -,Inj
Finlay Lovatt,ST (C),7.29,7.29,5,1,4,9,5,1,6,11,1,2,3,2,6,3,8,3,13,13,1,1,3,3,1,11,9,2,2,12,6,13,3,8,13,11,1,5,3,13,4,2,3,4,9,8,7,2,11,19,10,12,12,11,15,9,5,7,10,12,- -  -,
Angus Chapman,ST (C),7.29,7.29,5,5,3,12,4,1,6,4,3,3,2,4,7,7,12,1,13,13,1,2,4,9,2,6,13,3,3,14,11,13,1,9,13,12,3,8,5,11,2,1,6,6,11,11,6,2,12,10,7,15,11,11,7,6,11,4,9,12,- -  -,Inj
Arthur Cabral,ST (C),7.28,7.28,10,10,3,13,12,5,14,14,1,3,2,8,15,12,13,2,16,14,4,5,12,9,1,13,15,1,8,13,13,16,3,11,12,14,9,7,12,14,2,3,14,12,15,12,8,2,12,9,8,11,13,13,5,14,9,8,15,13,- -  -,
Sean Adarkwa,ST (C),7.27,7.27,7,9,1,12,6,4,7,8,2,1,1,7,13,8,12,1,13,7,5,2,8,6,2,11,11,3,6,13,15,13,1,14,6,12,2,9,8,14,1,3,8,8,14,13,6,2,13,15,10,11,14,12,7,5,10,5,16,11,- -  -,Ctr
Enock Lusiama,ST (C),7.27,7.27,5,4,3,11,5,1,6,5,2,3,1,6,10,6,12,1,12,17,3,1,3,8,1,10,10,2,4,12,6,12,1,10,11,8,3,2,5,12,1,2,4,6,13,11,9,2,12,10,10,10,12,11,12,10,14,5,12,10,- -  -,Ama
Bryan Angulo,"AM (C), ST (C)",7.25,7.25,11,9,4,13,12,3,11,14,2,1,2,5,15,11,13,1,15,14,4,9,15,10,2,14,13,2,11,13,12,14,3,11,10,8,8,7,12,13,2,3,9,12,11,14,4,4,10,11,12,11,10,10,13,12,8,10,15,12,- -  -,
Rushian Hepburn-Murphy,ST (C),7.25,7.25,9,10,3,11,6,6,8,8,3,3,1,5,14,9,13,1,13,13,4,4,10,6,1,8,8,2,9,13,10,13,2,10,10,8,7,7,10,14,1,4,11,10,12,12,9,4,14,19,10,11,13,5,14,11,9,5,15,12,- -  -,
Daniel Okwute,ST (C),7.24,7.24,6,8,2,11,5,1,6,7,2,1,3,5,2,6,14,1,11,16,3,1,6,7,3,11,12,3,4,11,9,10,2,13,11,10,4,4,5,11,1,2,7,6,11,15,6,2,13,20,12,13,9,11,5,13,12,4,11,12,- -  -,
Danny Whitehall,"AM (RL), ST (C)",7.24,7.24,10,9,2,11,12,2,9,10,3,2,2,3,14,9,11,3,13,9,2,2,8,6,1,11,12,2,7,10,9,12,2,5,13,12,6,4,8,10,4,1,4,9,10,10,6,3,12,10,10,10,10,12,2,6,3,1,14,10,- -  -,
Ciro Immobile,ST (C),7.23,7.23,16,12,2,14,15,6,11,14,1,1,3,3,17,13,15,2,19,20,4,2,12,15,3,10,15,3,3,13,15,19,1,10,20,14,5,4,13,14,2,3,15,15,19,13,14,2,13,12,14,20,12,17,3,11,8,8,19,19,- -  -,
Mohamed Eisa,"AM (L), ST (C)",7.23,7.23,8,7,3,13,9,3,6,9,1,3,3,7,13,11,11,2,14,12,4,3,9,6,2,11,9,1,8,12,12,15,2,10,5,11,8,5,10,14,2,3,10,11,12,11,8,1,11,12,12,12,13,11,10,10,5,6,16,11,- -  -,Wnt
