Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Hafirul Roslan,"AM (C), ST (C)",6.27,6.27,5,2,4,5,2,1,1,10,2,3,2,3,1,1,13,4,4,12,1,1,1,14,1,3,4,2,1,6,3,8,3,5,4,5,2,2,3,4,2,3,1,3,2,13,6,1,13,13,12,11,10,11,5,2,9,2,9,11,- -  -,Ama
Jody Inthavong,ST (C),6.36,6.36,5,2,2,4,4,1,3,10,2,3,2,4,2,1,11,1,10,7,4,1,4,11,3,7,6,1,4,5,4,8,1,13,10,6,2,4,4,4,4,3,5,5,3,11,14,1,9,12,12,9,10,14,15,4,14,8,5,10,- -  -,
Manuarii Hauata,"AM (C), ST (C)",6.47,6.47,8,4,2,7,5,1,6,13,4,1,1,6,1,7,13,2,8,12,3,1,3,6,3,4,8,1,5,8,6,7,2,7,15,9,6,5,4,5,2,2,4,6,8,13,12,1,13,13,9,11,9,10,8,7,5,6,17,11,- -  -,
Joel Pakaliki,"AM (C), ST (C)",6.48,6.48,6,8,3,5,5,1,5,11,2,2,3,4,1,7,12,2,11,14,3,1,4,12,1,6,4,2,4,10,10,9,1,5,9,8,4,4,5,6,1,3,2,5,5,12,14,1,12,13,10,10,10,11,9,1,11,5,10,10,- -  -,
Romario Harewood,"M/AM (C), ST (C)",6.57,6.57,6,6,2,6,5,1,8,9,1,1,2,6,4,6,12,2,9,15,4,1,5,6,2,1,5,3,4,6,11,7,2,5,8,8,2,4,4,10,1,2,4,5,5,12,10,1,12,13,10,12,10,11,7,11,6,4,14,12,- -  -,Inj
Eric Pinto,ST (C),6.97,6.97,10,9,3,10,9,1,10,12,4,2,2,9,5,7,12,2,10,9,5,4,8,6,1,12,11,3,8,8,10,10,1,11,12,16,6,8,7,9,3,1,9,10,10,11,15,3,13,3,7,12,12,13,12,10,11,1,9,11,- -  -,
Shahboz Qo'chqorov,ST (C),6.60,6.60,4,3,1,6,4,1,4,3,3,2,1,3,4,2,13,1,9,13,2,1,2,8,3,6,9,3,1,6,12,2,1,5,4,8,2,4,2,6,1,2,5,5,5,13,11,1,13,18,12,12,12,12,10,2,14,8,5,9,- -  -,
Isaias Semedo,ST (C),6.56,6.56,6,1,2,4,3,1,6,11,3,1,3,4,1,3,12,3,8,17,1,1,4,5,2,4,8,1,3,6,9,8,2,10,3,9,1,3,2,3,3,3,5,3,5,11,11,3,12,14,11,11,11,12,7,9,10,4,13,10,- -  -,Ama
Leong Tak Wai,"AM (C), ST (C)",6.35,6.35,6,6,2,5,4,1,4,11,1,1,1,4,2,6,11,2,4,15,3,3,5,8,3,6,5,1,3,6,10,7,2,4,4,8,2,2,4,2,1,1,5,4,5,9,8,1,12,18,9,14,12,11,7,4,12,1,12,11,- -  -,
Hemantha Bandaragoda,"AM (C), ST (C)",6.82,6.82,6,4,3,10,4,1,5,11,3,3,1,5,2,5,13,1,7,16,4,1,2,13,1,4,8,1,4,9,7,8,3,6,12,10,3,4,5,4,2,1,2,5,5,13,13,1,13,12,13,11,11,11,6,10,6,3,13,10,- -  -,
Donovan Dawkins,ST (C),6.31,6.31,13,6,4,9,13,1,10,8,2,2,1,5,1,7,13,1,8,13,6,2,6,9,1,10,8,3,6,8,14,8,2,8,16,12,2,6,9,8,1,1,9,14,9,11,15,1,13,15,9,11,12,10,9,9,12,6,8,13,- -  -,
Bharat Khawas,ST (C),6.65,6.65,14,4,4,4,7,1,10,12,2,4,4,5,1,4,9,1,10,8,4,2,2,11,3,9,13,1,4,7,7,5,1,10,14,9,4,4,2,6,3,2,6,5,7,10,11,2,8,11,15,12,11,12,13,4,9,4,8,11,- -  -,
Tatie Taiwia,ST (C),6.40,6.40,6,6,1,5,4,1,8,11,1,1,4,5,1,4,12,2,5,12,3,1,5,9,3,7,5,1,1,12,7,7,4,12,13,8,2,3,5,7,2,3,6,5,8,12,10,1,12,17,11,13,13,15,6,7,14,3,13,11,- -  -,
Li Wenqing,"AM (C), ST (C)",7.03,7.03,12,1,1,6,7,1,2,8,1,2,2,2,4,3,12,1,4,9,1,1,2,7,1,6,7,2,1,11,8,12,1,4,13,6,1,3,3,6,3,3,3,8,4,10,14,4,13,15,13,15,12,11,2,12,12,6,8,12,- -  -,Ama
Densly Rongo,"AM (C), ST (C)",6.54,6.54,6,6,2,8,4,1,5,4,3,2,2,3,4,2,13,1,4,15,4,3,4,11,1,6,8,2,4,8,12,9,2,6,12,10,5,3,2,8,1,3,5,5,6,13,13,2,9,12,12,10,12,11,10,7,6,4,7,11,- -  -,Ama
Olaf Koszela,ST (C),6.59,6.59,9,9,3,10,11,1,11,8,4,1,1,7,6,9,10,3,8,12,7,3,7,10,2,8,10,3,8,11,8,10,2,9,13,12,8,6,7,9,3,3,7,9,9,14,15,1,9,18,11,12,10,11,5,9,5,6,20,13,- -  -,
Beewee Taala,"AM (R), ST (C)",6.36,6.36,6,2,2,4,3,1,3,11,2,2,2,4,1,8,10,1,5,14,3,1,1,11,2,6,5,4,3,5,8,8,2,3,4,8,6,1,4,9,2,2,5,4,4,9,15,3,12,16,10,13,10,11,5,10,15,7,8,13,- -  -,Ama
Chris Peiso,"AM (C), ST (C)",6.67,6.67,3,6,4,1,2,1,4,4,2,4,1,2,1,3,10,3,3,5,2,1,3,11,2,11,4,2,2,9,4,6,1,8,13,2,1,1,1,5,1,3,2,2,2,8,8,2,10,14,11,13,10,11,6,4,5,7,10,12,- -  -,Ama
Albert Bell,"AM (C), ST (C)",6.75,6.75,6,4,3,7,4,1,5,9,2,2,1,3,1,6,13,3,3,5,3,3,3,13,1,3,11,3,4,13,10,10,3,4,12,6,5,4,4,7,1,2,5,5,10,13,14,2,13,10,9,10,12,9,7,2,7,8,14,9,- -  -,IPR
Junior Asson,"AM (C), ST (C)",6.55,6.55,14,5,3,8,12,1,6,13,1,3,2,5,6,8,13,2,9,11,6,1,7,9,2,5,9,3,6,7,9,13,3,6,16,11,5,6,6,8,2,2,8,8,10,13,9,3,13,18,12,10,11,11,10,12,8,1,13,12,- -  -,
Aguaghasu Uche,ST (C),6.92,6.92,6,5,3,10,4,1,3,11,2,2,3,5,1,2,13,4,6,12,4,1,5,11,1,6,10,1,4,10,10,7,2,11,13,11,1,4,3,8,3,3,6,5,9,13,10,4,13,13,14,13,12,10,9,7,6,2,10,11,- -  -,
Orlando Teiva,ST (C),6.74,6.74,6,5,1,6,3,1,5,11,2,3,2,4,1,1,12,3,6,12,2,1,1,13,1,6,8,3,3,7,11,5,2,12,14,9,3,2,4,6,2,4,4,4,6,12,9,2,12,18,10,12,11,13,8,9,13,7,8,11,- -  -,
Koldo Obieta,ST (C),6.74,6.74,10,10,2,12,13,1,6,14,1,2,1,10,8,10,13,1,11,13,6,3,9,11,2,13,11,3,7,13,15,11,2,11,5,14,10,9,11,12,1,3,14,14,14,13,15,1,12,20,13,9,11,12,10,12,5,4,17,10,- -  -,
Miles Bowers,"M/AM (C), ST (C)",6.48,6.48,4,9,1,3,3,1,1,9,2,1,1,3,4,5,12,1,3,12,3,1,2,2,1,4,1,2,2,8,7,9,3,3,5,7,1,1,3,7,2,1,3,2,2,12,14,2,12,14,12,10,12,11,12,1,10,8,6,13,- -  -,Ama
Johnson Roade,"AM (C), ST (C)",6.21,6.21,3,1,2,3,1,1,4,8,2,1,4,2,1,1,12,1,4,5,1,1,1,6,2,6,3,3,1,6,8,6,2,2,12,5,1,1,1,3,2,1,3,2,3,12,8,3,12,15,11,12,12,10,8,1,14,7,8,12,- -  -,Ama
Bitner Tafili,ST (C),6.51,6.51,6,6,1,10,3,1,5,5,1,1,1,5,1,4,12,1,7,14,1,1,2,11,1,13,8,2,4,10,9,7,2,7,14,6,1,4,4,4,2,1,5,5,5,9,12,1,12,15,12,12,11,11,6,11,9,2,7,12,- -  -,Ama
Muhd Syahmi Rashid,"M/AM (C), ST (C)",6.75,6.75,3,4,2,3,1,1,4,7,1,1,2,3,4,4,12,2,4,11,1,1,3,9,1,4,2,1,1,7,7,6,2,4,3,10,1,1,1,8,2,2,3,2,3,12,9,3,12,12,12,13,11,11,12,9,6,4,10,11,- -  -,Ama
Ivan Laća,ST (C),6.23,6.23,9,10,2,12,10,2,9,11,1,2,2,9,5,9,13,1,11,9,5,6,10,13,1,11,10,3,8,12,12,11,3,11,6,11,10,9,8,9,1,3,16,10,12,13,15,4,12,9,6,12,8,11,7,11,5,5,9,12,- -  -,
Kayne Matapo,GK,7.26,7.26,4,4,3,1,4,2,6,4,13,5,7,2,5,3,10,4,3,7,3,3,1,11,5,12,1,4,1,1,4,3,5,2,16,10,2,1,4,10,4,3,5,4,5,15,10,7,13,19,10,13,11,12,9,1,7,5,16,10,- -  -,Ama
Maximiliano Salas,"AM (R), ST (C)",7.08,7.08,12,9,1,12,13,2,14,14,4,3,3,10,12,11,13,1,14,15,4,3,13,10,2,10,11,1,12,12,12,13,1,13,12,13,11,7,12,12,1,2,13,14,12,13,13,2,13,12,11,11,12,12,8,12,6,9,13,13,- -  -,
Uttam Rai,"AM (RL), ST (C)",6.50,6.50,15,4,1,6,8,2,4,9,3,2,3,5,1,4,12,1,3,12,2,4,6,10,2,3,3,3,4,11,4,4,3,3,15,3,8,4,3,3,1,1,6,5,4,11,5,2,10,15,12,11,11,10,5,10,6,3,11,17,- -  -,
Fidel O'Rourke,"AM (RL), ST (C)",6.82,6.82,11,8,3,8,14,2,6,10,3,1,3,6,1,7,14,1,5,12,6,1,5,12,3,7,8,2,1,9,12,9,2,8,14,10,6,3,9,8,4,3,13,7,8,10,15,1,13,17,10,9,11,12,15,9,10,4,17,12,- -  -,
Anil Gurung,ST (C),6.55,6.55,17,4,2,6,10,2,6,9,2,3,1,3,2,3,9,2,13,13,4,1,2,13,1,2,6,1,5,15,9,3,3,5,9,11,1,2,4,8,2,2,4,5,7,9,6,3,10,19,10,11,12,13,8,10,9,6,9,14,- -  -,
Gianluca Tomasini,GK,6.41,6.41,5,6,5,4,5,2,9,10,11,8,6,6,2,7,11,6,5,10,2,1,1,7,8,9,1,10,6,4,5,4,5,5,7,12,2,3,6,7,7,8,12,6,12,8,5,7,12,8,7,13,10,11,6,3,5,4,11,9,- -  -,
Marcelo Torres,"AM (R), ST (C)",6.86,6.86,12,9,2,10,10,2,13,14,4,3,2,8,13,10,13,1,14,15,6,5,12,8,4,12,13,1,6,11,7,13,2,11,4,10,9,5,11,11,1,3,12,14,11,12,9,3,13,17,11,13,12,9,8,9,9,8,11,9,- -  -,
Jason Walker,ST (C),6.35,6.35,15,8,3,8,9,2,7,9,1,3,3,4,9,8,6,2,9,16,2,1,6,5,3,9,7,3,7,10,9,10,2,7,12,7,7,7,8,9,2,2,15,8,9,7,12,2,7,12,10,12,9,10,8,11,7,6,10,11,- -  -,Ctr
Christian Norton,ST (C),6.51,6.51,14,7,2,7,12,2,9,11,3,2,2,5,7,6,16,2,8,14,8,5,9,11,2,10,8,1,10,8,11,8,1,7,15,7,7,6,8,8,1,2,10,8,9,9,10,3,16,17,9,12,9,10,12,8,5,6,8,12,- -  -,
Jean-Paul Wamejo,ST (C),6.73,6.73,8,8,3,8,6,2,4,12,4,2,2,4,3,6,11,2,8,12,5,3,6,3,3,7,8,1,3,8,9,10,3,6,13,9,4,6,7,5,3,1,2,6,8,12,14,1,11,20,10,11,12,11,13,12,6,5,11,9,- -  -,
Brian Gregg,"M/AM (C), ST (C)",6.59,6.59,6,5,2,5,4,2,8,11,1,3,1,5,3,6,12,2,4,14,4,1,4,7,3,4,4,2,9,6,9,7,3,7,13,8,2,3,4,5,1,2,5,4,5,12,7,1,10,10,11,11,10,12,8,10,12,2,8,13,- -  -,Ama
Diego Magno,ST (C),6.25,6.25,10,12,1,12,11,2,11,13,2,3,2,10,8,9,13,2,13,12,2,4,10,11,3,9,9,1,10,9,12,14,3,8,14,12,13,11,10,9,4,2,10,7,13,12,9,2,14,15,14,15,12,9,7,12,8,3,13,16,- -  -,
Lloyd Smith,"AM (R), ST (C)",6.33,6.33,12,7,1,8,13,2,5,8,1,3,3,3,1,8,11,2,7,14,3,1,6,10,1,10,8,2,5,9,13,7,3,7,7,10,3,5,11,6,1,3,12,11,9,10,15,2,7,17,13,13,11,9,11,4,13,7,7,9,- -  -,
Wang Hao,"AM (C), ST (C)",6.51,6.51,5,6,2,5,3,2,6,10,2,2,1,3,1,2,11,2,5,13,3,1,2,9,1,4,7,3,1,10,5,8,2,7,16,9,4,3,1,7,2,1,5,3,4,12,13,2,13,11,9,11,11,11,11,14,13,2,8,8,- -  -,
Matthew Reed,ST (C),6.89,6.89,11,6,2,7,16,2,5,12,3,3,1,6,4,8,11,2,9,9,7,4,9,1,2,9,8,1,7,6,9,8,1,10,4,9,6,5,11,10,1,2,8,16,8,8,15,2,10,19,12,11,12,10,7,8,8,6,9,14,- -  -,
Richie Koro,"AM (C), ST (C)",6.64,6.64,6,7,2,4,4,2,3,10,2,1,2,2,1,9,12,2,8,9,3,1,5,6,1,11,4,2,1,9,8,9,2,2,4,10,3,2,5,7,2,3,4,4,7,12,10,1,12,11,12,11,10,11,9,3,14,4,18,11,- -  -,
Zakaria Al-Tatouf,"AM (C), ST (C)",6.60,6.60,8,8,2,4,6,2,7,6,2,2,2,5,1,4,14,3,5,12,3,5,5,7,2,9,14,2,5,8,9,7,3,12,3,11,5,2,5,8,1,2,7,8,10,14,11,2,14,15,12,9,13,10,15,4,12,3,6,13,- -  -,
Kemar Headley,"M/AM (C), ST (C)",6.41,6.41,5,5,3,3,4,2,6,10,1,3,2,5,1,5,13,3,7,13,2,1,3,1,2,3,5,1,1,9,5,7,4,3,14,7,3,3,3,10,1,3,3,4,5,13,11,3,13,12,12,9,8,11,9,1,15,4,9,10,- -  -,Inj
Highking Roberts,"M/AM (C), ST (C)",7.38,7.38,11,5,2,5,7,2,4,12,2,1,2,7,6,9,13,4,7,6,5,1,5,11,1,8,4,1,5,13,6,12,3,9,3,11,4,2,5,9,2,2,1,13,6,13,10,1,13,11,2,13,9,10,12,14,11,1,11,14,- -  -,
Callum Flaws,GK,6.78,6.78,5,5,4,6,6,2,2,7,7,6,15,11,4,6,6,5,2,7,1,2,2,11,6,7,3,8,5,5,5,3,5,5,13,12,1,2,6,7,8,10,8,6,9,9,13,4,7,14,10,12,9,11,11,5,10,2,11,10,- -  -,Ama
Subhash Singh,"AM (RL), ST (C)",6.95,6.95,14,5,2,3,14,2,3,11,3,4,2,1,11,2,13,3,4,9,1,5,6,12,2,4,2,2,6,12,6,2,2,2,13,4,3,4,5,3,2,3,11,7,7,12,10,1,12,12,10,12,11,11,12,6,13,2,9,11,- -  -,
Junior Burban,ST (C),7.56,7.56,10,9,3,11,8,2,12,15,3,3,1,7,3,6,10,3,8,14,8,8,9,6,1,10,10,3,8,9,12,11,4,12,15,15,6,8,9,12,1,2,13,12,11,10,11,2,12,11,11,13,12,12,12,10,11,5,12,10,- -  -,
Tensior Gusman,"AM (RLC), ST (C)",6.56,6.56,8,3,1,6,12,2,3,10,1,2,1,4,3,6,11,1,6,16,4,2,5,3,3,4,6,3,1,6,11,6,2,2,16,11,5,2,9,6,2,2,7,13,10,13,15,4,9,17,8,11,11,10,8,3,13,7,7,10,- -  -,
Mohammed Al-Sanani,"AM (C), ST (C)",6.77,6.77,8,8,2,7,6,2,6,13,2,1,2,7,4,7,13,1,11,18,6,6,6,11,2,5,12,2,4,15,12,10,3,10,14,13,7,6,6,8,3,3,8,7,10,13,14,1,13,15,10,10,11,12,14,16,5,4,12,11,- -  -,
Augustus McGiff,ST (C),7.28,7.28,13,8,2,11,12,2,11,16,2,2,3,9,5,10,12,2,12,13,7,1,8,10,1,9,12,2,8,13,11,10,1,11,12,13,10,9,6,8,3,3,12,10,8,9,12,4,14,11,10,12,10,12,9,12,8,8,9,12,- -  -,Inj
Kevin Cannavò,"AM (R), ST (C)",7.68,7.68,12,11,3,10,11,2,11,12,1,1,3,4,10,8,14,1,14,13,2,2,7,7,1,10,10,3,5,13,10,13,1,11,18,11,7,5,9,13,1,1,12,12,11,13,13,3,13,18,14,15,15,11,4,15,3,7,12,14,- -  -,Opt
