Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Leonardo Vaca,"AM (RL), ST (C)",7.10,7.10,11,12,2,12,12,4,8,15,1,2,3,11,11,16,12,2,12,12,2,6,10,10,2,7,11,3,9,10,10,13,3,12,12,12,11,7,12,12,3,3,4,15,11,13,5,2,13,10,10,11,10,11,9,11,6,2,10,11,- -  -,
Ángel Sepúlveda,"AM (RL), ST (C)",6.86,6.86,13,12,2,13,13,5,11,13,2,1,1,8,11,10,12,3,12,14,5,8,10,9,2,11,13,2,5,12,13,13,2,10,11,14,6,8,15,13,2,3,13,13,12,14,8,3,14,14,13,13,10,12,6,11,8,8,12,10,- -  -,
Cucho Hernández,"AM (RLC), ST (C)",6.91,6.91,15,12,3,13,14,5,13,13,3,3,3,5,15,12,14,3,12,14,4,6,13,9,2,9,12,3,7,15,12,14,3,11,15,12,10,7,14,12,2,3,13,16,13,13,7,2,14,11,12,12,12,11,10,11,8,6,13,11,- -  -,Wnt
Fiston Kalala Mayele,"AM (RC), ST (C)",6.88,6.88,13,12,3,11,11,5,11,12,3,2,1,6,12,11,12,1,12,12,5,8,11,11,3,13,11,2,8,13,12,13,3,11,13,14,9,7,11,13,2,1,10,12,13,10,5,3,12,19,10,13,11,9,6,13,15,4,14,12,- -  -,
Ayoub El Kaabi,"AM (RL), ST (C)",7.06,7.06,15,10,3,12,15,6,13,12,1,2,1,8,14,10,13,1,15,13,8,5,10,12,1,12,15,3,5,13,10,15,1,11,12,13,5,5,14,14,2,1,12,13,13,13,10,3,13,13,7,15,9,13,7,12,5,7,12,15,- -  -,Opt
Julián Quiñones,"AM (R), ST (C)",7.23,7.23,14,13,2,12,12,6,10,13,3,3,3,12,11,9,15,3,13,13,5,10,12,8,1,9,14,3,10,9,11,16,1,11,11,12,11,11,10,13,2,2,12,12,13,15,13,2,13,8,8,7,10,8,13,13,12,10,13,12,- -  -,
Soufiane Rahimi,"AM (RL), ST (C)",7.09,7.09,12,12,2,13,11,7,7,10,2,1,3,10,6,11,12,1,15,14,7,2,11,7,1,7,7,3,10,14,10,10,2,12,11,16,11,12,11,16,2,3,11,11,16,15,6,2,13,17,5,13,11,10,12,2,9,7,14,11,- -  -,
Louis Munteanu,"AM (RL), ST (C)",7.20,7.20,12,12,2,13,12,8,12,13,1,2,2,9,10,12,14,2,14,12,7,6,11,7,3,12,11,3,7,13,10,14,1,11,14,12,8,7,12,14,2,2,9,14,14,14,7,3,14,16,3,12,11,11,9,10,5,2,11,10,- -  -,
Adam Buksa,"AM (L), ST (C)",7.08,7.08,14,11,3,10,13,8,12,13,1,1,4,10,11,11,11,2,16,13,7,7,12,10,1,15,15,2,9,11,14,15,3,11,13,13,9,7,14,12,3,3,9,15,12,11,14,3,11,7,12,12,9,8,14,13,7,2,14,11,- -  -,Inj
Christian Fassnacht,"M/AM (RL), ST (C)",7.05,7.05,16,10,2,13,16,9,13,14,4,2,1,6,8,12,14,1,16,12,6,5,10,8,2,13,13,2,9,11,13,13,2,12,16,14,12,9,12,13,3,2,13,14,16,12,13,3,13,13,15,15,9,13,8,12,6,6,13,13,- -  -,Wnt
Yeom Ki-Hun,M/AM (LC),6.80,6.80,15,16,2,12,12,10,8,7,3,2,1,10,9,13,7,2,13,16,7,4,14,18,1,11,9,1,16,10,11,12,3,9,14,16,17,12,16,13,3,4,16,14,16,11,12,1,7,14,17,16,12,13,11,15,9,4,17,11,- -  -,
Baxter Bahn,M/AM (RLC),7.10,7.10,13,14,3,8,13,12,8,12,2,1,1,9,5,7,12,1,12,13,10,10,8,7,2,9,10,3,10,11,8,9,1,8,12,16,8,6,12,12,3,1,9,12,12,12,6,3,13,14,14,14,14,11,8,14,8,6,16,12,- -  -,
