Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Andrija Balić,"DM, M (C), AM (RC)",7.16,7.16,11,14,2,15,12,7,7,11,2,2,1,8,12,14,12,3,12,12,7,7,13,7,1,10,8,2,15,15,14,9,1,11,13,11,10,13,10,12,3,1,12,13,13,14,18,3,13,11,13,14,12,14,6,13,8,10,15,13,- -  -,
Ben Elliott,"DM, M/AM (C)",7.00,7.00,8,13,3,14,8,7,8,9,2,3,2,5,1,11,12,3,10,14,4,6,10,6,2,10,5,1,10,12,12,9,1,12,10,12,9,10,8,10,1,2,7,8,10,13,5,1,13,15,10,11,12,10,5,16,10,4,14,9,- -  -,Ask
Callum Hulme,"D/WB (R), DM, M (RC)",6.95,6.95,9,11,2,11,10,4,9,7,2,1,3,2,10,12,10,1,10,11,5,2,13,13,1,4,5,2,13,12,12,11,3,11,13,8,7,12,8,12,2,1,8,12,9,14,16,3,11,7,10,12,11,10,4,8,12,7,14,13,- -  -,Unh
Cian Coleman,"DM, M/AM (C)",6.92,6.92,10,11,1,14,13,10,7,8,2,1,2,7,3,9,10,3,10,13,8,1,8,7,1,13,7,3,10,14,11,7,1,12,4,9,5,9,4,10,2,1,2,8,8,10,7,2,14,12,10,12,14,10,12,6,5,9,12,13,- -  -,
Joshua Kadzidlo,"DM, M (LC), AM (C)",6.74,6.74,12,13,1,13,10,6,9,10,2,3,1,4,8,12,11,1,11,15,3,3,6,8,1,13,2,2,5,12,10,8,4,11,10,10,7,4,6,13,3,2,10,15,9,13,14,3,11,17,11,14,12,11,8,12,7,5,9,12,- -  -,
George Byers,"DM, M/AM (C)",6.72,6.72,11,13,2,12,13,9,13,9,3,1,1,8,14,12,9,2,12,8,5,5,13,11,1,9,11,1,13,15,13,11,2,10,13,11,11,13,10,14,3,3,13,14,13,12,12,2,10,7,9,9,12,7,11,15,11,16,14,14,- -  -,Wnt
Alberto Basso,"DM, M/AM (C)",6.60,6.60,7,10,2,14,9,5,6,13,2,1,3,4,6,9,12,2,11,7,3,4,9,5,3,13,4,1,11,16,15,9,3,10,19,13,6,6,8,10,2,2,9,15,12,13,9,1,14,10,10,10,15,12,14,13,13,9,8,15,- -  -,Int
Dumitru Paştiu,"DM, M (C), AM (RC)",6.51,6.51,6,12,2,11,9,4,9,10,4,3,3,5,6,13,11,3,10,15,2,2,10,8,1,11,4,3,10,19,14,7,3,10,15,10,7,8,7,10,1,3,18,14,11,13,8,3,11,10,11,10,12,12,2,11,7,11,8,13,- -  -,
Choz Templeton,"DM, M/AM (LC)",6.20,6.20,11,11,2,13,13,4,10,10,1,2,2,5,6,15,11,1,12,10,2,3,8,8,2,8,7,3,6,14,10,6,2,11,10,13,9,6,6,9,2,2,10,12,10,11,18,3,12,17,15,12,15,12,3,16,9,1,6,11,- -  -,
Charlie Crew,"DM, M/AM (C)",-,-,11,14,2,13,7,6,8,10,3,2,1,4,6,13,16,2,9,13,6,2,9,4,1,14,7,1,5,14,12,12,2,8,14,13,6,5,8,11,3,3,8,9,11,13,5,3,10,18,13,14,13,10,7,11,10,7,9,11,- -  -,
Michael Aitken,"DM, M/AM (C)",-,-,12,13,2,14,10,8,10,13,2,3,3,7,4,7,10,1,8,13,9,4,6,4,1,9,6,2,5,14,15,5,3,10,16,12,4,7,6,11,2,3,4,15,9,10,7,3,7,17,4,12,16,10,4,16,11,1,9,10,- -  -,Wnt
Jamie Conway,"DM, M/AM (C)",-,-,10,12,3,13,12,6,10,8,3,2,2,5,10,12,13,1,8,12,6,3,8,10,1,8,7,3,10,13,9,5,3,8,12,12,6,7,7,10,3,1,9,15,9,13,15,1,10,10,11,13,11,6,9,14,10,14,6,16,- -  -,
Jon Parish,"DM, M/AM (C)",-,-,10,11,2,13,12,4,10,12,1,3,2,6,3,10,10,2,10,15,3,1,7,6,3,5,8,2,8,14,14,9,1,10,18,10,2,7,6,12,2,4,15,15,10,10,13,1,7,10,11,11,7,11,7,10,5,9,16,9,- -  -,Loa
Rogan Bateson,"DM, M/AM (C)",-,-,12,9,2,12,14,7,11,15,3,3,2,4,2,10,12,1,10,14,5,5,7,6,2,13,6,3,8,12,10,10,1,10,13,12,3,4,3,12,2,1,13,8,9,12,7,3,11,16,11,15,11,12,10,9,8,7,7,8,- -  -,Wnt
