Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Iver Fossum,"DM, M/AM (C)",8.20,8.20,16,13,4,12,13,6,8,16,1,1,2,12,10,12,10,1,15,18,6,7,9,8,1,9,12,2,6,10,12,11,1,9,7,12,9,10,12,11,3,1,8,10,13,13,7,2,11,17,15,15,10,12,2,15,8,3,17,13,- -  -,
Darius Olaru,M/AM (C),8.10,8.10,12,13,3,13,13,7,11,15,1,2,2,10,13,12,13,3,11,12,10,7,12,8,3,8,8,3,10,12,12,12,3,12,13,12,9,10,10,11,2,1,12,12,12,13,9,2,13,12,14,14,13,12,1,10,14,5,15,14,- -  -,Wnt
Tesfaldet Tekie,"DM, M (C)",7.16,7.16,15,14,2,13,12,4,9,13,2,2,2,14,7,14,12,1,14,10,8,5,8,7,3,5,5,1,9,13,14,8,3,12,12,12,11,8,13,12,2,1,10,13,14,17,9,3,13,14,13,12,12,8,5,10,6,4,14,12,- -  -,Opt
Faruku Miya,"M (RC), AM (RLC), ST (C)",7.15,7.15,11,12,1,12,12,5,13,12,3,3,2,9,11,12,13,4,12,10,5,7,11,8,2,8,6,2,8,13,11,11,1,11,12,12,9,9,11,13,1,2,14,13,13,10,12,2,13,18,9,7,8,9,9,11,7,8,14,11,- -  -,
Khanya Leshabela,"DM, M/AM (RC)",7.14,7.14,14,12,1,11,11,9,10,12,3,3,2,10,8,13,12,3,8,13,8,3,11,12,2,6,4,2,7,13,11,8,2,9,15,10,8,8,11,12,1,2,9,10,10,12,8,3,13,14,9,12,13,13,5,9,8,1,13,10,- -  -,
Rob Schoofs,"DM, M/AM (C)",7.04,7.04,15,17,3,13,14,4,5,12,1,3,2,11,8,15,14,2,14,15,8,4,11,14,1,6,8,2,10,13,13,11,4,10,16,13,11,10,15,12,3,2,12,6,13,13,11,1,12,12,14,17,12,11,15,12,5,4,17,15,- -  -,
Dean Cornelius,"DM, M (C)",7.02,7.02,15,12,2,13,12,8,15,15,2,3,2,14,6,12,12,2,12,13,8,8,14,13,3,10,10,1,7,12,12,10,3,12,7,12,9,5,16,12,1,3,13,14,10,12,14,2,10,12,12,14,10,12,6,7,8,5,14,10,- -  -,
Liam Kelly,"DM, M/AM (C)",7.00,7.00,13,14,1,12,11,6,7,13,3,4,3,11,13,11,12,1,14,15,8,6,11,13,2,5,5,1,13,11,12,10,1,8,11,11,10,12,12,13,2,1,12,14,14,12,11,1,12,9,10,13,8,12,8,14,7,5,14,13,- -  -,
Ajdin Hrustic,"DM, M/AM (RC)",6.98,6.98,13,11,3,13,12,5,11,13,1,1,3,8,13,13,11,3,13,13,7,4,14,9,3,12,11,3,15,12,12,7,3,10,15,12,8,13,12,13,2,1,13,12,12,13,14,1,12,8,12,15,14,11,5,12,10,7,15,13,- -  -,
Tibor Halilović,"DM, M/AM (C)",6.97,6.97,14,13,3,13,13,5,8,13,3,2,1,7,7,14,12,2,12,13,6,3,13,10,2,5,3,2,7,14,13,9,1,11,17,12,8,7,12,12,3,2,13,10,13,16,15,2,13,12,12,10,12,11,7,16,11,3,15,12,- -  -,
Ignat Rzhevskiy,M/AM (C),6.95,6.95,14,14,2,15,13,3,10,13,2,2,4,5,6,10,13,2,12,12,5,3,12,10,1,5,7,2,6,14,10,7,2,12,11,12,7,6,7,13,4,3,9,11,13,15,13,1,12,4,5,12,9,10,10,9,13,12,8,11,- -  -,
Brad Lyons,M/AM (RC),6.87,6.87,15,12,2,11,12,3,8,12,2,2,2,6,8,13,12,4,13,14,4,6,11,7,1,8,12,3,7,12,11,11,3,10,13,11,12,13,11,11,1,3,11,10,13,12,13,3,13,12,11,13,9,11,7,12,8,9,16,12,- -  -,
Billy Gee,"D (C), DM, M/AM (C)",6.80,6.80,11,13,3,12,12,7,11,15,2,2,1,11,6,13,14,2,9,12,7,5,9,7,1,12,9,3,8,7,11,5,4,10,13,12,3,8,12,12,3,3,9,11,13,13,6,4,14,12,12,11,13,10,10,7,9,8,19,11,- -  -,
Zidane Iqbal,"DM, M/AM (C)",6.79,6.79,13,13,2,13,15,6,8,14,3,2,2,8,11,15,13,1,11,12,5,2,12,4,1,10,4,4,7,11,13,9,1,12,14,11,6,10,11,13,1,2,8,10,12,12,5,1,13,16,11,13,12,10,13,12,8,7,13,15,- -  -,
Dylan Tait,"DM, M/AM (C)",6.75,6.75,13,11,2,12,7,6,9,16,2,4,2,12,12,10,14,3,10,16,6,3,11,10,4,4,5,1,10,13,11,9,1,13,13,12,4,2,14,11,1,2,7,9,13,11,4,2,13,20,9,15,10,13,4,13,4,7,15,11,- -  -,
Myles Peart-Harris,"DM, M/AM (C)",6.73,6.73,10,14,3,13,10,7,11,12,2,2,3,6,10,9,13,3,10,13,4,6,11,7,4,14,9,3,11,13,11,11,3,11,13,11,10,10,12,14,3,2,12,12,11,8,9,1,14,11,11,13,11,11,3,16,7,4,11,13,- -  -,
