Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Thet Paing Ko,"D (C), DM, M (C)",6.62,6.62,12,6,1,5,7,6,1,13,1,1,1,11,1,9,14,1,4,15,10,1,4,6,2,1,6,3,4,5,7,1,1,4,8,8,3,2,4,7,2,1,6,6,6,14,8,3,14,17,12,10,12,11,11,5,11,5,9,11,- -  -,
Prosper Donkor,"DM, M (C)",6.65,6.65,9,9,2,10,7,7,9,13,1,4,3,9,5,12,13,1,6,13,8,4,8,13,2,8,6,2,4,5,11,7,1,3,9,8,6,5,8,8,3,2,5,3,7,13,8,3,13,19,13,11,12,13,7,8,10,6,12,9,- -  -,
Hawri Anwar,"D (C), DM, M (C)",6.78,6.78,13,9,4,9,8,8,3,14,2,2,3,11,4,9,14,2,8,13,14,7,9,11,3,6,9,4,5,5,7,6,2,4,8,14,2,5,5,9,2,1,7,8,13,14,5,2,14,10,8,12,11,11,9,9,10,3,12,10,- -  -,
Janysh Kurenkeev,DM,6.61,6.61,12,9,3,6,7,8,4,9,1,3,1,6,3,8,13,1,5,15,4,1,4,12,3,9,1,3,5,5,10,6,1,2,6,11,5,1,6,6,2,3,7,6,5,13,5,4,13,17,11,11,13,12,10,14,5,2,8,12,- -  -,
Neill Marcos,"DM, M (C)",6.80,6.80,15,12,2,9,11,9,14,11,1,1,1,14,5,13,12,3,9,15,12,7,9,12,2,5,8,4,10,5,13,5,3,11,11,12,9,10,11,9,1,1,7,8,11,14,12,1,14,15,9,9,10,11,5,13,10,6,15,12,- -  -,
David Kalpacki,"DM, M (C)",6.88,6.88,12,12,3,12,7,9,7,8,1,1,2,14,1,11,15,3,7,10,11,1,12,10,1,12,8,2,8,5,13,4,1,8,11,9,8,8,10,8,1,3,6,9,11,11,9,3,15,17,10,12,11,12,6,5,10,8,10,13,- -  -,
Oupa Manyisa,"DM, M (C)",7.23,7.23,10,10,3,12,12,9,9,11,1,3,2,12,6,14,14,3,10,12,14,5,9,11,2,6,7,3,7,10,10,7,1,11,14,11,8,5,12,11,1,3,12,9,9,9,12,2,13,10,12,13,14,14,5,13,5,6,13,12,- -  -,
José Parodi,"DM, M (C)",7.85,7.85,13,9,2,14,9,9,14,14,2,4,2,14,3,13,12,2,9,12,14,4,14,3,2,13,8,2,8,8,12,7,2,9,13,13,4,6,10,9,1,2,9,7,10,12,11,2,13,11,9,12,11,12,7,12,6,1,12,12,- -  -,
Jakub Považanec,"DM, M (C)",6.98,6.98,14,10,1,11,13,9,12,11,3,3,1,16,14,12,14,2,10,12,10,10,16,8,1,10,12,1,13,15,12,12,3,15,12,11,11,12,11,11,1,2,14,13,12,10,11,2,13,10,10,13,10,12,10,12,12,10,13,11,- -  -,Inj
Ali Abu Abtah,"DM, M (C)",6.75,6.75,12,10,3,9,7,9,6,12,3,3,3,12,6,7,13,2,5,10,10,3,6,12,1,6,6,2,6,5,12,6,3,3,12,11,2,6,8,8,3,3,8,7,8,13,6,1,13,20,10,11,12,10,6,4,5,6,11,14,- -  -,
James Vennings,"DM, M (C)",6.78,6.78,11,9,1,11,10,9,11,13,1,4,3,12,5,11,12,2,10,10,8,3,12,8,3,9,6,1,6,9,11,7,3,10,10,10,7,7,9,12,1,2,7,9,10,10,10,1,8,14,10,8,10,12,4,8,5,4,10,11,- -  -,
Sesehang Angdembe,DM,6.73,6.73,7,8,2,5,4,9,6,6,2,1,1,6,1,9,12,1,6,12,6,1,5,12,3,8,4,3,2,6,5,1,2,2,4,13,3,2,3,7,3,1,3,6,6,12,6,1,11,18,12,9,9,10,9,6,9,6,7,12,- -  -,
Tanaka Chinyahara,"DM, M/AM (C)",6.84,6.84,12,10,1,11,11,9,10,13,2,1,3,12,5,11,12,2,11,13,9,3,9,7,4,4,5,1,6,7,9,6,2,11,10,10,6,8,11,8,2,1,9,9,7,12,9,3,13,10,10,10,8,11,5,8,7,8,11,13,- -  -,
