Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Phitsavath Xayyavong,AM (C),5.49,5.49,9,4,4,7,4,1,2,9,1,1,2,3,2,6,12,2,6,13,1,1,7,12,3,2,1,4,2,7,9,4,1,5,12,6,1,1,4,8,2,1,4,4,4,12,9,1,13,16,12,11,13,10,12,4,9,2,7,10,- -  -,Ctr
Lenny Barbe,"AM (C), ST (C)",7.47,7.47,6,5,3,7,5,1,3,3,2,3,1,4,3,7,9,2,10,9,4,1,4,6,2,6,6,3,4,7,11,11,3,11,6,7,4,4,3,5,1,2,6,5,7,11,5,3,13,17,12,10,11,12,8,10,12,6,13,9,- -  -,Ama
Thomas Fagasuisui,AM (C),6.41,6.41,5,5,1,5,4,1,1,4,3,2,2,3,1,7,13,2,3,7,2,1,5,4,3,5,4,2,3,5,9,7,2,8,6,8,3,2,1,4,1,1,1,4,3,13,7,2,13,12,10,10,11,10,8,7,11,1,8,12,- -  -,Ama
Dayananda Elangbam,AM (C),6.32,6.32,9,9,2,5,4,1,1,7,2,3,2,3,1,3,12,3,4,5,2,1,4,3,2,4,2,1,2,6,10,7,1,8,7,6,2,1,3,11,4,1,1,3,4,12,11,2,12,14,13,10,13,9,5,10,7,3,9,14,- -  -,
Fadi Salbees,"AM (C), ST (C)",6.83,6.83,7,6,3,8,6,1,3,7,2,3,3,6,5,7,14,1,10,6,3,4,3,13,2,4,6,1,5,12,12,10,3,10,8,12,5,5,5,10,1,1,5,7,12,13,5,1,13,14,12,13,13,10,5,7,13,2,14,13,- -  -,
Sunil Khadka,AM (C),6.49,6.49,9,4,3,7,4,2,3,11,3,1,3,3,1,7,12,2,7,13,1,1,1,14,1,6,1,1,2,7,4,7,2,4,3,7,2,2,3,5,2,2,1,3,2,12,6,3,12,14,12,9,10,10,10,1,5,2,9,8,- -  -,
Michael Fidelino,AM (C),7.01,7.01,10,9,2,4,5,2,1,9,3,3,3,3,1,3,11,3,3,13,1,1,1,10,2,1,2,1,2,5,4,7,2,5,10,6,1,3,3,5,2,2,5,4,4,11,5,2,12,18,14,10,10,10,11,2,15,3,13,12,- -  -,Ama
Rollano Harirao,"AM (C), ST (C)",6.58,6.58,7,5,1,8,6,2,6,11,2,3,1,6,5,9,9,3,9,7,3,1,7,11,2,11,7,2,5,7,13,10,3,11,13,7,5,5,6,12,2,2,2,6,9,9,7,3,9,19,10,13,10,11,11,10,10,1,11,11,- -  -,
Morgan Mathelon,M/AM (C),6.61,6.61,7,5,3,7,6,2,3,12,2,3,2,5,5,7,13,2,7,14,5,4,4,5,2,5,6,2,5,8,7,6,2,6,14,12,1,1,5,9,3,3,3,7,8,13,8,4,13,16,11,12,11,13,5,9,5,4,20,14,- -  -,
Tarik Jennings,"M/AM (C), ST (C)",6.48,6.48,7,7,2,8,4,2,3,11,1,4,2,6,1,6,12,1,10,10,3,2,4,4,2,4,6,3,1,10,12,10,1,7,13,8,4,3,2,7,3,1,5,5,7,9,5,4,12,18,14,14,10,12,14,6,5,5,9,11,- -  -,
Mamadou Bah,"M/AM (C), ST (C)",6.52,6.52,7,6,1,8,6,3,1,12,1,3,1,5,3,9,12,3,8,15,2,1,6,4,3,1,6,3,4,9,12,8,4,10,16,10,3,3,5,9,2,1,6,5,8,12,13,2,12,3,2,13,11,11,10,13,19,8,13,10,- -  -,Ama
Lee Connelly,"AM (C), ST (C)",6.95,6.95,11,13,2,11,10,3,4,9,3,1,3,9,12,10,11,3,14,11,3,4,10,7,2,8,8,2,8,12,11,11,2,10,3,11,11,10,12,13,2,1,6,10,11,12,9,2,13,19,12,10,10,11,5,9,8,2,9,9,- -  -,
