Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Alireza Beiranvand,GK,6.85,6.85,14,8,19,8,12,1,14,11,14,14,15,12,1,7,10,14,11,14,2,18,2,11,9,17,8,13,8,1,10,3,18,3,10,10,1,4,8,10,12,10,13,11,10,10,15,18,9,15,11,13,10,10,11,12,8,7,12,9,- -  -,
Martín Silva,GK,6.69,6.69,11,9,12,12,12,1,11,12,11,11,12,13,2,11,9,15,3,14,3,2,3,15,12,13,2,15,7,6,8,2,3,1,12,12,2,5,11,11,13,11,13,11,12,13,12,12,11,12,12,15,13,16,12,14,12,5,17,12,- -  -,
Edoardo Colombo,GK,7.70,7.70,13,8,9,9,7,1,10,11,11,14,6,11,3,7,9,12,5,12,1,1,1,8,10,14,8,11,4,8,7,3,7,2,14,7,2,3,11,11,9,9,12,13,10,13,12,10,11,11,9,12,8,10,2,10,5,1,12,11,- -  -,
Andre Nonos,GK,8.06,8.06,6,5,10,2,6,1,4,2,13,12,6,10,2,8,12,9,1,16,1,3,1,9,8,13,1,10,7,2,1,3,5,3,10,12,3,4,11,5,9,9,15,6,12,8,5,12,11,12,12,9,12,12,10,3,13,7,11,13,- -  -,Opt
Ivans Baturins,GK,6.51,6.51,5,7,8,5,7,1,4,6,8,14,7,10,1,10,13,9,1,13,2,3,2,11,13,10,1,10,5,2,1,1,8,1,9,11,1,3,8,7,6,10,7,6,12,9,14,6,12,11,10,11,12,12,8,11,15,3,14,9,- -  -,Inj
Luis Mejía,GK,7.72,7.72,8,11,10,9,12,1,14,13,13,15,12,10,4,9,14,15,1,14,2,3,12,8,13,15,1,9,9,7,9,3,10,1,14,10,1,5,12,12,9,12,13,15,12,15,7,13,15,7,7,8,10,9,7,13,7,16,15,10,- -  -,Opt
Mohammed Hasan Al-Shamsi,GK,6.70,6.70,7,7,9,4,8,1,6,5,15,13,5,12,2,10,12,11,3,8,1,2,2,10,7,11,1,13,8,2,6,3,5,2,9,13,3,5,10,8,12,12,15,8,11,10,13,14,12,17,12,11,12,10,10,15,15,8,14,9,- -  -,
Hong Zhiyue,GK,6.74,6.74,2,3,4,1,3,1,6,3,10,11,6,8,1,4,10,6,1,15,1,3,3,9,3,8,1,11,4,1,1,1,5,3,16,4,2,2,5,4,3,10,11,3,5,14,7,9,10,17,12,10,9,11,11,1,11,5,12,11,- -  -,
Pavel Londak,GK,5.98,5.98,9,12,9,7,10,1,12,11,13,12,10,9,2,14,6,12,1,13,3,3,3,10,11,14,2,11,2,2,5,1,15,2,16,6,2,1,12,5,11,9,12,12,6,10,9,12,7,14,15,16,11,14,5,11,10,5,11,12,- -  -,
Kevin Dawson,GK,6.58,6.58,14,9,13,9,14,1,13,11,13,14,15,13,5,11,11,13,3,12,3,3,2,14,14,12,2,12,7,5,7,2,4,3,14,8,1,3,15,13,15,11,14,13,13,13,13,10,10,6,9,10,11,10,5,12,13,10,13,7,- -  -,
Matías Castro,GK,6.91,6.91,15,9,12,7,13,1,11,12,13,14,13,11,1,8,10,13,7,10,1,1,1,11,10,11,5,13,7,6,7,1,7,2,13,12,2,3,9,9,12,9,15,12,12,11,8,10,10,9,8,13,12,8,12,13,13,8,11,6,- -  -,
Sonny Stevens,GK,6.81,6.81,13,9,10,6,12,1,11,13,11,12,7,14,3,8,9,12,3,11,1,2,3,13,12,15,1,13,3,2,7,3,13,1,12,11,1,1,13,11,13,12,12,12,11,10,7,12,9,14,13,12,8,14,11,13,5,6,13,13,- -  -,
Pedro Trigueira,GK,7.31,7.31,15,11,12,10,13,1,15,11,13,17,16,14,2,10,9,12,3,15,1,3,2,11,15,14,8,9,10,1,10,1,15,2,17,9,1,6,9,10,10,8,17,13,13,12,13,14,9,8,9,13,8,10,5,8,8,12,9,14,- -  -,
Elia Caprile,GK,6.62,6.62,12,12,13,6,12,1,11,16,14,15,12,16,1,11,11,15,4,14,2,2,2,9,13,14,6,15,9,7,7,3,10,2,14,12,1,7,13,12,13,14,11,11,14,13,12,14,10,14,12,15,14,12,3,15,4,3,13,15,- -  -,
Asier Riesgo,GK,6.71,6.71,10,3,10,7,10,1,9,9,12,11,12,13,2,8,10,13,5,14,1,2,3,13,12,13,2,13,7,7,7,2,6,3,13,13,3,5,12,14,10,12,15,11,13,11,13,12,9,8,13,14,14,10,6,10,7,12,15,14,- -  -,
Yonatan Irrazábal,GK,6.75,6.75,13,11,14,10,12,1,9,11,14,14,12,13,1,16,11,13,1,11,1,1,3,13,16,10,1,12,7,8,8,2,7,2,12,11,2,5,11,11,13,8,13,10,12,11,13,8,11,10,7,12,7,16,10,9,8,6,14,8,- -  -,
Mohammad Reza Akhbari,GK,6.87,6.87,10,10,13,9,10,1,15,6,11,13,9,13,2,11,13,11,2,9,1,3,1,13,12,12,1,10,6,3,5,1,14,2,10,11,3,5,11,7,13,10,14,16,13,13,9,11,13,14,10,10,11,12,13,7,11,2,14,9,- -  -,
Erwin Mulder,GK,6.42,6.42,10,8,14,10,9,1,13,11,10,15,8,13,1,10,7,14,6,16,3,1,1,10,13,16,4,14,3,5,7,3,3,1,14,12,3,1,14,11,11,11,9,12,13,13,5,14,8,19,13,16,15,15,9,12,5,5,13,10,- -  -,
Hossein Monadi,GK,6.75,6.75,8,8,12,8,9,1,7,6,10,14,5,10,2,12,13,8,3,15,3,3,2,6,10,11,1,10,5,3,4,2,5,1,4,14,1,3,11,9,8,11,12,9,11,11,7,13,12,19,12,13,10,13,5,14,8,8,20,11,- -  -,
Ruud Swinkels,GK,7.26,7.26,12,8,6,2,15,1,10,7,15,13,10,10,2,11,7,12,1,10,2,2,1,13,13,6,1,13,5,2,1,1,5,1,7,14,3,4,14,9,12,9,11,11,8,8,6,11,6,18,11,4,10,2,14,17,6,6,13,13,- -  -,Opt
Junior Dávila,GK,7.61,7.61,8,8,10,4,9,1,7,3,14,14,9,13,3,11,12,9,3,13,2,2,3,5,11,9,1,14,7,2,1,2,5,1,14,11,2,5,8,8,10,11,15,8,13,14,12,10,10,15,13,11,9,10,5,13,13,8,11,11,- -  -,
Alaa Khaleel,GK,6.80,6.80,7,7,7,5,3,1,9,2,11,14,5,8,3,9,12,12,2,12,3,3,3,13,11,11,1,7,6,1,3,1,5,3,19,9,2,3,11,5,7,11,9,7,12,12,5,14,11,20,14,10,10,11,8,8,7,3,11,10,- -  -,
Stijn van Gassel,GK,6.42,6.42,13,11,10,4,13,1,10,11,8,14,9,12,3,11,15,12,3,15,1,2,1,12,10,12,4,10,7,1,9,1,10,3,4,11,1,3,11,13,10,13,12,12,12,11,7,12,15,17,12,12,13,9,11,9,10,7,13,9,- -  -,
Jasem Adel,GK,6.27,6.27,8,8,8,1,9,1,8,8,15,15,14,8,1,7,11,10,2,11,2,3,3,9,9,14,1,12,6,1,2,1,5,1,7,9,3,3,5,7,10,13,12,9,10,12,14,15,14,18,13,13,12,13,5,18,10,2,13,10,- -  -,
Adrián Gabbarini,GK,6.49,6.49,14,9,12,11,14,1,13,10,12,14,6,11,4,13,7,16,6,11,3,2,3,17,12,12,6,13,7,7,9,3,6,1,15,11,3,4,12,14,14,13,13,14,10,11,12,13,9,12,14,17,12,15,13,14,8,8,15,12,- -  -,Inj
