Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Matteo Baldini,ST (C),6.45,6.45,6,4,1,6,5,1,10,8,2,1,2,4,2,5,8,4,6,12,5,1,6,4,2,14,11,2,4,10,5,8,1,13,3,6,2,5,4,6,1,1,4,11,7,5,15,4,6,9,7,12,11,13,9,7,14,5,17,11,- -  -,
Abdul Adib Roslan,"AM (C), ST (C)",6.88,6.88,8,8,1,11,12,1,10,7,3,1,3,5,2,9,7,2,5,7,5,1,7,13,1,9,7,2,5,10,8,7,4,6,12,7,6,4,5,6,1,2,3,12,5,7,13,1,7,13,12,11,13,13,9,14,9,7,7,12,- -  -,
Jean-Michel Fontaine,"AM (C), ST (C)",6.54,6.54,11,7,3,9,10,1,11,12,2,3,3,5,10,6,9,1,10,15,3,3,3,7,3,12,12,1,5,9,8,9,2,6,8,8,4,1,7,8,2,3,13,13,11,10,11,3,10,11,7,8,6,10,5,14,11,6,13,10,- -  -,
Bruno Jean-Elie,ST (C),5.71,5.71,8,6,2,12,6,1,15,7,1,1,2,5,14,6,8,1,10,10,5,5,14,7,1,13,12,1,9,12,9,11,3,6,6,7,4,5,7,8,3,2,12,14,10,6,12,1,12,11,11,13,14,13,12,15,12,6,12,10,- -  -,Ama
Facundo Rodríguez,ST (C),7.39,7.39,13,9,3,12,12,1,12,12,3,1,4,7,4,9,10,3,11,8,7,1,7,14,3,10,15,3,8,10,12,8,3,9,9,8,7,8,11,9,1,3,12,11,11,11,12,1,11,13,11,10,8,8,6,3,9,8,10,12,- -  -,
Sonny Fish,ST (C),6.48,6.48,12,7,1,9,13,1,6,9,3,2,2,5,7,8,10,4,8,7,4,1,7,7,2,13,8,3,5,8,14,8,2,9,15,12,2,6,9,8,3,2,13,16,9,10,15,2,10,18,15,13,12,10,5,16,12,8,11,11,- -  -,
Vito Laloata,ST (C),6.49,6.49,6,1,1,9,13,1,14,9,2,2,1,5,1,7,8,1,11,13,4,1,10,12,1,9,9,3,1,11,9,6,3,10,11,12,1,1,7,6,2,3,13,12,10,7,10,1,9,17,10,12,11,9,8,8,8,6,8,12,- -  -,Ama
Salsa,ST (C),7.17,7.17,5,6,1,9,5,1,16,11,1,1,2,5,7,6,12,1,9,14,3,1,4,9,1,12,12,1,5,10,12,12,1,9,18,9,3,5,3,12,1,1,7,12,6,11,12,2,12,15,10,11,13,10,12,8,11,1,20,11,- -  -,Ama
Josh Dolling,ST (C),6.73,6.73,10,10,2,9,9,2,15,11,1,1,3,10,4,11,12,3,11,15,8,5,12,11,3,14,12,3,10,8,10,10,2,11,7,9,9,9,10,10,1,2,11,11,12,9,14,3,10,5,13,10,11,10,9,9,9,2,20,9,- -  -,
Christian Tiboni,ST (C),6.01,6.01,10,9,1,10,11,2,9,9,3,2,3,6,11,9,7,2,10,10,1,2,9,3,3,12,10,1,1,10,9,10,3,9,17,9,3,2,7,9,1,1,11,9,9,7,8,3,7,10,10,5,7,8,8,10,8,14,10,14,- -  -,
Oliver Velich,ST (C),7.26,7.26,10,5,3,9,9,2,12,7,1,1,1,6,5,9,13,2,8,14,7,9,10,2,3,12,16,1,9,6,9,9,4,16,13,6,6,9,7,8,3,3,6,7,7,12,5,1,13,13,11,12,13,10,6,5,5,8,14,10,- -  -,
Josh Oyinsan,ST (C),6.75,6.75,10,7,2,7,8,2,13,8,2,1,1,6,6,9,8,1,9,8,7,5,6,6,1,16,12,3,5,4,9,10,2,6,11,7,5,3,7,8,2,1,6,9,9,9,12,1,9,10,10,11,12,12,7,4,6,3,7,13,- -  -,
Mamadou Diawara,ST (C),6.80,6.80,10,7,1,10,8,2,14,12,2,3,1,4,10,7,10,2,11,13,5,5,10,5,3,17,11,1,7,9,9,10,3,6,10,9,6,3,9,16,1,2,12,14,14,6,9,2,13,12,11,11,12,7,8,9,9,8,12,11,- -  -,
Julian Lopez,ST (C),6.66,6.66,7,4,3,9,6,2,5,8,3,1,1,7,4,7,6,1,8,11,2,1,7,5,1,10,15,3,3,7,13,8,4,7,14,8,7,5,7,8,2,2,9,14,9,8,15,2,5,18,13,13,11,11,6,10,7,5,17,11,- -  -,
Marc Arbau,ST (C),5.71,5.71,8,6,2,8,7,2,10,10,2,2,1,5,12,6,7,3,10,12,2,4,9,11,3,11,13,1,7,11,8,11,1,5,11,9,4,3,9,7,2,3,13,11,10,6,12,2,8,10,10,9,9,13,10,14,12,4,14,13,- -  -,Ama
Ludovic Ajorque,ST (C),6.98,6.98,16,11,1,13,15,2,16,14,2,1,1,7,15,12,12,3,12,15,4,4,12,12,1,17,17,2,7,13,13,16,4,12,15,13,10,4,15,13,1,2,15,16,14,12,13,2,12,11,10,12,9,13,7,12,8,2,14,14,- -  -,
Andy Tuckey,"AM (C), ST (C)",6.45,6.45,5,5,3,7,6,2,13,10,2,1,1,5,13,8,9,2,9,10,5,4,8,12,1,12,10,2,4,6,8,8,1,5,9,11,7,6,7,10,2,3,11,8,9,6,12,2,10,16,13,12,9,10,14,3,7,7,12,13,- -  -,Ama
Craig Hobson,ST (C),6.56,6.56,11,7,1,7,7,2,9,9,3,2,1,5,6,5,7,2,12,10,1,1,5,6,3,14,9,3,2,4,7,9,3,5,9,9,3,3,7,9,1,1,8,9,8,7,5,1,7,11,8,7,13,7,6,9,9,9,8,8,- -  -,
Glen Habimana,ST (C),7.03,7.03,13,9,3,9,13,2,8,8,1,2,2,7,3,8,12,3,10,15,7,1,8,5,2,13,14,1,3,7,13,10,3,9,16,9,6,5,6,9,1,3,8,9,13,10,8,1,14,10,9,13,14,13,15,9,6,2,12,10,- -  -,
Ethan Morgan,ST (C),6.39,6.39,9,8,2,9,7,2,9,9,3,1,3,6,6,7,9,2,9,12,4,5,8,2,1,10,9,1,7,7,9,7,3,8,10,9,7,7,8,9,1,2,7,8,7,8,7,1,10,20,9,10,12,15,5,2,9,5,6,12,- -  -,Ama
Luke Chapman,ST (C),7.40,7.40,6,9,1,9,7,2,8,10,4,3,3,8,4,7,8,1,11,14,6,3,7,3,3,10,15,3,7,8,12,10,1,8,12,13,4,5,8,8,2,1,11,9,12,7,15,3,9,12,9,11,10,14,5,8,10,4,9,11,- -  -,
Dejon Noel-Williams,ST (C),6.91,6.91,8,8,1,10,7,3,12,5,2,3,3,8,1,8,10,4,9,14,7,4,6,4,2,12,10,3,1,10,14,9,1,8,4,11,7,4,3,10,1,2,12,12,8,8,15,3,10,17,14,11,12,13,6,13,10,6,12,10,- -  -,Ctr
Oliver Børsting,"AM (R), ST (C)",7.49,7.49,10,7,1,9,7,3,10,8,2,2,1,4,1,6,11,2,9,12,3,1,9,2,3,14,11,1,8,8,9,11,2,9,4,8,6,8,7,9,1,2,8,8,10,9,13,1,10,16,10,12,10,11,13,5,5,8,9,11,- -  -,
Nuha Marong,ST (C),7.25,7.25,16,7,2,7,15,3,16,12,1,2,2,13,7,9,11,3,11,15,6,5,3,14,1,16,17,3,4,15,8,14,3,8,12,10,9,4,13,11,3,1,14,8,7,12,5,2,11,19,12,13,10,9,5,13,5,2,13,11,- -  -,
Unobatsha Mbaiwa,ST (C),6.78,6.78,10,8,1,10,7,3,8,6,3,1,2,7,2,6,9,3,10,11,8,4,9,9,3,8,15,2,8,8,11,10,2,10,12,12,8,8,9,10,1,1,16,15,11,9,10,2,10,12,9,13,10,13,13,15,12,3,9,11,- -  -,
John Owen,"AM (L), ST (C)",6.44,6.44,6,6,2,8,8,3,5,12,2,1,3,4,1,8,10,3,7,12,5,1,1,13,1,14,10,2,5,3,5,8,2,7,7,10,5,1,8,9,2,4,11,15,8,8,15,3,8,20,10,11,11,3,1,4,8,5,7,11,- -  -,
Anis Saltou,ST (C),7.00,7.00,12,10,3,11,13,3,12,12,2,2,1,10,10,10,11,2,12,13,5,5,8,8,3,16,14,2,6,8,12,12,2,10,13,11,8,6,11,11,1,2,7,12,16,12,7,1,12,17,10,12,12,13,9,11,5,5,14,11,- -  -,
Kelvin Morgan,ST (C),7.07,7.07,9,8,3,8,8,3,13,10,2,2,1,8,4,8,10,4,10,12,5,4,10,12,3,13,12,1,7,6,12,10,4,10,13,14,8,6,9,5,1,1,11,15,8,10,15,3,10,20,11,10,13,11,7,3,8,6,13,9,- -  -,
Franck Rivollier,ST (C),7.28,7.28,12,11,2,10,11,3,13,11,4,1,3,8,9,11,11,1,11,14,6,1,10,7,2,16,12,1,8,11,11,11,2,8,13,13,7,8,9,12,3,1,11,13,12,10,14,3,10,20,13,12,11,9,9,10,11,5,11,13,- -  -,
Samir Hadji,ST (C),6.83,6.83,10,7,3,11,10,3,15,10,1,3,3,8,12,8,11,2,11,13,5,5,11,6,1,15,14,2,7,11,11,11,1,9,13,11,5,3,9,11,2,1,13,15,14,9,9,4,11,11,11,11,9,12,5,14,9,6,14,13,- -  -,Opt
Musa Bulut,ST (C),7.60,7.60,12,8,3,8,8,3,11,9,2,3,2,3,5,7,10,2,9,12,1,2,3,3,3,10,12,2,3,7,8,8,2,6,13,8,5,2,7,8,3,3,11,8,9,11,9,3,11,15,12,13,12,10,3,10,3,3,10,14,- -  -,
Karim Aribi,ST (C),7.01,7.01,11,12,3,11,9,3,13,14,1,2,1,9,10,12,12,3,11,14,5,5,10,6,2,16,13,2,8,11,11,11,1,10,11,12,7,7,11,11,2,1,10,11,13,11,9,1,11,10,7,8,11,5,9,10,11,11,11,10,- -  -,
Moussa Sow,ST (C),6.97,6.97,9,7,1,9,9,3,10,8,3,4,1,9,7,9,10,1,11,13,6,5,10,8,2,14,14,3,8,10,14,11,1,10,8,14,4,8,8,12,1,1,8,14,12,8,15,1,10,11,11,10,10,11,8,1,5,8,14,10,- -  -,
Chu Wai Kwan,"M/AM (C), ST (C)",6.60,6.60,10,10,2,10,8,3,8,6,1,2,3,8,5,8,5,1,8,18,4,5,7,15,4,14,11,3,4,7,13,9,3,9,9,12,7,7,7,10,2,1,6,13,10,6,15,1,5,13,12,8,10,13,8,13,7,1,10,12,- -  -,
