Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Kasper Dolberg,"AM (RLC), ST (C)",7.04,7.04,7,13,2,16,9,4,12,11,1,2,2,8,14,12,13,2,14,12,3,6,14,4,3,13,13,3,13,15,13,14,2,13,8,12,11,8,11,15,3,3,7,13,14,15,10,3,15,16,16,14,14,14,13,10,11,5,15,14,- -  -,
Marlon Rodríguez,"AM (C), ST (C)",6.88,6.88,8,11,3,16,9,6,8,10,2,1,3,7,7,12,13,2,14,7,4,4,8,12,1,10,8,1,8,13,12,7,1,15,10,14,7,7,5,12,3,3,8,13,13,16,8,3,11,1,1,15,14,5,6,9,13,11,8,16,- -  -,
Callum Black,"AM (RC), ST (C)",6.82,6.82,8,15,1,15,9,3,8,10,4,4,2,8,5,12,12,3,13,13,5,4,9,8,2,10,10,2,5,14,15,15,2,12,11,13,7,7,7,13,1,4,11,15,14,12,16,2,9,13,15,13,9,5,5,9,9,8,11,17,- -  -,Loa
Iñaki Blasco,"AM (RLC), ST (C)",6.76,6.76,8,12,3,14,8,2,11,13,1,4,2,2,6,13,10,4,14,13,3,2,12,12,3,12,7,3,11,15,14,12,1,11,14,13,8,9,6,13,3,2,6,12,13,12,13,2,11,11,9,11,12,9,8,10,11,9,9,12,- -  -,Inj
Steve Letheren,M/AM (RC),6.75,6.75,7,12,2,13,9,5,9,15,2,2,3,7,5,12,14,3,10,14,5,7,8,9,2,13,4,3,11,12,11,8,1,11,12,12,8,9,8,13,3,1,7,16,13,12,7,1,18,14,11,14,11,12,6,8,12,8,10,14,- -  -,
Reece Bain,"AM (C), ST (C)",6.70,6.70,9,14,1,14,9,4,10,10,1,2,2,6,8,15,10,2,12,11,3,4,12,7,2,8,8,2,11,14,15,9,2,15,5,13,8,8,5,13,2,1,8,14,8,12,11,1,12,9,10,6,8,11,4,8,9,7,11,1,- -  -,
Raymond Ofori,"AM (RC), ST (C)",6.64,6.64,6,13,1,13,8,5,9,11,1,2,2,9,9,13,12,2,14,13,1,5,10,14,2,10,5,2,8,13,11,16,3,15,17,12,10,7,7,13,1,1,6,13,9,12,15,2,11,11,12,13,13,13,11,13,9,9,10,12,- -  -,
Jakub Juroška,"AM (C), ST (C)",6.58,6.58,8,14,4,12,7,5,12,13,1,1,2,8,11,11,11,2,15,17,6,7,14,10,2,14,10,2,8,14,14,15,2,12,16,15,11,11,9,13,3,1,8,16,13,14,9,4,12,12,12,16,10,14,6,13,10,6,8,12,- -  -,
Damián Díaz,"AM (C), ST (C)",-,-,8,12,1,16,8,2,10,12,3,1,3,5,5,12,12,2,12,13,3,3,13,9,1,10,10,3,9,17,13,13,2,12,11,11,10,9,9,14,3,3,8,16,13,14,12,1,11,7,11,14,3,10,5,6,8,17,16,14,- -  -,Inj
Calvin Cornelius,"M/AM (C), ST (C)",-,-,7,12,1,13,11,6,8,12,1,1,1,4,9,10,12,3,10,13,6,3,8,12,2,11,9,3,4,14,11,12,3,12,10,12,7,7,8,13,3,3,9,15,13,12,12,1,13,13,12,13,9,12,9,7,8,9,13,16,- -  -,
José Manuel Armas,"WB (L), AM (C)",-,-,9,7,3,16,6,8,9,14,3,3,3,7,9,16,15,3,10,11,5,7,10,5,1,7,7,2,10,14,11,15,3,13,12,11,9,7,12,12,2,4,8,16,10,14,8,3,14,13,12,12,11,6,6,14,12,11,13,16,- -  -,
