Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
José Ricardo Galindo,D (C),7.03,7.03,13,12,1,12,11,7,10,14,2,1,2,11,7,12,14,1,11,12,10,11,12,9,2,13,13,2,9,12,11,11,3,14,8,12,13,13,12,13,1,1,10,12,12,14,11,1,14,20,12,11,13,9,5,17,8,7,12,11,- -  -,
Benjamin Boulenger,D (C),7.44,7.44,13,8,1,11,11,9,13,14,3,2,1,10,8,8,14,2,12,12,10,8,8,16,3,14,13,1,6,9,10,7,3,10,13,9,9,4,11,12,1,1,13,14,11,12,10,1,15,14,14,12,13,11,9,12,10,6,15,12,- -  -,
Emad Al-Hamawi,"D (C), DM",6.55,6.55,15,10,2,15,12,10,10,12,2,2,3,9,7,12,11,1,10,12,9,6,10,11,2,13,14,1,9,8,11,8,1,11,16,9,11,8,10,8,4,1,9,12,12,8,9,2,11,11,10,13,10,10,6,7,6,5,12,11,- -  -,
Hwang Hyun-Soo,"D (C), DM",6.67,6.67,10,10,1,9,10,11,12,15,3,3,2,12,8,11,11,3,11,6,11,3,10,9,1,11,12,1,8,7,11,11,3,10,8,10,9,7,9,9,2,3,11,10,11,11,11,3,12,11,10,8,10,12,8,8,9,10,12,9,- -  -,
Florentin Pogba,D (LC),7.40,7.40,14,11,2,12,13,11,16,14,1,2,3,12,6,10,12,2,10,14,12,8,10,13,1,14,15,3,12,7,12,8,2,9,15,11,11,5,12,11,4,1,15,16,11,12,12,1,12,12,11,12,8,15,7,13,7,7,14,14,- -  -,
Victor Dican,"D (C), DM",6.67,6.67,11,13,3,10,11,11,12,13,2,1,3,12,7,12,11,2,13,12,12,8,10,11,2,13,13,1,11,12,11,5,2,9,11,12,11,11,12,9,3,2,10,10,13,13,12,2,13,17,8,11,12,9,4,10,11,6,8,8,- -  -,
Cristian Botezatu,D (C),7.38,7.38,10,8,2,9,8,11,12,16,3,3,3,11,8,9,11,2,10,12,11,10,4,9,2,9,9,1,5,4,9,5,2,7,11,10,9,8,8,8,3,1,11,9,11,11,9,1,13,4,8,11,6,9,4,7,6,8,8,13,- -  -,
Nicolás Ayala,"D (C), DM, M/AM (C)",6.94,6.94,10,12,1,13,14,11,12,11,3,2,3,13,13,12,12,1,10,13,11,7,11,8,1,14,13,2,11,12,13,9,2,13,8,12,12,11,11,10,3,1,10,9,12,12,13,3,11,12,8,11,8,11,5,11,14,8,11,8,- -  -,
Ben Reveno,D (LC),7.49,7.49,15,8,2,9,9,11,12,14,1,3,1,8,4,10,11,1,8,12,16,5,9,4,2,12,13,3,5,6,11,5,3,8,8,8,10,6,7,8,3,3,8,10,9,10,5,1,11,18,12,10,11,11,11,5,3,4,10,9,- -  -,
Frederik Jäkel,D (C),6.98,6.98,13,8,1,9,12,11,16,15,2,2,1,13,5,8,11,4,11,12,14,3,11,13,2,16,14,1,9,8,11,8,1,9,7,11,11,11,14,13,1,3,12,14,13,10,7,3,11,18,10,9,10,13,10,2,12,8,14,12,- -  -,
