Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Nicolas Swaim,"M/AM (R), ST (C)",6.74,6.74,7,7,3,6,6,3,1,4,3,1,1,3,3,9,3,3,10,7,5,3,5,14,3,8,4,2,3,8,9,6,3,1,5,14,5,4,5,8,3,1,6,5,8,5,10,1,5,10,11,11,12,12,6,7,7,8,14,9,- -  -,Ama
Devon Letteen,M/AM (R),4.37,4.37,11,7,1,10,8,3,5,7,3,1,2,5,4,11,4,2,9,11,4,5,6,14,1,6,3,1,2,8,13,8,3,2,6,11,12,8,4,6,2,2,2,5,7,5,13,3,5,10,11,12,11,12,6,7,7,3,11,11,- -  -,Ama
Ashley Torres,M/AM (L),6.81,6.81,9,8,2,12,8,4,6,7,1,2,1,7,7,7,8,1,10,13,5,3,3,10,1,15,8,2,7,10,13,11,4,3,5,12,11,8,9,10,1,2,8,8,9,7,10,1,6,11,9,12,10,9,6,7,9,7,13,12,- -  -,
Ammar Abu-Seleisel,M (L),6.45,6.45,13,9,1,14,9,4,5,8,1,1,1,7,8,5,7,2,8,15,6,3,8,14,1,12,7,2,8,5,15,8,1,5,6,11,12,9,7,13,3,3,5,6,8,7,12,1,7,16,9,9,10,8,5,11,13,2,9,10,- -  -,
Defri Risky,WB/M (L),6.73,6.73,9,7,3,9,8,5,4,9,3,2,3,7,1,9,7,1,8,5,7,7,6,15,4,6,3,1,7,5,10,6,3,4,14,12,13,8,7,8,3,1,5,8,11,6,9,1,12,12,10,13,10,11,5,6,12,4,12,12,- -  -,
Uri Schallhorn,M (L),6.58,6.58,4,7,1,3,7,5,8,6,1,2,1,6,2,6,6,1,6,11,6,4,7,11,3,12,2,3,6,5,8,2,2,5,12,9,10,8,7,5,2,1,3,6,8,6,14,3,5,15,10,10,12,10,9,4,7,2,10,11,- -  -,Ama
Michel Lafortune,M/AM (R),6.31,6.31,12,9,1,12,9,5,5,7,1,3,1,8,8,13,7,2,12,8,6,9,7,6,1,11,7,2,4,13,11,12,3,6,15,12,14,10,9,12,3,2,7,8,10,6,9,1,6,14,11,11,9,10,5,5,12,4,12,11,- -  -,
Malek Al-Yasairi,M (L),6.54,6.54,9,9,2,10,5,6,3,7,2,1,3,6,2,9,6,2,6,8,6,3,7,10,4,13,4,3,4,5,14,7,3,6,13,14,11,8,7,8,3,3,5,7,8,6,11,1,8,17,12,12,12,11,11,5,5,4,17,10,- -  -,
Jóannes Bjartalíð,M/AM (RL),7.88,7.88,16,15,1,12,11,6,11,11,1,3,1,5,18,15,9,2,9,13,9,6,11,8,1,8,12,3,12,14,12,11,2,10,9,10,14,11,12,14,1,2,7,11,14,10,9,3,11,6,16,8,12,17,12,9,6,6,13,8,- -  -,
Afelee Valoa,M (LC),7.14,7.14,13,8,3,6,8,6,5,8,3,3,3,6,1,8,7,1,7,15,6,1,7,3,2,5,1,1,5,5,11,4,3,7,6,6,6,5,6,7,2,3,6,6,6,8,11,1,5,11,11,13,9,10,5,3,7,4,18,11,- -  -,Ama
Kevin Dekkers,M (R),5.85,5.85,11,7,2,7,8,6,5,7,3,4,3,5,4,9,5,3,7,12,6,4,7,15,1,9,5,1,3,8,9,6,1,4,7,14,13,6,7,7,2,3,3,5,9,5,12,2,5,11,12,15,9,10,5,5,7,1,4,12,- -  -,Ama
Jairo Sanchez,M/AM (L),6.97,6.97,13,10,2,14,8,6,7,9,3,1,1,5,3,10,6,2,10,8,5,6,7,8,3,9,7,2,7,12,13,8,3,4,5,11,10,7,5,10,2,3,3,7,8,5,5,1,5,6,7,10,9,12,7,3,11,5,17,13,- -  -,Ama
Stephan Fiedtkou,M/AM (L),6.69,6.69,14,7,3,8,15,6,5,9,1,4,2,5,5,9,6,3,8,7,7,7,8,9,2,9,6,2,7,5,9,9,3,2,12,10,9,7,8,8,4,4,4,8,7,8,9,2,9,13,10,13,10,11,13,1,11,6,11,9,- -  -,Ama
Joden Lewis,M/AM (L),6.53,6.53,13,7,1,10,14,6,6,8,3,3,2,5,6,6,5,1,7,7,3,2,4,14,1,12,4,1,5,10,5,7,3,5,14,12,5,5,5,9,4,1,4,6,7,7,15,1,7,11,13,10,8,13,11,7,5,6,15,10,- -  -,Ama
Tai Thomas,M (R),6.15,6.15,12,9,1,12,15,6,5,8,1,1,3,5,5,9,5,2,8,14,6,7,5,10,1,5,6,2,7,5,7,5,3,6,13,10,6,7,7,7,2,2,4,8,8,7,10,2,6,10,8,10,12,12,13,3,5,8,13,9,- -  -,Ama
Raji Ashour,M/AM (L),6.72,6.72,12,6,1,8,9,7,3,7,2,2,2,8,5,12,6,2,11,13,8,7,5,11,3,8,6,1,8,8,11,10,3,5,16,10,14,9,8,10,3,4,6,6,7,6,8,1,6,14,11,10,13,11,12,4,7,3,12,9,- -  -,
