Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Joe Cardle,M/AM (RL),7.28,7.28,13,12,1,12,13,5,6,10,2,2,4,10,7,12,10,1,11,11,3,1,10,9,3,7,7,4,2,14,11,11,3,9,9,12,13,6,9,12,1,3,8,11,9,12,9,1,9,7,14,12,10,10,9,14,5,11,13,13,- -  -,
Jizz Hornkamp,"M/AM (R), ST (C)",7.04,7.04,11,13,3,13,13,5,11,12,1,2,4,5,14,11,12,1,12,8,5,8,8,6,3,11,13,2,13,12,12,11,3,9,14,11,10,10,11,10,4,3,13,12,11,14,14,2,13,10,12,11,11,11,7,6,5,4,11,11,- -  -,
Nemanja Tomić,M/AM (RLC),6.84,6.84,9,13,3,13,11,5,7,8,2,2,1,7,12,13,9,2,9,10,4,4,14,14,1,8,9,1,15,15,13,10,1,10,9,10,12,13,7,12,2,2,10,9,11,9,10,2,9,8,9,9,8,13,8,10,14,7,13,13,- -  -,
Kevin Mirallas,M/AM (RLC),6.96,6.96,7,16,3,14,9,5,9,8,1,3,3,7,10,14,9,1,14,11,5,3,13,7,2,9,8,1,15,13,14,11,2,11,6,12,14,12,11,12,1,3,9,13,13,10,12,1,8,6,8,10,10,8,5,12,14,15,11,6,- -  -,
Reuven Niemeijer,"M/AM (LC), ST (C)",6.82,6.82,12,13,3,12,14,5,10,12,2,1,3,6,14,11,12,3,13,5,5,8,12,9,2,12,10,2,11,12,12,9,1,10,13,10,8,9,11,11,2,2,13,11,10,12,12,2,11,20,13,13,12,12,5,10,11,5,12,13,- -  -,
Fabricio Domínguez,"WB (R), M/AM (RC)",6.89,6.89,12,14,3,12,11,6,12,11,1,3,1,8,11,11,9,3,13,8,8,11,12,11,4,10,8,2,10,10,14,11,2,12,5,15,10,13,11,13,1,2,9,10,13,14,10,3,10,20,10,11,9,10,9,4,7,1,13,12,- -  -,
Salomon Kalou,"M (RL), AM (RLC), ST (C)",7.61,7.61,9,13,1,14,9,6,10,8,2,3,2,6,16,12,9,3,13,15,6,6,11,10,3,11,13,1,12,15,15,12,2,12,10,12,9,8,12,12,3,2,10,12,15,10,9,1,8,17,11,16,18,12,5,17,6,14,13,14,- -  -,Ctr
Nicky Law,M/AM (LC),6.33,6.33,11,13,4,14,14,6,8,9,2,3,3,6,12,13,9,1,12,10,5,9,12,10,3,7,4,2,10,12,13,7,1,12,9,11,11,10,12,11,1,3,7,12,12,11,6,2,9,10,13,13,8,10,6,9,7,3,15,11,- -  -,
Michael Gardyne,"M (RL), AM (RLC), ST (C)",6.51,6.51,11,12,1,10,16,6,6,7,2,2,2,8,8,10,9,1,12,12,7,2,9,10,1,7,6,3,10,12,12,10,3,9,12,9,11,11,9,10,2,1,9,11,7,11,12,3,8,11,10,13,11,12,2,12,11,3,13,15,- -  -,
Martin Miller,M/AM (LC),6.82,6.82,9,13,2,12,13,6,8,12,1,3,1,6,10,11,11,3,12,13,6,8,9,8,4,8,7,2,9,14,13,10,2,10,12,11,9,9,8,12,2,3,8,12,10,12,7,1,11,13,13,13,13,12,9,10,7,7,11,12,- -  -,
Quique Rivero,"DM, M (LC)",7.23,7.23,9,14,2,15,12,6,8,12,3,1,2,11,17,14,10,3,10,8,6,3,11,7,1,9,7,3,12,12,14,8,2,12,9,13,12,12,12,13,1,1,6,11,11,11,8,1,11,15,15,14,10,10,7,10,5,4,12,9,- -  -,
Edanyilber Navas,"M (L), AM (RLC), ST (C)",6.91,6.91,7,12,1,13,11,6,7,12,2,1,1,6,11,12,10,3,12,11,6,4,10,4,1,4,3,3,11,10,12,11,3,11,11,10,10,10,10,12,3,2,8,12,13,12,8,2,10,13,12,11,10,11,3,10,2,6,12,10,- -  -,
Eirik Hestad,"M (R), AM (RC)",7.21,7.21,8,14,1,14,15,6,8,13,1,1,2,8,10,14,10,3,13,8,7,6,9,11,3,11,4,2,11,9,15,10,1,12,11,13,13,13,11,13,1,3,6,7,13,13,12,3,11,6,10,16,10,12,9,14,9,9,15,14,- -  -,
Carlos Sosa,"M (RC), AM (RLC)",7.12,7.12,10,12,2,12,13,6,8,11,1,1,3,7,8,12,12,2,12,12,4,4,12,13,1,7,4,1,13,15,13,8,2,13,18,13,12,13,11,12,3,1,10,12,12,13,12,2,13,12,9,12,10,9,12,8,6,7,13,12,- -  -,Inj
