Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Harry Owen,"AM (L), ST (C)",6.48,6.48,13,3,2,7,11,1,8,10,1,1,1,7,2,8,12,3,8,14,1,1,5,2,1,11,9,3,1,3,5,8,4,6,7,5,8,1,6,7,1,2,5,11,6,7,2,2,9,10,9,12,4,13,15,7,1,1,9,6,- -  -,Ama
Mo Bettamer,"AM (LC), ST (C)",6.99,6.99,12,9,3,8,10,1,13,13,1,1,2,1,12,7,11,3,7,12,1,1,6,5,3,12,11,3,10,11,7,9,1,8,11,5,7,5,6,9,2,1,10,10,9,9,11,1,11,14,13,13,13,12,7,6,7,7,12,11,- -  -,
Moussa Maazou,"M/AM (R), ST (C)",7.16,7.16,12,7,3,10,10,3,13,11,1,1,1,7,13,9,12,1,11,14,6,5,10,9,1,14,13,4,8,10,10,12,2,9,10,9,10,4,11,10,3,3,14,13,8,10,12,2,11,14,12,10,10,10,8,13,10,8,12,13,- -  -,Ama
Hemaloto Polovili,"AM (L), ST (C)",6.94,6.94,5,4,1,7,3,3,15,10,1,1,3,4,1,5,9,4,6,14,3,1,4,11,3,11,9,3,4,6,5,6,3,8,9,8,3,1,3,5,4,1,14,5,7,8,17,1,10,11,12,14,13,10,10,7,11,6,16,11,- -  -,Ama
Shamir Mullings,"AM (R), ST (C)",7.48,7.48,14,8,2,8,9,3,15,10,4,2,1,8,8,6,12,3,9,12,1,1,7,5,2,16,13,1,5,12,7,6,2,7,18,10,5,3,9,7,3,1,9,6,6,10,8,2,11,6,11,7,12,12,5,6,6,14,12,16,- -  -,Ama
Alidor Kayembe,"AM (RC), ST (C)",7.11,7.11,12,5,2,9,8,4,12,12,1,3,1,8,11,9,12,1,9,12,5,6,8,12,2,12,12,3,7,8,8,13,2,7,7,9,9,4,8,10,1,3,12,12,11,11,5,2,13,13,9,11,10,11,6,11,5,7,13,11,- -  -,
Fisum Aden,"M (L), AM (RL), ST (C)",6.07,6.07,9,5,3,9,8,4,9,5,1,3,2,7,5,10,5,2,11,11,6,5,8,5,2,17,8,1,4,10,9,8,3,7,16,9,11,7,7,10,3,3,6,7,9,5,13,2,6,13,12,13,10,12,7,11,12,8,10,10,- -  -,Ama
Michael O'Connor,"AM (L), ST (C)",6.79,6.79,12,7,2,6,8,4,12,11,2,2,1,6,11,8,10,2,12,12,2,3,7,12,2,13,12,3,4,11,9,11,3,8,8,8,6,2,9,11,1,2,14,11,10,10,16,3,11,7,8,6,6,7,7,10,13,14,10,11,- -  -,
Jeremy Delmar,"AM (RC), ST (C)",6.86,6.86,8,5,2,6,7,4,13,6,3,3,1,7,4,6,8,3,9,17,6,2,9,6,2,12,11,2,6,10,10,8,2,8,8,10,8,5,5,8,3,2,9,11,9,6,15,1,5,12,12,12,11,13,8,9,10,3,12,9,- -  -,
Edson Rivas,"AM (R), ST (C)",7.06,7.06,12,11,1,12,13,4,12,12,3,4,1,8,8,11,12,2,12,14,4,5,10,7,2,15,14,2,8,13,11,12,3,12,12,10,11,8,12,11,1,3,12,13,13,11,10,1,13,12,12,9,13,12,10,8,12,11,10,12,- -  -,Wnt
