Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
Oscar Ayoub,D/M/AM (R),7.96,7.96,13,10,3,12,12,10,10,17,2,2,1,13,7,9,12,1,8,12,11,10,6,13,1,5,8,2,6,10,11,5,4,9,20,13,13,9,12,8,2,2,15,10,11,16,11,1,15,12,11,14,8,12,7,7,17,9,10,10,- -  -,
Emmanuel Attipoe,"D (RL), WB (R)",7.68,7.68,15,10,3,9,13,11,13,11,1,1,2,11,6,10,12,3,10,14,10,11,9,11,1,9,10,3,6,11,11,4,4,9,14,10,10,5,11,10,3,3,14,10,11,12,10,2,13,17,18,14,15,18,2,16,3,3,14,14,- -  -,
Ivan Vučković,D/M/AM (R),7.58,7.58,10,9,2,15,12,12,10,15,2,3,3,11,6,12,15,1,10,13,6,9,8,9,2,9,13,3,13,6,11,8,1,9,20,10,12,8,8,11,3,3,10,10,9,16,18,2,17,10,8,18,9,12,3,9,8,9,16,15,- -  -,
Zaidu Sanusi,D/WB/M (L),7.57,7.57,15,7,1,10,12,11,12,15,1,2,2,13,7,11,16,2,12,12,12,11,8,9,1,14,14,2,9,10,10,11,2,11,15,9,10,10,14,10,3,3,14,12,14,13,14,1,16,13,15,14,15,9,5,16,11,5,15,14,- -  -,
Achraf Achaoui,D/WB (L),7.56,7.56,10,4,3,12,10,10,6,13,2,3,1,7,4,9,15,2,7,15,11,4,4,12,2,8,9,1,2,5,13,2,1,12,17,12,9,5,9,7,2,3,9,5,9,12,13,1,14,7,11,9,11,12,8,6,9,4,16,10,- -  -,
Ashton Taylor,"D (R), WB (L)",7.54,7.54,12,5,1,8,9,7,6,10,2,2,1,9,3,9,13,1,7,18,8,5,4,4,2,13,2,1,1,7,8,4,2,9,6,10,10,6,7,6,3,3,3,8,8,14,9,4,10,12,10,10,10,9,10,5,10,3,6,10,- -  -,
John Ross Wilson,D/WB (R),7.53,7.53,12,10,2,11,11,10,10,13,3,3,2,10,3,10,13,1,12,15,9,8,9,5,3,8,9,1,6,11,10,7,3,10,15,9,11,4,14,9,1,3,9,12,9,11,7,1,12,11,15,13,12,16,4,11,5,5,15,8,- -  -,
Elmir Nabiullin,D/WB (L),7.51,7.51,13,8,1,11,13,11,8,11,2,1,1,12,11,11,14,2,10,12,11,12,7,7,3,7,12,3,7,8,11,7,3,10,14,12,9,9,11,11,3,1,13,13,12,14,12,3,13,17,14,14,10,15,10,13,6,3,15,7,- -  -,
George Jones,D/WB/AM (L),7.50,7.50,10,5,3,11,11,5,11,14,3,2,3,7,2,3,12,3,6,10,7,4,3,9,2,10,2,2,5,4,7,3,3,7,5,10,7,4,5,3,1,3,7,14,7,14,12,3,15,13,13,13,7,9,6,7,8,9,11,6,- -  -,
Pervis Estupiñán,D/WB/M/AM (L),7.50,7.50,13,11,2,13,13,13,11,17,1,2,4,12,11,11,15,2,16,16,12,14,6,10,2,10,10,3,6,12,14,6,3,12,13,12,14,6,12,13,2,3,12,13,11,13,7,1,14,12,14,10,9,12,9,10,15,3,15,13,- -  -,
