Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,Temp,Spor,Prof,Pres,Loy,Inj Pr,Imp M,Dirt,Cont,Cons,Amb,Rec,Inf
George Lewis,"M (R), AM (RLC), ST (C)",8.20,8.20,10,7,1,12,7,4,5,10,3,3,4,4,1,8,15,3,13,13,5,3,10,5,3,4,5,1,5,13,12,8,3,12,13,6,8,8,5,9,3,2,6,7,9,15,10,1,15,10,8,14,11,11,5,11,8,7,12,9,- -  -,
Andrey Rybchinskiy,D/M/AM (L),8.17,8.17,14,7,3,11,14,7,12,14,1,2,1,5,7,10,15,2,10,15,5,13,7,8,2,11,8,1,5,13,12,4,3,10,15,9,8,5,5,7,3,2,15,15,7,17,15,3,14,15,12,15,10,12,8,13,17,8,12,14,- -  -,
Ryan Nelson,M/AM (RC),8.07,8.07,12,12,2,13,10,7,5,11,3,2,1,6,9,11,10,1,11,10,4,2,11,8,2,4,3,2,7,13,12,9,3,11,14,11,12,12,7,9,3,3,13,3,11,12,16,3,13,15,8,15,15,9,12,7,16,12,16,16,- -  -,Ama
Timo Döll,"AM (RL), ST (C)",8.00,8.00,8,6,2,8,13,4,6,7,2,3,3,4,3,9,11,3,9,11,4,3,6,4,3,10,8,3,11,15,7,6,3,10,13,7,9,8,3,8,1,1,6,8,7,13,12,2,10,17,18,15,12,10,11,14,8,8,13,12,- -  -,Yth
Peter Brown,AM (L),7.90,7.90,4,4,2,8,4,4,3,6,3,1,1,1,1,4,13,1,8,7,1,1,2,6,4,1,4,2,7,9,5,3,1,9,3,3,5,3,3,6,2,1,7,7,5,14,11,2,15,14,13,13,9,12,9,6,8,5,8,4,- -  -,Yth
Haissem Hassan,"M (L), AM (RL)",7.89,7.89,8,13,1,15,7,7,10,11,2,1,4,7,11,10,13,2,12,13,7,8,11,9,3,8,7,2,12,16,14,11,1,14,13,11,12,9,9,10,4,3,6,12,10,14,5,3,13,10,11,10,10,10,10,6,11,2,12,10,- -  -,
Mounir El-Akchaoui,"M/AM (R), ST (C)",7.88,7.88,9,7,2,15,8,4,10,13,2,2,1,2,5,10,15,2,10,15,1,4,7,3,3,8,13,1,9,15,14,9,1,12,15,6,10,11,4,11,2,1,7,9,7,14,11,2,13,7,10,10,3,9,11,6,10,15,16,10,- -  -,
Jan-Erik Buch,WB/AM (L),7.78,7.78,15,9,1,14,9,9,14,13,2,1,3,7,4,12,12,2,9,15,6,4,9,13,1,13,9,3,4,9,12,7,1,14,13,11,12,6,8,8,1,3,7,11,9,16,10,2,14,15,13,15,7,11,5,8,10,10,11,15,- -  -,
Brock Thornton,"M (C), AM (R), ST (C)",7.78,7.78,7,5,1,12,7,4,5,8,3,2,2,5,5,12,8,1,11,12,2,6,6,11,1,3,5,2,6,11,9,5,2,9,12,10,5,3,5,10,2,1,6,14,6,10,11,3,9,11,11,10,9,4,4,7,6,6,8,11,- -  -,Yth
Fitzroy Alvaranga,"WB (L), AM (RL)",7.76,7.76,8,6,2,12,6,3,6,8,2,4,2,2,4,8,11,2,6,16,3,2,4,6,1,3,8,1,11,10,6,6,1,7,12,4,7,9,5,6,3,3,5,8,5,10,11,1,14,10,11,10,5,12,2,6,16,18,8,8,- -  -,Yth
Alex Bruce,"AM (RL), ST (C)",7.75,7.75,12,6,1,10,7,3,10,12,2,3,3,7,7,10,14,1,11,15,5,1,5,14,1,12,6,3,6,12,13,10,1,13,9,11,6,1,5,9,3,2,4,7,8,13,10,2,14,15,10,12,11,10,11,1,5,3,15,11,- -  -,
Ihsan Sacko,"AM (RLC), ST (C)",7.72,7.72,12,9,2,13,10,5,10,12,3,2,2,4,11,13,12,2,13,12,3,6,9,8,3,11,9,1,7,12,12,12,4,12,12,11,10,6,8,11,1,1,11,8,9,14,9,1,14,12,11,10,11,12,9,12,11,9,16,11,- -  -,Opt
Quévin Castro,"M (C), AM (RC)",7.71,7.71,8,13,3,13,5,5,13,12,2,2,2,6,3,13,14,1,14,8,3,2,12,5,1,15,7,3,10,12,11,7,2,15,15,7,9,7,7,12,3,3,4,11,8,14,12,3,15,10,10,8,8,12,15,15,12,11,15,15,- -  -,Inj
Diego Lainez,M/AM (RL),7.70,7.70,15,15,3,16,11,6,8,16,2,2,3,5,10,13,15,2,13,14,5,9,7,8,3,5,7,3,10,16,13,10,3,17,15,12,12,11,12,12,1,1,15,14,14,17,10,2,17,13,12,13,14,11,9,13,6,5,15,15,- -  -,Wnt
Reece Grego-Cox,"M/AM (R), ST (C)",7.68,7.68,13,9,2,10,11,6,13,11,4,2,2,5,9,9,12,2,11,13,5,12,11,5,1,7,8,1,6,11,8,10,1,10,11,9,10,5,9,8,2,2,10,12,9,12,12,1,11,8,6,9,9,7,15,9,12,5,15,12,- -  -,
Josh Tuck,"AM (R), ST (C)",7.67,7.67,7,5,3,13,13,1,6,7,3,3,4,3,12,7,8,1,7,11,1,5,3,8,3,9,4,2,7,13,11,4,3,12,15,5,7,7,2,5,3,2,6,10,7,8,9,1,12,10,13,11,12,15,10,14,8,8,6,4,- -  -,Int
Vitinho,D/WB/M/AM (RL),7.66,7.66,12,11,2,12,11,10,7,13,3,2,2,9,8,12,13,2,13,11,9,7,6,8,1,6,8,2,7,13,12,10,3,14,9,13,9,7,11,12,2,1,10,8,11,13,7,3,14,11,10,11,11,10,9,9,8,7,16,8,- -  -,
Maxwel Cornet,"D/WB/M (L), AM (RL)",7.66,7.66,14,11,1,12,13,11,12,13,1,2,3,10,10,12,15,4,13,15,11,10,10,6,1,10,11,2,11,12,13,14,1,12,14,10,12,12,10,12,1,2,13,13,12,13,8,1,15,14,14,13,10,13,7,13,9,6,16,13,- -  -,
Noah-Joel Sarenren-Bazee,M/AM (RL),7.64,7.64,11,12,3,13,12,5,10,11,1,2,1,6,9,12,17,1,13,12,4,7,9,5,1,12,9,4,9,15,13,9,3,12,11,11,11,8,11,11,3,3,10,11,12,14,11,3,16,10,10,12,13,7,17,12,5,12,15,15,- -  -,
Rubén Medina,M (R),7.64,7.64,14,11,2,17,15,6,12,11,2,1,1,7,8,12,14,3,14,12,10,8,11,6,1,11,7,1,6,9,14,7,2,15,13,12,14,8,11,10,1,2,8,16,11,16,9,3,15,11,12,15,7,3,2,7,14,11,15,18,- -  -,Inj
Lucas De Bolle,M/AM (RLC),7.62,7.62,8,10,1,12,7,6,7,8,3,1,2,11,6,14,14,3,12,11,4,2,8,14,2,8,7,3,6,14,13,9,1,9,13,12,6,6,7,9,1,2,7,9,9,12,14,1,13,19,12,12,13,10,6,9,12,5,18,10,- -  -,
Adrian Billhardt,"AM (RC), ST (C)",7.62,7.62,10,8,1,12,7,1,8,8,3,3,3,5,8,9,11,3,12,17,4,1,4,2,2,7,8,1,6,12,10,13,3,10,4,8,8,9,6,14,3,3,8,10,8,13,5,2,13,17,13,12,12,9,5,11,6,5,11,10,- -  -,Opt
Eric McWoods,"AM (R), ST (C)",7.62,7.62,13,8,2,11,11,4,9,11,2,1,2,10,11,9,12,3,12,12,4,4,8,5,1,10,10,1,8,12,12,10,1,10,11,9,8,7,10,9,3,1,9,9,11,12,5,3,14,8,12,11,9,6,5,10,5,6,14,12,- -  -,
Steven Bala,"M (L), AM (RL)",7.59,7.59,5,4,4,12,5,2,4,8,2,1,1,1,7,7,13,2,7,15,2,4,4,9,2,4,5,3,3,13,11,8,2,13,11,9,7,10,2,6,3,1,4,7,2,13,9,3,13,8,8,14,12,8,13,16,15,1,7,10,- -  -,
Sinclair Armstrong,"M (RL), AM (RLC), ST (C)",7.58,7.58,12,12,1,9,8,3,13,6,3,1,1,7,2,13,14,1,10,12,4,9,10,8,2,13,6,4,9,16,11,9,1,12,8,7,8,5,8,12,1,1,7,10,10,14,11,1,13,16,12,14,11,12,12,5,7,3,10,14,- -  -,
Jorge De Frutos,M/AM (RL),7.57,7.57,14,12,2,14,14,8,12,14,3,2,1,8,9,13,15,1,14,15,7,6,13,8,3,8,8,1,8,13,13,13,2,13,13,13,15,11,12,12,1,2,13,13,12,15,15,3,16,9,14,14,14,13,7,13,8,7,16,13,- -  -,
Lewis Walker,"AM (RL), ST (C)",7.57,7.57,13,11,3,12,11,4,11,11,2,3,1,10,12,7,14,2,12,15,5,8,10,6,2,12,11,2,8,7,12,11,3,13,8,10,10,10,10,11,1,2,11,12,11,13,11,1,14,14,11,8,8,12,6,6,3,5,14,11,- -  -,
Ryan Fraser,M/AM (RL),7.57,7.57,17,11,2,12,15,7,10,10,2,2,3,10,6,14,10,2,15,13,6,2,12,10,3,3,2,2,12,12,14,13,3,11,13,12,14,14,10,12,3,3,13,13,13,11,7,2,11,8,13,12,9,12,15,10,5,3,16,12,- -  -,
Finn Ashworth,M/AM (RC),7.56,7.56,11,12,2,13,6,2,6,13,3,2,3,1,7,11,12,2,10,16,1,5,5,7,2,3,1,1,4,14,12,6,3,9,8,11,5,1,3,13,4,3,3,11,9,14,15,2,15,12,10,12,9,8,7,15,10,8,16,11,- -  -,
Noa Boutin,D/WB/AM (L),7.55,7.55,12,8,1,10,9,10,6,10,1,1,3,8,1,11,13,1,9,16,8,4,4,4,1,11,6,2,5,11,10,6,1,14,18,7,10,6,10,5,1,2,7,8,8,13,6,1,14,15,13,10,10,9,5,11,9,5,11,14,- -  -,
Samuel Kalu,"AM (RL), ST (C)",7.54,7.54,10,10,1,14,7,4,10,13,4,2,3,4,12,12,15,3,13,13,5,5,11,4,3,6,6,2,12,15,12,11,2,14,10,10,14,13,8,13,1,3,13,12,11,14,8,2,16,19,12,10,8,10,14,12,6,13,14,17,- -  -,
Bailey Hobson,"M (R), AM (RC)",7.53,7.53,14,9,2,9,11,4,11,14,1,2,3,5,5,9,11,3,12,12,4,5,13,7,3,8,7,3,8,10,9,10,3,9,15,9,7,5,7,11,1,2,12,13,9,11,10,1,9,14,11,11,11,10,8,8,7,7,15,14,- -  -,Opt
Terell Pennant,"AM (RLC), ST (C)",7.52,7.52,6,10,2,11,5,4,6,10,2,3,3,5,7,9,14,4,12,11,4,6,9,7,1,4,10,2,13,16,9,5,2,12,10,9,11,11,8,10,4,4,6,8,9,13,7,1,14,11,11,13,11,11,8,11,6,2,17,12,- -  -,
Joel Fernandes,M/AM (L),7.52,7.52,13,6,1,11,7,3,9,10,2,2,1,1,2,6,12,3,9,16,2,2,5,3,1,4,1,3,4,11,6,4,1,10,10,5,8,5,2,6,1,2,5,12,4,11,16,1,11,15,12,19,6,14,5,8,7,10,7,13,- -  -,Ctr
Phakamani Mahlambi,AM (RLC),7.52,7.52,10,14,1,13,10,4,8,12,3,2,2,8,8,13,16,1,14,13,4,2,10,8,3,6,5,4,8,16,12,10,1,16,11,9,11,8,9,8,3,3,7,12,10,15,6,4,18,10,12,11,11,12,9,11,9,8,16,12,- -  -,
Kris Twardek,"M (R), AM (RL)",7.52,7.52,10,11,3,8,10,5,11,12,3,1,2,6,5,11,12,3,11,12,6,5,9,4,1,9,9,1,3,13,11,8,2,11,13,11,10,6,7,10,3,3,7,13,8,12,7,2,13,8,9,12,8,10,4,9,4,5,14,16,- -  -,
Patrick Duncan,"AM (RC), ST (C)",7.52,7.52,6,7,3,14,4,2,10,11,1,2,1,3,4,9,13,2,12,10,1,4,6,15,2,7,8,3,8,15,10,8,2,11,14,8,9,5,3,9,2,1,16,11,8,16,16,3,14,6,6,9,9,9,9,14,11,9,10,12,- -  -,
Gilbert Atangana,"DM, M/AM (R)",7.50,7.50,14,10,1,15,10,3,9,12,3,3,1,5,6,13,14,1,13,10,2,6,7,6,1,12,7,3,7,15,16,7,2,8,13,8,13,8,5,7,2,1,8,12,9,14,11,1,16,7,10,12,5,12,8,4,8,17,10,17,- -  -,
Gyrano Kerk,"M (R), AM (RC), ST (C)",7.50,7.50,11,12,3,15,12,6,15,14,3,2,1,8,14,11,15,2,14,12,5,6,11,5,1,11,7,1,13,16,13,10,2,11,15,9,10,14,11,12,2,3,13,13,11,14,14,1,15,15,10,13,13,12,6,12,8,6,14,14,- -  -,
Abdullah Javaid,M/AM (R),7.50,7.50,6,5,1,10,6,3,6,12,2,3,3,3,1,9,11,3,7,12,1,4,5,11,1,10,5,1,4,12,6,9,2,11,7,7,10,4,1,4,1,1,8,8,7,14,5,3,14,17,14,11,8,12,9,7,10,3,7,13,- -  -,
Adam Kardacz,"DM, M (RC), AM (R)",7.50,7.50,12,7,3,11,9,5,10,12,2,1,2,6,5,9,12,4,9,10,5,3,8,7,3,5,5,2,5,6,11,2,1,8,6,8,8,2,3,7,2,1,8,9,8,14,11,1,11,13,12,12,8,15,7,8,11,6,6,5,- -  -,
Gervan Myers,WB/AM (R),7.49,7.49,7,3,3,12,12,3,3,8,2,1,2,4,2,4,12,3,6,11,4,3,1,4,2,4,5,1,2,5,7,1,1,5,3,4,5,2,3,3,3,1,2,9,3,11,6,2,13,11,10,13,8,15,10,7,13,9,7,1,- -  -,Ctr
Chris Lane,"M/AM (R), ST (C)",7.48,7.48,11,2,2,9,7,1,5,11,2,3,3,3,5,5,12,4,6,12,1,3,2,6,3,5,8,1,3,9,11,3,1,8,15,5,4,3,1,7,2,1,5,13,2,12,12,3,12,15,15,17,11,12,9,11,9,2,8,11,- -  -,Ama
Álex Millán,"AM (RL), ST (C)",7.48,7.48,10,14,3,13,14,7,12,11,3,3,2,9,13,10,14,2,11,13,5,5,10,8,3,12,12,1,6,13,12,10,1,13,13,12,9,11,11,10,3,1,14,8,12,13,12,3,15,12,10,13,8,10,5,8,5,3,13,12,- -  -,Inj
João Rangel,"M (RL), AM (RLC)",7.48,7.48,6,9,1,11,9,5,8,10,1,2,1,5,3,11,11,2,10,13,5,7,9,7,3,5,7,1,7,13,11,7,2,13,9,7,8,9,6,10,4,3,9,7,10,12,8,2,12,14,10,10,9,12,9,9,7,4,13,10,- -  -,
Anas Farah,"M/AM (RC), ST (C)",7.47,7.47,12,11,1,13,11,3,8,12,2,1,3,9,10,11,12,4,11,12,4,3,9,7,2,7,6,1,9,13,12,7,3,12,12,7,10,9,8,8,2,1,7,9,7,12,10,1,13,12,13,15,11,11,13,6,5,4,14,15,- -  -,
Terell Ondaan,"M (R), AM (RLC)",7.47,7.47,12,13,2,13,12,3,9,12,3,3,3,5,10,12,11,2,15,12,3,6,9,4,3,5,5,1,8,9,12,7,2,11,15,13,12,11,10,10,2,3,10,13,11,13,4,2,12,14,12,10,10,13,2,10,7,1,14,10,- -  -,Opt
Aubrey Modiba,"D/WB (L), M/AM (RL)",7.47,7.47,14,9,3,11,11,11,8,12,1,2,2,10,4,11,13,3,12,13,11,9,6,9,2,7,7,2,9,14,12,6,3,12,14,8,11,5,10,12,1,2,9,11,11,14,9,2,15,13,14,11,11,11,8,13,5,7,18,13,- -  -,
Fuad Nuriyev,M/AM (RC),7.47,7.47,5,6,2,7,10,7,5,10,3,1,2,7,4,9,14,1,9,11,6,5,3,9,2,3,4,2,5,14,7,5,1,7,11,6,5,2,7,7,3,3,9,12,14,13,12,2,10,16,17,17,13,14,10,9,12,7,15,11,- -  -,
Bobby Freeman,"M (L), AM (RL)",7.47,7.47,7,6,2,11,7,4,5,6,3,3,3,4,3,8,11,3,11,5,4,4,3,3,3,9,8,2,5,10,11,6,3,10,10,6,13,7,5,9,1,1,14,13,8,10,13,1,13,13,14,10,7,5,7,9,7,6,13,14,- -  -,
