Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Marco Rus,AM (RC),7.18,7.18,12,8,4,9,10,10,8,12,1,3,3,7,4,8,12,2,10,11,7,2,10,2,2,9,7,1,9,14,7,16,3,9,13,5,11,9,12,8,4,3,5,7,9,10,14,2,- -  -,Wnt,13
Conor McAleny,"M (L), AM (LC), ST (C)",7.15,7.15,15,10,1,12,10,5,6,12,1,3,1,6,13,11,10,2,11,9,5,3,11,7,1,7,7,1,9,13,12,11,2,12,12,8,8,8,7,10,1,3,7,12,10,11,8,1,- -  -,,12
Izzy Brown,"M (RL), AM (RLC), ST (C)",7.14,7.14,7,13,3,11,8,5,11,11,2,3,2,6,10,13,10,3,12,9,5,6,11,10,4,12,7,2,9,13,11,10,2,12,11,9,8,4,8,11,3,3,11,11,10,11,13,1,- -  -,,10
Charlie Carter,"M (RC), AM (C)",7.12,7.12,14,11,1,11,10,9,11,12,4,2,1,9,10,12,10,2,13,13,6,4,10,7,4,13,12,2,9,10,12,10,2,11,12,9,10,5,10,9,1,1,10,10,12,9,9,2,- -  -,,9
Mitch Pinnock,"M (RL), AM (RLC)",7.07,7.07,8,10,3,13,8,7,12,12,1,3,1,8,10,12,12,1,10,10,7,15,15,5,1,12,10,2,15,13,13,15,3,12,10,8,13,15,10,12,3,3,6,10,10,10,8,1,- -  -,,12
James Balagizi,"M (C), AM (LC)",7.06,7.06,11,12,3,14,9,7,11,10,2,1,3,7,9,13,12,3,12,12,7,8,8,7,1,10,11,1,10,12,13,9,3,13,11,9,11,8,8,13,1,2,8,12,11,13,11,2,- -  -,,13
Rubén Rodrigues,"M (C), AM (LC), ST (C)",7.06,7.06,10,12,4,13,10,5,10,10,3,3,2,8,11,13,12,3,11,12,5,4,10,5,1,8,10,3,8,14,14,13,2,12,14,11,5,9,10,12,2,1,7,13,10,12,9,2,- -  -,Trn,12
Elliot Osborne,"M (RC), AM (C)",7.05,7.05,14,11,2,11,11,9,10,13,3,1,2,8,7,11,11,2,14,11,7,4,12,7,3,9,7,3,8,13,10,11,2,11,10,10,8,10,10,10,2,2,9,11,10,11,9,2,- -  -,Wnt,13
JJ McKiernan,"M/AM (C), ST (C)",7.03,7.03,9,11,1,12,11,5,9,14,1,1,2,8,8,11,12,2,11,14,6,5,10,4,1,9,9,1,7,14,12,11,1,12,14,10,10,7,9,11,1,1,9,13,10,12,7,1,- -  -,Wnt,12
Aidan Barlow,"M (C), AM (RLC)",7.02,7.02,11,12,1,12,8,5,7,13,3,1,1,6,12,12,12,2,11,12,5,3,9,7,2,8,5,3,10,13,13,10,2,11,13,7,10,11,9,9,4,2,10,8,10,14,9,4,- -  -,,12
Kyle Taylor,M/AM (C),7.01,7.01,13,13,3,11,14,8,10,12,1,1,1,9,10,14,13,1,9,11,8,3,10,6,1,5,4,3,5,9,11,11,1,14,4,10,11,7,6,14,3,3,8,11,6,9,6,3,- -  -,Lst,12
Jack Clarke,AM (RLC),7.00,7.00,12,13,3,11,10,7,8,10,1,3,1,8,8,11,11,1,12,12,8,6,8,10,2,7,5,3,8,13,11,9,1,11,10,10,9,12,11,12,1,1,10,7,11,10,7,3,- -  -,,11
Alex Pattison,M/AM (C),6.99,6.99,15,10,3,13,14,9,11,13,2,2,2,11,12,11,11,2,13,16,9,4,11,10,2,10,9,3,8,10,11,11,2,11,15,11,9,10,11,12,1,1,12,9,12,12,9,3,- -  -,,12
Jordan Maguire-Drew,"M (RL), AM (RLC), ST (C)",6.98,6.98,7,7,2,13,12,3,8,9,3,3,1,6,8,8,11,2,9,12,3,3,13,7,2,8,5,1,13,15,9,10,2,11,12,7,13,14,6,9,3,1,7,10,7,9,7,1,- -  -,,12
Greg Olley,"M (RC), AM (C)",6.98,6.98,13,12,1,10,10,7,7,12,1,2,3,8,8,11,12,2,11,12,8,3,10,14,1,8,7,3,16,10,9,11,1,12,14,12,10,10,10,13,2,2,7,10,8,11,6,3,- -  -,Wnt,11
Zak Brunt,M/AM (C),6.97,6.97,10,13,2,13,10,6,9,8,3,2,3,7,11,13,12,1,9,9,5,5,10,3,3,8,5,2,11,13,9,10,1,12,18,9,9,9,10,11,1,1,9,11,13,12,14,1,- -  -,Wnt,12
Kieron Bowie,"M/AM (RC), ST (C)",6.96,6.96,15,13,1,15,11,5,16,12,1,2,2,8,13,10,14,1,12,12,5,4,9,5,1,14,11,2,5,15,9,12,2,12,9,11,9,5,8,6,1,1,15,8,11,7,5,3,- -  -,,11
Harrison Wood,"M (L), AM (RLC), ST (C)",6.95,6.95,13,6,3,14,8,6,5,9,3,3,3,5,11,11,9,4,12,15,6,4,8,1,3,9,7,2,7,13,9,14,3,11,9,14,10,7,8,8,4,1,8,9,10,12,5,3,- -  -,,12
Matt Warburton,"M (C), AM (RC), ST (C)",6.95,6.95,10,11,1,11,12,6,7,10,3,1,3,6,12,11,10,2,11,11,6,4,11,7,1,7,7,2,11,11,10,12,1,10,14,9,9,10,10,10,3,2,7,10,10,10,9,2,- -  -,,11
Ronan Darcy,M/AM (C),6.94,6.94,11,11,1,13,10,7,13,12,2,3,2,5,7,12,12,4,11,12,6,5,13,9,1,9,9,3,10,13,11,8,3,12,11,9,9,8,10,10,2,3,10,11,12,13,9,3,- -  -,,14
Jack Emmett,M/AM (RLC),6.92,6.92,12,7,3,11,8,7,4,13,2,3,2,8,6,8,11,3,9,10,2,3,6,6,3,2,5,1,6,10,6,6,4,12,11,7,6,5,8,6,2,1,8,6,7,15,5,2,- -  -,Lst,13
Jason Law,"WB (RL), M (RLC), AM (LC)",6.92,6.92,13,13,2,10,12,8,9,13,3,3,3,8,9,11,11,2,9,15,8,8,7,4,1,9,6,1,7,9,11,8,1,10,3,9,9,9,9,10,1,2,10,10,8,11,7,1,- -  -,Wnt,11
Jordan Stevens,M/AM (RC),6.91,6.91,11,9,3,11,11,6,6,13,3,1,1,6,5,8,13,2,10,13,6,4,7,4,2,6,5,4,6,13,11,8,1,11,13,8,10,9,9,9,3,3,9,11,10,11,10,3,- -  -,,13
Elliot Lee,"AM (C), ST (C)",6.91,6.91,13,11,1,11,11,3,11,13,2,3,1,8,12,12,12,2,12,10,4,6,11,9,1,8,9,3,5,13,12,11,3,11,9,11,10,5,9,13,2,1,6,14,13,13,10,3,- -  -,,11
Jonny Williams,"M (LC), AM (RLC)",6.90,6.90,11,12,3,13,12,6,6,10,1,1,2,7,10,13,11,2,11,12,6,4,9,11,1,6,7,1,10,13,13,9,3,13,11,13,10,11,12,12,2,2,12,12,13,12,6,1,- -  -,,10
Sam Austin,M/AM (RLC),6.90,6.90,14,8,1,10,14,6,7,11,2,3,1,8,3,8,13,2,10,14,7,3,11,12,2,7,5,1,5,8,9,11,4,10,13,9,10,6,9,11,2,1,7,8,6,12,3,3,- -  -,,13
Jamie Devitt,"M (C), AM (RLC), ST (C)",6.90,6.90,11,12,3,12,7,7,7,6,1,2,3,7,13,12,8,2,11,10,4,5,11,10,1,9,4,1,13,15,11,9,2,11,9,9,13,12,9,11,1,2,9,9,11,10,10,1,- -  -,,7
Jack Earing,"DM, M/AM (C)",6.89,6.89,14,13,3,11,13,10,12,11,3,4,1,11,7,11,12,1,10,11,8,6,9,9,1,11,10,3,9,10,11,11,1,12,14,11,8,10,10,12,1,1,11,10,12,11,10,1,- -  -,,12
Josh Rees,M/AM (C),6.89,6.89,14,8,4,11,15,9,10,13,1,1,3,8,9,11,11,3,13,11,8,7,8,12,2,8,8,3,6,7,12,10,1,9,13,10,7,12,10,12,1,3,12,11,13,11,6,3,- -  -,,9
