Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Max Dyche,D (RLC),7.23,7.23,10,8,1,1,8,12,13,10,1,3,4,15,4,7,4,1,7,14,12,10,1,15,3,14,15,1,2,6,7,1,2,5,13,12,1,4,12,6,3,1,11,6,6,6,13,3,- -  -,,4
Luke Reeve,D (C),7.20,7.20,5,3,1,4,4,13,8,5,1,3,3,11,1,5,7,3,2,9,12,1,4,10,3,12,13,3,3,5,2,1,3,1,6,12,1,2,6,3,2,3,7,5,5,8,9,2,- -  -,U18,6
Bogdan Marian,GK,7.20,7.20,6,6,6,6,5,2,7,4,11,9,10,11,3,8,12,4,2,13,5,3,1,10,6,7,2,8,6,3,5,2,5,2,11,14,1,3,6,7,6,8,11,8,6,7,12,4,- -  -,,12
Max Cleworth,D (RC),7.17,7.17,14,9,1,9,11,8,9,11,2,3,2,12,6,9,11,3,8,11,9,9,5,6,3,13,8,2,5,8,9,6,4,12,12,11,8,5,8,12,3,3,8,9,10,12,6,2,- -  -,Loa,11
Paul Huntington,D (C),7.08,7.08,13,6,2,10,15,14,13,10,3,3,1,13,6,10,8,2,8,11,13,6,4,14,1,14,15,2,5,6,11,8,1,7,16,11,8,3,12,11,2,1,15,11,12,8,11,3,- -  -,Rst,7
Ben Hammond,D (C),7.04,7.04,12,8,3,9,11,10,11,12,1,2,3,12,6,10,12,3,8,11,10,7,5,10,1,12,13,1,7,5,8,4,1,4,10,11,4,5,12,9,2,1,9,12,8,13,7,2,- -  -,,10
Jordan Tunnicliffe,D (C),7.03,7.03,12,7,1,10,11,13,13,10,2,4,1,12,5,8,8,2,9,12,13,3,4,12,3,13,15,4,3,6,8,6,1,8,11,11,5,4,10,10,1,3,11,10,11,9,13,2,- -  -,,9
Phil Jagielka,D (C),7.02,7.02,8,8,3,9,14,14,13,9,3,2,1,15,8,10,3,1,8,13,13,9,3,14,2,12,15,3,5,5,11,6,1,4,16,16,6,5,11,13,3,3,16,11,14,6,10,3,- -  -,,6
Theo Vassell,"D (RC), DM",7.01,7.01,15,10,2,9,13,12,13,12,1,1,1,10,6,8,13,1,7,11,9,9,6,9,1,10,10,2,5,6,9,6,3,8,13,11,7,4,9,9,2,2,12,11,9,10,11,1,- -  -,,12
Daniel Boateng,D (RC),7.01,7.01,11,4,3,8,12,10,13,11,1,1,1,9,7,9,10,3,5,12,11,9,6,7,1,12,10,2,5,5,7,6,3,5,13,8,5,4,10,11,3,1,14,11,9,8,14,1,- -  -,,9
Luke Wilkinson,D (C),7.00,7.00,13,9,1,9,14,13,12,12,1,13,2,12,9,9,9,3,8,12,12,8,8,12,3,13,12,10,12,5,8,8,3,9,15,10,6,2,11,11,15,3,14,10,11,8,13,14,- -  -,,9
Rory McArdle,D (C),7.00,7.00,15,9,3,6,15,15,13,11,2,1,3,13,3,9,4,3,7,17,12,7,2,16,3,14,14,1,3,3,7,4,2,3,15,12,6,4,11,10,3,2,17,12,12,4,14,2,- -  -,Opt,4
Geraldo Bajrami,"D (C), DM",6.99,6.99,11,8,2,10,12,12,11,9,1,3,4,13,5,13,11,2,9,10,12,4,4,13,1,12,12,3,5,6,9,5,1,8,14,11,6,5,11,13,4,2,14,10,11,9,9,1,- -  -,Wnt,10
Paul Downing,D (C),6.99,6.99,12,5,2,10,13,12,11,11,3,1,2,12,7,8,10,2,8,12,12,7,4,11,2,13,13,2,4,3,9,6,1,3,10,12,5,4,11,12,3,1,13,11,12,9,8,1,- -  -,,9
Robbie McKenzie,"D (RLC), DM, M (C)",6.98,6.98,15,9,2,10,12,13,9,12,3,3,1,11,12,12,11,3,10,13,13,13,10,9,1,11,13,1,8,6,11,9,3,9,10,8,10,8,11,10,3,2,12,12,11,10,12,2,- -  -,,11
Sean Morrison,D (C),6.97,6.97,11,9,1,10,14,15,13,11,2,3,2,12,7,10,9,3,8,10,13,15,6,17,1,14,15,1,6,5,11,7,1,6,16,12,4,6,11,11,2,1,18,11,12,9,13,2,- -  -,,8
Femi Ilesanmi,"D (LC), WB (L)",6.97,6.97,14,7,3,3,11,13,15,12,3,3,3,10,8,8,11,3,9,11,7,7,8,6,2,10,11,2,4,5,11,4,3,11,14,9,10,3,8,10,3,3,11,12,10,11,15,1,- -  -,,10
Ben Tozer,"D (C), DM",6.97,6.97,13,10,4,9,13,11,12,11,3,3,1,11,11,11,10,3,7,15,10,18,7,14,3,12,12,1,6,5,9,7,1,6,13,10,6,4,11,11,2,2,11,10,8,8,10,1,- -  -,Lst,9
Liam Hogan,D (C),6.97,6.97,13,7,3,7,13,11,13,11,1,3,3,11,7,8,11,3,7,11,12,11,4,15,3,14,12,3,4,5,8,6,1,8,14,8,6,4,9,9,3,2,14,11,9,9,14,1,- -  -,,9
Shadrach Ogie,"D (LC), WB (L)",6.97,6.97,13,12,2,10,12,12,16,14,3,3,1,11,6,9,13,1,10,12,11,16,9,6,1,14,9,3,3,4,9,5,2,12,15,9,9,6,12,11,3,4,11,13,10,9,10,3,- -  -,,12
Will Boyle,D (C),6.96,6.96,13,8,2,10,15,12,14,14,1,3,3,12,5,10,11,1,10,12,11,8,5,14,3,14,14,2,6,6,9,7,2,6,12,12,5,3,11,11,2,1,13,8,12,9,12,1,- -  -,,11
Owen Bailey,"D (C), DM, M (C)",6.96,6.96,17,14,3,10,14,11,5,14,3,3,2,13,3,11,10,2,12,16,10,2,3,12,3,8,9,3,4,7,9,7,1,6,14,9,4,3,17,12,1,3,13,11,11,8,8,3,- -  -,Wnt,9
Tom Anderson,D (C),6.96,6.96,14,6,1,6,14,13,13,12,1,2,3,12,2,8,7,3,6,11,13,8,4,16,2,16,14,2,4,2,8,6,2,3,14,11,6,6,12,12,1,1,16,11,10,7,12,2,- -  -,,8
Ben Watt,D (RC),6.94,6.94,11,8,2,8,11,11,10,10,2,3,2,11,5,8,13,3,9,12,12,3,6,12,2,9,9,1,7,5,8,7,2,7,10,10,7,9,12,10,1,2,8,11,10,11,15,2,- -  -,,14
Luke Chambers,D (C),6.94,6.94,15,6,3,9,14,12,11,11,2,2,1,13,4,7,6,1,10,16,12,12,4,18,1,12,11,2,4,3,9,8,3,7,17,11,7,3,12,9,3,2,13,9,12,8,13,3,- -  -,,7
Laurence Maguire,D (LC),6.94,6.94,13,10,1,10,13,12,10,9,3,1,1,12,4,11,11,3,6,13,11,7,6,12,2,13,12,1,5,4,8,4,3,7,10,10,9,2,9,10,3,2,9,11,9,9,9,2,- -  -,,10
Patrick Almond,D (C),6.94,6.94,10,11,3,8,12,14,14,10,2,3,2,10,4,9,9,4,11,16,12,4,3,12,3,15,11,2,3,8,7,4,1,7,14,11,4,2,12,9,2,3,12,10,10,10,14,2,- -  -,,8
Neill Byrne,D (C),6.93,6.93,7,9,2,7,10,12,12,12,2,2,3,10,6,12,10,2,9,11,11,7,5,16,2,10,12,2,4,4,9,6,2,8,5,10,4,4,10,10,2,2,13,9,10,11,8,3,- -  -,Wnt,11
Shaun Williams,"D (C), DM, M (C)",6.92,6.92,13,12,1,14,14,12,9,10,1,2,2,14,14,11,6,3,11,12,12,5,11,13,3,11,10,1,13,7,12,10,2,9,14,11,9,15,13,12,2,2,11,9,12,6,10,2,- -  -,Opt,6
Harvey Beckett,D (C),6.92,6.92,10,7,1,6,9,15,8,8,2,3,2,12,6,10,9,3,9,12,11,8,6,3,3,12,11,2,1,6,5,8,3,9,10,11,4,5,11,8,1,2,8,9,9,7,10,3,- -  -,,11
John Johnson,"D (RC), DM",6.91,6.91,14,4,3,7,10,13,10,9,1,2,2,12,9,9,11,1,8,10,12,12,10,13,3,12,13,2,4,8,7,10,4,11,15,9,6,4,8,7,2,1,16,9,8,7,10,2,- -  -,,10
Luke Waterfall,D (C),6.91,6.91,12,7,1,8,12,12,12,12,2,2,1,10,2,8,8,3,8,12,12,4,7,14,2,15,15,2,2,4,8,4,3,5,14,12,5,1,10,6,1,2,11,11,10,9,12,1,- -  -,,10
Jordan Keane,"D (C), DM, M (C)",6.91,6.91,13,8,2,9,13,11,12,11,1,3,2,10,5,10,10,1,9,12,10,7,8,10,3,12,11,3,5,8,10,5,2,7,14,9,8,5,9,10,2,3,12,11,9,10,12,1,- -  -,,9
Declan Drysdale,"D (C), DM, M (C)",6.90,6.90,10,9,1,8,10,12,12,13,2,2,2,10,3,10,11,2,9,13,11,5,7,11,1,14,13,3,9,5,11,5,1,7,5,9,8,5,9,8,2,2,12,9,8,9,14,3,- -  -,,11
Adam Thompson,D (RC),6.90,6.90,11,7,2,10,12,12,11,13,3,3,3,12,5,10,11,1,8,12,12,6,7,9,1,12,11,2,7,4,10,5,1,7,13,10,8,6,9,12,3,3,12,11,11,10,11,1,- -  -,,11
Paul Kalambayi,D (C),6.90,6.90,12,10,3,10,8,10,12,11,3,1,2,11,6,9,10,1,6,15,11,4,5,10,3,14,10,1,4,5,9,5,3,7,14,11,5,2,11,13,1,3,9,9,10,11,12,2,- -  -,,11
Omar Beckles,D (C),6.90,6.90,13,8,3,11,12,12,14,10,1,3,1,13,5,12,11,3,8,15,11,9,4,15,3,12,12,1,4,12,11,6,3,10,16,10,7,6,11,13,3,1,11,11,11,11,10,4,- -  -,,11
Dominic Revan,D (RC),6.90,6.90,12,10,3,12,13,12,13,11,3,4,2,12,5,12,9,3,10,5,8,8,3,10,3,10,12,2,2,8,10,2,1,8,9,8,3,2,10,8,2,1,10,10,10,10,13,1,- -  -,Wnt,11
Jake Rooney,"D (C), DM",6.89,6.89,13,11,1,11,11,10,13,14,2,1,4,11,4,9,11,1,10,14,12,7,3,8,4,16,13,2,8,6,11,5,1,8,13,10,5,3,9,11,2,2,12,10,10,11,11,1,- -  -,,11
Ryan Bennett,D (C),6.89,6.89,12,10,4,9,10,13,14,11,1,1,1,12,6,10,10,2,8,8,15,16,7,16,1,13,15,3,5,4,11,5,3,7,12,12,6,3,10,16,3,3,16,9,13,7,10,3,- -  -,,9
Mickey Demetriou,D (LC),6.89,6.89,16,9,2,12,14,11,10,11,2,1,1,13,6,11,9,1,12,12,11,12,6,9,4,12,13,2,11,8,9,6,2,10,15,10,11,8,14,11,3,2,12,10,12,9,6,1,- -  -,Opt,8
George Fowler,"D (RC), WB (R)",6.89,6.89,10,10,4,7,9,11,11,12,2,2,3,8,1,7,10,2,7,11,8,7,6,9,1,12,11,1,5,6,8,3,2,5,13,9,4,6,11,11,3,2,11,11,11,9,8,4,- -  -,,10
Akin Odimayo,"D (RC), WB (R), DM",6.89,6.89,9,9,2,8,8,12,13,13,1,2,2,12,5,12,15,2,9,12,12,6,6,13,4,12,13,1,5,3,11,8,2,9,12,11,10,7,10,8,3,1,11,11,10,11,8,1,- -  -,,13
Corey Jordan,D (C),6.88,6.88,11,10,3,10,10,9,12,14,3,3,3,10,3,11,12,3,8,14,10,4,5,9,2,12,12,1,5,6,7,3,2,2,12,11,3,2,11,11,1,3,13,9,12,11,12,1,- -  -,Wnt,13
Scot Bennett,"D (C), DM, M (C)",6.88,6.88,14,12,2,9,11,11,11,11,3,1,3,12,4,10,8,3,9,14,11,9,5,11,1,10,12,2,5,5,9,6,3,8,12,10,5,4,11,12,1,1,14,11,10,10,9,3,- -  -,,9
Sam Habergham,"D (LC), WB (L)",6.87,6.87,9,7,1,9,9,12,12,9,1,3,2,12,4,9,8,3,7,8,12,15,10,11,3,11,8,1,13,8,9,5,2,8,11,11,12,13,11,9,2,3,8,11,9,9,7,3,- -  -,Wnt,9
Elliott Johnson,D (LC),6.87,6.87,12,7,2,10,12,11,11,11,3,3,3,12,5,10,9,1,9,12,11,5,7,6,3,10,10,1,5,5,10,5,1,9,11,10,10,5,11,10,2,3,13,10,10,10,10,4,- -  -,,10
Tom Davies,D (C),6.87,6.87,11,8,3,8,9,12,14,13,3,2,1,12,5,8,10,1,6,9,12,8,5,12,2,14,13,3,6,7,9,5,3,7,14,12,5,5,12,11,3,3,14,11,11,7,12,1,- -  -,,10
Michael Stickland,D (C),6.87,6.87,10,13,1,7,9,12,13,12,1,2,1,8,6,10,12,3,9,12,12,1,8,12,3,15,11,2,5,6,9,3,3,7,15,8,1,5,12,10,1,1,15,11,11,8,10,2,- -  -,,11
Fraser Horsfall,D (C),6.87,6.87,12,8,1,8,13,13,14,12,2,1,1,13,5,10,9,1,5,13,13,12,3,14,2,17,15,1,6,4,8,6,1,6,13,10,3,3,9,9,1,2,13,12,10,8,10,2,- -  -,,8
Aaron Hayden,D (RC),6.87,6.87,11,6,3,9,13,8,13,13,2,2,1,11,5,8,11,1,8,13,12,7,5,13,1,12,12,1,4,6,8,6,2,9,12,11,7,4,9,11,1,1,13,10,14,11,11,2,- -  -,,11
