Name,Position,Av Rat,Av Rat,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Rec,Inf,Acc
Max Cleworth,D (RC),7.17,7.17,14,9,1,9,11,8,9,11,2,3,2,12,6,9,11,3,8,11,9,9,5,6,3,13,8,2,5,8,9,6,4,12,12,11,8,5,8,12,3,3,8,9,10,12,6,2,- -  -,Loa,11
Gaëtan Bong,D (LC),7.15,7.15,13,7,3,9,15,14,13,13,3,1,3,15,6,9,11,2,8,12,13,14,7,8,2,12,12,2,6,5,10,6,3,7,14,11,7,7,13,10,1,3,13,12,13,12,11,2,- -  -,,11
Andrew Fox,"D (LC), WB (L)",7.12,7.12,12,8,1,11,12,12,13,13,3,2,3,10,4,10,11,2,10,12,11,6,6,7,3,11,11,2,10,6,10,5,1,9,9,8,10,8,12,10,4,3,8,9,10,10,10,1,- -  -,,11
Kelvin Abrefa,"D (RC), WB (R)",7.11,7.11,14,7,2,10,10,10,12,14,3,1,2,8,9,9,12,1,9,16,10,12,9,7,1,15,10,3,6,9,11,9,2,9,18,8,8,9,9,10,3,3,13,11,9,9,10,4,- -  -,,14
James Morris,D (L),7.10,7.10,12,9,1,9,10,11,7,12,2,3,3,7,2,8,14,3,7,9,7,6,2,12,4,12,10,3,6,5,7,4,3,7,8,8,12,8,10,8,4,1,10,9,10,10,13,1,- -  -,,15
Myles Kenlock,D/WB (L),7.10,7.10,13,9,1,10,11,12,11,12,1,2,2,11,6,10,12,2,9,12,11,11,8,7,1,12,10,3,9,12,9,6,3,8,12,9,9,8,11,10,3,1,11,11,10,11,8,2,- -  -,,12
Sam Paul,"D (RL), WB (R)",7.04,7.04,13,7,3,10,10,9,7,10,1,3,2,12,6,15,11,3,9,15,7,8,2,7,2,7,10,3,2,8,11,7,1,9,13,14,9,5,11,12,3,3,10,11,11,11,11,1,- -  -,Inj,13
Kane Smith,D/WB (R),7.03,7.03,13,11,1,10,10,12,11,8,3,3,3,10,5,7,14,3,15,16,9,5,10,7,1,7,11,2,10,11,9,6,3,12,16,8,14,5,12,8,1,3,10,8,11,10,6,1,- -  -,Inj,13
Kelvin Mellor,D/WB (R),7.02,7.02,14,8,2,10,14,12,10,10,2,1,2,11,5,12,11,2,9,11,8,13,8,6,3,11,11,3,4,11,10,8,2,11,9,9,10,4,11,11,3,1,8,9,11,11,9,2,- -  -,Opt,10
Daniel Boateng,D (RC),7.01,7.01,11,4,3,8,12,10,13,11,1,1,1,9,7,9,10,3,5,12,11,9,6,7,1,12,10,2,5,5,7,6,3,5,13,8,5,4,10,11,3,1,14,11,9,8,14,1,- -  -,,9
Reece Hall-Johnson,"D (RC), WB (R)",7.00,7.00,13,6,2,9,13,12,11,11,1,3,3,11,8,9,13,1,9,15,10,7,7,8,1,8,10,1,7,11,9,7,2,9,13,8,8,5,9,11,1,3,10,10,10,10,12,2,- -  -,Wnt,13
Jason Lowe,"D (RC), DM, M (C)",6.99,6.99,18,7,2,8,18,11,12,17,3,2,1,10,8,8,10,3,8,16,10,9,5,15,3,12,12,2,5,7,8,5,4,6,17,8,8,4,11,8,2,4,16,13,11,9,14,2,- -  -,,10
Jamie Sterry,D/WB (R),6.99,6.99,13,9,1,8,11,12,11,13,3,3,1,11,5,11,14,1,11,7,8,7,4,10,2,10,9,3,8,9,9,5,3,9,3,10,13,7,10,11,3,3,10,11,11,12,11,3,- -  -,Wnt,12
Robbie McKenzie,"D (RLC), DM, M (C)",6.98,6.98,15,9,2,10,12,13,9,12,3,3,1,11,12,12,11,3,10,13,13,13,10,9,1,11,13,1,8,6,11,9,3,9,10,8,10,8,11,10,3,2,12,12,11,10,12,2,- -  -,,11
Aswad Thomas,D (L),6.97,6.97,12,7,3,8,11,11,9,11,4,4,2,10,4,8,12,2,7,15,10,12,7,9,3,10,9,1,8,11,8,6,2,8,9,7,10,10,8,8,1,3,12,10,8,10,12,1,- -  -,Ask,10
Patrick Brough,"D (LC), WB (L)",6.97,6.97,15,8,1,8,14,11,11,14,3,1,3,11,6,8,11,3,11,15,10,7,8,4,3,13,11,2,7,8,8,8,2,9,12,11,11,9,10,10,1,1,12,9,11,9,11,1,- -  -,Wnt,11
James Brown,"D (RC), WB (R)",6.96,6.96,15,9,1,11,13,11,12,13,2,1,2,11,5,11,12,4,11,14,10,10,5,9,3,10,9,3,8,10,11,7,3,11,14,9,12,8,10,10,1,3,11,12,10,12,12,2,- -  -,,12
Kayne Ramsay,"D (RC), WB (R)",6.96,6.96,13,9,3,11,12,10,12,13,2,1,2,11,7,11,13,2,9,11,10,8,10,8,2,12,11,1,8,9,10,7,2,10,17,10,10,8,10,10,1,3,13,12,10,13,8,2,- -  -,,12
Ryan McLaughlin,"D/WB/M (R), AM (RL)",6.95,6.95,12,9,2,12,12,12,11,11,3,3,1,11,5,10,13,3,10,10,11,4,7,6,1,9,10,1,6,9,11,9,2,9,14,9,10,8,8,10,2,3,9,11,11,11,12,1,- -  -,,13
Lewis Richards,"D (LC), WB (L)",6.95,6.95,11,13,1,9,10,10,13,11,1,3,3,9,7,13,12,1,9,12,11,6,5,12,1,13,11,1,4,5,10,6,3,9,12,9,11,7,12,9,2,1,10,11,12,7,7,1,- -  -,,10
Dan Moss,"D (RC), M (C)",6.94,6.94,15,8,3,9,11,13,10,10,3,2,1,12,7,8,11,3,8,10,10,8,5,9,2,9,11,1,8,6,8,7,1,8,14,10,10,7,10,11,1,1,15,10,7,10,8,3,- -  -,,12
Ben Watt,D (RC),6.94,6.94,11,8,2,8,11,11,10,10,2,3,2,11,5,8,13,3,9,12,12,3,6,12,2,9,9,1,7,5,8,7,2,7,10,10,7,9,12,10,1,2,8,11,10,11,15,2,- -  -,,14
Joshua Williams,"D/WB (R), M (RC)",6.94,6.94,11,10,3,10,11,11,11,12,2,4,3,11,7,11,13,1,11,12,12,10,9,8,1,10,11,3,10,11,10,9,2,11,12,11,12,9,10,8,3,3,12,10,11,10,11,1,- -  -,Wnt,13
Laurence Maguire,D (LC),6.94,6.94,13,10,1,10,13,12,10,9,3,1,1,12,4,11,11,3,6,13,11,7,6,12,2,13,12,1,5,4,8,4,3,7,10,10,9,2,9,10,3,2,9,11,9,9,9,2,- -  -,,10
Femi Seriki,D/WB/M/AM (R),6.94,6.94,12,10,2,11,11,10,9,12,2,2,2,11,6,9,14,3,10,12,11,9,7,5,1,10,9,2,5,11,10,8,3,12,12,11,10,8,13,10,3,3,9,12,13,11,10,3,- -  -,,14
Bobby-Joe Taylor,D/WB/M/AM (L),6.94,6.94,11,8,3,11,9,9,10,11,1,1,1,11,13,10,12,2,7,11,9,6,8,4,3,8,7,3,12,9,9,8,1,10,11,9,11,11,7,10,1,3,9,10,8,10,9,3,- -  -,,10
Harvey Sayer,D/WB/M/AM (L),6.93,6.93,10,10,2,10,9,6,5,11,2,3,3,9,11,9,13,2,10,10,7,3,9,12,3,7,5,1,12,8,9,7,3,9,12,9,10,12,8,8,4,2,6,10,9,10,8,1,- -  -,,13
George Francomb,"D (RC), WB (R), DM, M (RC)",6.93,6.93,14,9,1,11,12,10,11,9,3,1,1,9,8,11,8,4,9,13,12,4,11,15,3,10,12,1,9,7,11,10,2,9,11,10,10,11,10,10,1,1,11,10,9,8,8,3,- -  -,,8
